,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.B_CO2_vd_scaled,feature_importance.B_CO2_vd_fd1_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_CO2_vd_fd3_scaled,feature_importance.B_low_CO2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_top_CO2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_top_CO2_fd3_scaled
0,0,0.9191592562651576,0.9158249158249159,0.922636167298778,0.9639117151285294,0.0012126111560225583,0.001131770412287847,0.0012126111560225583,0.006386418755052636,0.0021827000808406494,0.03427647534357314,0.02772837510105086,0.01770412287793033,-0.0024252223120455607,0.023201293451899696,0.033468067906224586,0.043088116410670896
1,1,0.9143088116410671,0.9107744107744108,0.9177491571849978,0.9611119890434049,-0.00016168148746964484,0.00040420371867444516,0.000565885206143979,0.007356507679870727,-0.0029911075181892066,0.024656426839127055,0.035569927243330524,0.025303152789005634,-0.0010509296685529135,0.01333872271624903,0.026192400970089125,0.02667744543249806
2,2,0.9191592562651576,0.9155405405405406,0.9223543510324483,0.962436788874842,0.0008084074373482242,0.0018593371059012487,0.0008084074373482242,0.006386418755052414,0.0001616814874695338,0.01996766370250591,0.028375101050929663,0.018189167340339596,-0.0031527890056589625,0.024090541632982965,0.024090541632982965,0.02764753435731615
3,3,0.9183508488278093,0.9140425531914894,0.920905762747577,0.9614464812473662,-0.0008892481810831576,0.0027485852869847394,0.0029911075181892066,0.003071948261923918,-0.0021827000808406494,0.023201293451899918,0.026515763945028303,0.013742926434923253,-0.002910266774454273,0.020695230396119646,0.026030719482619258,0.01115602263540838
4,4,0.9223928860145514,0.9185059422750425,0.9251896333754741,0.9616229456384322,-0.003476151980598141,-0.0012126111560225583,-0.0013742926434923142,0.005173807599029967,-0.003799514955537431,0.027728375101051084,0.01794664510913513,0.012045270816491649,-0.0021827000808406494,0.03831851253031526,0.018431689571543952,0.014955537590945811
5,5,0.9215844785772029,0.9184188393608074,0.9251501264222504,0.95929203539823,0.0025869037995148725,0.0025869037995149835,0.0029911075181890956,0.007841552142279773,0.0019401778496362931,0.01924009700889262,0.028455941794664374,0.031285367825383936,-0.0006467259498788014,0.042118027485852805,0.023362974939369452,0.02675828617623277
6,6,0.9191592562651576,0.916247906197655,0.9230588916982723,0.9620706911083017,0.001535974130961959,0.00024252223120457828,0.004203718674211654,0.012206952303961183,0.00032336297493928967,0.025707356507679857,0.04939369442198871,0.03516572352465641,-0.0007275666936137348,0.030638641875505135,0.041794664510913404,0.038075990299110796
7,7,0.9167340339531124,0.9136630343671417,0.9205449325747999,0.9622392541087231,0.0023443815683105163,0.0019401778496361821,0.005497170573969146,0.0008892481810833797,8.084074373482242e-05,0.03759094583670164,0.03742926434923188,0.03548908649959581,0.003233629749393563,0.028698464025869064,0.04260307194826196,0.04122877930476976
8,8,0.9207760711398545,0.916095890410959,0.9228560893383903,0.9624051833122629,0.0008084074373482242,0.005173807599029745,0.00048504446240904553,0.014066289409862653,0.0033953112368633187,0.0400970088924818,0.0198868229587712,0.014551333872271588,-0.001131770412287847,0.046160064672594925,0.03193209377526274,0.020048504446240845
9,9,0.9183508488278093,0.9149115417017691,0.9217512115465656,0.9594184576485462,0.00250606305578005,0.0013742926434923142,0.005982215036378524,0.0049312853678255,0.002263540824575583,0.037186742118027416,0.029911075181891622,0.015278900565885212,0.0008084074373484462,0.029587712206952443,0.03193209377526285,0.026273241713823725
10,10,0.9167340339531124,0.9136630343671417,0.9205449325747999,0.9616953750526759,8.084074373482242e-05,0.0004850444624089345,0.0009700889248180911,0.004365400161681632,-0.0008084074373484462,0.030800323362975113,0.017946645109135018,0.011883589329021893,0.0029911075181892066,0.027243330638641705,0.02764753435731604,0.03419563459983832
11,11,0.9232012934518997,0.91928632115548,0.9259336809945218,0.9614333122629583,-0.00024252223120457828,0.001535974130961848,0.0014551333872270256,0.005173807599029967,0.0041228779304769425,0.0248989490703313,0.030072756669361156,0.020856911883589402,-0.0010509296685531355,0.02983023443815669,0.03128536782538405,0.0198868229587712
12,12,0.9175424413904608,0.9137055837563451,0.9205844395280236,0.961720396123051,0.00040420371867433413,0.0013742926434922031,0.00153597413096207,0.0033953112368632077,-0.0009700889248180911,0.021341956345998336,0.029345189975747643,0.0038803556992723642,-0.003961196443007409,0.021018593371058936,0.02708164915117217,0.029426030719482577
13,13,0.9175424413904608,0.9142857142857143,0.9211480720606826,0.9609381584492206,0.0019401778496362931,0.0018593371059013597,-8.084074373482242e-05,0.0062247372675828805,-0.00024252223120446725,0.025869037995149613,0.03864187550525455,0.02514147130153599,0.001131770412287736,0.01430881164106701,0.01641067097817306,0.03751010509296682
14,14,0.919967663702506,0.9156010230179028,0.9223938579856721,0.9574194058154235,0.001940177849636071,0.0014551333872272476,0.003476151980598141,0.0071948261924008605,0.002910266774454384,0.046806790622473615,0.02732417138237664,0.020371867421180356,0.001131770412287736,0.05691188358932886,0.032093775262732493,0.02239288601455125
15,15,0.9183508488278093,0.9150546677880572,0.9218921196797303,0.9617836072482089,0.0009700889248182021,-0.0007275666936135128,0.004850444624090455,0.0018593371059013597,0.0019401778496361821,0.041794664510913626,0.026192400970089014,0.010751818916734157,-0.0013742926434923142,0.025222312045270923,0.04664510913500408,0.019078415521422865
16,16,0.9215844785772029,0.9178662150719729,0.9245864938895911,0.9590444584913611,0.0016168148746968924,0.0008084074373483352,0.0025869037995149835,0.0033953112368632077,0.0018593371059013597,0.03856103476151984,0.03112368633791429,0.02360549717057414,0.000565885206143868,0.04163298302344387,0.029426030719482688,0.023443815683104274
17,17,0.9183508488278093,0.9149115417017691,0.9217512115465656,0.9621813105773283,0.002101859337105938,0.0012934518997574918,0.0041228779304769425,0.00250606305578005,-0.00250606305578005,0.03314470493128541,0.027081649151172282,0.009700889248181133,-0.0021827000808406494,0.021341956345998336,0.02740501212611146,0.027728375101051084
18,18,0.9223928860145514,0.9185059422750425,0.9251896333754741,0.963640434049726,0.0019401778496364042,0.0014551333872272476,0.0018593371059014707,0.0033144704931286073,0.003799514955537764,0.054486661277283854,0.028698464025868953,0.025949878738884324,-0.00016168148746964484,0.045836701697655746,0.04074373484236071,0.03233629749393707
19,19,0.9151172190784155,0.9118387909319899,0.9187750210703751,0.9627186051411715,-0.0012934518997576028,0.0009700889248180911,0.0006467259498784683,0.0010509296685528025,-0.0017784963621665373,0.028455941794664485,0.02578819725141457,0.02457558609539201,-0.0024252223120453387,0.030557801131770423,0.015763945028294257,0.03362974939369445
20,20,0.9240097008892482,0.9208754208754208,0.9275231774125579,0.9628502949852508,0.0014551333872271366,0.0025869037995148725,0.006386418755052636,0.005739692805173724,0.00024252223120446725,0.034357316087307965,0.041147938561034714,0.01835084882780913,0.0018593371059013597,0.03516572352465641,0.03257881972514143,0.020371867421180134
21,21,0.9191592562651576,0.9156829679595279,0.9224952591656131,0.9637642225031605,0.00194017784963596,0.0025869037995147615,0.0029911075181892066,0.006386418755052636,0.001535974130961959,0.025626515763945035,0.026919967663702526,0.017219078415521505,0.0013742926434920921,0.030962004850444647,0.026192400970088903,0.022797089733225473
22,22,0.9207760711398545,0.9172297297297297,0.9239833544037084,0.9649415297092288,0.002263540824575694,0.003233629749393674,0.003880355699272253,0.01269199676637034,0.002263540824575583,0.03362974939369434,0.033144704931285185,0.02425222312045261,-0.0019401778496361821,0.04543249797898141,0.03573160873080028,0.034680679062247366
23,23,0.9207760711398545,0.9173693086003373,0.9241242625368731,0.961783607248209,0.0010509296685529135,0.0025869037995149835,0.0004042037186742231,0.004042037186742009,0.0029911075181889846,0.026839126919967593,0.02481810832659659,0.01996766370250591,0.0008892481810833797,0.04219886822958763,0.023201293451899696,0.022231204527081827
24,24,0.9183508488278093,0.9147679324894514,0.9216103034134007,0.9636114622840286,-8.084074373493344e-05,-0.0005658852061437569,-0.00016168148746964484,0.005739692805173835,-0.0006467259498786904,0.014713015359741566,0.039450282942603,0.023848019401778497,0.0006467259498786904,0.022231204527081827,0.028213419563460018,0.024333063864187654
25,25,0.9183508488278093,0.9150546677880572,0.9218921196797303,0.9639775600505689,0.0021827000808408714,-0.00048504446240904553,0.0020210185933711156,0.003637833468068008,0.0010509296685531355,0.016006467259498725,0.037429264349232105,0.017784963621665595,0.002101859337105827,0.028375101050929663,0.04729183508488288,0.03354890864995974
