,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_temperature_fd1_scaled,feature_importance.fronttop_temperature_fd2_scaled,feature_importance.fronttop_temperature_fd3_scaled,feature_importance.fronttop_humidity_scaled,feature_importance.fronttop_humidity_fd1_scaled,feature_importance.fronttop_humidity_fd2_scaled,feature_importance.fronttop_humidity_fd3_scaled
0,0,0.875,0.8255813953488372,0.8554641598119859,0.9338278495887191,0.08166666666666667,-0.006666666666666599,-0.0033333333333332993,0.0004166666666666208,0.050833333333333286,-0.025416666666666643,-0.010000000000000009,-0.01416666666666655,-0.00708333333333333,-0.0029166666666666785,0.005416666666666514,0.0
1,1,0.875,0.8255813953488372,0.8554641598119859,0.9636457109283196,0.07583333333333342,-0.014583333333333393,-0.0024999999999998357,0.0024999999999998357,0.03458333333333319,-0.03833333333333333,-0.02750000000000008,-0.0379166666666666,-0.0008333333333332416,-0.009166666666666656,-0.002083333333333215,0.006249999999999978
2,2,0.8875,0.8457142857142858,0.8717685076380728,0.9336809635722679,0.125,-0.004583333333333495,-0.011250000000000093,-0.009166666666666767,0.07999999999999985,-0.005833333333333357,-0.03125,-0.022083333333333233,-0.008333333333333415,-0.013333333333333308,-0.0012499999999999734,0.012916666666666576
3,3,0.8833333333333333,0.8390804597701149,0.8663337250293772,0.9030552291421858,0.1891666666666666,-0.00666666666666671,0.0008333333333333526,-0.0008333333333333526,0.09458333333333324,0.0029166666666665675,0.0029166666666665675,0.0008333333333333526,-0.0016666666666667052,-0.0033333333333331883,-0.0050000000000001155,-0.002083333333333326
4,4,0.8833333333333333,0.8390804597701149,0.8663337250293772,0.9443301997649823,0.13624999999999987,-0.01666666666666672,-0.017916666666666803,0.015833333333333255,0.07208333333333328,-0.015416666666666745,0.011249999999999982,-0.021250000000000102,-0.02041666666666664,-0.0008333333333333526,0.005416666666666625,0.0050000000000000044
5,5,0.8791666666666667,0.8304093567251462,0.8588425381903643,0.8800675675675678,0.14541666666666675,0.0029166666666665675,-0.00374999999999992,0.002083333333333215,0.1495833333333333,-0.010833333333333361,0.00708333333333333,0.008333333333333415,-0.00374999999999992,-0.01000000000000012,0.0029166666666666785,0.0012499999999999734
6,6,0.8666666666666667,0.8117647058823529,0.8445945945945945,0.9157608695652174,0.07708333333333339,-0.009166666666666545,-0.011666666666666603,0.002083333333333326,0.04583333333333328,-0.012499999999999956,-0.01416666666666666,-0.025833333333333375,-0.008749999999999925,-0.014999999999999902,0.0004166666666667318,-0.0016666666666667052
7,7,0.8833333333333333,0.8390804597701149,0.8663337250293772,0.9207549941245593,0.16166666666666663,0.0004166666666667318,0.0025000000000001688,0.0033333333333331883,0.09666666666666668,0.0033333333333334103,0.00708333333333333,0.02750000000000008,-0.015416666666666634,-0.004583333333333384,-0.004166666666666652,0.002083333333333437
8,8,0.8791666666666667,0.8323699421965318,0.8608989424206815,0.9504259694477085,0.06583333333333341,-0.005833333333333357,-0.005416666666666625,-0.004583333333333162,0.061249999999999916,-0.009583333333333277,-0.007083333333333441,-0.018750000000000155,-0.005833333333333357,-0.002083333333333326,-0.0004166666666667318,0.0016666666666665941
9,9,0.8791666666666667,0.8323699421965318,0.8608989424206815,0.9100323149236194,0.14874999999999994,-0.018333333333333535,-0.011666666666666492,0.004583333333333273,0.12124999999999997,-0.002083333333333326,-0.00374999999999992,-0.004166666666666763,-0.029583333333333184,0.0,0.009166666666666767,0.002083333333333215
10,10,0.875,0.8255813953488372,0.8554641598119859,0.9596797884841363,0.07708333333333339,-0.010833333333333472,-0.012916666666666687,0.0029166666666664565,0.04499999999999993,-0.02124999999999999,-0.032916666666666594,-0.026666666666666727,0.005833333333333135,-0.0033333333333332993,-0.0012499999999999734,-0.002083333333333437
11,11,0.8791666666666667,0.8323699421965318,0.8608989424206815,0.9571092831962398,0.10791666666666677,-0.01375000000000004,-0.01333333333333342,-0.01375000000000004,0.0429166666666666,-0.018750000000000155,-0.026250000000000107,-0.022083333333333455,-0.021666666666666834,-0.007916666666666683,-0.0024999999999999467,0.007499999999999951
