,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_temperature_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backtop_humidity_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.backtop_humidity_fd2_scaled,feature_importance.backtop_humidity_fd3_scaled
0,0,0.7605633802816901,0.6577181208053692,0.7332464965864176,0.8551024074739489,-0.010798122065727722,-0.019248826291079824,-0.0009389671361501595,-0.017840375586854473,-0.00187793427230043,-0.029107981220657275,-0.09671361502347431,-0.05821596244131466,-0.005164319248826321,-0.0009389671361501595,0.010328638497652531,-1.1102230246251565e-16
1,1,0.8309859154929577,0.7804878048780488,0.8147682357168523,0.9321775062881782,0.04600938967136148,-0.05023474178403764,-0.03896713615023484,-0.024882629107981225,0.019248826291079935,-0.08262910798122047,-0.08403755868544605,-0.08262910798122047,0.008920187793427292,-0.004225352112676051,0.00657276995305156,0.015962441314554154
2,2,0.812206572769953,0.75,0.7930291052820697,0.912594322673374,0.020187793427230094,0.010328638497652642,-0.022065727699530635,-0.04647887323943656,0.018309859154929553,-0.0657276995305166,-0.06760563380281703,-0.07230046948356816,0.018779342723004633,0.012676056338028152,0.009859154929577452,0.010798122065727611
3,3,0.8591549295774648,0.8214285714285714,0.8460743801652892,0.903701042040963,0.09999999999999998,0.046948356807511527,0.029577464788732355,0.008920187793427181,0.0624413145539906,-0.03755868544600949,-0.027230046948356845,-0.034272300469483485,0.011267605633802802,0.025352112676056304,0.05539906103286396,0.023004694835680795
4,4,0.812206572769953,0.75,0.7930291052820697,0.8900467121810997,0.005633802816901401,-0.04507042253521143,-0.023004694835680795,-0.015492957746478853,0.032394366197183055,-0.04694835680751175,-0.06854460093896697,-0.05539906103286385,0.0004694835680749687,0.016901408450704203,0.007511737089201831,0.018309859154929553
5,5,0.8169014084507042,0.7577639751552795,0.7984638878907653,0.8437836866690623,0.022065727699530635,0.0009389671361502705,0.018309859154929553,0.0,0.03521126760563387,-0.023474178403755763,-0.05868544600938974,-0.04460093896713613,-0.025352112676056193,0.025352112676056304,0.026760563380281877,0.009389671361502261
6,6,0.7934272300469484,0.7215189873417721,0.772592526051024,0.831207330219188,0.04225352112676062,-0.05211267605633807,-0.013615023474178423,0.00046948356807519076,0.023474178403755874,-0.034741784037558676,-0.031924882629107976,-0.05868544600938963,-0.03755868544600938,-0.012676056338028263,-0.005633802816901401,-0.00704225352112664
7,7,0.7934272300469484,0.7142857142857143,0.7699874236435501,0.9256198347107438,0.019248826291079824,-0.022535211267605604,-0.006103286384976481,-0.026291079812206575,0.007042253521126862,0.0014084507042254613,-0.05868544600938963,-0.08356807511737085,-0.003755868544600971,0.005164319248826321,0.022065727699530524,0.022535211267605604
8,8,0.784037558685446,0.7012987012987013,0.7604204096298959,0.8221343873517787,-0.010798122065727722,-0.008920187793427181,-0.015023474178403773,-0.05399061032863839,0.024413145539906145,-0.06572769953051638,-0.05211267605633796,-0.08075117370892015,0.005633802816901401,-0.015492957746478853,0.015023474178403773,0.015492957746478853
9,9,0.7699530516431925,0.6754966887417219,0.7441160618038088,0.8698347107438017,-0.004225352112676051,-0.04225352112676073,-0.05446009389671347,-0.0014084507042253502,0.009389671361502261,-0.043661971830985746,-0.04178403755868554,-0.0708920187793427,-0.022065727699530413,0.003755868544600971,0.0046948356807512415,0.0009389671361501595
