,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled
0,0,0.9043824701195219,0.8846153846153846,0.9245283018867925,0.9730653541153952,0.007968127490039945,0.1796812749003983,0.13346613545816732,0.024302788844621448
1,1,0.9083665338645418,0.8888888888888888,0.9276729559748428,0.9730653541153952,0.012749003984063756,0.16972111553784852,0.11155378486055778,0.08087649402390429
2,2,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9408668307355756,0.0011952191235059528,0.0023904382470120167,-0.0019920318725099584,0.0011952191235059528
3,3,0.8645418326693227,0.8380952380952381,0.883921246923708,0.9468826907301067,0.009561752988047845,0.009960159362549792,0.002788844621513964,1.1102230246251565e-16
4,4,0.9043824701195219,0.8846153846153846,0.9245283018867925,0.9719031993437244,-0.0007968127490038945,0.1525896414342629,0.17689243027888435,0.12191235059760952
5,5,0.9163346613545816,0.896551724137931,0.931672135630298,0.9805851791085589,0.009163346613545786,0.15219123505976084,0.13266932270916332,0.050996015936255024
6,6,0.900398406374502,0.8803827751196173,0.9213836477987422,0.9792863002461034,0.0011952191235061749,0.1980079681274899,0.13665338645418323,0.09362549800796816
7,7,0.900398406374502,0.8803827751196173,0.9213836477987422,0.9639048400328138,0.003984063745020028,0.1657370517928286,0.14581673306772902,0.09681274900398418
8,8,0.852589641434263,0.8262910798122066,0.874487284659557,0.908121410992617,1.1102230246251565e-16,-0.00517928286852587,0.0007968127490040056,0.0031872509960160222
9,9,0.9123505976095617,0.8910891089108911,0.9262373530216024,0.9799015586546349,0.009960159362549903,0.14501992031872502,0.09800796812749002,0.07490039840637452
10,10,0.896414342629482,0.87,0.9067883511074651,0.9754580257041291,0.007569721115537775,0.15059760956175294,0.1039840637450199,0.09083665338645419
11,11,0.896414342629482,0.875,0.9159488651900465,0.972518457752256,-0.0031872509960159112,0.11195219123505973,0.06055776892430276,0.06454183266932267
12,12,0.9083665338645418,0.8888888888888888,0.9276729559748428,0.9764834563850151,0.00517928286852587,0.16454183266932265,0.19840637450199194,0.11155378486055778
13,13,0.9043824701195219,0.883495145631068,0.9222381733661471,0.9749794913863823,0.0007968127490040056,0.14741035856573703,0.10677290836653386,0.05657370517928284
14,14,0.9203187250996016,0.9,0.932526661197703,0.9831145747880777,0.012350597609561698,0.19003984063745005,0.144223107569721,0.03824701195219127
15,15,0.896414342629482,0.8737864077669902,0.9136587366694011,0.9675963904840033,0.0011952191235061749,0.19840637450199194,0.15697211155378477,0.0932270916334661
16,16,0.900398406374502,0.8768472906403941,0.9145132622368062,0.9746376811594203,0.0007968127490040056,0.15896414342629472,0.12749003984063745,0.09840637450199208
17,17,0.9163346613545816,0.896551724137931,0.931672135630298,0.9855072463768116,0.007569721115537997,0.1318725099601593,0.10039840637450193,0.06892430278884454
18,18,0.900398406374502,0.8792270531400966,0.9190935192780968,0.9720399234345092,0.025099601593625454,0.18525896414342624,0.14382470119521906,0.1047808764940239
19,19,0.9043824701195219,0.8823529411764706,0.9199480448455017,0.9764150943396226,0.0063745019920319335,0.17171314741035848,0.07569721115537853,0.08525896414342626
20,20,0.9163346613545816,0.8975609756097561,0.9339622641509434,0.9715613891167624,0.005577689243027928,0.14342629482071712,0.1055776892430278,0.08446215139442226
21,21,0.900398406374502,0.8803827751196173,0.9213836477987422,0.9613754443532951,0.011155378486055856,0.13904382470119514,0.09760956175298807,0.07569721115537853
22,22,0.9123505976095617,0.8932038834951457,0.9308176100628931,0.9766201804757999,0.009561752988047845,0.16015936254980068,0.11115537848605583,0.040239043824701115
23,23,0.8764940239043825,0.8544600938967136,0.9002255947497949,0.973543888433142,-0.006772908366533881,0.08406374501992031,0.08286852589641436,0.03426294820717135
24,24,0.9083665338645418,0.8878048780487805,0.9253828274541974,0.9749794913863823,0.005577689243027928,0.16135458167330674,0.12908366533864535,0.050996015936255024
25,25,0.9123505976095617,0.8910891089108911,0.9262373530216024,0.983866557287394,0.0011952191235061749,0.12031872509960151,0.07171314741035861,0.03585657370517936
26,26,0.900398406374502,0.8780487804878049,0.9168033907574515,0.9713563029805852,0.0011952191235059528,0.11115537848605572,0.1071713147410358,0.08725099601593633
27,27,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9163248564397047,0.002788844621513964,0.0019920318725099584,-0.0019920318725099584,0.0031872509960160222
28,28,0.900398406374502,0.8792270531400966,0.9190935192780968,0.9753896636587367,0.004780876494023922,0.144223107569721,0.10119521912350593,0.11673306772908365
29,29,0.896414342629482,0.875,0.9159488651900465,0.9686218211648893,0.028286852589641365,0.24621513944223106,0.1063745019920318,0.0693227091633466
30,30,0.852589641434263,0.8262910798122066,0.874487284659557,0.9297921793820072,0.00039840637450194727,-0.0015936254980079,-0.004382470119521975,-0.002788844621513964
31,31,0.900398406374502,0.8768472906403941,0.9145132622368062,0.9617856166256494,0.0015936254980080111,0.19999999999999984,0.14581673306772902,0.08605577689243027
32,32,0.9083665338645418,0.8866995073891626,0.9230926989335522,0.9764834563850151,0.014342629482071767,0.1733067729083665,0.13665338645418323,0.08884462151394434
33,33,0.9123505976095617,0.8932038834951457,0.9308176100628931,0.9693738036642057,0.015537848605577831,0.1780876494023903,0.13625498007968118,0.19601593625497993
34,34,0.9123505976095617,0.89,0.923947224500957,0.9750478534317747,0.0035856573705178585,0.1649402390438246,0.17171314741035848,0.07091633466135461
35,35,0.8884462151394422,0.8613861386138614,0.9004990429313645,0.9558381186765108,-0.0019920318725099584,0.2135458167330676,0.1872509960159362,0.1270916334661354
36,36,0.9203187250996016,0.9,0.932526661197703,0.984550177741318,0.0019920318725100694,0.19561752988047798,0.15617529880478076,0.09043824701195224
37,37,0.900398406374502,0.8768472906403941,0.9145132622368062,0.977508887065901,-0.00039840637450183625,0.11912350597609556,0.11952191235059761,0.09920318725099608
38,38,0.852589641434263,0.8262910798122066,0.874487284659557,0.9031993437243643,0.007968127490039945,-0.0035856573705179695,-0.004382470119521975,-0.0007968127490038945
39,39,0.852589641434263,0.8262910798122066,0.874487284659557,0.911402789171452,0.003984063745020028,-0.004382470119521975,-0.005976095617529875,0.0007968127490040056
40,40,0.900398406374502,0.8792270531400966,0.9190935192780968,0.9694421657095981,-0.002788844621513964,0.11274900398406373,0.10119521912350593,0.03745019920318726
41,41,0.9083665338645418,0.8888888888888888,0.9276729559748428,0.9631528575334974,0.0011952191235059528,0.14541832669322707,0.12270916334661353,0.07410358565737052
42,42,0.9123505976095617,0.8932038834951457,0.9308176100628931,0.9805168170631665,0.003984063745020028,0.1796812749003983,0.07968127490039845,0.14342629482071712
43,43,0.9043824701195219,0.8823529411764706,0.9199480448455017,0.9618539786710418,0.0015936254980080111,0.24780876494023896,0.14143426294820716,0.10039840637450193
44,44,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9278096800656276,0.0015936254980080111,0.004382470119521864,0.00039840637450194727,0.0019920318725099584
