,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled
0,0,0.7671232876712328,0.7329842931937173,0.766261554262239,0.8727319411160561,0.3
1,1,0.8356164383561644,0.7906976744186046,0.8223211229031153,0.9104758644299897,0.3757990867579909
2,2,0.7214611872146118,0.7081339712918661,0.7328825744608012,0.8363574118452585,0.27077625570776254
3,3,0.8264840182648402,0.7978723404255319,0.8249315302978432,0.8940431359123587,0.3817351598173517
4,4,0.8812785388127854,0.8617021276595744,0.8811622731941116,0.9137281752824375,0.44429223744292246
5,5,0.8036529680365296,0.7570621468926554,0.7932642930503253,0.8822321122903115,0.34246575342465746
6,6,0.8356164383561644,0.7954545454545454,0.8253166723724752,0.8960116398493667,0.3817351598173517
7,7,0.8356164383561644,0.7906976744186046,0.8223211229031153,0.9087641218760698,0.3442922374429224
8,8,0.7397260273972602,0.7135678391959799,0.7441372817528243,0.8298527901403628,0.28721461187214614
9,9,0.8356164383561644,0.797752808988764,0.826814447107155,0.9002909962341663,0.3863013698630138
10,10,0.7534246575342466,0.7476635514018691,0.7694282779869908,0.860749743238617,0.317351598173516
11,11,0.817351598173516,0.7560975609756098,0.797586442998973,0.9180931187949332,0.2990867579908676
12,12,0.817351598173516,0.7727272727272727,0.8065730914070524,0.8937007874015748,0.36621004566210047
13,13,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.9050838753851422,0.41369863013698627
14,14,0.7534246575342466,0.73,0.7589438548442314,0.8724751797329682,0.3200913242009132
15,15,0.7397260273972602,0.7298578199052133,0.7531239301609038,0.8785518657993836,0.29863013698630136
16,16,0.730593607305936,0.7035175879396985,0.7347654912701129,0.8552721670660732,0.28630136986301363
17,17,0.771689497716895,0.7311827956989247,0.767203012666895,0.8768401232454639,0.3132420091324201
18,18,0.730593607305936,0.700507614213198,0.7332677165354331,0.8626326600479288,0.27214611872146116
19,19,0.8401826484018264,0.8044692737430168,0.8322492297158508,0.8976377952755905,0.3821917808219178
20,20,0.8310502283105022,0.7885714285714286,0.8198818897637795,0.90405682985279,0.37625570776255707
21,21,0.7214611872146118,0.7053140096618358,0.7313847997261211,0.8610920917494008,0.27488584474885847
22,22,0.8356164383561644,0.7831325301204819,0.8178277986990756,0.9107326258130776,0.32602739726027397
23,23,0.776255707762557,0.7407407407407407,0.7741355700102706,0.8655426223895927,0.3205479452054794
24,24,0.7168949771689498,0.6836734693877551,0.718461143444026,0.8381547415268743,0.24200913242009126
25,25,0.8538812785388128,0.813953488372093,0.8410647038685382,0.9034577199589182,0.3908675799086758
26,26,0.726027397260274,0.696969696969697,0.7293307086614174,0.8196679219445395,0.23196347031963466
27,27,0.8401826484018264,0.8044692737430168,0.8322492297158508,0.9085073604929818,0.36803652968036527
28,28,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.9076514892160218,0.39908675799086757
29,29,0.8127853881278538,0.7875647668393783,0.8146182814104759,0.8968675111263265,0.36666666666666664
30,30,0.7853881278538812,0.7513227513227513,0.7835073604929819,0.8812050667579596,0.3310502283105023
31,31,0.817351598173516,0.7727272727272727,0.8065730914070524,0.8858267716535432,0.3511415525114156
32,32,0.7488584474885844,0.7208121827411168,0.7520112975008559,0.8537315987675453,0.28767123287671237
33,33,0.8447488584474886,0.8172043010752689,0.8421773365285861,0.9028586100650462,0.39269406392694073
34,34,0.7214611872146118,0.7136150234741784,0.7358781239301608,0.8312221841834987,0.26712328767123283
