,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled
0,0,0.7022058823529411,0.21359223300970873,0.5597826086956522,0.8614130434782609,0.04080882352941162
1,1,0.6617647058823529,0.0,0.5,0.8658212560386472,-1.1102230246251565e-16
2,2,0.6985294117647058,0.21153846153846154,0.5570048309178744,0.8634057971014493,0.03713235294117645
3,3,0.6617647058823529,0.0,0.5,0.8630434782608697,-1.1102230246251565e-16
4,4,0.6617647058823529,0.0,0.5,0.860084541062802,-1.1102230246251565e-16
5,5,0.6617647058823529,0.0,0.5,0.8620169082125604,-1.1102230246251565e-16
6,6,0.6617647058823529,0.0,0.5,0.8666666666666666,-1.1102230246251565e-16
7,7,0.6617647058823529,0.0,0.5,0.8641908212560385,-1.1102230246251565e-16
8,8,0.6617647058823529,0.0,0.5,0.864855072463768,-1.1102230246251565e-16
9,9,0.6985294117647058,0.19607843137254902,0.5543478260869565,0.8591787439613527,0.03749999999999987
10,10,0.7205882352941176,0.3090909090909091,0.5896135265700483,0.8624396135265702,0.06102941176470589
11,11,0.6801470588235294,0.10309278350515463,0.5271739130434783,0.860024154589372,0.018382352941176405
12,12,0.6985294117647058,0.21153846153846154,0.5570048309178744,0.8610507246376811,0.03676470588235281
13,13,0.7022058823529411,0.21359223300970873,0.5597826086956522,0.8638285024154589,0.04044117647058809
14,14,0.6617647058823529,0.0,0.5,0.8653381642512077,-1.1102230246251565e-16
15,15,0.6617647058823529,0.0,0.5,0.8657004830917874,-1.1102230246251565e-16
16,16,0.6875,0.1414141414141414,0.5380434782608696,0.8648852657004831,0.025735294117646967
17,17,0.6617647058823529,0.0,0.5,0.8660628019323671,-1.1102230246251565e-16
18,18,0.6617647058823529,0.0,0.5,0.8740942028985508,-1.1102230246251565e-16
19,19,0.6617647058823529,0.0,0.5,0.859963768115942,-1.1102230246251565e-16
20,20,0.6617647058823529,0.0,0.5,0.8617149758454107,-1.1102230246251565e-16
21,21,0.7132352941176471,0.2641509433962264,0.5760869565217391,0.8619565217391305,0.051470588235294046
22,22,0.6727941176470589,0.06315789473684211,0.5163043478260869,0.8623188405797102,0.011029411764705843
23,23,0.6875,0.1414141414141414,0.5380434782608696,0.8661231884057972,0.02573529411764708
24,24,0.6875,0.1414141414141414,0.5380434782608696,0.8640700483091787,0.025735294117646967
25,25,0.6801470588235294,0.10309278350515463,0.5271739130434783,0.8653381642512077,0.018382352941176405
26,26,0.6617647058823529,0.0,0.5,0.8626811594202898,-1.1102230246251565e-16
27,27,0.6617647058823529,0.0,0.5,0.8630434782608696,-1.1102230246251565e-16
28,28,0.6617647058823529,0.0,0.5,0.861413043478261,-1.1102230246251565e-16
29,29,0.6617647058823529,0.0,0.5,0.8652173913043478,-1.1102230246251565e-16
30,30,0.7022058823529411,0.21359223300970873,0.5597826086956522,0.8644927536231884,0.040073529411764675
31,31,0.6801470588235294,0.10309278350515463,0.5271739130434783,0.8605676328502416,0.01764705882352946
32,32,0.6617647058823529,0.0,0.5,0.8647946859903382,-1.1102230246251565e-16
33,33,0.7242647058823529,0.32432432432432434,0.595048309178744,0.8564613526570048,0.06360294117647047
34,34,0.6617647058823529,0.0,0.5,0.8599033816425121,-1.1102230246251565e-16
35,35,0.6617647058823529,0.0,0.5,0.8652777777777778,-1.1102230246251565e-16
36,36,0.6838235294117647,0.12244897959183673,0.532608695652174,0.8614130434782609,0.022426470588235214
37,37,0.6617647058823529,0.0,0.5,0.8664855072463769,-1.1102230246251565e-16
38,38,0.6764705882352942,0.08333333333333333,0.5217391304347826,0.8641908212560386,0.014705882352941124
39,39,0.6838235294117647,0.12244897959183673,0.532608695652174,0.8612318840579711,0.022058823529411686
40,40,0.7132352941176471,0.2777777777777778,0.578743961352657,0.86237922705314,0.0522058823529411
41,41,0.6617647058823529,0.0,0.5,0.8657608695652174,-1.1102230246251565e-16
42,42,0.6838235294117647,0.12244897959183673,0.532608695652174,0.8640700483091788,0.022058823529411686
43,43,0.7022058823529411,0.21359223300970873,0.5597826086956522,0.8609903381642513,0.040073529411764675
44,44,0.6617647058823529,0.0,0.5,0.8657004830917874,-1.1102230246251565e-16
45,45,0.6617647058823529,0.0,0.5,0.8623792270531402,-1.1102230246251565e-16
46,46,0.6617647058823529,0.0,0.5,0.8675724637681159,-1.1102230246251565e-16
47,47,0.6764705882352942,0.08333333333333333,0.5217391304347826,0.8628925120772947,0.014705882352941124
48,48,0.6617647058823529,0.0,0.5,0.8617753623188406,-1.1102230246251565e-16
49,49,0.6617647058823529,0.0,0.5,0.8640700483091788,-1.1102230246251565e-16
50,50,0.6617647058823529,0.0,0.5,0.8706823671497586,-1.1102230246251565e-16
51,51,0.6727941176470589,0.06315789473684211,0.5163043478260869,0.8640096618357488,0.011029411764705843
52,52,0.6617647058823529,0.0,0.5,0.8680555555555556,-1.1102230246251565e-16
53,53,0.6617647058823529,0.0,0.5,0.8629227053140097,-1.1102230246251565e-16
54,54,0.6617647058823529,0.0,0.5,0.8643719806763285,-1.1102230246251565e-16
55,55,0.6617647058823529,0.0,0.5,0.861111111111111,-1.1102230246251565e-16
56,56,0.6617647058823529,0.0,0.5,0.8626811594202899,-1.1102230246251565e-16
57,57,0.6617647058823529,0.0,0.5,0.8620772946859903,-1.1102230246251565e-16
58,58,0.6617647058823529,0.0,0.5,0.8619565217391305,-1.1102230246251565e-16
59,59,0.7022058823529411,0.21359223300970873,0.5597826086956522,0.8648550724637681,0.04044117647058809
60,60,0.6801470588235294,0.10309278350515463,0.5271739130434783,0.8623188405797102,0.018382352941176405
61,61,0.7132352941176471,0.2777777777777778,0.578743961352657,0.8585144927536232,0.053676470588235325
62,62,0.6838235294117647,0.12244897959183673,0.532608695652174,0.8632850241545894,0.022058823529411686
63,63,0.6617647058823529,0.0,0.5,0.8635265700483091,-1.1102230246251565e-16
64,64,0.6617647058823529,0.0,0.5,0.8607487922705314,-1.1102230246251565e-16
