,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_temperature_fd1_scaled,feature_importance.lefttop_temperature_fd2_scaled,feature_importance.lefttop_temperature_fd3_scaled,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_humidity_fd1_scaled,feature_importance.lefttop_humidity_fd2_scaled,feature_importance.lefttop_humidity_fd3_scaled
0,0,0.7907949790794979,0.75,0.7953637976929901,0.9182194616977225,-0.017573221757322233,-0.035983263598326376,0.0004184100418409553,0.0020920502092051096,0.0016736401673640433,0.02175732217573223,0.021338912133891275,0.0046025104602509526
1,1,0.8451882845188284,0.8021390374331551,0.8395814847678201,0.9255397811298431,0.033891213389121266,0.013389121338912124,0.02259414225941425,-0.0058577405857740406,-0.007531380753138084,0.017991631799163077,0.014225941422594146,0.012133891213389147
2,2,0.8075313807531381,0.7325581395348837,0.7845681750961254,0.9269446909198462,0.011715481171548081,-0.0020920502092049986,0.0,-0.004602510460251064,-0.003765690376569042,0.008368200836820106,-0.00041841004184106634,0.005439330543932974
3,3,0.7866108786610879,0.7411167512690355,0.7878955930198166,0.9191067731440402,-0.03179916317991627,-0.01966527196652723,0.0029288702928871313,0.002510460251046065,0.009623430962343305,-0.03556485355648542,0.01882845188284521,0.009205020920502127
4,4,0.7907949790794979,0.7126436781609196,0.7689293108547767,0.908237207926649,0.0029288702928870203,-0.004184100418410108,-0.009623430962343082,-0.0033472803347280866,-0.011715481171548081,-0.008368200836820217,0.0016736401673640433,-0.005439330543933085
5,5,0.8075313807531381,0.7653061224489796,0.8089692398698609,0.9224341910677314,-0.004602510460251064,-0.0058577405857740406,-0.005020920502092019,-0.007531380753138084,-0.007531380753138084,0.002510460251045954,-0.013389121338912013,0.016317991631799256
6,6,0.8117154811715481,0.7398843930635838,0.7900029577048211,0.9245045844424726,0.02259414225941414,0.011297071129707126,0.004184100418409997,0.010460251046025104,-0.006694560669456062,0.012552301255230103,0.01087866108786617,0.016317991631799145
7,7,0.803347280334728,0.7251461988304093,0.7791333924874297,0.931307305530908,0.017154811715481055,0.008368200836819994,0.006694560669456062,0.011297071129707126,-0.009205020920502127,0.00794979079497904,0.0071129707112970175,0.012133891213389036
8,8,0.8242677824267782,0.7613636363636364,0.806307305530908,0.9163708961845607,0.028870292887029247,0.013389121338912013,0.014225941422594035,0.009623430962343082,0.0029288702928870203,0.009623430962343082,0.01757322175732201,0.02175732217573223
9,9,0.8117154811715481,0.7804878048780488,0.8225377107364684,0.927240461401952,0.0004184100418409553,-0.009205020920502016,-0.013389121338912235,-0.02552301255230116,0.0020920502092049986,-0.005439330543933085,-0.04225941422594137,0.0004184100418409553
