,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_temperature_scaled,feature_importance.backlow_temperature_fd1_scaled,feature_importance.backlow_temperature_fd2_scaled,feature_importance.backlow_temperature_fd3_scaled,feature_importance.backlow_humidity_scaled,feature_importance.backlow_humidity_fd1_scaled,feature_importance.backlow_humidity_fd2_scaled,feature_importance.backlow_humidity_fd3_scaled
0,0,0.7534246575342466,0.6351351351351351,0.7200017117425539,0.6989044847654913,0.03378995433789955,-0.023287671232876783,-0.021917808219178103,-0.032420091324200984,0.0009132420091323423,0.0009132420091324533,0.01598173515981738,0.01324200913242013
1,1,0.7397260273972602,0.6068965517241379,0.703697363916467,0.8857411845258473,0.03561643835616435,-0.0022831050228310223,-0.011415525114155223,-0.012785388127853903,0.009589041095890316,-0.010958904109588996,0.022831050228310446,0.0018264840182647957
2,2,0.7625570776255708,0.6623376623376623,0.7338668264293051,0.7919376925710373,0.00410958904109604,-0.041552511415525184,-0.04566210045662089,-0.0474885844748858,-0.015525114155251152,0.05525114155251143,0.04977168949771693,0.03515981735159812
3,3,0.8264840182648402,0.7682926829268293,0.8069582334816844,0.8163300239643958,0.04703196347031968,0.00136986301369868,0.0018264840182647957,-0.005022831050228271,0.05159817351598184,0.04703196347031968,0.010045662100456765,0.030593607305936188
4,4,0.6940639269406392,0.5037037037037037,0.6493495378295104,0.8356727148236905,-0.0004566210045662267,-0.09863013698630152,-0.006849315068493178,-0.09086757990867578,0.0009132420091323423,-0.001369863013698569,-0.006392694063926951,-0.0022831050228311334
5,5,0.7671232876712328,0.6622516556291391,0.7363060595686408,0.7725950017117426,0.046575342465753455,-0.016438356164383605,-0.006392694063926951,-0.002739726027397249,-0.041095890410958846,-0.004109589041095818,0.0031963470319633647,-0.0009132420091323423
6,6,0.7579908675799086,0.6442953020134228,0.7254364943512496,0.9262238959260528,0.034703196347032006,-0.01187214611872145,-0.03287671232876721,-0.03972602739726028,0.04063926940639251,0.02374429223744301,0.06255707762557072,0.025114155251141468
7,7,0.7671232876712328,0.6622516556291391,0.7363060595686408,0.8251454981170833,-0.006849315068493178,-0.05616438356164388,-0.046575342465753455,-0.06712328767123288,-0.011415525114155334,0.03698630136986292,0.04748858447488591,0.04063926940639262
8,8,0.8082191780821918,0.7375,0.7852191030469018,0.856812735364601,0.055707762557077545,-0.024200913242009126,-0.025570776255707695,-0.02100456621004565,0.01963470319634697,0.021461187214611877,0.047945205479452135,0.005479452054794609
9,9,0.776255707762557,0.6918238993710691,0.7516689489900719,0.8525333789798015,-1.1102230246251565e-16,-0.019178082191780743,-0.032420091324200984,-0.05479452054794531,-0.025570776255707695,0.0273972602739726,0.07716894977168953,0.06301369863013695
10,10,0.7397260273972602,0.6122448979591837,0.7051951386511469,0.9322149948647724,0.011415525114155223,-0.00136986301369868,-0.0036529680365295913,-0.0018264840182649067,-0.05022831050228327,0.03150684931506842,0.024200913242009015,0.012785388127853792
11,11,0.6438356164383562,0.5760869565217391,0.6345001711742554,0.7160219103046901,0.2333333333333334,-0.0022831050228309113,0.05388127853881286,0.04611872146118712,-0.1789954337899543,0.12876712328767126,0.059817351598173474,0.1095890410958904
12,12,0.7671232876712328,0.6577181208053692,0.734808284833961,0.8103389250256761,0.043835616438356206,-0.045662100456621,-0.007762557077625631,0.004566210045662045,-0.018721461187214627,0.008675799086757974,-0.004109589041095929,0.004109589041095818
13,13,0.7671232876712328,0.6666666666666666,0.7378038343033209,0.718675111263266,0.10456621004566202,-0.023287671232876783,-0.022831050228310557,-0.012328767123287565,-0.026484018264840148,0.0022831050228309113,0.002739726027397249,-0.0031963470319633647
14,14,0.7534246575342466,0.6351351351351351,0.7200017117425539,0.71730571722013,-0.0004566210045662267,-0.013698630136986245,-0.0036529680365297024,-0.009589041095890427,-0.00045662100456611565,0.005479452054794609,0.036073059360730686,0.0365296803652968
15,15,0.7579908675799086,0.6442953020134228,0.7254364943512496,0.8027216706607326,0.01050228310502277,-0.02100456621004565,-0.04337899543378998,-0.042465753424657526,-0.01689497716894972,-0.00776255707762552,-0.002739726027397249,-0.015525114155251152
16,16,0.771689497716895,0.6794871794871795,0.7447363916466964,0.7749058541595344,0.025570776255707806,-0.045205479452054775,-0.015525114155251152,-0.05890410958904102,-0.04063926940639273,0.015981735159817267,0.0182648401826484,0.006392694063926951
17,17,0.726027397260274,0.5588235294117647,0.6828996918863403,0.8966107497432386,0.01050228310502277,0.0036529680365297024,0.005936073059360725,0.016438356164383605,0.020547945205479423,0.006849315068493178,0.026940639269406486,0.024200913242009126
18,18,0.776255707762557,0.6797385620915033,0.7471756247860322,0.7701129750085586,0.06301369863013695,0.007762557077625631,0.010502283105022658,0.0091324200913242,0.013698630136986245,0.012785388127853792,0.03196347031963476,0.013698630136986245
19,19,0.7671232876712328,0.6622516556291391,0.7363060595686408,0.7235535775419377,0.1041095890410959,0.010045662100456654,0.005479452054794498,0.00136986301369868,-0.041552511415525184,-0.0009132420091325644,0.002739726027397249,0.0031963470319633647
20,20,0.771689497716895,0.7222222222222222,0.7627096884628553,0.8010099281068128,0.22191780821917806,-0.006392694063926951,-0.014611872146118587,-0.010958904109589107,-0.07625570776255708,0.030593607305936077,0.04337899543378987,0.04429223744292232
