,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled
0,0,0.72,0.6956521739130435,0.7296502124877411,0.8239620791108205,0.3075555555555555
1,1,0.72,0.6956521739130435,0.7296502124877411,0.8208564890487088,0.28800000000000003
2,2,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.8161163779012749,0.3022222222222222
3,3,0.72,0.6956521739130435,0.7296502124877411,0.8189767898005883,0.3004444444444444
4,4,0.7155555555555555,0.6862745098039216,0.7225400457665905,0.8137463223275581,0.30355555555555547
5,5,0.72,0.6956521739130435,0.7296502124877411,0.8175057208237987,0.29599999999999993
6,6,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.8196305982347172,0.31022222222222223
7,7,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8100686498855835,0.2928888888888889
8,8,0.72,0.6956521739130435,0.7296502124877411,0.8213468453743054,0.2946666666666666
9,9,0.72,0.6956521739130435,0.7296502124877411,0.8192219679633866,0.30177777777777776
10,10,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8126838836220989,0.2942222222222223
11,11,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.811294540699575,0.2848888888888889
12,12,0.72,0.6956521739130435,0.7296502124877411,0.8220006538084341,0.29688888888888887
13,13,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8140732265446224,0.288
14,14,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8121935272965022,0.28533333333333344
15,15,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8049199084668192,0.28800000000000003
16,16,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8117848970251715,0.2853333333333333
17,17,0.72,0.6956521739130435,0.7296502124877411,0.819385420071919,0.30177777777777776
18,18,0.72,0.6956521739130435,0.7296502124877411,0.8144818568159529,0.2991111111111111
19,19,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.807943772474665,0.2831111111111111
20,20,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8134194181104937,0.2844444444444445
21,21,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8113762667538411,0.28800000000000003
22,22,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.8252696959790782,0.3004444444444445
23,23,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8106407322654462,0.31244444444444447
24,24,0.72,0.6956521739130435,0.7296502124877411,0.8197123242889833,0.3066666666666666
25,25,0.72,0.6956521739130435,0.7296502124877411,0.8157077476299444,0.30533333333333335
26,26,0.7288888888888889,0.7053140096618358,0.7388443935926774,0.8225727361882968,0.31155555555555553
27,27,0.7244444444444444,0.69,0.7283834586466165,0.8072082379862702,0.30622222222222223
28,28,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.810477280156914,0.2911111111111111
29,29,0.72,0.6956521739130435,0.7296502124877411,0.8197123242889833,0.3035555555555555
30,30,0.7155555555555555,0.6862745098039216,0.7225400457665905,0.8144001307616868,0.2937777777777777
31,31,0.72,0.6956521739130435,0.7296502124877411,0.8214285714285714,0.3035555555555555
32,32,0.72,0.6956521739130435,0.7296502124877411,0.8152173913043478,0.28977777777777775
33,33,0.72,0.6956521739130435,0.7296502124877411,0.8180778032036613,0.30533333333333335
34,34,0.72,0.6956521739130435,0.7296502124877411,0.8207747629944426,0.2928888888888888
35,35,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8148087610330174,0.29155555555555557
36,36,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8100686498855835,0.2848888888888889
37,37,0.72,0.6926829268292682,0.727974828375286,0.8173422687152665,0.30177777777777776
38,38,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8166884602811376,0.28977777777777786
39,39,0.72,0.6956521739130435,0.7296502124877411,0.8188950637463223,0.30399999999999994
40,40,0.7155555555555555,0.6862745098039216,0.7225400457665905,0.8110493625367768,0.2919999999999999
41,41,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.816198103955541,0.3084444444444444
42,42,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.8197123242889833,0.308
43,43,0.72,0.6956521739130435,0.7296502124877411,0.8130107878391633,0.29733333333333334
44,44,0.72,0.6956521739130435,0.7296502124877411,0.8237169009480222,0.3004444444444444
45,45,0.72,0.6956521739130435,0.7296502124877411,0.8197123242889833,0.2951111111111111
46,46,0.72,0.6896551724137931,0.726299444262831,0.8057371690094803,0.3008888888888888
47,47,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8155442955214123,0.29333333333333333
48,48,0.7155555555555555,0.6893203883495146,0.7242154298790454,0.8150539391958157,0.30266666666666653
49,49,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8119483491337038,0.27955555555555556
50,50,0.72,0.6956521739130435,0.7296502124877411,0.8152173913043479,0.2995555555555555
51,51,0.7155555555555555,0.6893203883495146,0.7242154298790454,0.8187316116377902,0.2942222222222222
