,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled
0,0,0.7111111111111111,0.7004608294930875,0.72883295194508,0.7991173586139261,0.28977777777777786
1,1,0.8266666666666667,0.7958115183246073,0.8265773128473357,0.8743053285387382,0.4097777777777778
2,2,0.8044444444444444,0.7777777777777778,0.8094557044785877,0.8783916312520432,0.3782222222222222
3,3,0.7866666666666666,0.75,0.7860411899313502,0.8372016999019287,0.3604444444444444
4,4,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8286204642039882,0.4284444444444444
5,5,0.7777777777777778,0.7549019607843137,0.7868993135011442,0.8347499182739458,0.3524444444444444
6,6,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8322981366459627,0.4266666666666667
7,7,0.7955555555555556,0.7676767676767676,0.8002615233736515,0.8530565544295522,0.36577777777777776
8,8,0.8133333333333334,0.78125,0.8136237332461589,0.861964694344557,0.4026666666666666
9,9,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8744687806472703,0.44088888888888883
10,10,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.8338509316770186,0.39155555555555566
11,11,0.8266666666666667,0.7914438502673797,0.8232265446224256,0.8679306963059824,0.38711111111111113
12,12,0.8577777777777778,0.8297872340425532,0.8562438705459301,0.8880353056554429,0.44444444444444436
13,13,0.72,0.7123287671232876,0.7397025171624714,0.8367930696305982,0.3035555555555555
14,14,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8347499182739457,0.43111111111111106
15,15,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8327067669172933,0.44133333333333336
16,16,0.8044444444444444,0.7777777777777778,0.8094557044785877,0.8351585485452763,0.37688888888888883
17,17,0.84,0.82,0.8479078130107878,0.8694017652827722,0.42933333333333334
18,18,0.8533333333333334,0.8216216216216217,0.8491337038247793,0.8768388362209872,0.4337777777777778
19,19,0.7644444444444445,0.7464114832535885,0.7772965021248774,0.8305818895063746,0.35022222222222227
20,20,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8349950964367441,0.42888888888888893
21,21,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.8907322654462242,0.44133333333333324
22,22,0.8577777777777778,0.813953488372093,0.8428407976462897,0.832461588754495,0.4293333333333333
23,23,0.8711111111111111,0.8415300546448088,0.8658466819221968,0.8792906178489702,0.44488888888888883
24,24,0.7911111111111111,0.7661691542288557,0.798177508989866,0.853710362863681,0.35688888888888887
25,25,0.7955555555555556,0.77,0.8019369074861066,0.8506047728015691,0.36355555555555563
26,26,0.8666666666666667,0.8275862068965517,0.853710362863681,0.8382641386073881,0.42400000000000004
27,27,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8361392611964694,0.42488888888888887
28,28,0.76,0.7378640776699029,0.7701863354037267,0.82355344883949,0.34844444444444445
29,29,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8345864661654137,0.4191111111111111
30,30,0.7688888888888888,0.7450980392156863,0.7777051323962079,0.8420235371036286,0.35511111111111104
31,31,0.76,0.7403846153846154,0.7718617195161818,0.8550997057862046,0.32711111111111113
32,32,0.8666666666666667,0.8275862068965517,0.853710362863681,0.834259561948349,0.4315555555555556
33,33,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.8351585485452763,0.41022222222222227
34,34,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8340143837855509,0.4231111111111111
35,35,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.898741418764302,0.44888888888888884
36,36,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8346681922196797,0.4266666666666667
37,37,0.7644444444444445,0.736318407960199,0.7705949656750573,0.8202026806145799,0.30266666666666664
38,38,0.7911111111111111,0.7772511848341233,0.8065544295521412,0.8572245831971232,0.38311111111111107
39,39,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.869156587119974,0.4088888888888889
40,40,0.8355555555555556,0.8082901554404145,0.8374468780647271,0.8656832298136646,0.42000000000000004
41,41,0.7777777777777778,0.7641509433962265,0.7936008499509644,0.841533180778032,0.3635555555555556
42,42,0.7688888888888888,0.7523809523809524,0.782731284733573,0.8122752533507682,0.3617777777777777
43,43,0.8577777777777778,0.8202247191011236,0.8478669499836547,0.8354854527623408,0.4311111111111111
44,44,0.88,0.8524590163934426,0.875040863027133,0.9018470088264138,0.4657777777777778
45,45,0.8755555555555555,0.8426966292134831,0.8662553121935272,0.8903236351748938,0.4337777777777777
46,46,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8336874795684865,0.42088888888888887
47,47,0.76,0.7428571428571429,0.7735371036286368,0.8331971232428897,0.3288888888888889
48,48,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.904462242562929,0.44133333333333324
49,49,0.7777777777777778,0.7549019607843137,0.7868993135011442,0.8445570447858778,0.3506666666666667
50,50,0.8266666666666667,0.8,0.8299280810722458,0.8759398496240601,0.4142222222222222
51,51,0.7733333333333333,0.751219512195122,0.7831399150049037,0.8351585485452762,0.3551111111111111
52,52,0.8666666666666667,0.8275862068965517,0.853710362863681,0.8368747956848643,0.4177777777777778
53,53,0.7822222222222223,0.7586206896551724,0.7906587119973848,0.8278849297155934,0.35955555555555563
54,54,0.8666666666666667,0.8275862068965517,0.853710362863681,0.8339326577312847,0.4515555555555556
55,55,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8327476299444263,0.42622222222222217
56,56,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8363027133050016,0.4115555555555555
57,57,0.8044444444444444,0.7904761904761904,0.819508009153318,0.843085975809088,0.3902222222222222
58,58,0.7466666666666667,0.7323943661971831,0.7622589081399149,0.81203007518797,0.320888888888889
59,59,0.8,0.7804878048780488,0.8107224583197123,0.8486433474991828,0.38577777777777783
60,60,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8363844393592678,0.4208888888888889
61,61,0.7288888888888889,0.7162790697674418,0.7455459300424976,0.8232265446224256,0.30400000000000005
62,62,0.7777777777777778,0.7572815533980582,0.7885746976135992,0.8561621444916641,0.34755555555555556
63,63,0.7777777777777778,0.7572815533980582,0.7885746976135992,0.8320529584831644,0.35555555555555557
64,64,0.6844444444444444,0.6787330316742082,0.7046011768551814,0.7068486433474993,0.24444444444444446
65,65,0.6577777777777778,0.6169154228855721,0.6602647924158221,0.7846518470088264,0.1968888888888889
66,66,0.8666666666666667,0.8275862068965517,0.853710362863681,0.8359758090879373,0.43111111111111117
67,67,0.8755555555555555,0.8409090909090909,0.8645799280810722,0.8973520758417786,0.4488888888888889
68,68,0.8577777777777778,0.813953488372093,0.8428407976462897,0.832379862700229,0.40088888888888885
69,69,0.7066666666666667,0.6972477064220184,0.7250735534488395,0.7694508009153318,0.2817777777777778
70,70,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8291108205295848,0.4302222222222222
71,71,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.8351585485452762,0.39911111111111114
