,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled
0,0,0.7397260273972602,0.7246376811594203,0.750128380691544,0.8688805203697363,0.30456621004566203
1,1,0.8493150684931506,0.8156424581005587,0.8416210201985621,0.907394727832934,0.4041095890410959
2,2,0.7214611872146118,0.7136150234741784,0.7358781239301608,0.8399520712084902,0.2789954337899543
3,3,0.680365296803653,0.6846846846846847,0.7004450530640192,0.8494522423827456,0.22283105022831057
4,4,0.7671232876712328,0.7487684729064039,0.7752482026703185,0.8886511468675111,0.32922374429223744
5,5,0.8310502283105022,0.8140703517587939,0.8378551865799384,0.9001198219787742,0.38995433789954337
6,6,0.7853881278538812,0.7614213197969543,0.7894984594317014,0.8481684354673058,0.34429223744292237
7,7,0.771689497716895,0.7572815533980582,0.7821807600136939,0.8860835330366312,0.3388127853881279
8,8,0.7397260273972602,0.7348837209302326,0.7561194796302636,0.8680246490927764,0.28949771689497716
9,9,0.8264840182648402,0.7816091954022989,0.8144471071550838,0.8973810338925026,0.4009132420091325
10,10,0.7351598173515982,0.7211538461538461,0.7461913728175282,0.8424340979116741,0.29223744292237447
11,11,0.7488584474885844,0.7317073170731707,0.7580023964395755,0.8825744608010956,0.30958904109589036
12,12,0.7899543378995434,0.7722772277227723,0.7979287915097569,0.8818041766518316,0.3611872146118722
13,13,0.8767123287671232,0.8524590163934426,0.8727319411160561,0.9202327969873332,0.4438356164383562
14,14,0.730593607305936,0.7121951219512195,0.7392588154741526,0.8495378295104417,0.29497716894977166
15,15,0.8447488584474886,0.8229166666666666,0.8466706607326258,0.9006333447449504,0.4246575342465753
16,16,0.726027397260274,0.6666666666666666,0.7158507360492982,0.8467990414241698,0.28949771689497716
17,17,0.7945205479452054,0.7761194029850746,0.8018657993837727,0.8960972269770627,0.3689497716894976
18,18,0.7442922374429224,0.7281553398058253,0.7540653885655597,0.8692228688805204,0.2986301369863014
19,19,0.8904109589041096,0.8709677419354839,0.889036288942143,0.9083361862375898,0.4639269406392694
20,20,0.7351598173515982,0.7363636363636363,0.7551780212256076,0.8706778500513521,0.30273972602739735
21,21,0.7442922374429224,0.7333333333333333,0.7570609380349196,0.8541595344060254,0.30182648401826484
22,22,0.7123287671232876,0.6956521739130435,0.7220130092434098,0.8361006504621704,0.26392694063926947
23,23,0.6986301369863014,0.6972477064220184,0.7161930845600821,0.8211229031153714,0.2589041095890412
24,24,0.7579908675799086,0.7488151658767772,0.7718675111263267,0.8412358781239301,0.3278538812785388
25,25,0.7671232876712328,0.751219512195122,0.7767459774049983,0.8307942485450189,0.3374429223744292
26,26,0.7442922374429224,0.7454545454545455,0.764549811708319,0.9085929476206779,0.3159817351598174
27,27,0.8447488584474886,0.8045977011494253,0.8331906881205067,0.9087641218760698,0.4095890410958904
28,28,0.730593607305936,0.7177033492822966,0.7422543649435125,0.8362718247175625,0.30182648401826484
29,29,0.6666666666666666,0.6784140969162996,0.6901318041766519,0.8041766518315645,0.22054794520547943
30,30,0.7808219178082192,0.7647058823529411,0.7900547757617254,0.9044847654912701,0.32602739726027397
31,31,0.730593607305936,0.714975845410628,0.7407565902088327,0.8548442314275932,0.29132420091324207
32,32,0.8858447488584474,0.861878453038674,0.8806059568640876,0.9165525504964054,0.4465753424657535
33,33,0.8036529680365296,0.7817258883248731,0.8082420403971242,0.8988360150633344,0.37488584474885844
34,34,0.7579908675799086,0.7439613526570048,0.7688719616569668,0.8717904827114002,0.32237442922374426
35,35,0.6986301369863014,0.6886792452830188,0.7116997603560424,0.8080280725778842,0.24474885844748862
36,36,0.7351598173515982,0.7264150943396226,0.7491869222868881,0.8586956521739131,0.30547945205479454
37,37,0.8538812785388128,0.8202247191011236,0.8455580280725778,0.9129578911331736,0.40593607305936075
38,38,0.7397260273972602,0.7298578199052133,0.7531239301609038,0.8818897637795277,0.30228310502283107
39,39,0.726027397260274,0.7142857142857143,0.7383173570694967,0.8474837384457378,0.27945205479452057
40,40,0.730593607305936,0.7400881057268722,0.7557343375556316,0.8441458404655939,0.3159817351598174
41,41,0.7625570776255708,0.7319587628865979,0.7638223211229032,0.8619479630263608,0.3118721461187214
42,42,0.7853881278538812,0.7614213197969543,0.7894984594317014,0.8781239301609038,0.3511415525114155
43,43,0.8538812785388128,0.8202247191011236,0.8455580280725778,0.9041424169804861,0.41506849315068495
44,44,0.8401826484018264,0.8167539267015707,0.8412358781239302,0.9077370763437179,0.3885844748858447
45,45,0.867579908675799,0.8323699421965318,0.8558712769599452,0.9095344060253338,0.43424657534246575
46,46,0.7534246575342466,0.7244897959183674,0.7559483053748717,0.8423485107839781,0.31963470319634707
47,47,0.8036529680365296,0.7794871794871795,0.8067442656624444,0.8815474152687437,0.36803652968036527
48,48,0.7671232876712328,0.7536231884057971,0.7782437521396781,0.8829168093118794,0.33607305936073056
49,49,0.7351598173515982,0.7238095238095238,0.7476891475522082,0.858267716535433,0.3168949771689498
50,50,0.7579908675799086,0.7464114832535885,0.7703697363916466,0.8854844231427593,0.32648401826484014
51,51,0.6894977168949772,0.6936936936936937,0.7098168435467306,0.8148750427935638,0.2479452054794521
52,52,0.726027397260274,0.7272727272727273,0.7458062307428963,0.8841150290996235,0.2817351598173516
