,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_temperature_fd1_scaled,feature_importance.lefttop_temperature_fd2_scaled,feature_importance.lefttop_temperature_fd3_scaled,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_humidity_fd1_scaled,feature_importance.lefttop_humidity_fd2_scaled,feature_importance.lefttop_humidity_fd3_scaled
0,0,0.8207171314741036,0.7486033519553073,0.8012373530216024,0.9101722723543888,0.017131474103585842,0.012749003984063756,0.015936254980079778,0.021513944223107595,-0.01195219123505964,0.004382470119522086,0.008366533864542003,-0.0003984063745020583,-0.013147410358565703,0.0035856573705180805,0.02390438247011961,-0.002788844621513964
1,1,0.8446215139442231,0.7958115183246073,0.8407164342357123,0.9353978671041838,0.023505976095617442,0.03904382470119527,0.021513944223107595,0.04023904382470134,0.008764940239043839,0.009960159362549792,-0.007968127490039723,-0.00517928286852587,-0.007171314741035828,0.013147410358565703,0.013147410358565703,0.026294820717131517
2,2,0.8565737051792829,0.8105263157894737,0.8524405250205087,0.9501640689089419,-0.003984063745019806,-0.0019920318725099584,-0.0011952191235059528,-0.0023904382470119057,0.00517928286852587,-0.018326693227091573,-0.023505976095617553,-0.020318725099601642,-0.03067729083665338,-0.033466135458167234,-0.021115537848605537,0.017928286852589626
3,3,0.852589641434263,0.8121827411167513,0.8561662564943944,0.9431227782335248,0.011952191235059861,0.01035856573705185,0.015139442231075773,0.03266932270916334,-0.016334661354581725,-0.005577689243027817,-0.013944223107569709,-0.0011952191235059528,-0.005976095617529875,-0.0063745019920318224,0.004382470119521864,0.03745019920318726
4,4,0.8326693227091634,0.7666666666666667,0.815251572327044,0.9356713152857534,-0.002788844621513964,0.02749003984063758,0.010756972111553798,0.01035856573705185,-0.01673306772908356,0.003984063745020028,0.013147410358565925,-0.003984063745019806,-0.028685258964143312,-0.024701195219123395,-0.02071713147410348,0.0314741035856575
5,5,0.8286852589641435,0.7624309392265194,0.8121069182389937,0.9350560568772218,0.009561752988047845,0.014741035856573825,0.0063745019920319335,0.01035856573705185,-0.027091633466135412,-0.019521912350597637,-0.006772908366533881,-0.015936254980079556,-0.012350597609561809,-0.01035856573705174,-0.013147410358565703,-0.02071713147410348
6,6,0.8764940239043825,0.845771144278607,0.8864848236259228,0.9548126879956249,0.0035856573705178585,0.0031872509960160222,1.1102230246251565e-16,0.021912350597609542,0.01912350597609569,-0.027888446215139306,-0.009960159362549792,-0.018326693227091573,-0.01673306772908356,-0.009163346613545786,-0.01872509960159341,0.03984063745019928
7,7,0.8406374501992032,0.7590361445783133,0.8078001093792726,0.9474979491386383,-0.0063745019920318224,0.013147410358565703,-0.0019920318725099584,0.0063745019920319335,0.0015936254980080111,-0.0035856573705179695,0.0011952191235059528,0.009561752988047845,-0.010756972111553798,-0.009163346613545786,-0.012749003984063645,-0.007171314741035828
8,8,0.8764940239043825,0.8342245989304813,0.8704539239814055,0.9594613070823079,0.00836653386454178,0.0223107569721116,0.007171314741035939,0.022709163346613548,0.02390438247011961,0.016334661354581614,0.016334661354581614,0.00836653386454178,-0.0023904382470119057,0.024701195219123506,-0.005577689243027817,0.02589641434262946
9,9,0.8685258964143426,0.8253968253968254,0.8641646158053049,0.9578889800382828,0.002788844621513964,0.024302788844621448,0.019521912350597526,0.01912350597609569,0.02589641434262946,0.002788844621513964,-0.007569721115537886,-0.01713147410358562,-0.03187250996015922,-0.021513944223107484,-0.0254980079681274,0.015537848605577609
10,10,0.8047808764940239,0.73224043715847,0.7886587366694011,0.9289718348372984,-0.009163346613545786,-0.0019920318725099584,0.008764940239043728,0.0015936254980079,-0.013944223107569709,-0.017529880478087678,-0.018326693227091684,-0.019521912350597748,-0.024701195219123506,-0.012749003984063756,-0.01035856573705185,-0.020318725099601753
11,11,0.8247011952191236,0.7659574468085106,0.8158326497128794,0.9459256220946131,-0.009960159362549792,0.0023904382470120167,0.009163346613546008,0.006772908366533992,-0.010756972111553798,-0.019521912350597637,-0.009163346613545786,-0.015936254980079556,-0.03824701195219116,-0.017928286852589626,-0.0031872509960159112,-0.0031872509960159112
12,12,0.8326693227091634,0.79,0.8381528575334974,0.9461990702761827,-0.007569721115537886,-0.005577689243027817,-0.010756972111553798,-0.0031872509960159112,-0.0023904382470119057,-0.03824701195219116,-0.025099601593625454,-0.017529880478087567,-0.016334661354581725,-0.02390438247011939,-0.028685258964143312,0.02430278884462167
