,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled
0,0,0.6334661354581673,0.0,0.5,0.8465272080940662,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
1,1,0.9402390438247012,0.9222797927461139,0.9459598031173093,0.9854388843314192,0.06294820717131488,0.2741035856573705,0.16294820717131475,0.1394422310756973
2,2,0.848605577689243,0.8020833333333334,0.8461512168444081,0.925143560295324,0.02270916334661366,0.030677290836653492,0.017928286852589626,0.012350597609561698
3,3,0.8764940239043825,0.8544600938967136,0.9002255947497949,0.9810637134263057,0.004382470119521864,0.2573705179282868,0.22151394422310755,0.1880478087649402
4,4,0.8167330677290837,0.7228915662650602,0.7820617992890347,0.9424391577796007,0.0023904382470120167,0.01872509960159363,-0.003984063745019806,0.007968127490039945
5,5,0.852589641434263,0.8177339901477833,0.8630366420563303,0.8541153951326225,0.057768924302788904,0.03067729083665338,0.03904382470119527,0.00836653386454178
6,6,0.6334661354581673,0.0,0.5,0.9115395132622368,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
7,7,0.8007968127490039,0.7311827956989247,0.7878042111019962,0.8644380639868746,0.05378486055776888,0.00836653386454178,0.009561752988047734,0.01195219123505975
8,8,0.8565737051792829,0.8235294117647058,0.868471424665026,0.9283565764287667,-0.0007968127490038945,0.007968127490039945,0.016334661354581614,0.021912350597609542
9,9,0.848605577689243,0.7956989247311828,0.839280831282472,0.9336888159693739,0.198804780876494,0.009960159362549792,0.016334661354581614,-0.0003984063745020583
10,10,0.8645418326693227,0.8365384615384616,0.8816311184030626,0.9392945036915505,0.1055776892430279,0.0832669322709163,0.11912350597609556,-0.0007968127490038945
11,11,0.8127490039840638,0.6713286713286714,0.7514356029532403,0.9511211375444353,0.026693227091633465,0.008366533864542003,0.024701195219123506,0.0223107569721116
12,12,0.8366533864541833,0.8038277511961722,0.8527481542247743,0.8340169537872573,0.15298804780876485,0.005976095617529875,-0.004780876494023811,0.0063745019920319335
13,13,0.7888446215139442,0.6666666666666666,0.7440183210281652,0.9206316652994257,0.10278884462151383,-0.0035856573705179695,-0.004382470119521975,0.00039840637450194727
14,14,0.7928286852589641,0.6486486486486487,0.7357123325129888,0.9331419196062347,0.027888446215139417,-0.004780876494023922,-0.005179282868525981,0.01713147410358562
15,15,0.9362549800796812,0.9139784946236559,0.9336546349466777,0.9818156959256221,0.02948207171314743,0.17609561752988034,0.18525896414342624,0.17011952191235047
16,16,0.8167330677290837,0.75,0.8026729559748428,0.8911676237353021,0.08406374501992031,0.009163346613546008,0.0019920318725099584,0.01035856573705185
17,17,0.8605577689243028,0.8325358851674641,0.8784864643150123,0.8632759092152038,0.04143426294820718,0.009960159362549792,-0.0003984063745020583,0.007171314741035939
18,18,0.6334661354581673,0.0,0.5,0.9317063166529943,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
19,19,0.852589641434263,0.8262910798122066,0.874487284659557,0.9426442439157781,0.0462151394422311,-0.0023904382470119057,0.08924302788844618,-0.007569721115537886
20,20,0.6334661354581673,0.0,0.5,0.9287667487011212,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
21,21,0.6334661354581673,0.0,0.5,0.9386108832376265,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
22,22,0.6334661354581673,0.0,0.5,0.9140005468963632,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
23,23,0.6334661354581673,0.0,0.5,0.9465408805031447,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
24,24,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9384057971014493,0.1155378486055777,0.0015936254980080111,0.007968127490039945,-0.005976095617529875
25,25,0.6215139442231076,0.2962962962962963,0.5363686081487559,0.8441345365053323,0.014342629482071656,-0.009163346613545897,-0.02948207171314743,-0.04143426294820718
