,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled
0,0,0.6334661354581673,0.0,0.5,0.9150601585999453,-1.1102230246251565e-16
1,1,0.6334661354581673,0.0,0.5,0.9358422203992345,-1.1102230246251565e-16
2,2,0.6334661354581673,0.0,0.5,0.9346117035821712,-1.1102230246251565e-16
3,3,0.6334661354581673,0.0,0.5,0.9190593382554006,-1.1102230246251565e-16
4,4,0.6334661354581673,0.0,0.5,0.8208572600492208,-1.1102230246251565e-16
5,5,0.6334661354581673,0.0,0.5,0.9222381733661471,-1.1102230246251565e-16
6,6,0.6334661354581673,0.0,0.5,0.9191618813234892,-1.1102230246251565e-16
7,7,0.6334661354581673,0.0,0.5,0.905421110199617,-1.1102230246251565e-16
8,8,0.6334661354581673,0.0,0.5,0.9141372709871478,-1.1102230246251565e-16
9,9,0.6334661354581673,0.0,0.5,0.9042247744052502,-1.1102230246251565e-16
10,10,0.6334661354581673,0.0,0.5,0.9039513262236806,-1.1102230246251565e-16
11,11,0.6334661354581673,0.0,0.5,0.9212127426852612,-1.1102230246251565e-16
12,12,0.6334661354581673,0.0,0.5,0.9116420563303255,-1.1102230246251565e-16
13,13,0.6334661354581673,0.0,0.5,0.9148550724637682,-1.1102230246251565e-16
14,14,0.6334661354581673,0.0,0.5,0.9202556740497675,-1.1102230246251565e-16
15,15,0.6334661354581673,0.0,0.5,0.9303732567678424,-1.1102230246251565e-16
16,16,0.6334661354581673,0.0,0.5,0.9228534317746786,-1.1102230246251565e-16
17,17,0.6334661354581673,0.0,0.5,0.9143423571233252,-1.1102230246251565e-16
18,18,0.6334661354581673,0.0,0.5,0.8679587093245831,-1.1102230246251565e-16
19,19,0.6334661354581673,0.0,0.5,0.9007041290675416,-1.1102230246251565e-16
20,20,0.6334661354581673,0.0,0.5,0.917247744052502,-1.1102230246251565e-16
21,21,0.6334661354581673,0.0,0.5,0.9166666666666666,-1.1102230246251565e-16
22,22,0.6334661354581673,0.0,0.5,0.9160172272354389,-1.1102230246251565e-16
23,23,0.6334661354581673,0.0,0.5,0.902139732020782,-1.1102230246251565e-16
24,24,0.6334661354581673,0.0,0.5,0.9181364506426033,-1.1102230246251565e-16
25,25,0.6334661354581673,0.0,0.5,0.9194011484823625,-1.1102230246251565e-16
26,26,0.6334661354581673,0.0,0.5,0.9158463221219579,-1.1102230246251565e-16
27,27,0.6334661354581673,0.0,0.5,0.9047374897456932,-1.1102230246251565e-16
28,28,0.6334661354581673,0.0,0.5,0.9070276182663385,-1.1102230246251565e-16
29,29,0.6334661354581673,0.0,0.5,0.9150259775772491,-1.1102230246251565e-16
30,30,0.6334661354581673,0.0,0.5,0.9143765381460213,-1.1102230246251565e-16
31,31,0.6334661354581673,0.0,0.5,0.875854525567405,-1.1102230246251565e-16
32,32,0.6334661354581673,0.0,0.5,0.9215887339349194,-1.1102230246251565e-16
33,33,0.6334661354581673,0.0,0.5,0.9085999453103637,-1.1102230246251565e-16
34,34,0.6334661354581673,0.0,0.5,0.9332444626743234,-1.1102230246251565e-16
35,35,0.6334661354581673,0.0,0.5,0.9133852884878315,-1.1102230246251565e-16
36,36,0.6334661354581673,0.0,0.5,0.9159146841673502,-1.1102230246251565e-16
37,37,0.6334661354581673,0.0,0.5,0.9178288214383374,-1.1102230246251565e-16
38,38,0.6334661354581673,0.0,0.5,0.9312619633579439,-1.1102230246251565e-16
39,39,0.6334661354581673,0.0,0.5,0.9191277003007932,-1.1102230246251565e-16
40,40,0.6334661354581673,0.0,0.5,0.9196745966639324,-1.1102230246251565e-16
41,41,0.6334661354581673,0.0,0.5,0.9113344271260597,-1.1102230246251565e-16
