,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled
0,0,0.8446215139442231,0.7845303867403315,0.8292657916324857,0.935602953240361,0.37529880478087657
1,1,0.8605577689243028,0.8258706467661692,0.869325950232431,0.9382690730106645,0.48406374501992033
2,2,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9446951052775499,0.4474103585657371
3,3,0.6334661354581673,0.0,0.5,0.9513262236806125,-1.1102230246251565e-16
4,4,0.7729083665338645,0.6459627329192547,0.7291495761553186,0.896636587366694,0.1573705179282867
5,5,0.6334661354581673,0.0,0.5,0.8816311184030626,-1.1102230246251565e-16
6,6,0.852589641434263,0.8262910798122066,0.874487284659557,0.8264629477713974,0.4756972111553785
7,7,0.852589641434263,0.8262910798122066,0.874487284659557,0.9002597757724912,0.4756972111553785
8,8,0.6334661354581673,0.0,0.5,0.9369701941482089,-1.1102230246251565e-16
9,9,0.6334661354581673,0.0,0.5,0.7669196062346185,-1.1102230246251565e-16
10,10,0.6334661354581673,0.0,0.5,0.655728739403883,-1.1102230246251565e-16
11,11,0.852589641434263,0.8262910798122066,0.874487284659557,0.9088050314465409,0.4617529880478088
12,12,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9286300246103364,0.4888446215139442
13,13,0.6334661354581673,0.0,0.5,0.9279464041564125,-1.1102230246251565e-16
14,14,0.6334661354581673,0.0,0.5,0.9213152857533498,-1.1102230246251565e-16
15,15,0.8764940239043825,0.841025641025641,0.8796144380639869,0.9291085589280832,0.499601593625498
16,16,0.6334661354581673,0.0,0.5,0.9365258408531584,-1.1102230246251565e-16
17,17,0.6334661354581673,0.0,0.5,0.9500615258408531,-1.1102230246251565e-16
18,18,0.6334661354581673,0.0,0.5,0.9546076018594476,-1.1102230246251565e-16
19,19,0.6334661354581673,0.0,0.5,0.9333811867651081,-1.1102230246251565e-16
20,20,0.6334661354581673,0.0,0.5,0.938200710965272,-1.1102230246251565e-16
21,21,0.8446215139442231,0.8151658767772512,0.8636177194421657,0.8867240907847963,0.45737051792828687
22,22,0.6334661354581673,0.0,0.5,0.9176920973475526,-1.1102230246251565e-16
23,23,0.796812749003984,0.7182320441988951,0.7777891714520099,0.9214520098441346,0.3223107569721116
24,24,0.6334661354581673,0.0,0.5,0.9393628657369427,-1.1102230246251565e-16
25,25,0.852589641434263,0.8262910798122066,0.874487284659557,0.9371069182389937,0.4553784860557769
26,26,0.7370517928286853,0.547945205479452,0.6733661471151217,0.9301339896089692,0.10956175298804771
27,27,0.6334661354581673,0.0,0.5,0.8670358217117856,-1.1102230246251565e-16
28,28,0.852589641434263,0.8102564102564103,0.853876127973749,0.9472928630024611,0.43266932270916336
29,29,0.7888446215139442,0.6971428571428572,0.7623393491933279,0.9263740771123872,0.28087649402390436
30,30,0.8167330677290837,0.7653061224489796,0.8164137270987148,0.9286300246103364,0.2541832669322711
31,31,0.6334661354581673,0.0,0.5,0.9420289855072463,-1.1102230246251565e-16
32,32,0.6334661354581673,0.0,0.5,0.9329368334700575,-1.1102230246251565e-16
33,33,0.6334661354581673,0.0,0.5,0.8989608969100357,-1.1102230246251565e-16
34,34,0.6334661354581673,0.0,0.5,0.868813234891988,-1.1102230246251565e-16
35,35,0.6334661354581673,0.0,0.5,0.8838870659010117,-1.1102230246251565e-16
36,36,0.6294820717131474,0.11428571428571428,0.5105961170358218,0.8914410719168718,-0.003984063745020028
37,37,0.852589641434263,0.8262910798122066,0.874487284659557,0.906754170084769,0.43904382470119524
38,38,0.6334661354581673,0.0,0.5,0.8579094886519005,-1.1102230246251565e-16
39,39,0.8884462151394422,0.8585858585858586,0.8959187858900739,0.9721082854799017,0.4207171314741036
40,40,0.7450199203187251,0.5844155844155844,0.691106097894449,0.8904156412359858,0.15019920318725088
41,41,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9380639868744873,0.4657370517928287
42,42,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9023106371342631,0.4545816733067729
43,43,0.6334661354581673,0.0,0.5,0.9549494120864096,-1.1102230246251565e-16
44,44,0.6334661354581673,0.0,0.5,0.12250478534317744,-1.1102230246251565e-16
45,45,0.6334661354581673,0.0,0.5,0.9254853705222861,-1.1102230246251565e-16
46,46,0.6334661354581673,0.0,0.5,0.8381870385561936,-1.1102230246251565e-16
47,47,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9294503691550451,0.46015936254980083
48,48,0.9083665338645418,0.8878048780487805,0.9253828274541974,0.9751162154771671,0.49043824701195216
49,49,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9187175280284386,0.48764940239043825
50,50,0.8446215139442231,0.8151658767772512,0.8636177194421657,0.9334153677878043,0.4139442231075698
51,51,0.9282868525896414,0.9081632653061225,0.9365258408531583,0.9769619907027618,0.547011952191235
52,52,0.852589641434263,0.8262910798122066,0.874487284659557,0.9272627837024885,0.4713147410358566
53,53,0.6334661354581673,0.0,0.5,0.9338255400601586,-1.1102230246251565e-16
54,54,0.848605577689243,0.8207547169811321,0.8690525020508614,0.8608832376264699,0.4314741035856574
55,55,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9525567404976758,0.4856573705179283
56,56,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.8677194421657096,0.48406374501992033
57,57,0.852589641434263,0.8262910798122066,0.874487284659557,0.9433962264150944,0.4756972111553785
58,58,0.6334661354581673,0.0,0.5,0.8517910855892808,-1.1102230246251565e-16
59,59,0.852589641434263,0.8262910798122066,0.874487284659557,0.9340989882417282,0.4745019920318725
60,60,0.6334661354581673,0.0,0.5,0.8427672955974843,-1.1102230246251565e-16
61,61,0.852589641434263,0.8262910798122066,0.874487284659557,0.9300656275635768,0.4549800796812749
62,62,0.8446215139442231,0.8151658767772512,0.8636177194421657,0.8972518457752258,0.43346613545816737
63,63,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9103089964451737,0.4450199203187251
64,64,0.852589641434263,0.8177339901477833,0.8630366420563303,0.8873393491933279,0.3545816733067728
65,65,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9242548537052229,0.4474103585657371
66,66,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9048400328137818,0.4952191235059761
67,67,0.6334661354581673,0.0,0.5,0.9056261963357942,-1.1102230246251565e-16
68,68,0.6334661354581673,0.0,0.5,0.9313645064260322,-1.1102230246251565e-16
