,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_humidity_scaled
0,0,0.8884758364312267,0.8192771084337349,0.8526160648489314,0.8310611643330876,0.35092936802973973,0.012267657992565129,0.00631970260223047
1,1,0.8587360594795539,0.7682926829268293,0.8169675755342668,0.8136821419798576,0.18921933085501863,0.01152416356877306,-0.005204460966542812
2,2,0.8550185873605948,0.7692307692307693,0.8193625644804716,0.8347457627118644,0.26802973977695166,0.004089219330855154,0.07546468401486983
3,3,0.8587360594795539,0.7710843373493976,0.8195774993859002,0.8335789732252519,0.18475836431226755,0.006319702602230581,0.0037174721189591198
4,4,0.8773234200743495,0.8,0.838921640874478,0.8172439204126748,0.3769516728624537,0.0074349442379181285,0.06691449814126404
5,5,0.8847583643122676,0.8098159509202454,0.8445713583886023,0.8245517071972488,0.31040892193308545,0.020817843866170915,0.14089219330855018
6,6,0.8773234200743495,0.7950310559006211,0.833701793171211,0.8260869565217391,0.38104089219330867,0.020817843866170915,0.052044609665427566
7,7,0.8773234200743495,0.7950310559006211,0.833701793171211,0.8271309260623926,0.35241635687732353,0.011895910780669205,0.07360594795539033
8,8,0.8884758364312267,0.8170731707317073,0.850006140997298,0.8329034635224761,0.4148698884758364,0.018959107806691522,0.06542750929368035
9,9,0.8698884758364313,0.7878787878787878,0.8306619995087202,0.8286661753868827,0.3215613382899628,0.0014869888475835813,0.007806691449814163
10,10,0.8736059479553904,0.7875,0.8282670105625154,0.844755588307541,0.29293680297397773,0.013011152416356975,0.02007434944237918
11,11,0.862453531598513,0.7757575757575758,0.8224023581429625,0.8331491034143945,0.2022304832713755,0.011895910780669094,0.019330855018587445
12,12,0.8550185873605948,0.7450980392156863,0.7984831736674036,0.823262097764677,0.3126394052044609,0.026765799256505574,0.05278810408921919
13,13,0.8884758364312267,0.8214285714285714,0.855225988700565,0.8449398182264801,0.30334572490706324,0.011152416356877248,0.07620817843866179
14,14,0.8810408921933085,0.8024691358024691,0.8391365757799067,0.8443871284696637,0.3249070631970259,0.01747211895910772,0.04646840148698883
15,15,0.8513011152416357,0.7402597402597403,0.7956583149103414,0.821051338737411,0.29330855018587354,0.01747211895910783,0.0713754646840149
16,16,0.8773234200743495,0.8047337278106509,0.844141488577745,0.8416850896585606,0.30148698884758374,0.01486988847583659,0.0003717472118960341
17,17,0.8587360594795539,0.759493670886076,0.8091378039793662,0.7916973716531565,0.416728624535316,0.07434944237918206,0.15613382899628248
18,18,0.8587360594795539,0.7682926829268293,0.8169675755342668,0.8271923360353721,0.18624535315985136,0.009665427509293556,0.005576208178438624
19,19,0.862453531598513,0.7612903225806451,0.8093527388847949,0.8415622697126013,0.3007434944237918,0.024163568773234334,0.06245353159851297
20,20,0.8438661710037175,0.7529411764705882,0.8082780643576517,0.8357897322525176,0.1327137546468402,0.0022304832713755385,-0.0070631970260223165
21,21,0.8736059479553904,0.7875,0.8282670105625154,0.8232006877916974,0.379182156133829,0.030855018587360505,0.11189591078066918
22,22,0.8810408921933085,0.8048780487804879,0.8417464996315401,0.8437116187668878,0.3420074349442378,0.019702602230483257,0.04498141263940525
23,23,0.8438661710037175,0.7529411764705882,0.8082780643576517,0.8093220338983051,0.10483271375464698,0.007806691449814274,0.0011152416356876582
24,24,0.8661710037174721,0.775,0.8200073691967575,0.8327192336035372,0.3858736059479554,-0.0003717472118959231,0.09219330855018593
