,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled,feature_importance.backtop_temperature_scaled,feature_importance.backtop_humidity_scaled
0,0,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9355170387779083,0.2154166666666667,0.06583333333333319,0.012083333333333446
1,1,0.8958333333333334,0.8633879781420765,0.888807285546416,0.9521151586368978,0.16666666666666674,0.060833333333333184,0.0375000000000002
2,2,0.9,0.8681318681318682,0.8921856639247944,0.9469741480611046,0.18833333333333335,0.06708333333333327,0.008750000000000036
3,3,0.8666666666666667,0.8095238095238095,0.8425381903642772,0.9490305522914219,0.1316666666666666,0.056666666666666754,0.029583333333333295
4,4,0.9,0.8695652173913043,0.8942420681551116,0.9455787309048178,0.19125000000000003,0.06375000000000008,0.032500000000000084
5,5,0.9,0.8695652173913043,0.8942420681551116,0.9521886016451234,0.1545833333333334,0.06791666666666674,0.014583333333333393
6,6,0.8333333333333334,0.7333333333333333,0.7887779083431257,0.9441833137485312,0.14833333333333332,0.05791666666666673,0.0625
7,7,0.8958333333333334,0.861878453038674,0.8867508813160987,0.9426410105757932,0.16166666666666663,0.07500000000000018,0.009166666666666656
8,8,0.8083333333333333,0.6805555555555556,0.7561692126909518,0.9475616921269095,0.07041666666666668,0.05458333333333332,-0.014999999999999902
9,9,0.9,0.8695652173913043,0.8942420681551116,0.9343419506462984,0.1991666666666666,0.06208333333333338,0.02416666666666678
10,10,0.8375,0.7547169811320755,0.8024383078730906,0.9451380728554641,0.09916666666666663,0.057499999999999996,-0.005416666666666736
11,11,0.8291666666666667,0.7388535031847133,0.7915687426556992,0.9467538190364277,0.09166666666666679,0.07208333333333339,-0.00666666666666671
12,12,0.7333333333333333,0.49206349206349204,0.6583431257344301,0.9417596944770857,0.0462499999999999,0.1037499999999999,0.01416666666666666
13,13,0.8625,0.7950310559006211,0.8309341950646298,0.9499118683901293,0.1841666666666667,0.06541666666666668,0.0675
14,14,0.75,0.5384615384615384,0.6800822561692127,0.9466803760282021,0.08291666666666664,0.0379166666666666,0.00374999999999992
15,15,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9454318448883666,0.19791666666666663,0.09583333333333333,0.002083333333333326
16,16,0.9,0.8695652173913043,0.8942420681551116,0.9433754406580493,0.1858333333333333,0.06708333333333327,0.040416666666666656
17,17,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9276586368977673,0.23791666666666667,0.06583333333333319,-0.0029166666666665675
18,18,0.8916666666666667,0.8586956521739131,0.8854289071680377,0.9449177438307873,0.15249999999999997,0.054166666666666696,0.019166666666666776
19,19,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9387485311398356,0.18541666666666679,0.06291666666666673,-0.005416666666666625
20,20,0.625,0.0425531914893617,0.5108695652173914,0.9391891891891891,0.008333333333333193,0.004999999999999893,0.008749999999999813
21,21,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9344888366627497,0.19333333333333325,0.0708333333333333,0.002083333333333326
22,22,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9410987074030551,0.16583333333333328,0.060833333333333295,-0.0008333333333333526
23,23,0.9,0.8695652173913043,0.8942420681551116,0.9435223266745005,0.18541666666666667,0.05875000000000008,-0.0033333333333332993
24,24,0.8833333333333333,0.8444444444444444,0.872502937720329,0.9511603995299648,0.13916666666666666,0.06499999999999995,0.03499999999999992
25,25,0.8916666666666667,0.8617021276595744,0.8895417156286722,0.9514541715628672,0.14541666666666675,0.04708333333333348,-0.007499999999999951
26,26,0.9,0.8681318681318682,0.8921856639247944,0.9483695652173912,0.18458333333333332,0.06874999999999998,0.040416666666666656
27,27,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9368390129259694,0.16458333333333341,0.06499999999999995,0.0016666666666665941
28,28,0.9041666666666667,0.8743169398907104,0.89762044653349,0.9253084606345476,0.20583333333333342,0.07458333333333345,-0.003750000000000031
29,29,0.85,0.7831325301204819,0.822855464159812,0.9480757931844889,0.10958333333333325,0.05833333333333335,-0.010833333333333472
30,30,0.9,0.8681318681318682,0.8921856639247944,0.9444770857814336,0.20083333333333342,0.06291666666666662,0.004166666666666652
31,31,0.9,0.8681318681318682,0.8921856639247944,0.9479289071680376,0.19125000000000003,0.0737500000000001,0.057916666666666616
32,32,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9401439482961221,0.22416666666666663,0.06541666666666657,0.0016666666666667052
33,33,0.8583333333333333,0.7926829268292683,0.8296122209165688,0.9448443008225617,0.13958333333333328,0.04666666666666652,0.005416666666666625
34,34,0.8875,0.850828729281768,0.8779377203290247,0.9364717978848414,0.13750000000000018,0.06208333333333327,0.03125
35,35,0.8583333333333333,0.7901234567901234,0.8275558166862514,0.9423472385428908,0.15166666666666662,0.056666666666666754,0.03374999999999995
