,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_humidity_scaled
0,0,0.875,0.8235294117647058,0.8534077555816686,0.899162749706228,0.17291666666666672,0.07083333333333341,-0.00708333333333333
1,1,0.8833333333333333,0.8372093023255814,0.86427732079906,0.8982814336075204,0.18958333333333321,0.06291666666666673,0.0008333333333333526
2,2,0.9041666666666667,0.8700564971751412,0.8914512338425382,0.9026145710928319,0.19750000000000012,0.07166666666666655,0.03749999999999987
3,3,0.9,0.8636363636363636,0.8860164512338425,0.8970329024676851,0.21041666666666659,0.08875,0.0
4,4,0.9,0.8620689655172413,0.8839600470035253,0.8988689776733254,0.24416666666666664,0.07624999999999993,0.012916666666666687
5,5,0.8875,0.8439306358381503,0.8697121034077555,0.9025411280846064,0.17333333333333334,0.05333333333333323,0.016249999999999876
6,6,0.8625,0.8023952095808383,0.8371034077555817,0.8990158636897767,0.14500000000000002,0.057916666666666616,-0.0012499999999998623
7,7,0.9125,0.8864864864864865,0.9084900117508813,0.8973266745005876,0.2925000000000001,0.09833333333333338,0.009166666666666656
8,8,0.8666666666666667,0.8072289156626506,0.8404817861339601,0.8971063454759106,0.15000000000000013,0.04083333333333339,0.020000000000000018
9,9,0.8875,0.8421052631578947,0.8676556991774383,0.9026880141010576,0.1745833333333332,0.05541666666666645,0.026666666666666505
10,10,0.8875,0.8421052631578947,0.8676556991774383,0.8976204465334899,0.16541666666666643,0.06374999999999986,0.011666666666666714
11,11,0.8791666666666667,0.8304093567251462,0.8588425381903643,0.9023207990599293,0.15333333333333332,0.0641666666666666,0.01708333333333334
12,12,0.8708333333333333,0.8143712574850299,0.8459165687426558,0.8993096357226793,0.16000000000000014,0.05916666666666659,0.0
13,13,0.875,0.8214285714285714,0.8513513513513513,0.899897179788484,0.1675000000000001,0.06833333333333336,-0.0012499999999999734
14,14,0.8875,0.8421052631578947,0.8676556991774383,0.8978407755581668,0.22624999999999995,0.1037499999999999,-0.007916666666666794
15,15,0.9041666666666667,0.8700564971751412,0.8914512338425382,0.8980978260869564,0.245,0.10791666666666677,-0.005833333333333246
16,16,0.8833333333333333,0.8352941176470589,0.8622209165687427,0.8998237367802585,0.16249999999999998,0.05125000000000002,0.032916666666666705
17,17,0.9,0.8651685393258427,0.8880728554641598,0.9007784958871915,0.2008333333333333,0.07791666666666675,0.007499999999999951
18,18,0.875,0.8214285714285714,0.8513513513513513,0.9011457109283196,0.15374999999999983,0.06791666666666674,0.012916666666666687
19,19,0.9,0.8620689655172413,0.8839600470035253,0.9028349001175089,0.2037500000000001,0.07541666666666669,0.010000000000000009
20,20,0.9125,0.8839779005524862,0.9043772032902467,0.9001909518213865,0.24624999999999997,0.09624999999999984,0.011666666666666492
21,21,0.8875,0.8421052631578947,0.8676556991774383,0.899529964747356,0.17666666666666675,0.0641666666666667,0.017083333333333228
22,22,0.8375,0.7547169811320755,0.8024383078730906,0.9054788484136309,0.09500000000000008,0.03333333333333344,0.015416666666666745
23,23,0.8416666666666667,0.7625,0.8078730904817861,0.9011457109283195,0.11166666666666669,0.04208333333333336,0.014583333333333504
24,24,0.8958333333333334,0.8571428571428571,0.8805816686251469,0.898428319623972,0.2170833333333334,0.08666666666666667,-0.007916666666666572
25,25,0.9083333333333333,0.8791208791208791,0.9009988249118683,0.899529964747356,0.24291666666666667,0.09791666666666676,-0.0033333333333331883
26,26,0.9041666666666667,0.8743169398907104,0.89762044653349,0.8990158636897767,0.2583333333333334,0.10333333333333339,-0.005833333333333246
27,27,0.9,0.8651685393258427,0.8880728554641598,0.8975470035252644,0.2170833333333334,0.0920833333333333,-0.0008333333333334636
28,28,0.875,0.8214285714285714,0.8513513513513513,0.8992361927144535,0.1825,0.06208333333333338,-0.0012499999999999734
29,29,0.8833333333333333,0.8352941176470589,0.8622209165687427,0.9065070505287897,0.17749999999999988,0.0641666666666667,0.013333333333333197
30,30,0.9041666666666667,0.8700564971751412,0.8914512338425382,0.9026145710928319,0.2004166666666667,0.06916666666666671,0.018750000000000044
31,31,0.875,0.8214285714285714,0.8513513513513513,0.8973266745005876,0.16749999999999987,0.07166666666666666,0.008750000000000036
32,32,0.9083333333333333,0.8764044943820225,0.8968860164512338,0.8989424206815512,0.25749999999999995,0.11166666666666669,-0.0004166666666667318
33,33,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.8998971797884842,0.21833333333333338,0.07625000000000004,0.013333333333333197
34,34,0.8875,0.8439306358381503,0.8697121034077555,0.9017332549941245,0.18708333333333327,0.06666666666666654,0.008333333333333304
35,35,0.9125,0.8839779005524862,0.9043772032902467,0.8974001175088132,0.23875000000000002,0.10750000000000004,0.004583333333333384
36,36,0.8291666666666667,0.7388535031847133,0.7915687426556992,0.8976938895417157,0.10375000000000012,0.03083333333333349,-0.0033333333333331883
37,37,0.9,0.8636363636363636,0.8860164512338425,0.9087103407755581,0.18666666666666654,0.06666666666666665,0.021250000000000102
38,38,0.9083333333333333,0.8777777777777778,0.8989424206815511,0.9017332549941245,0.23791666666666667,0.08791666666666675,0.010416666666666519
39,39,0.9083333333333333,0.875,0.8948296122209166,0.8965188014101059,0.24083333333333345,0.08999999999999997,0.016249999999999876
40,40,0.8833333333333333,0.8352941176470589,0.8622209165687427,0.9051116333725029,0.16749999999999987,0.05208333333333326,0.01333333333333342
41,41,0.8916666666666667,0.8505747126436781,0.8751468860164513,0.8940217391304349,0.24458333333333349,0.12083333333333335,-0.012916666666666576
42,42,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9004112808460634,0.2595833333333334,0.09750000000000003,0.0024999999999999467
43,43,0.8583333333333333,0.7926829268292683,0.8296122209165688,0.899897179788484,0.13208333333333322,0.04833333333333334,0.019999999999999796
44,44,0.8833333333333333,0.8372093023255814,0.86427732079906,0.9067273795534665,0.1545833333333333,0.05666666666666653,0.03083333333333349
45,45,0.825,0.7307692307692307,0.7861339600470035,0.8811692126909518,0.13124999999999998,0.05916666666666659,-0.035833333333333495
46,46,0.8791666666666667,0.8284023668639053,0.8567861339600471,0.9068008225616923,0.14666666666666672,0.05874999999999986,0.03249999999999997
47,47,0.8583333333333333,0.7926829268292683,0.8296122209165688,0.9034958871915393,0.13458333333333328,0.04833333333333334,0.03374999999999995
48,48,0.8333333333333334,0.7468354430379747,0.7970035252643948,0.9011457109283196,0.09791666666666676,0.047083333333333255,0.009999999999999898
49,49,0.9041666666666667,0.8685714285714285,0.8893948296122209,0.9023207990599296,0.2545833333333333,0.07916666666666672,0.008333333333333304
50,50,0.9125,0.8864864864864865,0.9084900117508813,0.8965922444183313,0.2666666666666666,0.10666666666666658,0.0
51,51,0.9083333333333333,0.8777777777777778,0.8989424206815511,0.904891304347826,0.22125000000000006,0.09083333333333321,0.012083333333333335
52,52,0.8541666666666666,0.7852760736196319,0.824177438307873,0.8948296122209166,0.14666666666666672,0.05999999999999994,-0.014166666666666772
53,53,0.875,0.8214285714285714,0.8513513513513513,0.9009253819036428,0.16333333333333333,0.05541666666666667,-0.005416666666666514
54,54,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9029083431257344,0.24458333333333326,0.0820833333333334,0.006249999999999978
55,55,0.8833333333333333,0.8372093023255814,0.86427732079906,0.8965188014101059,0.17166666666666663,0.07000000000000006,-0.00041666666666650976
56,56,0.8875,0.8421052631578947,0.8676556991774383,0.9011457109283195,0.16083333333333338,0.060833333333333184,0.018749999999999933
57,57,0.8791666666666667,0.8304093567251462,0.8588425381903643,0.8944623971797885,0.21791666666666665,0.0970833333333333,-0.013333333333333641
58,58,0.8791666666666667,0.8284023668639053,0.8567861339600471,0.8965922444183314,0.18041666666666667,0.05874999999999986,0.003750000000000031
59,59,0.8666666666666667,0.8048780487804879,0.8384253819036427,0.911427732079906,0.13875000000000004,0.04958333333333331,0.06499999999999995
60,60,0.8958333333333334,0.8571428571428571,0.8805816686251469,0.902027027027027,0.2025,0.07291666666666674,0.010833333333333361
61,61,0.9,0.8636363636363636,0.8860164512338425,0.8987955346650999,0.21666666666666667,0.07125000000000004,0.010000000000000009
62,62,0.8333333333333334,0.7468354430379747,0.7970035252643948,0.8985752056404231,0.10666666666666669,0.0475000000000001,-0.007499999999999951
63,63,0.8708333333333333,0.8143712574850299,0.8459165687426558,0.90180669800235,0.15208333333333335,0.043333333333333335,0.005833333333333357
64,64,0.8666666666666667,0.8072289156626506,0.8404817861339601,0.9001175088131611,0.14249999999999996,0.0491666666666668,0.01708333333333334
