,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_temperature_scaled,feature_importance.righttop_temperature_fd1_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_temperature_fd3_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_humidity_fd3_scaled
0,0,0.803347280334728,0.7151515151515152,0.7730331262939958,0.9035788228334812,0.005020920502092019,0.01171548117154797,0.015481171548117234,0.05606694560669456,0.03640167364016733,-0.00502092050209213,0.04979079497907957,0.009205020920502016
1,1,0.8535564853556485,0.8128342245989305,0.8484176279207335,0.9321946169772257,0.004602510460251064,0.013389121338912235,0.028033472803347226,0.012970711297071169,0.00041841004184106634,0.014644351464435212,0.01380753138075319,0.04142259414225935
2,2,0.8451882845188284,0.7955801104972375,0.8334812185743863,0.9147441585329784,0.012133891213389147,0.051882845188284454,0.04476987447698744,0.03514644351464424,0.02970711297071127,0.028451882845188292,0.012970711297071058,0.015062761506276057
3,3,0.8284518828451883,0.7918781725888325,0.8320763087843833,0.9319727891156462,0.012970711297071169,-0.028033472803347115,-0.0029288702928870203,-0.010878661087865948,-0.011297071129707015,-0.02175732217573212,-0.0004184100418409553,0.006694560669456173
4,4,0.8242677824267782,0.7586206896551724,0.80427388346643,0.9133392487429755,-0.015062761506276057,0.008368200836820106,-1.1102230246251565e-16,0.017991631799163077,0.011715481171548081,0.014644351464435101,0.004602510460251064,0.017991631799163077
5,5,0.8368200836820083,0.7845303867403315,0.8246450754214729,0.9167406092871931,-0.012552301255230214,0.013807531380752969,0.032217573221757334,0.028033472803347115,0.02175732217573212,0.04560669456066935,0.02092050209205021,-0.02175732217573212
6,6,0.8451882845188284,0.806282722513089,0.8436483288967761,0.942916296953564,0.01966527196652712,0.016317991631799145,-0.0016736401673640433,-0.0016736401673640433,-0.012552301255230103,0.00878661087866106,0.006276150627615107,0.01589958158995808
7,7,0.8410041841004184,0.7978723404255319,0.8361801242236024,0.9192546583850931,-0.0004184100418408443,0.012970711297071058,0.009205020920502127,0.007531380753138084,0.005857740585774152,0.009205020920502127,0.0179916317991633,0.04476987447698744
8,8,0.8242677824267782,0.7878787878787878,0.8286749482401656,0.923469387755102,0.012552301255230103,-0.01380753138075308,0.009205020920502016,0.019246861924686054,-0.01380753138075308,0.004602510460251064,0.0016736401673639323,0.005020920502092019
9,9,0.8326359832635983,0.7894736842105263,0.8293774031351671,0.9207335107956226,0.005439330543932974,0.008786610878661172,0.005020920502092019,0.020083682008368187,0.0004184100418409553,-0.0004184100418409553,-0.0033472803347279756,-0.003765690376569042
10,10,0.799163179916318,0.7333333333333333,0.7838657202011239,0.9137829044661343,-0.014644351464435101,0.0029288702928870203,0.008368200836819994,0.0058577405857740406,-0.020502092050209142,0.00041841004184106634,-0.008786610878661172,0.0033472803347279756
11,11,0.8410041841004184,0.7956989247311828,0.8341467021591245,0.9191807157645666,0.006694560669456062,0.0020920502092051096,0.014644351464435101,0.005857740585774152,0.00502092050209213,0.014225941422594146,0.04225941422594148,0.0188284518828451
12,12,0.8326359832635983,0.7872340425531915,0.8273439810706891,0.9160751257024549,0.004184100418409997,0.011715481171548192,0.02468619246861914,0.012133891213389147,0.0008368200836820217,0.0008368200836820217,0.02468619246861914,0.038912133891213285
13,13,0.8451882845188284,0.8121827411167513,0.84974859509021,0.9233215025140491,0.023849372384937118,0.024267782426778295,0.03765690376569031,0.010041841004184149,0.007531380753138084,0.03263598326359829,0.002510460251045954,0.0167364016736401
14,14,0.8368200836820083,0.7979274611398963,0.8368456078083408,0.9231736172729962,0.014225941422594035,-0.0004184100418409553,-0.0029288702928870203,-0.0020920502092049986,-0.006276150627614996,0.02259414225941414,0.0058577405857740406,0.0029288702928870203
15,15,0.8493723849372385,0.8217821782178217,0.8592502218278616,0.9296805678793256,0.018410041841004254,-0.007949790794978928,-0.010041841004183927,-0.010460251046024993,-0.014225941422594146,0.003765690376569042,0.01004184100418426,0.0058577405857740406
16,16,0.8577405857740585,0.83,0.866052942916297,0.9032830523513753,0.00878661087866106,-0.006694560669456173,-0.010460251046025104,-0.005439330543933085,-0.01087866108786617,0.0058577405857740406,0.02761506276150616,0.03472803347280318
17,17,0.8368200836820083,0.8020304568527918,0.8409124519372967,0.9164448388050872,0.001255230125522977,-0.001255230125522977,-0.0008368200836820217,-0.0020920502092049986,-0.010041841004184149,0.0004184100418409553,0.0046025104602509526,0.017991631799163188
18,18,0.8661087866108786,0.84,0.8748890860692102,0.9409198461993493,0.03472803347280329,-0.004602510460251064,0.003765690376569153,0.009205020920502127,-0.002510460251046065,0.025941422594142338,0.014644351464435101,0.03472803347280329
19,19,0.8284518828451883,0.783068783068783,0.8239426205264715,0.9158532978408754,0.014225941422594146,0.004602510460251175,-0.0033472803347279756,0.014644351464435212,-0.014644351464435212,0.011715481171548192,-0.0046025104602509526,0.025104602510460317
20,20,0.8577405857740585,0.8247422680412371,0.859952676722863,0.9298284531203787,0.01673640167364021,0.0071129707112970175,-0.0004184100418409553,-0.006276150627614996,-0.0029288702928869093,0.01589958158995819,0.02259414225941425,0.03221757322175722
21,21,0.8368200836820083,0.7958115183246073,0.8348121857438628,0.9114906832298136,0.01673640167364021,0.030125523012552113,0.03221757322175711,0.018410041841004143,0.012133891213389147,0.024267782426778184,0.026359832635983182,0.022175732217573185
22,22,0.8284518828451883,0.7853403141361257,0.8259760425909495,0.9284974859509021,-0.0020920502092049986,0.012552301255230214,0.003765690376569042,-0.0004184100418409553,-0.012133891213389036,0.01966527196652712,0.008368200836820217,0.002510460251045954
23,23,0.8284518828451883,0.7918781725888325,0.8320763087843833,0.9186631174208814,0.02175732217573212,-0.016317991631799145,-0.024267782426778184,-0.0058577405857740406,-0.027196652719665204,-0.03723849372384935,0.0020920502092049986,0.0046025104602509526
24,24,0.8577405857740585,0.8229166666666666,0.8579192546583851,0.9162230109435078,0.009205020920502016,0.024267782426778184,0.014644351464435212,0.02175732217573223,0.01087866108786606,0.010041841004184038,0.017573221757322233,0.04435146443514637
25,25,0.8535564853556485,0.8223350253807107,0.8585847382431233,0.9179976338361431,0.006276150627614996,-0.0046025104602509526,0.020502092050209253,-0.0033472803347279756,-0.003765690376568931,0.01380753138075319,0.03640167364016733,0.01882845188284521
26,26,0.8410041841004184,0.7978723404255319,0.8361801242236024,0.9165927240461401,0.004602510460251064,0.020502092050209253,0.007531380753138084,0.017573221757322233,0.0029288702928871313,0.014644351464435101,0.01380753138075308,0.0008368200836821327
27,27,0.8158995815899581,0.7380952380952381,0.7893374741200828,0.9092724046140195,-0.017573221757322233,0.0058577405857739295,-0.003765690376569042,0.009623430962342971,0.027196652719665093,0.04435146443514648,0.046861924686192435,0.05104602510460243
28,28,0.8117154811715481,0.7738693467336684,0.8164374445430347,0.9347826086956521,0.010460251046025104,-0.01087866108786606,-0.006694560669456062,-0.00041841004184106634,-0.017154811715481166,0.002510460251045954,0.005020920502091908,0.0020920502092049986
29,29,0.8200836820083682,0.7724867724867724,0.8151064773735581,0.9123040520556048,-0.020920502092050097,0.006276150627615107,-0.0020920502092051096,0.006694560669456062,-0.014644351464435101,0.008368200836820106,0.043933054393305526,-0.012133891213389147
30,30,0.8284518828451883,0.7897435897435897,0.8300428867199054,0.9187370600414079,0.01589958158995819,-0.0020920502092049986,0.010460251046025215,0.011297071129707126,-0.002510460251045954,0.00794979079497915,0.0029288702928870203,-0.002510460251045954
31,31,0.8410041841004184,0.8,0.8382135462880804,0.9390712806861875,0.030125523012552224,-0.007531380753138084,-0.019246861924686054,0.004184100418410108,-0.0058577405857740406,-0.003765690376569042,0.0029288702928871313,0.0029288702928871313
