,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_temperature_fd1_scaled,feature_importance.frontlow_humidity_fd3_scaled,feature_importance.frontlow_humidity_fd2_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_temperature_fd2_scaled,feature_importance.frontlow_humidity_fd1_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_temperature_fd3_scaled
0,0,0.9629629629629629,0.9627993328927907,0.9548517520215634,0.989068583408206,2.649358259360987,0.8449068882238997,1.3278536416807856,1.7565489085100883,0.9230340174075968,0.08888888888888884,0.08148148148148142,0.0526748971193415,0.018106995884773592,0.010699588477366207,0.008230452674897082,0.005761316872427957,0.005349794238683103,0.004526748971193395,0.004115226337448541,0.0037037037037036757,0.0004115226337448208
1,1,0.9465020576131687,0.9465783785190948,0.941980421686747,0.988855421686747,3.24091835108247,0.665914986987387,1.0668015240283344,1.824299756607298,0.8974269247909727,0.07283950617283955,0.10082304526748972,0.044444444444444474,0.0004115226337448652,0.004938271604938293,0.007407407407407429,0.0016460905349794386,-0.000411522633744843,-0.0016460905349794165,0.003292181069958866,-0.0008230452674897082,0.011934156378600846
2,2,0.9300411522633745,0.9308738605089004,0.9379721522737372,0.9709672641090209,2.928964206801088,1.007484570064454,1.6535742122602057,1.6420792484350546,0.7943624631808157,0.10617283950617282,0.05843621399176955,0.04609053497942386,0.006584362139917676,0.015226337448559668,0.015637860082304535,0.0024691358024691245,0.01069958847736623,0.0020576131687242705,0.011522633744855914,0.008230452674897082,0.0074074074074073955
3,3,0.9547325102880658,0.9551845648847048,0.9598926380368098,0.9868098159509202,2.607105588367281,1.2823631863969724,1.5952539468208073,2.29284118339844,-0.12259128462305754,0.09094650205761315,0.05802469135802468,0.046502057613168724,0.011934156378600801,0.0020576131687242705,0.0008230452674897082,0.003292181069958833,0.007407407407407374,0.005761316872427957,0.0028806584362139785,0.004115226337448541,0.004938271604938249
4,4,0.934156378600823,0.9356779514325121,0.9398948494029584,0.9860096239529494,2.642170691702582,1.4873426959763107,0.9016587328360841,2.496687473997985,0.38488626243506907,0.07818930041152258,0.08106995884773661,0.031275720164609035,-0.0008230452674897193,-2.2204460492503132e-17,0.0,-0.01193415637860088,-0.01111111111111115,-0.0012345679012345733,-0.00905349794238689,-0.006995884773662586,0.000411522633744843
5,5,0.9382716049382716,0.9387568893048469,0.9417550839964632,0.9666224580017684,2.083819030813344,0.982115909056657,1.6457064362248635,2.032011253795263,1.1312081205682858,0.11604938271604934,0.09341563786008225,0.05102880658436211,0.00411522633744853,0.012757201646090477,0.004526748971193395,0.008230452674897082,0.01604938271604931,0.0016460905349793941,0.006584362139917666,0.0037037037037036757,0.007818930041152227
6,6,0.9547325102880658,0.9550981815453315,0.9564230949773118,0.9910812079486778,2.4911764228505398,1.0095744519046979,1.0485129668179256,2.0522364617601463,0.718456592156974,0.09753086419753083,0.07942386831275719,0.03868312757201645,0.013168724279835375,0.018518518518518524,0.009465020576131656,0.012345679012345645,0.009876543209876498,0.011934156378600791,0.004938271604938249,0.010288065843621363,0.016049382716049387
7,7,0.9547325102880658,0.9551323291337815,0.9560610906764753,0.9786502478810172,2.2103054396038515,0.8524558549004484,1.729094974935716,1.985824085480441,0.8497745221179166,0.08888888888888888,0.0802469135802469,0.04897119341563784,-0.0008230452674897082,0.022633744855967086,0.008230452674897082,0.007818930041152227,0.006995884773662519,0.006172839506172811,0.006995884773662519,0.0012345679012345622,0.0020576131687242705
8,8,0.9423868312757202,0.942640909015178,0.9426893331387713,0.9862104187946884,2.505009900283157,0.7503416488344219,0.9932198254490727,2.427762569298427,0.8576648262146876,0.0650205761316873,0.1135802469135803,0.0555555555555556,0.0028806584362140453,0.0028806584362140453,3.3306690738754695e-17,0.005761316872428035,-0.0008230452674896748,-0.0004115226337448319,-0.005349794238683103,-0.0028806584362139785,0.0004115226337448874
9,9,0.9259259259259259,0.9269996653279786,0.931934731934732,0.9769230769230769,2.8940383426585194,1.076136316873619,1.489746664094105,1.6632194584590678,0.751210497084309,0.102880658436214,0.05637860082304528,0.03539094650205763,0.00864197530864197,0.0065843621399176875,-0.0012345679012345622,0.0,0.00493827160493826,-0.0004115226337448541,0.0065843621399176875,-0.0008230452674897082,0.0024691358024691358
10,10,0.9506172839506173,0.9504830718034988,0.9433787587024145,0.9808917197452229,2.5720498661274145,1.1081663912602973,2.1324555435512704,1.3786030255543322,0.9077802231061537,0.04320987654320988,0.08477366255144032,0.04074074074074078,-0.0016460905349794165,0.00658436213991771,0.0074074074074073955,0.00781893004115225,0.0004115226337448652,0.005761316872427957,0.004526748971193395,0.006584362139917676,-0.0024691358024691245
11,11,0.9753086419753086,0.9754367887635318,0.9798657718120805,0.9904326717121235,2.5823201186345304,0.5171432562612707,1.6859921209661917,1.972867191900252,0.8737447610963287,0.10123456790123457,0.06954732510288066,0.05349794238683129,-0.0020576131687242705,0.003292181069958833,0.0,0.0012345679012345622,0.009053497942386834,0.0028806584362139785,-0.003292181069958833,0.0012345679012345622,0.0004115226337448541
12,12,0.9465020576131687,0.9466957312568268,0.9456233421750663,0.9868110816386678,2.555960458940698,0.8524758077918413,1.2590087305901645,2.1236792237532534,0.9288224393373429,0.06625514403292183,0.08930041152263377,0.057201646090535,-0.004938271604938249,0.007407407407407429,-0.0008230452674897082,0.006584362139917732,0.0004115226337448652,-0.003292181069958833,-0.007407407407407374,0.0008230452674897082,-0.005761316872427957
13,13,0.9382716049382716,0.938726132910972,0.9380751533742331,0.975920245398773,2.1875001802331653,0.9143671729999924,1.2689956047462825,2.3615189634011657,1.028344110745831,0.07860082304526742,0.0938271604938271,0.07283950617283948,0.006995884773662508,0.005349794238683092,-0.0008230452674897526,0.007818930041152217,-0.005761316872428046,0.005761316872427935,-0.0004115226337448874,0.0061728395061728,0.00411522633744853
14,14,0.9547325102880658,0.9550981815453315,0.9564230949773118,0.9935064935064936,2.8113482271782315,1.6173377456279707,1.681976179692968,1.828339253676126,-0.1773245043863057,0.0950617283950617,0.0699588477366255,0.03909465020576129,0.003292181069958833,0.0028806584362139898,0.003703703703703687,0.0016460905349794165,0.004115226337448541,0.003703703703703687,0.0020576131687242705,0.0004115226337448541,-0.0008230452674897082
15,15,0.9753086419753086,0.9753692842402519,0.9756852343059239,0.9921898025346301,2.5827967592396908,1.009513265737194,1.1858336901107374,2.2560628696710228,0.4407375098698109,0.09053497942386832,0.09753086419753088,0.04897119341563786,-0.006995884773662519,-0.0012345679012345622,-0.003703703703703687,-0.003703703703703687,0.0057613168724279795,-0.007407407407407374,-0.005349794238683103,-0.0004115226337448541,-0.004115226337448541
