,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_temperature_fd3_scaled,feature_importance.frontlow_humidity_fd3_scaled,feature_importance.frontlow_temperature_fd1_scaled,feature_importance.frontlow_humidity_fd1_scaled,feature_importance.frontlow_temperature_fd2_scaled,feature_importance.frontlow_humidity_fd2_scaled
0,0,0.9465020576131687,0.9462657030673646,0.9366576819407009,0.9826295297993412,2.6271596143626965,0.8421085665013744,1.4988251874925727,1.64694319205245,0.1851533207031474,0.18024691358024694,0.07654320987654323,0.046502057613168744,0.01316872427983542,0.010288065843621453,0.008641975308642014,0.0008230452674897303,-0.000823045267489686
1,1,0.9382716049382716,0.9385273999040883,0.935730421686747,0.9800451807228916,2.3835667713046225,0.7862921355197526,1.2372521601617918,2.1036772971992495,0.7001062955450008,0.17530864197530857,0.09012345679012343,0.04567901234567896,0.01769547325102877,0.008641975308641936,0.004526748971193373,-0.0004115226337448874,0.008641975308641936
2,2,0.9218106995884774,0.9227413735099476,0.928973485409569,0.953340245889498,1.328941684845605,1.4359720065133657,2.4083061893196263,2.3105701435513613,-0.06998215616868325,0.19588477366255144,0.08930041152263377,0.019341563786008254,0.004938271604938283,0.016460905349794275,0.010288065843621418,0.005761316872428002,0.009876543209876576
3,3,0.9629629629629629,0.9632356797465831,0.9660276073619631,0.9897239263803681,2.945530058465519,0.7825979953013921,1.4472940153275613,2.1308557845181713,-0.11661339280189015,0.20823045267489704,0.08148148148148142,0.04979423868312751,0.021810699588477322,0.012345679012345623,0.03209876543209872,0.01687242798353903,0.021810699588477322
4,4,0.9382716049382716,0.939312247056934,0.9373551951523793,0.9822669755836749,2.8123372274915814,0.9792984402731689,0.7710642791308459,2.045129048953177,0.6432894565566908,0.17530864197530857,0.0761316872427983,0.0436213991769547,0.008641975308641936,0.006584362139917666,0.015226337448559623,0.014814814814814758,0.006995884773662519
5,5,0.9012345679012346,0.9017029578827331,0.897656940760389,0.9663277335691128,1.6749984560619977,0.5231376294384302,1.8966219429295705,2.150696824747754,1.0261580938899755,0.17983539094650208,0.050205761316872446,0.02962962962962965,-0.006172839506172834,-0.004526748971193395,-0.0024691358024691245,-0.009053497942386824,-0.008230452674897104
6,6,0.9423868312757202,0.9430981049636742,0.9473869503989986,0.9807541855734627,2.4402946849159157,0.5085273653762964,1.8034585165443406,1.5642138806237451,0.7013751560848004,0.1847736625514404,0.0621399176954733,0.03703703703703708,-0.008641975308641936,0.0218106995884774,0.004938271604938338,0.009876543209876599,0.001646090534979472
7,7,0.934156378600823,0.9352363237650191,0.9412681912681913,0.9768910922757077,1.6981024493392154,0.5548063110915289,1.6790435540813275,2.6219210592852398,0.7467923289210254,0.18024691358024686,0.05061728395061725,0.03621399176954728,0.00987654320987651,0.006584362139917666,0.03168724279835389,0.010699588477366207,0.009876543209876498
8,8,0.9135802469135802,0.9138714175335254,0.910477163286152,0.9744637385086823,2.3328841716963624,0.792777887449775,1.6244447229582963,1.826203096872169,0.5765486262343577,0.17489711934156374,0.06131687242798349,0.028806584362139877,0.002057613168724237,-0.007407407407407451,0.018518518518518445,-0.01111111111111116,0.005761316872427935
9,9,0.9218106995884774,0.9226423584657675,0.9221445221445221,0.9645687645687645,2.1962256698915215,0.6579877797924993,1.2644722002485675,2.0362885221033196,1.0954821294341446,0.18600823045267492,0.07078189300411525,0.03415637860082306,0.020576131687242816,0.010699588477366295,0.0016460905349794386,0.009876543209876586,0.021399176954732535
10,10,0.9465020576131687,0.9465712159719025,0.9428232854391942,0.9777810694711895,2.5917019948771274,0.40221817735901233,1.9662056956364233,2.139231814468654,0.28845832563332907,0.19176954732510293,0.0440329218106996,0.010288065843621453,0.002880658436214012,0.0004115226337448652,0.0012345679012345846,0.005761316872428002,0.005761316872428024
11,11,0.9588477366255144,0.9588477366255144,0.9566257318292161,0.9893617021276596,2.645871883342077,0.5040077774482946,1.4756647812949686,1.5247740575183593,0.8320640330352742,0.18065843621399172,0.08559670781893002,0.04855967078189298,0.023045267489711918,0.004115226337448541,0.0057613168724279466,0.010288065843621352,0.005761316872427957
