,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_temperature_scaled
0,0,0.9672727272727273,0.9669059395676975,0.9366394696583376,0.993625701172871,1.9566551857353953,0.8774294485977195,2.4096509206721226,1.5425698192314294,1.792736943500806,0.22654545454545455,0.1589090909090909,0.020363636363636372
1,1,0.96,0.9604038662808594,0.9471258588905648,0.9910340204457851,2.3850978831192964,1.002243660771642,2.2115951410913373,1.5439010257766532,1.2883051632617035,0.22690909090909087,0.1407272727272727,0.015272727272727238
2,2,0.9781818181818182,0.9783128964059196,0.9737915881983679,0.998587570621469,2.128360889663002,0.2691929802642374,1.7426373833651292,2.1664749379137023,1.6928249650623814,0.2592727272727272,0.18727272727272726,0.015636363636363605
3,3,0.9636363636363636,0.9631404958677686,0.9317157572831161,0.9970223724448736,2.3808965657866104,0.6716313382179799,2.6626353060368295,0.9304510103740757,1.4670927099375866,0.20763636363636362,0.176,0.023272727272727268
4,4,0.9818181818181818,0.9815550835942678,0.9609375,0.9988151658767773,1.776237463321001,0.701066297902085,2.3644788504594625,1.5406409137962058,1.8497151103377087,0.2705454545454545,0.1698181818181818,0.015636363636363625
5,5,0.9672727272727273,0.9671536553334305,0.9438211796702363,0.9923508414074451,1.7663136628181082,0.7580774305403735,2.2481284784871196,1.6096588008696406,2.0781018489217677,0.22181818181818186,0.17636363636363636,0.03163636363636363
6,6,0.9818181818181818,0.9818647337768882,0.9776714513556619,0.9986950848194868,1.7389454524934396,0.7276701774517512,2.0931743879178746,2.381340987737171,1.1137843336714233,0.28545454545454546,0.16218181818181818,0.015999999999999993
7,7,0.9709090909090909,0.9711415765018798,0.9577367841409692,0.9969713656387665,2.0513001410676233,0.5458317908877631,2.6552185453474344,2.0755868720933583,0.8198461429185314,0.20472727272727279,0.17636363636363642,0.01563636363636366
8,8,0.9672727272727273,0.9671567343228278,0.9446539299480476,0.9967320261437909,2.862138184774274,-0.14044388407452868,2.1480025176022934,1.8824493269693467,1.8221980847446033,0.21781818181818186,0.1883636363636364,0.008727272727272728
9,9,0.96,0.9601762072350307,0.9314009661835749,0.9929468599033816,2.8603149383206694,0.5031278989448807,2.056258900887606,1.6617038588301727,1.5648710241249004,0.20618181818181816,0.15636363636363632,0.005090909090909035
10,10,0.9709090909090909,0.9707468213128592,0.9538284952606635,0.9925207345971564,2.177959746461007,0.7732273115695526,2.1215327941315874,1.5218031652213873,2.157786038652208,0.26472727272727276,0.16945454545454547,0.017818181818181834
11,11,0.96,0.9598544676297485,0.9321349651538331,0.9909060003399626,2.208646440680245,0.4723358308036343,2.219593076971076,1.8183629065358389,1.9003750310159695,0.24436363636363634,0.14799999999999996,0.006181818181818144
12,12,0.9745454545454545,0.9749849742510293,0.9769317005864091,0.9958606416005519,2.8813488556989886,0.5115627588411342,2.1343905989394982,1.8554797196361,1.0529249204551772,0.24654545454545448,0.17236363636363633,0.007999999999999952
13,13,0.9745454545454545,0.9751153514152016,0.9841628959276019,0.9968996145466733,2.3256375261866182,0.10671068063941874,2.4874873177131147,1.0061786764702445,2.5996203923190673,0.2512727272727272,0.16181818181818178,-0.0032727272727273273
14,14,0.9818181818181818,0.9817655621733989,0.971111615932152,0.9977283053157655,1.8175642688521183,0.7705678756741773,2.459960150035339,1.417949780643417,1.659807042217208,0.2545454545454546,0.17636363636363636,0.02545454545454543
15,15,0.96,0.9602926777540165,0.9533223306544203,0.986581515499426,1.8641696691355312,0.23376048714492192,1.99972338972556,2.2315760765486625,1.8383812610697574,0.25309090909090903,0.16327272727272724,0.030909090909090886
16,16,0.9781818181818182,0.9783344759815348,0.9721230664626891,0.9963454020057794,2.4450901308084014,-0.2553017721267942,2.5026248559090805,1.592878856877526,1.6229628722104705,0.22654545454545455,0.1716363636363636,0.0225454545454545
17,17,0.9745454545454545,0.9746289610836704,0.9640818656229615,0.9937214611872146,1.659720922131956,0.8899692359784532,1.974757198077667,1.6199332231723054,1.9362692832944837,0.22181818181818178,0.1716363636363636,0.03090909090909085
18,18,0.9563636363636364,0.9565739283932614,0.9463270815572606,0.9915458937198068,2.8745781891145827,0.5451957490038094,1.3998900465053952,2.189265370868912,1.1382182640018923,0.23854545454545462,0.19127272727272732,0.02872727272727278
19,19,0.9781818181818182,0.9780791891035793,0.9669290251311793,0.997859707263187,2.244339829628285,0.4284812801857075,2.3327153510760286,2.2242338064589684,0.8024370920696733,0.2625454545454545,0.18290909090909085,0.02290909090909087
20,20,0.96,0.9604861063699051,0.9420959313176558,0.9919746173945502,2.1373923296147237,0.1450521929283883,2.1386927163768115,1.6824482300008894,2.461650502505423,0.1916363636363636,0.16545454545454544,0.00290909090909085
21,21,0.9818181818181818,0.9820017574003906,0.9816909669850846,0.9988268811798223,1.973708325935456,0.25766055129364435,2.0225997600754666,2.6071345951097253,1.5340146498445004,0.23018181818181818,0.19163636363636366,0.017454545454545445
22,22,0.9890909090909091,0.9891276242073507,0.9863636363636363,0.9977685950413223,1.9143686823275197,0.42095505586936643,2.109947614704471,1.9352137859888479,1.717715067062658,0.24654545454545457,0.19490909090909098,0.025454545454545497
23,23,0.96,0.9598720639680159,0.9367551247417766,0.9930875576036866,2.3065056783037754,0.07380559051702432,2.4662370191550815,1.3966866259101445,2.1861235838088398,0.22799999999999998,0.15709090909090906,0.026909090909090883
24,24,0.9454545454545454,0.9445366675435013,0.902272366121087,0.9928491975210552,1.9665312594944873,0.801464309233826,2.307954957139639,1.4116315664179309,1.677690358015917,0.19454545454545452,0.14763636363636362,0.01709090909090908
25,25,0.9781818181818182,0.9780601159846443,0.9640106635071091,0.9966676540284359,2.2345646064357156,0.07084984513433948,2.3549242244634594,1.9555590573050696,2.05407549311399,0.23018181818181813,0.176,0.02290909090909088
26,26,0.9745454545454545,0.9747836151531302,0.9709882504426204,0.9953323676162883,1.8444866561502318,0.077271911758345,2.178264552476023,2.04709854935467,2.5404031930110373,0.23854545454545453,0.1763636363636363,0.029090909090909056
27,27,0.9709090909090909,0.9705123966942149,0.9427812650893288,0.9974247545469177,1.932760801811344,0.2754544763611796,2.051365712970977,2.012639474401311,2.0857810178427716,0.22327272727272734,0.16290909090909095,0.023272727272727313
28,28,0.9818181818181818,0.9820065474062853,0.98155702872684,0.9952405235424103,1.799399056037452,-0.01179197391717655,2.0818633223601295,2.242062754972168,2.2656527319553574,0.24836363636363634,0.1847272727272727,0.02290909090909089
29,29,0.9563636363636364,0.9576506005205558,0.957140234948605,0.9949522760646109,2.474704362607145,0.3478559735569777,1.719466714977523,2.9662748200126487,1.0171128816258723,0.22727272727272735,0.18800000000000006,-0.0007272727272726875
30,30,0.9563636363636364,0.9571120565032425,0.9537429378531074,0.9921531701192718,2.08756989794533,0.8752149754369062,2.09665531698303,1.6435481548459754,1.9039081394499786,0.25200000000000006,0.16472727272727278,0.004727272727272758
31,31,0.9636363636363636,0.9638548273431994,0.9522128060263653,0.9970182046453233,2.7928213778600877,0.5141787787548486,1.968271105896773,1.4156035481046487,1.6213042319805269,0.24909090909090909,0.184,0.011272727272727245
32,32,0.9636363636363636,0.9638780169602087,0.95,0.9915702479338843,2.198777016499,0.9008010232716599,2.5616881058340146,1.0527095942610287,1.601008596204038,0.22872727272727275,0.16072727272727272,0.014909090909090905
33,33,0.9636363636363636,0.9643083376134225,0.9638780169602088,0.9927429876060013,2.1285080922774555,0.6264467670997813,2.303126929587322,1.508152578273762,1.6460585450639251,0.25163636363636355,0.15163636363636362,0.007272727272727253
34,34,0.9781818181818182,0.9783305785123966,0.9724317077258253,0.9982403217697335,2.3347208780057835,0.3827303735709766,1.5562164725027559,1.876463842760633,2.3307411055211533,0.2814545454545454,0.17163636363636361,0.009454545454545427
35,35,0.9745454545454545,0.9748091663687993,0.9698708142104369,0.992775794662587,2.292312115788599,0.4550889690736447,1.9378533208909294,2.1529837335758972,1.459389684539735,0.2294545454545454,0.1814545454545454,0.026545454545454494
36,36,0.9854545454545455,0.9854545454545455,0.977576647097195,0.9960861056751468,1.911701647752426,0.19337054084472227,1.729461875745181,1.9793617008842004,2.782666003392316,0.26,0.17563636363636365,0.034545454545454546
37,37,0.9709090909090909,0.9709090909090909,0.9563006515175592,0.9977753058954393,1.6547261902738188,0.38108984871764806,2.2027617763903633,1.8791560298542382,2.3126935873164522,0.24654545454545457,0.15854545454545457,0.00290909090909095
38,38,0.9745454545454545,0.9747664570535421,0.9717054263565892,0.9879844961240309,2.6047436992070776,0.11989841078033739,2.0203456003340134,1.8037521503371785,2.0729718195589926,0.23309090909090907,0.1792727272727272,0.03854545454545448
39,39,0.9745454545454545,0.9744680323088948,0.9596899224806201,0.9934108527131783,2.6975824106150887,0.370618520299847,2.2092029924770857,1.2963106926188122,2.0397811671910366,0.2836363636363636,0.15527272727272723,0.01890909090909084
40,40,0.9745454545454545,0.9749737975706084,0.9770525242223356,0.9949855515893251,2.155349235799837,0.8699970152959855,1.4792104265939914,2.2940144474069255,1.2146279481688715,0.24399999999999994,0.17090909090909087,0.02072727272727265
41,41,0.9636363636363636,0.9636363636363636,0.9496336996336996,0.9910622710622711,1.9769975173450258,0.002233489681925431,2.4001952202779484,2.5171146517878284,1.522863770450853,0.2436363636363636,0.17418181818181816,0.03999999999999998
42,42,0.9781818181818182,0.9787667984189724,0.9871244635193133,0.9879419578990395,2.1064431657971525,0.7989428325016552,2.1749240251840307,2.522352635006362,0.7700434875839969,0.22145454545454543,0.16618181818181815,0.023272727272727212
43,43,0.9709090909090909,0.971305785123967,0.9676185619581846,0.9971103178650348,1.7341103859756841,-0.12609839585346455,1.9095240837297507,2.8941948221514036,1.8187997797379898,0.2341818181818182,0.19963636363636367,0.013454545454545486
44,44,0.9636363636363636,0.9645786693589686,0.9702957674655788,0.9935407105218427,2.008798306957596,0.15643813966872075,2.060769699006078,2.1368724906204646,1.8476466575362738,0.23854545454545453,0.15054545454545454,0.01709090909090908
45,45,0.9636363636363636,0.9640420376269433,0.9590546958786579,0.9957101271640877,2.34700735598027,0.12949532309858858,1.9236083063763874,1.7238414906331179,2.3450053746592463,0.22799999999999992,0.19127272727272726,0.029090909090909077
46,46,0.9818181818181818,0.9817502581691023,0.9666695412211107,0.9981027940669197,2.0882336991465333,0.8524571980813282,1.8788371184221817,1.423929079108618,1.774461168497194,0.2381818181818182,0.1610909090909091,0.019999999999999997
47,47,0.9781818181818182,0.9781818181818182,0.9687641980917765,0.9960623958806603,1.7045604726968453,0.2767758527327572,2.4639428406395516,1.4618904814861389,2.0309591332159327,0.27272727272727265,0.19018181818181817,0.030909090909090876
48,48,0.9854545454545455,0.9855563173210232,0.9838092809790924,0.9983851776304606,2.394665735044328,0.10499657816784384,2.3607173572418483,2.212643808442674,1.4229373850630371,0.24254545454545454,0.176,0.02581818181818183
49,49,0.9709090909090909,0.9711180133821641,0.9599430838220075,0.9937909624008279,2.003348676183189,0.41981441804535913,2.405664120392047,1.6533241781637478,1.6496521220779086,0.22690909090909095,0.18618181818181823,0.02690909090909095
50,50,0.9527272727272728,0.9525357762785222,0.9152970922882426,0.9885316958641864,2.683730080216958,-0.20822246915135736,1.9119880939779463,1.5560018250781247,2.7413988635125595,0.22654545454545455,0.15563636363636366,0.01636363636363637
51,51,0.9890909090909091,0.9889653375137069,0.9711538461538461,0.999482580200069,1.380181446521721,0.49268827018647526,1.7435811050469316,2.7495711691520976,1.5070506332808342,0.20945454545454548,0.18909090909090912,0.018909090909090966
52,52,0.9709090909090909,0.9705224455909388,0.94366756713809,0.9969013189257906,2.1975895040698807,0.1816718422287625,2.567518045255535,2.691575926325279,0.8133634404861647,0.1981818181818182,0.21200000000000005,0.021818181818181848
