,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_humidity_scaled,feature_importance.fronttop_temperature_fd3_scaled,feature_importance.fronttop_humidity_fd3_scaled,feature_importance.fronttop_temperature_fd1_scaled,feature_importance.fronttop_humidity_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.fronttop_temperature_fd2_scaled,feature_importance.fronttop_humidity_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd1_scaled
0,0,0.9465020576131687,0.9462657030673646,0.9366576819407009,0.9903414195867026,1.9430669355232195,0.648346942886654,2.0423178942768554,1.5875138239553663,1.226948627560066,0.07901234567901236,0.05925925925925927,0.034979423868312785,0.012757201646090566,0.009465020576131734,0.009465020576131722,0.009465020576131722,0.00823045267489716,0.006172839506172856,0.00534979423868317,0.0037037037037037203,0.0012345679012345846
1,1,0.9588477366255144,0.9590714235373787,0.9600527108433735,0.9893072289156627,2.570062100198635,0.7099498562707245,2.3708649503379258,1.3861775515023593,0.4637501771647579,0.10864197530864197,0.09176954732510285,0.05020576131687241,0.011111111111111072,0.01851851851851849,0.005349794238683103,0.009465020576131643,0.004526748971193395,0.009465020576131643,0.015226337448559635,0.003703703703703687,0.004115226337448541
2,2,0.9259259259259259,0.9268697145172815,0.9347874388979411,0.9755591764183085,2.326939447752752,0.6994476475385489,2.289254480579085,1.692614596824262,0.8543761649483126,0.07325102880658435,0.06049382716049384,0.028395061728395076,0.003292181069958855,0.005761316872427991,0.0028806584362139785,0.004115226337448541,0.00781893004115226,-0.0008230452674897082,-0.0024691358024691245,-0.003292181069958833,-0.00781893004115224
3,3,0.9588477366255144,0.9593099138871326,0.9661426380368099,0.9901073619631902,2.6765257292209452,0.5535589070779396,2.3558697869803713,0.9342760373640431,1.105223428560958,0.08641975308641972,0.088477366255144,0.04938271604938269,0.02222222222222219,0.0008230452674896971,0.0127572016460905,0.022633744855967065,0.018106995884773602,0.0164609053497942,0.02304526748971193,0.008641975308641924,0.0024691358024691245
4,4,0.934156378600823,0.935120984808875,0.929290679023347,0.9849402958474426,1.5138793951374123,1.3599222963368318,1.8433451629730166,1.5969835161866124,1.209786875689146,0.0987654320987654,0.05102880658436212,0.029218106995884764,0.005349794238683092,-0.006172839506172867,-0.008641975308642025,-0.0008230452674897303,-0.003703703703703731,-0.006172839506172867,0.007818930041152227,-0.0024691358024691245,-0.0012345679012345733
5,5,0.9382716049382716,0.9387568893048469,0.9417550839964632,0.9800324196875921,2.2679830759112787,0.8672745847465628,1.9382834095386143,1.3809293771543765,1.104481486919488,0.1403292181069958,0.0753086419753086,0.047736625514403254,0.009053497942386779,0.004115226337448518,0.0008230452674896971,0.005761316872427957,0.000823045267489686,0.006172839506172811,0.006584362139917655,-0.0012345679012345956,-0.0004115226337448985
6,6,0.9629629629629629,0.9633692555431687,0.9694101079643248,0.9922547332185887,3.003377799361781,0.2712158777596146,1.322408972382969,0.9364055131126282,1.904108522096438,0.09876543209876537,0.09629629629629625,0.041975308641975226,0.01893004115226332,0.006995884773662519,0.011934156378600768,0.005761316872427957,0.012345679012345623,0.013580246913580184,0.002057613168724259,0.0016460905349793941,-3.3306690738754695e-17
7,7,0.9382716049382716,0.9386084051169221,0.9328322405245482,0.9808092115784424,2.21012597988869,0.3278617645031245,2.358107628334414,1.3915679072658727,1.189756158161919,0.057613168724279795,0.06008230452674894,0.033333333333333284,0.016872427983539016,0.005761316872427935,0.0032921810699588104,0.0008230452674896748,-0.0032921810699588884,0.006584362139917655,0.0061728395061728,-0.004115226337448619,-0.0061728395061729
8,8,0.9547325102880658,0.9550625560961479,0.9595432657230409,0.9931416897709032,2.651399836516183,0.7186281892491413,2.0119679801404393,1.3008036339537368,0.7932118911910804,0.0810699588477366,0.08477366255144031,0.05514403292181069,0.015226337448559658,0.004526748971193395,0.005349794238683103,0.006584362139917666,0.0,0.0012345679012345622,0.003292181069958833,0.006995884773662531,0.004526748971193395
9,9,0.9135802469135802,0.9139991067173572,0.9059440559440559,0.9785547785547786,2.3792415253348373,0.7648869627145505,1.8768560947730655,1.3982059430853921,1.4339217515064624,0.08106995884773657,0.04444444444444441,0.02716049382716045,-0.0020576131687243373,-0.008641975308642025,-0.0032921810699588993,-0.0028806584362140453,0.009876543209876498,-0.007818930041152328,-0.0032921810699589106,-0.0012345679012346177,-0.0032921810699588993
10,10,0.9423868312757202,0.9422302504374152,0.9343800918382461,0.986594578580951,1.6560724952005634,0.5936673803124536,2.212121020832982,2.5314324494144445,0.683258775294815,0.08888888888888893,0.07489711934156384,0.017283950617283984,-0.0032921810699588216,0.0008230452674897415,0.0004115226337448985,-0.0028806584362139676,-0.0037037037037036757,-0.0061728395061728,2.2204460492503132e-17,-0.004115226337448541,-0.0024691358024691024
11,11,0.9547325102880658,0.9547760576567159,0.9532700271312294,0.9874339568756247,1.8056714010796635,0.18052343798884568,2.061891261725382,1.8759346817316171,1.9421405716927747,0.1362139917695473,0.08353909465020573,0.042798353909464994,0.005761316872427968,0.00864197530864197,-0.008230452674897127,-0.0012345679012345622,0.007407407407407374,-0.0020576131687242705,0.0016460905349794165,0.0008230452674897082,0.004938271604938249
12,12,0.9588477366255144,0.9589488070670866,0.9577807250221043,0.9912319481284999,3.1610035285071145,0.3165929413061751,2.091132428038029,0.6926972374379818,1.3808966225188484,0.13456790123456785,0.08230452674897117,0.0407407407407407,0.010288065843621375,0.004115226337448541,0.00905349794238679,0.0016460905349794165,0.0020576131687242705,0.00905349794238679,0.0008230452674896971,-0.005761316872428024,-0.004938271604938293
13,13,0.9135802469135802,0.9139741905922966,0.9069401840490797,0.9779907975460123,2.9867367511036327,0.8013328061146626,1.587240802872981,1.6400985735155513,0.7527180414344188,0.06172839506172835,0.07818930041152258,0.02633744855967073,0.0028806584362139455,0.004938271604938227,-0.0004115226337448763,0.0012345679012345401,0.0032921810699588104,0.0012345679012345512,-0.001646090534979472,-0.0008230452674897526,-0.0004115226337448874
14,14,0.9547325102880658,0.9552290901083172,0.9599045532780472,0.9902206227507432,1.7538500404089155,1.090902311720047,2.341780834882449,1.9054306787911417,0.8673546879799171,0.10576131687242799,0.05967078189300411,0.018106995884773647,0.0037037037037036978,0.004938271604938249,0.004526748971193395,-0.0008230452674897082,-0.0008230452674897082,0.004938271604938249,-0.0020576131687242705,0.0020576131687242705,-0.003703703703703687
15,15,0.9711934156378601,0.9712294073280139,0.9699381078691424,0.9948423224285293,2.578236280602032,0.6665100792315183,1.492666883444764,1.5096195650286781,1.1936574450866186,0.08395061728395065,0.12345679012345681,0.0432098765432099,0.011934156378600869,0.01028806584362143,0.002880658436214001,0.00823045267489716,0.012345679012345723,0.009465020576131722,0.0032921810699588438,0.0020576131687242817,0.00905349794238689
16,16,0.9465020576131687,0.9464441688046564,0.9420889720702563,0.9935934350705442,2.205188609841013,0.9348240544171557,1.174399802457084,1.4843074097597977,1.5875972585425548,0.09711934156378604,0.09588477366255146,0.03539094650205763,0.016872427983539107,0.011522633744856004,-0.00411522633744853,0.009053497942386867,-0.004115226337448541,-0.003703703703703687,0.0069958847736625975,0.003292181069958866,-0.000823045267489686
17,17,0.934156378600823,0.9339832599102831,0.9258399646330682,0.9860005894488653,1.4448241366702856,0.8639455148707844,1.9610790885836407,2.0520375170361094,1.4395195236528047,0.06748971193415634,0.054320987654320974,0.02633744855967074,-2.2204460492503132e-17,-0.0024691358024691466,-0.0024691358024691466,-0.006172839506172867,0.003703703703703687,-0.00534979423868317,0.004526748971193395,0.0012345679012345622,-0.0008230452674897193
18,18,0.9506172839506173,0.9504959994207305,0.9444403910696046,0.9901502991390632,1.874432431449898,0.8504964315170526,1.3928468372762617,2.5932253709123296,1.2763644006658006,0.12386831275720164,0.11646090534979425,0.03292181069958847,0.011111111111111105,0.012345679012345689,0.0028806584362139785,0.006172839506172834,0.0020576131687242705,0.004526748971193395,0.006995884773662553,0.006172839506172823,0.010288065843621397
19,19,0.9506172839506173,0.9513331102186524,0.9602564102564103,0.9864024864024865,2.2569635727474604,0.21562129580838424,1.9919290610603921,1.5409218056106861,1.3908099541553165,0.08888888888888888,0.062139917695473265,0.030864197530864203,0.005349794238683125,-0.0004115226337448541,0.00781893004115225,-0.000411522633744843,0.008230452674897104,0.005761316872427957,0.004115226337448541,0.0004115226337448541,0.0012345679012345622
