,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.righttop_CO2_fd2_scaled
0,0,0.9781818181818182,0.9781818181818182,0.9649413564507905,0.9952405235424103,1.660236217170485,2.2607503441500194,1.9553315107519238,-0.012082547036534264,1.5025798877656353,0.20363636363636367,0.07418181818181817,0.032727272727272695,0.007272727272727231
1,1,0.9709090909090909,0.971107438016529,0.960910005027652,0.993547846489023,2.8573953087166735,1.4714174476507222,1.8054324715857832,1.1021970586675536,0.3665630398158389,0.21672727272727274,0.01381818181818184,0.017454545454545466,0.0061818181818182215
2,2,0.9745454545454545,0.9746228767820143,0.9653170119271814,0.9957627118644068,2.2772118691350323,1.5829752629496807,1.7497615474861294,1.2408847894724186,0.7632576373317121,0.2461818181818181,0.006181818181818133,0.011272727272727235,0.0047272727272726685
3,3,0.96,0.9590076158730829,0.9164654756156446,0.9895380653468533,2.5160175092796866,2.6459096753090146,1.2489186200059854,0.9143038077033441,0.23625487299551057,0.18799999999999994,0.07309090909090907,0.0047272727272726685,0.007636363636363575
4,4,0.9745454545454545,0.9741771170319751,0.9507553317535544,0.9987411137440758,2.0144952184453295,1.8376144015613025,1.943782219380463,1.3063091173206711,0.3274531383354113,0.22363636363636355,0.008363636363636306,-0.005090909090909123,-0.0036363636363636598
5,5,0.9563636363636364,0.9563636363636364,0.9298827129015809,0.9889512153663097,1.7757312575318978,1.704816556124318,1.8972083413140708,1.4935629906391097,1.0643156374742049,0.17490909090909096,0.040363636363636414,0.007636363636363686,-0.0021818181818181403
6,6,0.9709090909090909,0.9707545787545787,0.9549441786283892,0.9965927214731043,2.322206658389897,1.609982831863374,2.2965240050431808,0.24366387381382426,0.8134959327850297,0.23854545454545456,0.004727272727272747,0.001454545454545475,-0.0043636363636362805
7,7,0.9672727272727273,0.9674053017372468,0.9473201174743024,0.9940345080763583,2.003637150385756,1.7914419201214626,1.6775332707558095,0.4219146064749117,1.7379747023949765,0.18145454545454548,0.06000000000000002,0.012363636363636344,0.003272727272727294
8,8,0.9709090909090909,0.971107438016529,0.960910005027652,0.9922071392659628,2.519597055748299,1.494293956453548,1.921861369406204,0.7781909256525256,1.1965872419166024,0.20945454545454548,0.03090909090909093,0.016727272727272736,-0.006545454545454488
9,9,0.9745454545454545,0.9746575864222924,0.9579710144927536,0.9933333333333333,1.33323481556208,1.1789313471702672,2.1092152215716164,1.945660248797095,1.0501008454154424,0.1825454545454545,0.023999999999999945,0.013090909090909042,0.0021818181818181515
10,10,0.9709090909090909,0.9705764597359325,0.9483856635071091,0.9958530805687205,1.522494948125644,2.3325822170920065,2.193640246986025,0.5366852115778711,0.7661398867230174,0.23709090909090916,0.06872727272727278,0.007636363636363686,0.010909090909090957
11,11,0.9636363636363636,0.963890793302558,0.9487506374298827,0.9954954954954955,2.655848474088779,1.8133304405935051,1.7571486203951932,0.37944337641908044,0.883836593695688,0.20654545454545453,0.026909090909090903,0.005090909090909068,-0.001818181818181841
12,12,0.9672727272727273,0.9671504647043841,0.942954467057606,0.9947395653673681,1.5090466076416127,2.1269240308435244,1.466105367190758,1.022344563737822,1.262480497479442,0.2214545454545455,0.045090909090909105,0.0029090909090909167,-0.005818181818181789
13,13,0.9818181818181818,0.9818809703475496,0.9746941511647393,0.9983241159711748,2.0358566471572903,1.6252624796487192,1.895448245055007,0.6202551315474797,1.2196455201434875,0.2301818181818182,0.041818181818181796,0.004000000000000015,0.0
14,14,0.9818181818181818,0.9817655621733989,0.971111615932152,0.9971225200666364,2.218834954677574,2.4266065345381818,1.5601422300644938,1.4338332359044939,-0.19743878545737265,0.25090909090909097,0.047272727272727265,0.008363636363636384,0.003272727272727294
