,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_temperature_scaled
0,0,0.9506172839506173,0.9504741186970103,0.9426100628930818,0.9881701108116203,1.702871000226582,2.541592025548141,1.294978072251405,0.643752548922854,1.1442666538597228,0.31111111111111117,0.21440329218106996,0.17530864197530863
1,1,0.9506172839506173,0.9508857082448545,0.9509036144578313,0.9860692771084337,2.305782201067997,3.154558467329278,0.15851003007448622,0.4416109200613574,1.284293349652644,0.35802469135802467,0.2806584362139917,0.19218106995884776
2,2,0.9300411522633745,0.9309884265956617,0.9406013923863131,0.9697822544808177,1.455721863210716,3.587276341247096,0.5109227290380742,1.3572169788687574,0.648814438008699,0.3090534979423868,0.2773662551440329,0.1905349794238683
3,3,0.9547325102880658,0.954938861738822,0.9535276073619632,0.9809049079754601,1.8586871486624192,2.8588687306107987,0.2956849592155105,1.4335304121434642,0.8670107948858552,0.33991769547325107,0.2613168724279835,0.21234567901234563
4,4,0.9547325102880658,0.954850882892742,0.9431028337194796,0.9822669755836748,1.2540928652207868,3.0185130277806373,0.5537152390226006,1.8234958467805433,0.8921385441169473,0.33497942386831275,0.29670781893004117,0.202880658436214
5,5,0.9300411522633745,0.93059114121216,0.9328028293545535,0.9770114942528735,1.186302762977723,3.3747790723351034,0.7664937156521497,1.1323111952808274,1.1675117240536574,0.29259259259259257,0.2288065843621399,0.19794238683127569
6,6,0.9506172839506173,0.9510887677043097,0.9534110467845407,0.9727742137380693,1.2681776589285734,3.575457247921815,0.9777229139544947,0.9494536336934679,0.6786930406788737,0.3695473251028807,0.3041152263374486,0.18436213991769543
7,7,0.9382716049382716,0.9386084051169221,0.9328322405245482,0.9677754677754679,1.4248950844905057,3.1446314577566965,1.434175920005297,0.6766251786334285,0.7235376943486443,0.3061728395061728,0.26090534979423863,0.17325102880658433
8,8,0.9547325102880658,0.9549774244779266,0.9571720414417044,0.9871589085072231,0.9467450842868876,3.4920495482928477,0.8492965241438677,1.4550025898062335,0.46499290858239406,0.3831275720164609,0.24156378600823042,0.1831275720164609
9,9,0.9547325102880658,0.9552139970064971,0.9599067599067599,0.9898989898989898,1.2955182741815816,2.9535588845018403,0.4080352787059832,1.547631904240616,1.0993756618396466,0.39958847736625513,0.2777777777777778,0.19094650205761315
10,10,0.9547325102880658,0.9549021853987913,0.9544511924159385,0.9739297881795289,1.236644569861029,3.104910641695091,0.5071791431591637,0.7236403596035715,1.8356602867970997,0.3580246913580247,0.28559670781893,0.15473251028806584
11,11,0.9711934156378601,0.9712211275997285,0.9706197343995431,0.9925032129087534,1.646899785033466,3.0080127497835596,0.9500572278036943,0.7945433245975791,0.7719811159623162,0.34485596707818933,0.26049382716049385,0.19382716049382717
12,12,0.9382716049382716,0.9384950745271078,0.9366710875331565,0.9798850574712644,1.322252652341041,3.4191696778076497,1.013721325373893,1.1243777252802072,0.7747451519303437,0.322633744855967,0.26790123456790116,0.17119341563786003
13,13,0.9259259259259259,0.9254251920918587,0.9097776073619632,0.9638036809815952,1.9681760438629927,2.8243586902669944,0.6000947062728426,0.8331497647343968,1.4322982292943909,0.322633744855967,0.24032921810699587,0.1530864197530864
