,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled
0,0,0.8847736625514403,0.8824369046591268,0.8557951482479784,0.943770589997005,2.3650876047590947,-0.2532446835231669,1.5553253214052356,1.7265993443017962,0.7246015183536368,0.151440329218107,0.023045267489711908,0.018930041152263356,0.0156378600823045
1,1,0.8600823045267489,0.859218615048519,0.8386671686746988,0.9457078313253012,3.0970819973684915,0.4231940523303074,1.3349748599360252,1.1531510684332469,0.677067178214249,0.13827160493827156,0.01275720164609051,-0.0020576131687243147,0.007407407407407374
2,2,0.8271604938271605,0.8266907513122455,0.8083987557398904,0.9272700340690269,2.3961391746901226,-0.4919732033123761,1.3792220869427136,2.0219200060900353,0.5581870685323195,0.13415637860082302,-0.008230452674897092,0.0012345679012345733,0.0037037037037036978
3,3,0.8559670781893004,0.8561927962894147,0.8385352760736196,0.9402607361963191,2.5375252558398866,0.055926950936961595,1.2242940667643116,1.9049006557335173,0.5843297425964543,0.16131687242798357,0.018930041152263388,0.008230452674897115,0.0049382716049382715
4,4,0.8600823045267489,0.861486855415316,0.8265460702192122,0.9436820531099626,2.2195755331161173,0.5033969870119824,0.732080845429159,2.5134147349318847,0.6716988046849016,0.11522633744855963,0.00987654320987652,-0.006172839506172878,0.007818930041152227
5,5,0.823045267489712,0.8232663593006574,0.8087975243147656,0.9128352490421456,3.153562074976119,0.32254325499791964,0.8344938146027246,2.00829601081315,0.5799988120596541,0.12962962962962965,-0.003292181069958833,0.006172839506172878,0.005349794238683136
6,6,0.8641975308641975,0.8652945446359945,0.8518619934282585,0.9440619621342513,2.237803955534213,0.0036828130075051285,1.499741768572879,2.176130394630807,0.4017837428793068,0.14444444444444438,0.014403292181069926,0.006995884773662519,0.007818930041152217
7,7,0.8641975308641975,0.8653969874013446,0.8491923876539261,0.9305133535902766,2.9388925011252223,-0.3360343013769443,1.7684042158851614,1.4215573550906326,0.07435252090239552,0.15185185185185182,0.013580246913580207,0.009876543209876498,-0.008641975308642025
8,8,0.8518518518518519,0.8518518518518519,0.8404348460528235,0.9279877425944842,3.0289385678385408,-0.011750638035954906,1.0709972786141313,1.5441199585602525,0.6891631739520164,0.1506172839506173,0.005349794238683125,0.0024691358024691245,0.010288065843621397
9,9,0.8683127572016461,0.8695320835238531,0.8590909090909091,0.9437451437451438,2.6610256159812913,-1.3119513566780248,1.7356565789680363,1.9290677082591523,0.22010797551859876,0.1444444444444445,0.007407407407407462,0.0032921810699588993,-0.004938271604938227
10,10,0.8641975308641975,0.8613452950575256,0.8344319360094801,0.9430454747444824,2.6554942229036436,-0.5982944725124962,1.7428751621704175,1.9070738224551849,0.1800211113192217,0.16543209876543205,0.007407407407407363,0.0024691358024691024,0.009465020576131643
11,11,0.8806584362139918,0.8802855273139512,0.8712694559474511,0.9639440239897188,2.695596244127092,0.25216511559208027,1.1445404766769738,1.9007328734708955,0.4662595831975048,0.1592592592592592,0.006172839506172823,0.0024691358024691245,-0.0008230452674897193
12,12,0.8518518518518519,0.8496355771011127,0.8261494252873562,0.9456970232832302,2.643823340698809,-0.18776173177411892,1.397338725478844,1.9680740333861704,0.30112166572175536,0.1395061728395062,0.008230452674897115,-0.0024691358024691245,0.005761316872427991
13,13,0.8271604938271605,0.8265935226159575,0.8011503067484662,0.9217024539877301,2.544945413236186,0.026361395726322255,1.3467056896036516,1.9215940937450005,0.48208861062102343,0.11563786008230452,0.006995884773662564,0.003703703703703709,0.009465020576131689
14,14,0.8930041152263375,0.8933657563287194,0.8799092473791268,0.9633860115787827,2.551922209532271,-0.10246275964594206,1.8757632002330176,1.7002989100011736,0.20311480460584497,0.1613168724279836,0.011522633744856004,0.0037037037037037424,0.022222222222222275
15,15,0.8353909465020576,0.8329284190012363,0.8082449160035368,0.9406867079280872,3.5359148310264383,-0.13786103989565823,0.8043298520060748,1.7303107922787513,0.24657490061665388,0.14279835390946496,-0.013580246913580262,0.008641975308641947,-0.006172839506172878
16,16,0.8806584362139918,0.8799634914355171,0.8678735963144255,0.956881658508494,3.092471723893743,-0.11515457130087536,1.3177323889665788,1.7334192241467417,0.04228669622039635,0.1613168724279835,0.018106995884773658,0.0012345679012345512,0.017283950617283928
17,17,0.8806584362139918,0.8782271298213329,0.8536693191865605,0.9536545829649278,2.057773392846799,0.408558980912835,1.9389346708297281,1.6339586256595258,0.5764550704855881,0.14938271604938272,0.01563786008230451,0.014814814814814803,0.0185185185185185
18,18,0.8806584362139918,0.8787856385993444,0.858419670217423,0.9441850284546913,2.9611142658077703,-0.7017269399559374,1.2077771323502933,2.2331111332388947,0.128296946948314,0.19753086419753085,0.013991769547325084,0.01646090534979422,0.014814814814814814
19,19,0.8600823045267489,0.8617568232273075,0.853030303030303,0.9476301476301476,2.5204745698541506,-0.1696381824071507,1.7446772694348136,1.7191802938891232,0.35565493178536445,0.12798353909465016,0.0020576131687242484,-0.0037037037037037533,-0.0008230452674897415
20,20,0.8436213991769548,0.8460346491896561,0.8360384494169555,0.9305861960289946,2.4317062385622163,0.05370833029806685,0.6031829384407211,2.662384596564689,0.749111158533724,0.15102880658436216,0.005761316872428024,0.005349794238683192,0.01028806584362144
21,21,0.8683127572016461,0.8704726475300385,0.8635454981608828,0.9415480569326723,2.9337094876012286,-0.09997893029017484,1.5382047535237788,1.767202340263519,0.21553483280016178,0.1609053497942387,0.0037037037037037424,0.0016460905349794607,-0.003703703703703665
22,22,0.8148148148148148,0.8159321627589962,0.8041030958376537,0.9259368982372982,2.5474891713432575,-0.010926130548387064,1.4699426550793075,2.1934547562264184,0.05628454045281846,0.10576131687242793,-0.015226337448559724,-0.013168724279835443,-0.032098765432098796
23,23,0.8724279835390947,0.8717115294606294,0.8462417270721714,0.9517018594390166,2.692740895947232,0.6817331147336285,1.465278171105005,1.2664058972060908,0.8582972201142881,0.1279835390946502,0.008641975308642014,0.007407407407407441,-0.0028806584362139676
24,24,0.8436213991769548,0.842261329267688,0.8211376092430751,0.936157606280551,2.837761953789527,0.03998750024294518,1.1570140952286994,1.9652672225943242,0.5148428961841872,0.14773662551440334,0.0008230452674897637,0.004938271604938327,0.004938271604938327
25,25,0.8600823045267489,0.8608180589615438,0.8509658580413297,0.9585953878406709,2.740025413791972,-0.0693379525991563,1.6962472947448843,1.975185834446231,-0.16048235137423378,0.14650205761316867,0.013991769547325072,-0.017695473251028836,0.003292181069958833
26,26,0.8271604938271605,0.8291869360631112,0.8020644095788605,0.9148637489677952,2.9916994307044837,0.3696805924351709,1.141803949217734,1.8924870934980573,0.340859633930507,0.09218106995884776,-0.00781893004115224,-0.009053497942386812,-0.005349794238683115
27,27,0.8395061728395061,0.8398153536515667,0.8110394842868653,0.9257050765511685,2.809475502266305,-0.1324295407813418,1.2995348102127435,1.3595087355563242,0.6430919230751797,0.14362139917695466,0.008230452674897071,-0.005349794238683181,0.00041152263374480966
28,28,0.8930041152263375,0.8943180309667764,0.8955572289156626,0.9625753012048193,2.480824357504117,-0.5741791130750478,1.4673962419433788,2.3241676850350266,-0.15576872484968313,0.16255144032921814,0.02139917695473257,0.002057613168724326,0.00534979423868317
29,29,0.8353909465020576,0.8330489965945646,0.8158605974395448,0.9278093883357041,2.5626720047107368,-0.08823189439244954,1.0649757098199657,2.087982466634797,0.42533857939474184,0.15720164609053494,0.006584362139917655,0.006995884773662519,0.00411522633744853
30,30,0.8559670781893004,0.8562068867439965,0.8364801864801865,0.929059829059829,3.2259003115844043,-0.47512895661694776,0.7863750244634522,2.0669176249766577,0.3350552242644788,0.13662551440329213,0.011934156378600813,0.014814814814814814,0.0213991769547325
31,31,0.8683127572016461,0.868827409198078,0.846125730994152,0.9524041585445095,2.559655297542841,0.012820546286522684,1.6105912473828214,1.736571866069334,0.33367131542374434,0.12304526748971197,0.008641975308642025,-0.0037037037037036535,0.002880658436214034
32,32,0.8683127572016461,0.8674488010702891,0.845679012345679,0.9350708733424783,3.2373815890771485,0.027046081321364174,1.910686231383711,1.1197343835058886,0.13799667044329963,0.13662551440329224,0.021810699588477422,0.0020576131687243147,0.026337448559670816
33,33,0.8683127572016461,0.867093430879439,0.8460242587601079,0.9584456424079066,2.1795122075181217,0.4329543261883998,1.8797561825882032,1.9197847131699497,0.26402821448439145,0.12427983539094653,0.007818930041152316,0.0008230452674897637,-0.007818930041152217
34,34,0.831275720164609,0.8266416680498064,0.7965175953079179,0.9163489736070382,2.749510250575122,-0.19010508180695293,1.5764651712214601,1.1886582627555153,0.6324248323207878,0.13045267489711931,0.008230452674897104,0.014814814814814814,0.0028806584362139785
35,35,0.831275720164609,0.8300721981865441,0.8089542290031106,0.9382313731299067,2.947113588358641,-0.5258357329399915,1.2888299022643401,1.9909470498038366,0.06521054591966759,0.13374485596707816,0.0032921810699588438,-0.0057613168724279795,-0.016049382716049377
36,36,0.8724279835390947,0.8719332352804604,0.8582478005865102,0.9434750733137829,2.5780473094534466,-1.6269165564718737,1.7418734015369541,1.8454643444296353,0.21436085181372613,0.14444444444444446,0.01111111111111116,0.006172839506172856,0.01028806584362143
37,37,0.8641975308641975,0.8636529595593923,0.8484748010610079,0.9427497789566756,2.617400525260529,0.9196837549336506,1.3417351948059881,2.280008226180688,0.07797532001115844,0.15637860082304522,0.008230452674897071,-0.0008230452674897415,-0.006172839506172878
38,38,0.897119341563786,0.8977400904216646,0.8940897644793364,0.9554880758406162,3.0071665318147187,0.353226330946225,1.178996525500423,1.9451431432596458,0.3252936613014669,0.1732510288065844,0.01975308641975313,0.012345679012345711,0.012345679012345701
39,39,0.8847736625514403,0.8825057777066285,0.857036485480268,0.9615040953090097,2.7757884141375944,0.8434435750522482,1.4393123968629986,1.6735971737910054,0.34000214551381586,0.18148148148148144,0.01975308641975305,0.003292181069958833,0.013991769547325061
40,40,0.8765432098765432,0.8769730195433005,0.8599905452253388,0.9542231326820044,2.8287966263750266,-0.24171723303227233,1.3416403423583758,1.5793268070879036,0.3433546748491203,0.14074074074074075,0.003703703703703709,0.0074074074074073955,0.005349794238683136
41,41,0.8271604938271605,0.8236529451137885,0.7986928104575164,0.9400145243282497,2.946755309751254,-0.004925856811466788,1.2116627655768835,1.7364191652491492,0.40153666712200325,0.12098765432098765,0.005761316872427991,-0.004526748971193406,-0.01563786008230451
42,42,0.8806584362139918,0.8785893030871258,0.8479020979020979,0.9623931623931624,2.8080036914564888,-0.49386780056624885,1.3225282556698945,2.0026281484346606,0.05667932594419085,0.14115226337448558,0.012345679012345668,0.0008230452674897193,0.008230452674897092
43,43,0.8271604938271605,0.8284734438580592,0.8008040935672515,0.9286062378167641,2.84750461009802,0.3043954445742403,1.502718793791307,1.7101275900913202,0.32111238017965954,0.10781893004115226,-0.016872427983539086,-0.006995884773662542,-0.01069958847736625
44,44,0.8683127572016461,0.8697443534375775,0.8641975308641976,0.9519890260631001,2.9862064380919877,-0.28768756883066715,1.2667341549222007,1.7918749465764998,0.26642563566123795,0.16954732510288067,0.0032921810699588993,0.0032921810699588884,0.00246913580246918
45,45,0.8436213991769548,0.8425642944161463,0.8166027607361963,0.9207822085889571,2.8053581250470954,-0.3061819992527339,1.6637201419037768,1.3844541013473035,0.4490835486893471,0.13086419753086426,0.007407407407407441,0.01399176954732515,0.005349794238683181
46,46,0.8518518518518519,0.8541889541741415,0.8513803680981595,0.9395705521472394,2.438645110199155,0.5961103834050092,1.0222052269085955,2.3803821548005737,0.3324813196516051,0.1320987654320988,0.009465020576131711,-0.005761316872427968,0.016460905349794254
47,47,0.8353909465020576,0.8321511110094691,0.8027550260610573,0.9379002233804915,2.8981787141691626,-1.134234747870585,1.7955364363893553,1.8503350064579758,-0.2021579475330413,0.12181069958847734,0.009876543209876487,-0.0020576131687243147,0.000823045267489686
48,48,0.8806584362139918,0.8785893030871258,0.8479020979020979,0.9526029526029526,2.3107869975424506,-0.3928178702127376,1.611858217694819,1.9497125714953565,0.44715950435232676,0.14979423868312755,0.014814814814814803,0.01728395061728395,0.009876543209876543
