,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_temperature_fd3_scaled,feature_importance.lefttop_CO2_fd3_scaled,feature_importance.lefttop_humidity_fd2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_temperature_fd2_scaled,feature_importance.lefttop_temperature_fd1_scaled,feature_importance.lefttop_humidity_fd3_scaled,feature_importance.lefttop_humidity_fd1_scaled
0,0,0.9745454545454545,0.9748091663687993,0.9698708142104369,0.9966853646098929,2.5440326872403727,2.4172407068852695,1.4420925143216816,1.1465493082710565,1.1417018162393722,0.08654545454545447,0.04181818181818177,0.01745454545454539,0.005454545454545401,0.0036363636363635488,0.0007272727272726986,0.0,0.0,-0.001454545454545475,-0.0018181818181818299,-0.002545454545454573,-0.008000000000000052
1,1,0.9672727272727273,0.9676031633207032,0.958647561588738,0.9947209653092006,2.5819547882075176,2.383657992026855,1.2691020959038826,1.4565427062080174,1.343568485951574,0.10763636363636367,0.05054545454545456,0.0029090909090909054,0.010909090909090901,-0.0018181818181818299,0.005818181818181856,0.004727272727272747,0.0043636363636363916,0.0036363636363636598,0.003272727272727294,0.0069090909090909315,0.0
2,2,0.9636363636363636,0.9640625652882434,0.958372567482737,0.9952134337727557,2.3774438663146773,2.7135226328182402,1.2185449769015915,1.8391474602398328,1.0352309178910708,0.0949090909090909,0.05490909090909091,0.0065454545454545435,-0.0036363636363636264,-0.005818181818181845,0.0029090909090909167,-0.012363636363636344,-0.008000000000000018,-0.0036363636363636598,-0.000363636363636366,0.003272727272727294,-0.0061818181818182215
3,3,0.9563636363636364,0.9560736523750223,0.9271286013198132,0.9928375985836151,2.0143975200352893,2.3448088641780824,1.157226108820516,1.2863570663437434,1.93666993396088,0.10000000000000005,0.07418181818181822,0.00909090909090915,0.008000000000000052,0.0,0.008727272727272783,0.003272727272727294,0.0010909090909090979,0.004000000000000026,-0.003636363636363582,0.00909090909090915,0.0007272727272727541
4,4,0.9854545454545455,0.9853734106564296,0.9741928317535544,0.9990373222748815,1.9056886939863162,2.4758479731036545,1.3691845220405257,1.9186079798665043,1.1517776592732056,0.15854545454545457,0.05527272727272731,0.013454545454545464,0.008727272727272773,-0.0003636363636363549,0.0072727272727273196,-0.0021818181818181958,0.006545454545454588,0.0018181818181818299,0.0018181818181818299,0.0021818181818181958,-0.000363636363636366
5,5,0.9709090909090909,0.9714890588863192,0.9748002719700832,0.9949005609382968,2.734635086171045,2.6619266292696016,0.9819963119178096,1.216003806925468,0.9916392500855752,0.1061818181818182,0.06218181818181824,0.01563636363636366,0.004727272727272769,0.008363636363636406,0.004000000000000026,0.005090909090909123,0.0043636363636363916,0.0061818181818182215,0.0021818181818181958,0.006909090909090953,2.2204460492503132e-17
6,6,0.9818181818181818,0.9818647337768882,0.9776714513556619,0.9974626649267798,2.0288712556185766,1.9287175255038165,0.5354754178681556,2.0984483722465734,2.081149566135613,0.1472727272727273,0.07454545454545454,0.009818181818181827,-0.00436363636363637,-0.0061818181818182215,0.0036363636363636598,-0.005818181818181856,-0.0025454545454545617,-0.007636363636363652,-0.00618181818181821,-0.0018181818181818299,-0.005818181818181856
7,7,0.96,0.9607673818606804,0.9511288546255506,0.993208516886931,1.7528027966088404,2.3971871525434416,1.2092864154899252,2.0458009363044285,1.5710136664442031,0.07454545454545451,0.056727272727272696,0.003636363636363582,-0.003636363636363671,-0.004727272727272758,-0.005818181818181856,-0.007636363636363686,-0.0036363636363636598,-0.0061818181818182215,-0.010545454545454613,-0.004727272727272758,-0.008000000000000052
8,8,0.9672727272727273,0.9673857466255894,0.9516507457683928,0.9940506116976705,2.363265723901531,1.9682042875333599,1.5452941722530853,2.120793035315298,1.2833120441860038,0.0789090909090909,0.07018181818181816,0.009454545454545448,0.01018181818181817,-0.0036363636363636485,-0.000727272727272732,0.0021818181818181958,-0.000727272727272732,0.0,-0.000363636363636366,-0.0003636363636363549,-0.000727272727272732
9,9,0.96,0.9601762072350307,0.9314009661835749,0.9893719806763285,2.4739945663709846,2.2727794265653465,0.7152929487178318,1.9542339876493862,1.8521319473105642,0.0858181818181818,0.06618181818181817,0.0069090909090908535,0.00290909090909085,0.006545454545454477,0.0018181818181817854,-0.000727272727272732,0.0032727272727271937,-0.000727272727272732,0.0021818181818181294,0.002545454545454484,0.0
10,10,0.9745454545454545,0.9746138845227394,0.967083827014218,0.9964454976303317,2.5849104571402934,2.2201780911078424,0.7260731034498336,1.9955030997095426,1.5745675347294978,0.12290909090909086,0.07309090909090904,0.0072727272727272085,0.005818181818181745,0.006545454545454488,0.0014545454545454306,-1.1102230246251566e-17,0.0,0.0,-0.003272727272727294,0.0014545454545454306,0.0021818181818181403
11,11,0.9636363636363636,0.9641322314049586,0.9559323474417813,0.9940506544280129,2.6429726293492135,2.104995287882992,1.1288401070074483,2.2898804937415114,0.907312491496852,0.09854545454545453,0.04727272727272728,-0.00036363636363637706,0.010181818181818136,-0.0010909090909090979,0.0032727272727272826,0.0,0.000363636363636366,0.0032727272727272718,0.0029090909090909167,0.002181818181818185,0.00436363636363637
12,12,0.9636363636363636,0.9643801652892562,0.9628320110382891,0.9966367713004484,2.3329081913377627,1.9103067586435916,0.3870645631302639,2.472723199271184,2.0466724657922404,0.11854545454545454,0.05563636363636364,0.0003636363636363549,-0.005818181818181845,-0.000727272727272732,0.0,-0.0021818181818181958,-0.0036363636363636598,-0.0043636363636363916,-0.000727272727272732,0.0036363636363636598,-0.007636363636363663
13,13,0.9745454545454545,0.9749629872365337,0.9771660801072566,0.9987430869783811,2.896533162834429,2.6611213771695708,1.0508021138055197,1.2817137787258348,0.9030241047314885,0.09490909090909086,0.039636363636363595,-0.001454545454545464,0.0010909090909090758,0.0007272727272727208,0.005818181818181755,-2.2204460492503132e-17,-0.0007272727272727431,-0.0021818181818181958,-0.000727272727272732,0.00545454545454539,0.00290909090909085
14,14,0.9854545454545455,0.9853693051241694,0.9734590337725277,0.9983340905648947,2.993126330153245,1.7520160546342876,1.307802584781038,1.443900464326921,1.4242555480036572,0.12909090909090915,0.07200000000000002,0.005818181818181856,0.016000000000000035,0.003272727272727294,-0.0025454545454545617,0.000727272727272732,0.000363636363636366,0.0021818181818181958,-0.0036363636363636485,-0.0025454545454545617,0.000363636363636366
15,15,0.9563636363636364,0.9565790901340773,0.945859644087256,0.9861509758897818,2.783422144651536,1.8846860985185667,1.6656086049895789,1.1057070470006995,1.7291261127891386,0.11636363636363642,0.0625454545454546,0.02436363636363641,0.0061818181818182215,0.001818181818181841,0.008000000000000052,-0.0014545454545454306,0.0036363636363636598,0.005090909090909123,-0.00036363636363632155,0.0036363636363636598,0.001818181818181852
