,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_temperature_fd3_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_humidity_fd3_scaled,feature_importance.rightlow_humidity_fd1_scaled,feature_importance.rightlow_temperature_fd2_scaled,feature_importance.rightlow_humidity_fd2_scaled,feature_importance.rightlow_temperature_fd1_scaled
10,10,0.9672727272727273,0.9675303049625774,0.962344490521327,0.9962233412322276,2.3958815544156002,2.243257016440892,0.5868570944331134,1.2952150040118604,1.614458951912396,0.144,0.1021818181818182,0.04036363636363638,0.0058181818181818334,0.0010909090909090868,0.00690909090909092,0.00436363636363638,0.0043636363636363916
11,11,0.9563636363636364,0.9572335883294787,0.9514278429372769,0.993200747917729,2.323759686550532,2.627967260398638,0.8339186786112333,1.753940918191712,0.6669241091173661,0.12545454545454549,0.07454545454545458,0.02763636363636369,0.006545454545454588,0.0007272727272727541,3.3306690738754695e-17,0.00981818181818187,2.2204460492503132e-17
12,12,0.9563636363636364,0.9572561983471074,0.9509744739565367,0.990082787167989,2.744442242875961,2.252787047299031,1.5682111468591158,0.7183957253641764,0.8185872854940321,0.1363636363636364,0.07236363636363641,0.041818181818181886,0.0072727272727273196,0.002181818181818218,0.001818181818181852,0.01418181818181823,0.001818181818181852
13,13,0.9636363636363636,0.9643430929283175,0.9633819339701692,0.9953075247192895,2.4003495554007634,2.905873936219859,0.6589863827878193,1.43797430592325,0.8440465582597317,0.12545454545454543,0.08399999999999999,0.033090909090909074,0.0007272727272727208,0.0058181818181818005,-0.003272727272727294,0.009454545454545427,-0.006909090909090953
14,14,0.9818181818181818,0.9817655621733989,0.971111615932152,0.9990155989701651,2.260910268782993,3.0394014363954556,0.6031536339219661,1.5648738923128245,0.3505763826707019,0.1589090909090909,0.09854545454545453,0.023636363636363622,0.0010909090909090979,-0.000363636363636366,0.0018181818181818188,0.008000000000000007,-0.000363636363636366
15,15,0.9527272727272728,0.9528454018092573,0.9383969575200919,0.9860074626865671,2.689527923092892,2.5635128709562895,0.7457916732434682,0.8964779040954757,1.3020595293532293,0.13672727272727275,0.1123636363636364,0.031272727272727306,-0.005818181818181789,-0.0032727272727272492,-0.0010909090909090758,-0.009090909090909071,0.000363636363636366
16,16,0.9672727272727273,0.9676117853313136,0.9581845996940337,0.9950705422403535,2.3857851469018168,2.6682902826116712,0.5187259266701465,1.2619145441983948,1.2654442623789708,0.10909090909090909,0.08436363636363639,0.02836363636363638,0.011999999999999988,-0.0010909090909090979,0.005454545454545467,0.0058181818181818334,0.002545454545454551
17,17,0.9672727272727273,0.967380092821862,0.952870189171559,0.9916829745596868,1.7686048691574565,2.977208033353573,1.170899358536619,0.7057239065912281,1.7887074773629636,0.14654545454545456,0.1,0.03345454545454547,0.008000000000000007,0.006545454545454565,0.0,0.005090909090909102,0.01090909090909089
18,18,0.9636363636363636,0.9634524058031521,0.9462205171923842,0.9945296959363455,2.6104053591191296,3.149755393856296,0.9712927482205818,0.837431961958383,0.6853623297410012,0.15563636363636363,0.09418181818181817,0.04545454545454545,0.014181818181818162,0.0018181818181818299,0.011272727272727245,0.003999999999999992,0.0029090909090908946
19,19,0.96,0.9605904701333913,0.9638566694283348,0.9911626622479978,2.1055974567939795,1.8942003356254806,1.0061249961528684,0.42960639314753574,3.1345085265587103,0.13854545454545453,0.09927272727272726,0.03127272727272723,0.02799999999999997,0.02109090909090904,0.015272727272727238,0.009454545454545405,0.026909090909090872
20,20,0.9490909090909091,0.9509677318197497,0.9524076147816349,0.9866554684583799,2.9789172337425445,2.509702367957663,0.368356136143052,1.0921027032517119,1.3991797774481578,0.11272727272727275,0.08327272727272726,0.030545454545454553,0.0014545454545454527,0.002909090909090928,0.0021818181818181958,0.008363636363636373,0.0
21,21,0.9745454545454545,0.974455237806644,0.956175632646221,0.9947209653092006,2.8382493350105475,3.1221429680453925,1.295176394118197,0.3878115411713869,0.4441030334370306,0.1363636363636363,0.06981818181818177,0.04290909090909086,0.01563636363636358,0.020363636363636306,0.010909090909090846,0.013454545454545408,0.010909090909090835
22,22,0.9672727272727273,0.9671597079198653,0.9454545454545454,0.9935537190082644,2.7258773872635755,1.9908154766542434,1.1287990648118602,1.347049083378924,0.9437414399836893,0.13345454545454546,0.05636363636363637,0.03963636363636365,0.005818181818181845,0.002545454545454551,0.003272727272727294,0.00945454545454546,0.002545454545454551
23,23,0.9636363636363636,0.9638603549620498,0.9516923565866836,0.992769744160178,1.709539461954559,2.8793999196291753,1.071703356705288,1.21166060694237,1.3201523562373172,0.1221818181818182,0.07818181818181817,0.05527272727272725,0.013090909090909052,0.006181818181818166,0.006181818181818177,0.010909090909090879,0.007999999999999974
24,24,0.96,0.9601247507944969,0.9430716669315112,0.9938820912124583,2.04579000091996,3.090732674673115,1.0942720854626924,1.326941609737324,0.48486718337929924,0.11418181818181812,0.058909090909090876,0.01599999999999996,0.014181818181818162,0.0014545454545453972,0.0021818181818181515,0.0010909090909090534,-0.0072727272727273196
25,25,0.9527272727272728,0.9528543569708018,0.9365373222748815,0.987188981042654,2.5989928869205143,2.6030454478829657,0.6401291518046859,1.1621812239082083,0.9899212167533724,0.1545454545454546,0.10472727272727275,0.029818181818181844,0.009818181818181847,1.1102230246251566e-17,-0.001454545454545464,-0.0029090909090908946,-0.0014545454545454527
26,26,0.9563636363636364,0.9566392672955522,0.9400853050056333,0.9919523579591181,1.8203239331267962,3.0158961661444814,1.2452049144915807,0.7613816748556577,1.427160940421155,0.10545454545454551,0.10000000000000006,0.039272727272727334,0.006545454545454588,-0.005818181818181755,0.0003636363636363993,-0.005818181818181755,-0.0003636363636363549
27,27,0.9672727272727273,0.9669422912247513,0.9404876871076775,0.9954933204571061,2.5725253488116278,2.895050245113573,0.8328757259269911,1.286955762547487,0.4373686746727986,0.13272727272727272,0.07309090909090912,0.040727272727272744,0.004727272727272724,-0.0018181818181818299,-0.0007272727272727208,0.004000000000000015,0.004727272727272747
