,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_temperature_fd3_scaled,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_humidity_fd1_scaled,feature_importance.leftlow_temperature_fd2_scaled,feature_importance.leftlow_humidity_fd3_scaled,feature_importance.leftlow_humidity_fd2_scaled,feature_importance.leftlow_temperature_fd1_scaled
0,0,0.9672727272727273,0.9676117853313136,0.9581845996940337,0.9898861125276219,1.5986452341114261,3.4771841301786446,0.13591042137813203,1.614084456021199,1.2087247306465054,0.11745454545454548,0.0643636363636364,0.04254545454545459,0.006909090909090909,0.0018181818181818299,1.1102230246251566e-17,-0.000363636363636366,-0.0036363636363636264
1,1,0.96,0.9598582308390118,0.9331322272498743,0.9912016088486677,1.8034103814339653,3.3146556003847922,-0.02066764981954306,2.1883761277124627,0.4985782332849817,0.11927272727272724,0.056363636363636324,0.018909090909090875,0.009454545454545405,-0.0014545454545454972,0.005090909090909024,-0.001090909090909109,0.006545454545454477
2,2,0.9709090909090909,0.9710838618745596,0.9630021971123666,0.9887790332705587,1.3808328626427373,2.7181563842118734,1.0195338694658493,1.9565873274867476,0.8612930151446067,0.11418181818181823,0.06036363636363641,0.03890909090909095,0.011272727272727313,0.00981818181818187,0.005090909090909135,0.0061818181818182215,0.005090909090909123
3,3,0.9345454545454546,0.9353518233179251,0.9133671334299049,0.9884918718815388,1.3983166940831249,3.158750088091711,0.5865164543944092,2.731149111281547,0.04305361772482683,0.09927272727272732,0.03018181818181822,0.016727272727272747,-0.007272727272727231,-0.0032727272727272605,-0.006181818181818166,-0.004727272727272735,-0.007272727272727231
4,4,0.9818181818181818,0.9817680913676893,0.9718231635071091,0.9967417061611374,2.3009181438938686,3.416890063910266,0.5050661478660816,0.9066590790621508,0.5980112856937898,0.10800000000000001,0.07018181818181818,0.033090909090909094,0.018181818181818177,0.0010909090909090868,0.012363636363636354,0.011999999999999988,0.01018181818181818
5,5,0.9636363636363636,0.964361323607899,0.9631140574536801,0.9831718510963794,1.9424105756032206,2.898179003577124,0.5845215757184999,1.8840541856306732,0.8729331881224102,0.0956363636363636,0.048,0.024363636363636355,0.010181818181818158,0.015636363636363636,0.006909090909090898,0.004363636363636359,0.005090909090909068
6,6,0.9636363636363636,0.9636363636363636,0.9501594896331738,0.993040452370596,1.229299246901781,3.1081702120875287,0.33358455874006376,1.7558353589690634,1.1883835481104086,0.09454545454545453,0.06654545454545453,0.031272727272727265,0.009454545454545427,0.0018181818181817965,-0.006909090909090943,0.000727272727272732,-0.00036363636363638817
7,7,0.96,0.9613097913322632,0.9675569016152716,0.9855910425844346,1.6895253351270703,3.1106432842555325,0.7246357338414289,1.5988514613933047,1.2216425279570766,0.1007272727272727,0.04436363636363633,0.018545454545454497,0.010181818181818136,0.010181818181818158,0.005818181818181778,0.005818181818181778,-0.00290909090909095
8,8,0.96,0.9606561228002672,0.95412267471091,0.9922071392659628,1.6852707986436801,3.321521778203068,1.2949074455079834,1.5107701412011285,0.12882808763311615,0.0803636363636363,0.039636363636363615,0.031636363636363594,0.008727272727272672,0.00036363636363632155,0.0007272727272726875,-0.00036363636363638817,-0.0010909090909091202
9,9,0.9527272727272728,0.9537115516062884,0.9359903381642511,0.9815458937198067,2.2416617605802673,2.8649512545886253,0.4592617787706145,2.0553976752411005,0.8270217362761179,0.0963636363636364,0.050181818181818216,0.03418181818181822,0.006909090909090943,0.01745454545454548,0.007272727272727308,-0.0029090909090909054,0.00545454545454549
