,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_temperature_scaled
0,0,0.96,0.9595517039160747,0.9249532551419344,0.9933707292197859,2.0544036734708295,0.20900122605240196,1.9430027273457826,2.2553522285436927,2.065245330429641,0.23636363636363633,0.02618181818181815,-0.002181818181818229
1,1,0.9636363636363636,0.9636363636363636,0.9423914865091336,0.9927099044746104,2.264498825273315,0.8331562615762115,2.21322235247964,1.7946133274727611,1.2641422133086921,0.2610909090909091,0.04618181818181819,0.0021818181818181737
2,2,0.9709090909090909,0.9710838618745596,0.9630021971123666,0.9954488386691777,2.2714253746102275,0.3588765771815328,1.7667170095784483,2.8879170284512106,0.9175965760747222,0.30254545454545456,0.012363636363636387,0.002181818181818218
3,3,0.96,0.9595961337191405,0.9294221793014646,0.9948495090938355,2.360950288992466,0.3512153977727234,2.026328274105975,2.525572797188009,0.9124955345663209,0.23490909090909087,0.02763636363636359,0.012363636363636332
4,4,0.9818181818181818,0.9815550835942678,0.9609375,0.9989632701421801,2.483573819989314,0.2607534366073615,1.6256371035602812,2.6394614405321253,1.3717263054863977,0.29454545454545455,0.030181818181818153,0.01781818181818181
5,5,0.9527272727272728,0.9528948180993496,0.9276304606493286,0.9915009348971613,2.6572374445990925,0.19308663833602754,1.7017530071235494,1.606304458761681,2.2689879763229763,0.21272727272727274,0.052727272727272775,0.009818181818181847
6,6,0.9781818181818182,0.9781818181818182,0.9700956937799043,0.9990575612585182,2.3151659683573973,0.45920221475276873,2.226709079321971,2.08497191381586,0.8546509741213187,0.29709090909090907,0.03127272727272723,0.007999999999999962
7,7,0.96,0.9598334297281665,0.9264867841409692,0.9962371512481645,2.5091924917165525,-0.1555901639265261,2.489890411609604,2.840776326359123,0.2800416998372493,0.20181818181818176,0.02981818181818179,-0.0010909090909091313
8,8,0.9745454545454545,0.974267620020429,0.9491788168258757,0.9970672029495559,2.506257311898549,0.18618899383185664,1.3335907930463486,2.1907101843698715,2.251288420042321,0.26145454545454544,0.04581818181818177,0.0069090909090908535
9,9,0.9563636363636364,0.9563636363636364,0.9202898550724639,0.9943961352657005,2.417601437498163,0.06259093916084632,1.8661214659978969,2.9567426691120002,1.0237182781829273,0.18981818181818189,0.00981818181818187,-0.0010909090909090534
10,10,0.9672727272727273,0.9671825644618407,0.951458827014218,0.996149289099526,3.0863767931261266,0.18330538894999465,1.6162796401364952,1.9401324081038052,1.4530257368173072,0.29709090909090907,0.01709090909090909,0.005454545454545478
11,11,0.9563636363636364,0.9560418953244065,0.9227010028896822,0.9915859255481897,2.6234642784605633,0.3413732168687275,1.8710639879565596,2.5616898674693322,0.7372872888392631,0.23818181818181822,0.018545454545454587,-0.0032727272727272384
12,12,0.9854545454545455,0.9856580891875009,0.9910313901345291,0.9987926871334942,2.387121241278559,0.6210725305679817,2.1611862823758923,1.2924474943125983,1.6025146282199645,0.26509090909090915,0.045090909090909105,0.013454545454545474
13,13,0.9745454545454545,0.9749629872365337,0.9771660801072566,0.998072733366851,2.2329075229406135,0.2796721338040986,2.0870903717343845,2.0723859324742073,1.6260801355149437,0.2694545454545454,0.02254545454545449,-0.002909090909090961
14,14,0.9818181818181818,0.9817655621733989,0.971111615932152,0.997425412691201,1.6562247434542476,0.8072675805654034,1.8454992486587272,1.9166982243736952,1.9540270878823556,0.30690909090909085,0.03963636363636362,0.011272727272727257
15,15,0.96,0.9598975856908458,0.9432046498277842,0.9895952927669345,2.279334793105427,0.8657481239765743,1.798022218131648,2.4248826592274764,0.7038175595272649,0.2825454545454545,0.036727272727272706,0.018909090909090875
16,16,0.9709090909090909,0.9711126346420463,0.9604368519462859,0.9972802991670917,2.187812954320346,0.266659328103171,1.5035807277587878,2.8436814957296788,1.061878210734493,0.2370909090909091,0.031272727272727306,0.009454545454545483
17,17,0.9818181818181818,0.9818778293454791,0.975293542074364,0.9941291585127201,2.511273847054379,0.6444834384107332,2.1004109830521895,1.5664969134753273,1.308475005278228,0.25381818181818183,0.05272727272727272,0.030909090909090886
18,18,0.9527272727272728,0.9528425700243094,0.93897414038079,0.9927536231884058,2.792482694964784,0.4633956247307069,1.808619344277647,2.146032877572099,1.111702676919533,0.27890909090909094,0.038181818181818226,0.01381818181818184
19,19,0.9709090909090909,0.9704781833682089,0.9482532449599559,0.9970312068489366,2.5609632436565497,-0.2855430213441651,1.80363302138908,3.012575552767954,1.0637424660790598,0.32727272727272727,0.026545454545454584,0.016000000000000014
20,20,0.9709090909090909,0.9711480443198505,0.957120194102277,0.9935610302351624,2.759457977631932,0.3070416221280353,1.7149688630383366,1.7914442970603606,1.9761685093212737,0.22872727272727275,0.04290909090909094,0.005454545454545478
21,21,0.9854545454545455,0.9854545454545455,0.9769565946036534,0.9975699681582034,2.7636318035634546,-0.22793966742364294,1.363074820342667,2.440169402398683,2.0531698796688778,0.2654545454545455,0.03345454545454546,0.0170909090909091
22,22,0.9781818181818182,0.9780291603821016,0.9590909090909091,0.9967768595041322,2.7714384157232392,0.25722168651057387,1.6832195898514875,2.005395703702385,1.4923638516924378,0.26981818181818185,0.03127272727272723,0.017454545454545424
23,23,0.9563636363636364,0.95663242595446,0.9407675194660734,0.9943588113777213,2.0477479987116514,-0.09152443162588,2.307464843894748,2.416359935481571,1.8425103428601373,0.24472727272727282,0.03709090909090914,0.014909090909090972
