,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_temperature_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backtop_humidity_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.backtop_humidity_fd3_scaled,feature_importance.backtop_humidity_fd2_scaled
0,0,0.9382716049382716,0.9381835423545107,0.9303683737646002,0.9883198562443846,1.7911263537245414,0.6743285934861312,0.8361947508567013,2.3006692039980443,1.4757818591157803,0.12921810699588474,0.06502057613168719,0.055555555555555504,0.015226337448559613,0.011934156378600768,0.011522633744855914,0.009876543209876498,0.007407407407407363,0.00411522633744853,-0.0004115226337448985,-0.0028806584362140453,-0.004938271604938338
1,1,0.9547325102880658,0.95514214056672,0.9598268072289157,0.9855421686746988,2.2709866100136993,1.1430529536505352,0.4180843769170632,2.6349084773589557,0.7648773949832894,0.1691358024691358,0.10534979423868314,0.0814814814814815,0.004115226337448541,0.0028806584362139785,0.006172839506172811,0.0020576131687242705,0.01069958847736623,0.0,0.006172839506172823,0.00781893004115224,0.003292181069958833
2,2,0.9218106995884774,0.9227413735099476,0.928973485409569,0.9785217004888165,2.132647094938237,0.9190454136655059,0.767874968863264,3.077754688006065,0.589758961777655,0.15761316872427986,0.06337448559670784,0.06954732510288067,0.007407407407407441,0.004526748971193428,-0.0020576131687242705,0.0020576131687243147,0.006172839506172856,-0.003703703703703687,0.0024691358024691358,-0.005761316872427957,-0.0024691358024691245
3,3,0.9547325102880658,0.954938861738822,0.9535276073619632,0.9878834355828221,2.0248157654858243,1.1357804641399798,1.3253446399506292,2.490938869972558,0.18774179647733963,0.17366255144032922,0.09711934156378599,0.05596707818930039,0.011111111111111094,0.0028806584362139785,0.0020576131687242705,0.007407407407407374,0.005761316872427968,0.005349794238683103,0.006172839506172811,0.0020576131687242705,0.0016460905349794165
4,4,0.9465020576131687,0.9471642039914827,0.9428800570308322,0.9897522723222242,1.9719829889682603,1.9998832930124668,0.5363289904419548,2.7044741513184674,0.17764673850954416,0.15925925925925927,0.07736625514403295,0.06419753086419756,0.011934156378600869,-0.011934156378600768,0.003703703703703731,0.004938271604938293,0.007407407407407451,0.004115226337448574,0.0004115226337448652,-0.004115226337448541,-0.008230452674897082
5,5,0.9382716049382716,0.9386310591340343,0.9392130857648099,0.98342175066313,0.8791698568329577,1.2470099035184632,1.3382762666716572,2.5073107242507464,1.3710832903681751,0.1847736625514403,0.07777777777777774,0.06625514403292176,0.018106995884773602,0.004526748971193384,-0.0004115226337448985,0.007818930041152217,0.008641975308641936,0.0061728395061728,0.0028806584362139676,0.006995884773662519,0.006172839506172811
6,6,0.9465020576131687,0.9473686909477841,0.9573619151932404,0.9841182913472071,2.1566608829332425,0.6181861186342665,0.7156420704979021,2.8385265637073642,0.8021898091616906,0.12551440329218105,0.06543209876543213,0.051440329218107025,0.018518518518518556,0.004115226337448585,-0.005761316872427957,0.00905349794238689,0.01111111111111115,0.008641975308642014,-0.0012345679012345622,0.0024691358024691245,0.0024691358024691245
7,7,0.9423868312757202,0.9427999102509732,0.939588997281305,0.9809691348152887,1.531843855351813,0.8516598483009387,0.8754831287650621,2.1879341166687603,1.8057444914389917,0.1164609053497943,0.08477366255144038,0.040329218106995926,-0.004938271604938227,-0.006995884773662519,0.004938271604938338,-0.008230452674897082,0.005349794238683181,0.0008230452674897415,0.0020576131687243373,-0.00411522633744853,-0.0032921810699588216
8,8,0.934156378600823,0.9348027799961098,0.9409382752079382,0.9814679702320152,1.438218015090383,0.30513019753405546,1.7785073039312962,3.0450007842425233,0.6584116206510104,0.13497942386831274,0.08971193415637856,0.05802469135802466,-0.004938271604938293,-0.004938271604938283,-0.0028806584362139898,0.0004115226337448541,0.0032921810699588216,0.005761316872427957,0.0020576131687242705,0.010288065843621363,-0.0008230452674897082
9,9,0.897119341563786,0.898482925481887,0.8972027972027972,0.9755244755244755,2.287846609642997,0.8007683045896048,0.23657729069403088,1.3249459227898723,3.008483646720945,0.1777777777777778,0.06913580246913584,0.04691358024691361,-0.000411522633744843,0.016460905349794275,0.002880658436214001,-0.005761316872427957,0.023868312757201658,0.003292181069958866,0.0,0.0008230452674897193,-0.004526748971193395
