,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_temperature_fd3_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_humidity_fd2_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_humidity_fd1_scaled,feature_importance.rightlow_humidity_fd3_scaled,feature_importance.rightlow_temperature_fd2_scaled,feature_importance.rightlow_temperature_fd1_scaled
0,0,0.9709090909090909,0.9709090909090909,0.9532551419343872,0.9965153833078362,2.2086095585368266,1.503847371746433,2.1626452496313497,2.7345220068417992,0.6688129390720027,0.14872727272727274,0.030545454545454587,0.0061818181818182215,0.004727272727272758,0.002909090909090939,0.002909090909090928,0.0010909090909091202,0.000363636363636366,1.1102230246251566e-17,1.1102230246251566e-17,-0.0003636363636363549,-0.0018181818181817744
1,1,0.9709090909090909,0.971107438016529,0.960910005027652,0.9948885537120832,2.9800459710993183,1.7529822658161893,1.517045256156237,1.9083940104481132,1.1885346331700115,0.1621818181818182,0.03200000000000003,0.005090909090909135,-0.0003636363636363438,0.004000000000000026,0.00036363636363638817,0.003272727272727294,0.000363636363636366,-0.00036363636363633266,-0.0003636363636363549,0.0021818181818181958,0.0018181818181818299
2,2,0.9781818181818182,0.9781818181818182,0.9676318267419963,0.9973320778405523,2.831032770818577,1.5301902025235359,2.0299504300588374,1.713759474143338,1.1620861753874383,0.16399999999999998,0.0327272727272727,0.000363636363636366,-0.0021818181818181958,0.0,0.0058181818181818005,0.0,0.002909090909090928,0.000727272727272732,0.0,-0.004727272727272758,-0.004000000000000026
3,3,0.9418181818181818,0.9396732415566497,0.8790841783357476,0.9918718815387092,2.6766593596951305,1.2100270393796693,1.7289584569960028,1.4548705724699496,1.8332903732502284,0.10618181818181813,0.03054545454545452,0.0003636363636363549,-0.0036363636363636598,0.002909090909090839,-0.0061818181818182215,-0.004000000000000026,-2.2204460492503132e-17,-0.005818181818181856,-0.005818181818181856,-0.005090909090909113,-0.012727272727272787
4,4,0.9890909090909091,0.9890608548206137,0.9820053317535544,0.9993335308056872,2.5483593468082955,1.8327424168599593,1.4916096890829207,1.7963788192090238,1.4143654939752626,0.1603636363636364,0.06000000000000004,0.001090909090909109,0.008000000000000052,0.001090909090909109,0.008000000000000052,0.00036363636363638817,0.0003636363636363993,0.004727272727272758,-0.0021818181818181403,0.0021818181818181958,0.000727272727272732
5,5,0.9745454545454545,0.9744528430371127,0.9555073941866394,0.9971103178650349,2.8481334171873125,1.023996439945238,1.3330759436417412,2.319414394646937,1.4719488700871772,0.13854545454545447,0.048727272727272675,0.0010909090909090534,0.00036363636363633266,0.0021818181818181294,0.016363636363636302,0.00618181818181811,0.007636363636363585,0.0010909090909090647,0.0032727272727271937,-0.00036363636363637706,-0.0003636363636363993
6,6,0.9927272727272727,0.992764064293915,0.9952153110047847,0.9991300565463245,2.242510931811851,1.61853265261296,1.3811405730976252,2.1978869517936643,1.6196939794706124,0.19636363636363632,0.05381818181818178,0.013090909090909065,0.0072727272727272085,0.003999999999999915,0.014545454545454528,0.007636363636363585,0.003999999999999915,0.002545454545454484,0.0032727272727271937,0.009818181818181771,0.011272727272727235
7,7,0.9636363636363636,0.9639269706273498,0.9451174743024964,0.9919236417033773,2.6620718358239928,1.0302259325850471,1.9861864845000143,2.9784114663176866,0.9402163137773388,0.12327272727272727,0.022909090909090914,-0.004727272727272758,-0.0021818181818181958,-0.0010909090909090979,0.0025454545454545396,-0.000727272727272732,-0.002909090909090928,-0.000363636363636366,-0.004000000000000026,-0.002909090909090928,-0.002909090909090928
8,8,0.9709090909090909,0.9709090909090909,0.9539131892073068,0.9969834087481146,2.853417058100867,1.8002802578201103,1.969088669346889,1.875639099515501,0.8574064710572089,0.13236363636363638,0.023272727272727313,-0.004727272727272658,0.0018181818181818299,-0.0032727272727272163,0.000363636363636366,0.003272727272727294,-0.006181818181818122,0.004000000000000026,0.00036363636363637706,-0.0018181818181817854,-0.005090909090909012
9,9,0.9636363636363636,0.9642505683939055,0.9514492753623188,0.9939130434782609,3.0435720814663654,1.5551117084979222,1.5079691149127707,2.014703795321968,1.4508399408483035,0.11272727272727275,0.033454545454545445,0.0,0.000727272727272732,-0.0036363636363636598,0.0029090909090909054,0.0040000000000000036,-0.0036363636363636598,0.0,0.0032727272727272718,-0.0021818181818181958,0.000727272727272732
