,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_temperature_scaled
0,0,0.9781818181818182,0.9783344759815348,0.9721230664626891,0.9970253272140065,1.442778085782575,2.2515623323964884,2.529890671779506,0.8653075990731736,2.136400965547789,0.24727272727272726,0.03418181818181813,0.02436363636363632
1,1,0.9781818181818182,0.9783305785123966,0.9724317077258253,0.9958940841293783,1.7670157312149417,2.0212204417352386,2.5674620631566385,0.8641367479451644,2.1010242222334705,0.26472727272727264,0.022181818181818146,0.01854545454545451
2,2,0.9818181818181818,0.9818734834157244,0.9761064030131827,0.9985091023226617,1.5478382396804402,2.238105237491663,2.2399669173144154,0.9713521249014139,1.882594603889733,0.2956363636363636,0.018181818181818167,0.017454545454545445
3,3,0.9927272727272727,0.9927272727272727,0.9889344921937873,0.9994366650571382,1.3843023626311328,1.9899156727853762,3.017047392055926,1.3507455240488753,1.1306067603679142,0.2476363636363636,0.05963636363636361,0.04509090909090905
4,4,0.9890909090909091,0.9889985026737967,0.9765625,0.998593009478673,2.0712667343964357,2.9420284343088037,2.299240664601799,1.2391983488376677,0.7875109731320371,0.30072727272727273,0.040727272727272744,0.02254545454545459
5,5,0.9818181818181818,0.9818826223459037,0.9743753187149413,0.9986401495835457,2.123103793229981,2.392730972929251,2.7871709679337315,0.507744238156913,1.077583545143789,0.22836363636363632,0.03927272727272726,0.035272727272727254
6,6,0.9963636363636363,0.9963729467553776,0.9976076555023923,1.0,1.4675305113157517,1.9648982545896545,2.3746669569075394,1.1382753354057,1.9472143630848449,0.3229090909090909,0.03927272727272724,0.03345454545454544
7,7,0.9781818181818182,0.9783561823764099,0.970356093979442,0.9984397944199707,1.2362806932128374,3.320066501268547,2.699567420227861,1.0149883527798955,0.5018070260292528,0.2167272727272727,0.03745454545454542,0.01927272727272723
8,8,0.9854545454545455,0.9853500842180086,0.9699597787833082,0.9992458521870287,1.6487314939976676,2.1533929271977903,2.8092666920415335,1.2576569786534777,1.2861425415149663,0.2534545454545455,0.022181818181818212,0.018545454545454566
9,9,0.9709090909090909,0.9709090909090909,0.9468599033816425,0.9933333333333333,1.7616457322997883,2.8902971962641186,3.0056906971301136,1.168598812806235,0.49690645587515325,0.20109090909090913,0.00981818181818186,0.010909090909090934
