,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_temperature_fd3_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_temperature_scaled,feature_importance.righttop_humidity_fd3_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.righttop_temperature_fd1_scaled
0,0,0.9709090909090909,0.9709090909090909,0.9532551419343872,0.9886962434132246,2.738509250943694,2.766491268683973,1.2890360511416814,1.9824943319083888,-0.14809001518591247,0.1454545454545455,0.13927272727272733,0.03963636363636367,0.013090909090909108,0.010181818181818247,0.007636363636363675,0.0072727272727273196,0.005090909090909123
1,1,0.9490909090909091,0.9490909090909091,0.919348081112787,0.9871794871794872,2.3186893841764276,2.8257180330470044,1.1778044466838395,1.6275616410313074,0.7375617396417188,0.14800000000000002,0.12981818181818183,0.025090909090909098,0.015272727272727282,-0.0018181818181818299,-0.0010909090909090979,-0.002181818181818185,-0.00690909090909092
2,2,0.9527272727272728,0.9531480090157776,0.9391086001255493,0.9894852479598242,2.4306732324526936,3.018624467161003,1.6840526362114567,1.0861295350728195,0.5379479509145108,0.14363636363636365,0.14181818181818184,0.028000000000000025,0.005818181818181856,0.013090909090909108,-0.004363636363636347,0.009454545454545516,-0.002909090909090928
3,3,0.9454545454545454,0.9456290036799783,0.9202478673748591,0.9855142443264123,2.383559204089996,3.0632773596158844,1.5287451545351165,1.3420406123211357,0.2504570919664881,0.11345454545454543,0.13636363636363635,0.05199999999999999,0.02109090909090907,-0.000727272727272732,0.0014545454545454417,0.0018181818181818078,0.0018181818181818078
4,4,0.9672727272727273,0.9669955080213904,0.9460159952606635,0.994372037914692,3.5747049066317342,3.0096633724298516,1.5406381101560251,0.677476037812219,-0.3542601040259598,0.1425454545454546,0.14872727272727274,0.02581818181818185,0.005454545454545478,0.0010909090909090979,-0.000363636363636366,0.004727272727272758,-0.0010909090909090979
5,5,0.9563636363636364,0.9572335883294787,0.9514278429372769,0.9864864864864864,1.818900193254285,3.162899142829915,1.7065102005797559,1.943776171762701,-0.2172439201413575,0.11127272727272733,0.11745454545454552,0.030909090909090952,0.02254545454545458,0.013454545454545507,0.0043636363636363916,0.016363636363636413,-0.0025454545454544953
6,6,0.9709090909090909,0.9709090909090909,0.960127591706539,0.9913730607510512,3.034772818090727,3.4782116341889444,1.425688023537168,1.3290777915894414,-0.6428764840500385,0.1225454545454546,0.14363636363636367,0.01563636363636365,0.01127272727272729,-0.0014545454545454085,0.006545454545454588,0.0036363636363636598,0.0014545454545454972
7,7,0.9527272727272728,0.9539634831405208,0.9467235682819384,0.9881607929515418,2.5668609805744693,2.716387963639219,1.3931345588511792,1.8139593509799898,0.47069857594552206,0.11090909090909092,0.13200000000000003,0.038545454545454584,0.02072727272727276,0.0036363636363636598,-0.000727272727272732,0.00545454545454549,0.000363636363636366
8,8,0.9563636363636364,0.9566611570247934,0.9378665996313056,0.9902798726328138,2.2494708233453427,3.045256298130146,1.568481706911381,1.8705140717696416,-0.1612641255990152,0.14400000000000007,0.12181818181818183,0.030181818181818233,0.009454545454545493,0.002181818181818218,0.0010909090909090979,-0.0003636363636363549,0.0
9,9,0.9527272727272728,0.9540677478685261,0.9449275362318841,0.9890821256038648,3.33847249516927,3.004907592179049,0.9822578036284885,1.6192843463174,-0.19048746292654176,0.11527272727272733,0.10800000000000001,0.016727272727272747,0.00545454545454549,0.000727272727272732,0.006545454545454588,0.000363636363636366,0.0010909090909090979
10,10,0.96,0.960512071545771,0.957605154028436,0.9907434834123223,2.228290034309927,3.6063155102996736,1.2940346514476255,1.5619423821759146,0.10733257373106647,0.13236363636363632,0.13527272727272727,0.03963636363636358,0.017454545454545434,0.003636363636363582,-0.005454545454545501,-0.007636363636363686,-0.001454545454545475
11,11,0.9527272727272728,0.9535227669168443,0.941993880673126,0.9885262621111678,1.9614620028007497,2.908150286729443,1.3839650374576595,2.54421444818528,-0.3735183567600392,0.10945454545454551,0.1272727272727273,0.02763636363636367,0.008727272727272783,0.000363636363636366,0.012000000000000033,0.008363636363636417,0.0072727272727273196
12,12,0.9636363636363636,0.9643801652892562,0.9628320110382891,0.9937909624008279,2.1480914037619567,3.140262712504951,0.6469699549609538,1.5977431357260077,1.0201397919671187,0.12181818181818183,0.1429090909090909,0.037818181818181806,0.01599999999999997,0.0021818181818181737,0.0036363636363636377,-0.0021818181818181958,0.0010909090909090979
13,13,0.9636363636363636,0.9643430929283175,0.9633819339701692,0.9914529914529915,3.5103202257488633,3.078612345659136,0.7694406205964875,1.2108999160447762,0.038204331393484274,0.14363636363636365,0.1483636363636364,0.035272727272727275,0.019999999999999983,0.0,0.000363636363636366,0.0036363636363636598,0.0
14,14,0.9636363636363636,0.9631994362226919,0.9365061335756475,0.9960623958806603,2.209033101263877,3.1565475762198028,0.9758552452162705,1.280879646897564,0.9498509856106195,0.15018181818181814,0.13636363636363638,0.03454545454545453,0.0021818181818181737,-0.009090909090909084,0.002545454545454551,-0.005090909090909113,-0.006909090909090943
15,15,0.9527272727272728,0.9528454018092573,0.9383969575200919,0.9872990815154994,1.9820990790203203,2.929993465775996,1.6413676551724354,1.159703569784662,0.6824414508801272,0.11490909090909093,0.144,0.03709090909090912,0.002909090909090928,-0.0003636363636363549,0.0021818181818181958,-0.004363636363636359,-0.0025454545454545396
