,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_humidity_fd1_scaled,feature_importance.leftlow_temperature_fd1_scaled,feature_importance.leftlow_temperature_fd2_scaled,feature_importance.leftlow_temperature_fd3_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_humidity_fd3_scaled,feature_importance.leftlow_humidity_fd2_scaled
0,0,0.9745454545454545,0.9748091663687993,0.9698708142104369,0.9961754207037226,3.6163128713127843,0.5044872877991181,2.2344624366226604,1.4913154366705696,1.407641437357968,0.24363636363636357,0.014545454545454495,0.011999999999999945,0.0032727272727271937,0.0003636363636363549,-0.00036363636363637706,-0.001818181818181841,-0.0025454545454545617,-0.0025454545454545617,-0.0036363636363636598,-0.0036363636363636598,-0.004000000000000026
1,1,0.9818181818181818,0.9818809703475496,0.9746941511647393,0.9986592927769398,3.028750560892153,0.7305685047426942,1.7054514928088946,1.4638832676338418,2.1798239575457243,0.27054545454545453,0.008000000000000018,0.012363636363636365,-0.0021818181818181958,0.000363636363636366,0.002909090909090928,0.0025454545454545617,-0.000363636363636366,0.004000000000000026,0.0061818181818182215,0.000727272727272732,-0.0021818181818181958
2,2,0.9818181818181818,0.9818734834157244,0.9761064030131827,0.9981952291274325,3.8780935261672105,0.9037319196768254,2.4491691801842825,1.3369804480642888,0.6201680114580755,0.28872727272727267,0.013454545454545441,0.008000000000000007,-0.0061818181818182215,-0.0036363636363636598,0.0,-0.002909090909090928,-0.004000000000000026,-0.004000000000000026,-0.004727272727272758,-0.002909090909090928,-0.0043636363636363916
3,3,0.9818181818181818,0.981634606235973,0.962618702720103,0.999114759375503,4.008105467878208,0.0008699272861933689,2.124994839504265,1.5465929748035026,1.2584211040608777,0.2549090909090909,0.021090909090909105,0.020727272727272716,0.0018181818181818299,-0.000363636363636366,-0.0018181818181818299,0.007272727272727287,-0.0025454545454545617,0.002909090909090928,0.001454545454545464,0.0010909090909090979,-0.0018181818181818299
4,4,0.9745454545454545,0.9740168371573331,0.9453125,0.9984449052132701,2.7064610688741424,0.837619366443582,2.443067997406897,2.0507800458641627,1.316208726628413,0.28581818181818175,0.005454545454545379,0.014545454545454506,-0.005818181818181856,-0.000363636363636366,0.0,-0.0007272727272727541,0.0003636363636363438,-0.0025454545454545617,-0.000363636363636366,0.003272727272727205,0.002909090909090839
5,5,0.9781818181818182,0.9783344759815348,0.9721230664626891,0.9943056263810981,3.7753135284756825,0.5288359795603732,2.358359027567164,0.7191350924135586,1.8075427949672995,0.21163636363636362,0.025090909090909042,0.027272727272727237,-0.0061818181818182215,0.0,-0.0010909090909090979,0.0025454545454545396,0.0029090909090909167,0.0036363636363636377,0.0040000000000000036,0.01345454545454543,0.002545454545454551
6,6,0.9890909090909091,0.989118840266133,0.9876395534290271,0.9993475424097433,3.360029141932861,0.7892675010040842,2.0272666462767472,2.0569954206074605,0.5785350955850963,0.31272727272727274,0.015272727272727327,0.016363636363636413,-0.0007272727272727098,0.000727272727272732,0.000727272727272732,0.0036363636363636598,0.0,0.003272727272727294,0.003272727272727294,0.000363636363636366,-0.0036363636363635488
7,7,0.9745454545454545,0.9748464691258483,0.9681534508076359,0.9982562408223201,3.38642461031572,0.3145674353289889,3.2084105810793417,1.440013511776621,0.9513433877393792,0.1952727272727272,0.009454545454545405,0.010545454545454492,-0.002909090909090928,-0.007636363636363686,-0.004000000000000026,-3.3306690738754695e-17,-0.000727272727272732,-0.000727272727272732,-0.004000000000000026,-0.004000000000000026,-0.0010909090909090979
8,8,0.9890909090909091,0.9890522447742759,0.9792190380425674,0.9979889391654098,3.4395238307065377,0.7614934994300683,2.5241285025613354,0.9674071560515011,1.4375084303171786,0.24800000000000005,0.017818181818181855,0.018909090909090952,0.003272727272727294,0.003272727272727294,0.0043636363636363916,-0.0007272727272726986,0.0036363636363636598,-0.002545454545454484,-0.002909090909090839,0.004000000000000026,0.006909090909090953
9,9,0.9709090909090909,0.9709090909090909,0.9468599033816425,0.9932367149758454,3.482326992095445,0.44411370153258267,2.4497619330444302,2.0382728186652503,1.1792895817104185,0.2203636363636364,0.008000000000000052,0.01054545454545458,0.0,0.0021818181818181958,0.0018181818181818299,2.2204460492503132e-17,0.004000000000000026,-0.0010909090909090647,-0.00290909090909085,0.0061818181818182215,0.004727272727272758
10,10,0.9818181818181818,0.9819612805347652,0.982708827014218,0.9989632701421801,3.496821253541042,0.7100146393329211,2.534727033574986,0.6203080344682136,1.6680851522332163,0.2694545454545455,0.010545454545454525,0.009818181818181814,0.002909090909090928,0.0,-0.003272727272727294,-0.0036363636363636598,-0.000727272727272732,-0.005818181818181856,0.0025454545454545617,-0.004727272727272735,-0.00436363636363638
11,11,0.9672727272727273,0.9671536553334305,0.9438211796702363,0.9960904300526942,2.784219902319091,0.5845315697185236,1.455712159045572,2.564756548344632,2.062371216913207,0.26290909090909087,0.00545454545454549,0.005454545454545478,0.0,0.0,0.0,-0.0036363636363636598,0.0,-0.0036363636363636598,-0.0036363636363636598,0.000727272727272732,0.0
12,12,0.9781818181818182,0.9783385100366232,0.97180062090376,0.9965505346671266,2.768815658350842,0.6516588737520677,1.5892896813203576,1.6808000474712388,2.789293343845361,0.2250909090909091,0.012727272727272698,0.01418181818181814,0.000363636363636366,0.0032727272727272826,0.0010909090909090979,0.002909090909090928,0.0072727272727272085,0.0072727272727272085,0.00727272727272722,0.003999999999999992,0.0065454545454544984
