,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_humidity_scaled,feature_importance.fronttop_temperature_fd3_scaled,feature_importance.fronttop_temperature_fd2_scaled,feature_importance.fronttop_humidity_fd2_scaled,feature_importance.fronttop_humidity_fd1_scaled,feature_importance.fronttop_temperature_fd1_scaled,feature_importance.fronttop_humidity_fd3_scaled
0,0,0.9053497942386831,0.9049316285037987,0.8911725067385445,0.9847259658580414,1.7269045301955814,1.0736189608834732,2.098637540132874,2.0165831591851737,-0.06409952416430867,0.18930041152263374,0.013580246913580219,-2.2204460492503132e-17,-0.004115226337448552,-0.00781893004115225,-0.011522633744855982,-0.01810699588477368,-0.019753086419753107
1,1,0.9382716049382716,0.9386841589570634,0.9386295180722892,0.983132530120482,2.272199939100931,0.7005635576731004,1.2052657525720392,1.7079329867597643,1.1322150333984597,0.19094650205761307,0.05884773662551436,0.047325102880658367,-0.007407407407407474,0.0020576131687242484,0.0028806584362139564,-0.008230452674897182,0.002057613168724237
2,2,0.8888888888888888,0.8909519964003686,0.9061250185157754,0.9561546437564805,2.493273540420693,0.8554007761008272,1.992931833966778,0.9024925915508467,1.138420851612096,0.18888888888888883,0.02181069958847731,0.014403292181069916,-0.00823045267489717,-0.01399176954732515,-0.0020576131687243373,0.0012345679012345401,0.0037037037037036535
3,3,0.9218106995884774,0.9225915211644902,0.9226226993865031,0.9792944785276074,2.696881821613368,0.7562644703761113,1.725378095801884,1.5578696437128943,0.42190606247176315,0.202880658436214,0.037860082304526775,0.026748971193415662,-0.0028806584362139676,-0.005761316872427957,-0.008230452674897082,-0.0024691358024691136,-0.00411522633744853
4,4,0.9218106995884774,0.9231288462721163,0.9157013010158617,0.9769203350561397,2.160870764436727,0.8246700470959204,1.79685191278796,1.294681695672862,0.96990712871292,0.19506172839506178,0.03909465020576134,0.025102880658436244,-0.004938271604938249,-0.004115226337448541,3.3306690738754695e-17,-0.0016460905349794165,0.0004115226337448652
5,5,0.9300411522633745,0.930722459009714,0.9353448275862069,0.9735484821691718,1.4727063452871334,1.3170440125126919,1.6003510446169331,1.6164752039643349,0.9037388671153765,0.25637860082304526,0.04732510288065842,0.05308641975308641,0.00781893004115225,0.02016460905349793,0.009465020576131689,-0.0016460905349794165,0.01646090534979422
6,6,0.9259259259259259,0.9270340633012955,0.9318572993271788,0.9805194805194806,2.208034110022148,0.5072197011933763,1.478413581123277,2.1904462720497397,0.393749939521624,0.19711934156378602,0.02880658436213992,0.013168724279835398,-0.0024691358024691245,-0.005349794238683103,-0.0008230452674897082,0.007407407407407407,-0.009053497942386824
7,7,0.9465020576131687,0.9473037033531531,0.9539421077882617,0.9797697105389414,1.4852483971417367,1.001645072949818,1.8210395427477564,1.6918164138477418,0.8701114026756072,0.19053497942386835,0.03292181069958851,0.03621399176954736,0.006172839506172867,0.027983539094650213,0.008641975308642014,0.007818930041152295,0.023045267489711963
8,8,0.9300411522633745,0.9307814575304287,0.9376915219611849,0.978330658105939,2.753140827406872,0.7776680844357325,1.413790512688238,1.561624657309658,0.4982811232554326,0.2337448559670782,0.05226337448559669,0.02921810699588474,-0.010288065843621397,0.01728395061728396,0.009465020576131678,0.0008230452674897082,0.026337448559670774
9,9,0.897119341563786,0.897290633388569,0.8836829836829837,0.9666666666666667,2.6076620187210926,0.46036245729013014,2.175810442435788,1.6505850737744479,0.3433075903483182,0.18024691358024697,0.03744855967078192,0.002057613168724304,-0.0028806584362139785,0.004115226337448585,-0.0012345679012345401,-0.0016460905349794165,-0.000823045267489686
