,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_temperature_scaled,feature_importance.backlow_temperature_fd3_scaled,feature_importance.backlow_humidity_scaled,feature_importance.backlow_humidity_fd3_scaled,feature_importance.backlow_humidity_fd2_scaled,feature_importance.backlow_temperature_fd1_scaled,feature_importance.backlow_temperature_fd2_scaled,feature_importance.backlow_humidity_fd1_scaled
0,0,0.9094650205761317,0.9094650205761317,0.8999326145552561,0.9755166217430369,1.7641218463012207,0.525938070411902,1.257163226004303,2.4214474943952524,0.7662261817537999,0.21769547325102878,0.06131687242798352,0.026748971193415617,0.01975308641975305,-0.006172839506172867,-0.007818930041152295,-0.009053497942386857,-0.012757201646090566
1,1,0.9300411522633745,0.9306742172394765,0.9323795180722891,0.9810240963855422,1.3313147176828732,1.108504667072432,1.6765147464004233,2.5258519294197233,0.029089415608753645,0.19547325102880658,0.04979423868312756,0.05061728395061728,0.03415637860082303,0.007818930041152227,0.0028806584362139785,0.0028806584362139785,-0.006995884773662564
2,2,0.9218106995884774,0.9226010198426143,0.926344245296993,0.9588209154199379,1.4328524641114402,1.206460331173822,1.7780337220750815,2.1189682625105157,0.045521986293624396,0.22098765432098771,0.048559670781893036,0.038683127572016494,0.04115226337448562,0.007818930041152295,0.017695473251028836,0.0057613168724280125,0.006172839506172856
3,3,0.9465020576131687,0.9470363039546512,0.9505751533742332,0.9850460122699386,1.4361377560446493,0.7828927074290365,2.0703992082434626,2.2128048065959,0.1064280259685592,0.22798353909465022,0.04526748971193421,0.06625514403292183,0.023045267489711963,-0.0016460905349794052,-0.0024691358024691245,-0.0024691358024691245,0.0008230452674897303
4,4,0.9176954732510288,0.91959743929064,0.9182409552664409,0.9823560862591338,1.349344058779021,0.6770122564471232,1.0275697622481905,2.4149864667080347,1.2624199892570018,0.19547325102880664,0.05020576131687247,0.024691358024691412,0.002057613168724326,-0.008641975308641947,-0.0061728395061728,0.002057613168724326,-0.006172839506172789
5,5,0.9176954732510288,0.9178976141341734,0.9130194518125553,0.9655909224874741,1.2769628980712524,0.6346527081908697,1.5686471466753253,2.3645932130334306,0.9489326525831894,0.23004115226337452,0.03950617283950623,0.038683127572016515,0.02469135802469139,-0.00534979423868307,-0.001646090534979372,0.0008230452674897526,0.015226337448559713
6,6,0.9259259259259259,0.9266331515564643,0.924894382725708,0.9741824440619622,1.7337608183770565,0.4922915163379689,1.800048528115674,2.1816980464989344,0.7286489912258546,0.2004115226337449,0.03086419753086418,0.03539094650205762,0.027160493827160515,0.005761316872427957,-0.003703703703703687,-0.0024691358024691245,0.0016460905349794386
7,7,0.9465020576131687,0.9469745707944692,0.9463457540380618,0.9836078682232527,2.089572416950493,0.1944350925187054,1.7255423403513253,2.2447890869303366,0.3796189136991553,0.21193415637860086,0.046090534979423906,0.053909465020576156,0.03168724279835392,0.007407407407407441,0.017695473251028836,0.020576131687242816,0.018930041152263398
8,8,0.9300411522633745,0.9307814575304287,0.9376915219611849,0.9801546767838902,1.7435421747157387,0.7491918051142846,1.976107691796169,2.244534276225958,0.2309958540275712,0.24362139917695474,0.062139917695473224,0.052674897119341556,0.03209876543209876,0.02016460905349794,0.008641975308641947,0.009053497942386812,0.018106995884773668
9,9,0.9094650205761317,0.910303307422649,0.9062937062937063,0.9702408702408702,1.2566916894006617,1.1020166169950747,1.249825142364145,2.347669460948608,0.6963220986458223,0.19547325102880656,0.025925925925925897,0.03580246913580244,0.009465020576131656,-0.0012345679012346067,-0.006172839506172878,-0.011522633744856015,0.002057613168724259
10,10,0.9423868312757202,0.9422302504374152,0.9343800918382461,0.9842986224263073,1.2835962548348174,0.7483522237459975,1.9421487754179432,2.422265516335445,0.6176607031291929,0.21975308641975314,0.039506172839506214,0.024691358024691402,0.023868312757201703,0.009876543209876609,-0.006995884773662519,-0.005761316872427957,0.0008230452674897637
11,11,0.9259259259259259,0.9256113297288073,0.9179994288162217,0.9802227616735686,1.30101243760813,0.8886703052943177,1.2383330537730721,1.952035623378209,1.3456813987016065,0.2098765432098765,0.03539094650205762,0.03744855967078191,0.025514403292181076,0.0,-0.005761316872427968,-0.00493827160493826,-0.005349794238683115
12,12,0.934156378600823,0.9343180913073386,0.9309239610963749,0.9821691718243443,1.6929576824870962,0.6430486947358992,2.0680549869661125,1.832144423858373,0.5551038348407638,0.20617283950617277,0.02716049382716046,0.028806584362139877,0.014403292181069926,0.01275720164609051,0.0024691358024691136,0.0028806584362139785,0.009465020576131656
13,13,0.9135802469135802,0.9137156777736488,0.9037576687116564,0.9697852760736196,1.8837739049558935,0.9067525189818684,1.5382502017477517,1.9577777809467434,0.5963653899714834,0.19588477366255136,0.04279835390946497,0.04814814814814809,0.035390946502057576,-5.551115123125783e-17,-0.0037037037037037424,0.0012345679012345401,-0.006995884773662619
