,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_CO2_scaled,feature_importance.backlow_temperature_scaled,feature_importance.backlow_humidity_scaled
0,0,0.9382716049382716,0.937594450637929,0.9219451931716083,0.9865977837675951,1.6369921858382426,2.108893811070262,2.4492930294174453,0.46736387030926096,0.6375186133763214,0.3032921810699588,0.23703703703703702,0.15679012345679005
1,1,0.9506172839506173,0.9508857082448545,0.9509036144578313,0.9843373493975904,1.951653357559229,2.5672579895720986,1.1552166005337858,1.3983059578161767,0.17789486298280857,0.33786008230452674,0.22716049382716047,0.1662551440329218
2,2,0.9012345679012346,0.9024929526897087,0.9077914383054362,0.9654125314768183,1.5393225944344067,2.970143649984979,0.9359118176895995,0.4207003498577467,1.4907478495149924,0.34609053497942394,0.23127572016460904,0.22304526748971193
3,3,0.9259259259259259,0.9256829382639817,0.9129601226993864,0.9776073619631902,1.903678217072433,2.4242681053366275,1.6026072619283966,0.9002363240504666,0.48026078003995254,0.34444444444444444,0.21069958847736628,0.148559670781893
4,4,0.9300411522633745,0.9305751307033181,0.915924077704509,0.9879700588130458,1.1840949602957997,2.342719922116079,1.6754710274487776,0.7703131677376046,1.3805972913825555,0.34032921810699585,0.23374485596707814,0.19176954732510285
5,5,0.9218106995884774,0.9220937610676699,0.9187665782493368,0.9753168287651046,1.543460087469504,2.239387775568142,1.7830986217506932,0.2638523907321089,1.3243637011092564,0.31358024691358033,0.21851851851851856,0.1806584362139918
6,6,0.9423868312757202,0.9427648120831887,0.9404240337975278,0.9736347989360037,1.6622503022239377,2.4664094359515807,2.323373826482621,0.6956867373947783,0.08841226504341837,0.33868312757201646,0.21193415637860089,0.19135802469135807
7,7,0.9382716049382716,0.9386084051169221,0.9328322405245482,0.9667359667359668,1.8750377473180366,2.178715341297007,2.58955806713999,0.28650168769740936,0.5775371973706119,0.3489711934156378,0.21193415637860075,0.17695473251028798
8,8,0.9382716049382716,0.938605578833536,0.9394425798920181,0.9895666131621188,1.1575869547669388,2.4082516594065506,1.1491076274035628,1.4985268998198702,0.8415407787986884,0.3839506172839505,0.21851851851851842,0.14444444444444438
9,9,0.9259259259259259,0.9266117969821674,0.9251748251748252,0.9879564879564879,1.574432136655875,2.8053533478837074,1.8290289255123728,0.9417820763908792,-0.010437094299206646,0.3292181069958848,0.23991769547325106,0.18395061728395057
10,10,0.9423868312757202,0.9422302504374152,0.9343800918382461,0.9859280106650867,1.9401334996619302,3.522818211848049,1.3692987179300502,0.5458207408974933,-0.09833154307758232,0.3555555555555556,0.23580246913580244,0.20493827160493833
11,11,0.9300411522633745,0.9299710845604566,0.9252820219905755,0.9850778237898045,1.5286316191411828,2.4165331462978665,1.2019834062547736,0.7798444598214592,1.4647097297369336,0.3584362139917695,0.24650205761316873,0.19053497942386827
12,12,0.9506172839506173,0.9506172839506173,0.9462864721485411,0.9812849985263778,1.3451758536116483,2.036607631854211,1.2389834791767467,1.176885815076585,1.4074432346148136,0.35061728395061725,0.19629629629629633,0.15967078189300413
13,13,0.9176954732510288,0.9176954732510288,0.9068251533742331,0.9605828220858896,1.9778835008326852,2.35843629575217,1.628945832958772,1.0436862444710706,0.30708670896179513,0.33086419753086427,0.21481481481481488,0.1786008230452675
14,14,0.9629629629629629,0.9630264900901292,0.9589657330621186,0.9834924112032546,1.1519563443733052,2.2198711224369942,2.2626329582783447,0.6035327626424704,1.111161189099827,0.38683127572016457,0.2576131687242798,0.2144032921810699
15,15,0.9588477366255144,0.9588477366255144,0.955238726790451,0.9924108458591218,2.091805788140903,2.3946526084425264,0.9430401720795952,0.3631995900272535,1.354156049132447,0.37983539094650204,0.22263374485596704,0.1658436213991769
16,16,0.9506172839506173,0.9506172839506173,0.9475237546789519,0.9871868701410884,1.0420860728744255,2.539595789181869,1.3714130307779209,1.4424881937119358,0.6078821672881727,0.33662551440329214,0.21234567901234563,0.1551440329218107
17,17,0.9506172839506173,0.95034885965638,0.9412024756852343,0.9807692307692308,1.5557929036705227,2.0272723927156253,2.1109180459321597,1.193200164748693,0.45041948157304346,0.3382716049382716,0.22263374485596704,0.15020576131687244
18,18,0.9423868312757202,0.942245332657519,0.9355756602947614,0.9896395739092368,2.252657516268955,2.0609933379240433,1.4177223448841216,0.3248800506068435,1.4133811862793806,0.3543209876543211,0.18230452674897127,0.1637860082304527
19,19,0.9465020576131687,0.9469212483705238,0.9470862470862471,0.9888888888888889,1.8448353155203931,2.1571076670634652,1.439188946467447,0.7299540562593354,0.979853494553328,0.3592592592592593,0.2559670781893004,0.19465020576131686
20,20,0.9547325102880658,0.9551093523025883,0.9563110620863535,0.987945162306965,1.5057322789662537,2.318952168790633,1.9832086434184624,0.4087973049800251,1.0451083396676724,0.3790123456790123,0.279835390946502,0.24938271604938272
21,21,0.934156378600823,0.9336269342767068,0.9146809531424916,0.9844874460259075,1.9965818818881116,2.235504227451434,2.1628394501311106,0.21648023755323617,0.47516089973780806,0.32139917695473247,0.21234567901234563,0.16666666666666666
22,22,0.9259259259259259,0.9266037279109174,0.9295289586727893,0.9845208117315953,0.9830486130068892,2.5505748811575546,1.615844892904143,1.1116542907638671,1.101257885745209,0.35144032921810703,0.20781893004115223,0.1353909465020576
23,23,0.9588477366255144,0.959252716062088,0.9628900094547747,0.9901512763945792,1.4977295061633307,1.96358382749351,1.7847711910031343,0.8581089702914926,1.0292572526140007,0.3839506172839506,0.23045267489711932,0.20411522633744852
24,24,0.9259259259259259,0.9259259259259259,0.9190119982224856,0.9718560213301733,1.5998796249195224,2.8482663812532816,1.0487800839891241,0.38847076065829295,1.3810404269316499,0.3502057613168724,0.22633744855967075,0.18641975308641978
25,25,0.9506172839506173,0.9506172839506173,0.9454177897574124,0.9918388739143457,1.5388014624028417,2.464209975235822,1.630082185059587,0.5442759897935,1.1591987819867209,0.35761316872427984,0.2131687242798354,0.16090534979423868
26,26,0.9465020576131687,0.9468292688247336,0.9411643270024773,0.9859620148637489,0.9053414883564338,2.4811086647855505,1.1244890284927347,1.5158055951604756,1.3408939183761275,0.38353909465020575,0.24609053497942388,0.2312757201646091
27,27,0.9259259259259259,0.9264726631393297,0.9197018533440773,0.9749395648670426,1.7556528039177477,2.0884088201107263,1.373230923870886,1.4448528367034608,0.30491606008274064,0.31440329218107,0.17407407407407408,0.13662551440329218
28,28,0.9547325102880658,0.954797089516157,0.9511295180722892,0.9823042168674698,1.945947472152829,2.0787050795628117,0.1658992018180824,0.7781132467252109,1.944295658667319,0.3691358024691358,0.2473251028806584,0.20123456790123453
29,29,0.9300411522633745,0.9296768159817256,0.9218349928876244,0.9770981507823614,1.9507470454860483,2.8576384008659685,1.2739215219939466,0.6349664958891961,0.6270848338366581,0.31810699588477365,0.23004115226337446,0.17325102880658433
30,30,0.9465020576131687,0.9469212483705238,0.9470862470862471,0.9853146853146852,1.701877832606227,2.57489703874271,1.0222711597084355,1.0287174888733275,0.8638627722286433,0.3555555555555555,0.24362139917695477,0.19465020576131686
31,31,0.9423868312757202,0.9430246913580247,0.9429824561403508,0.9847303443794672,2.4305953637956685,1.7009697975314277,1.9742040913985843,0.6923154513497355,0.6300700295201223,0.34526748971193416,0.21728395061728403,0.18189300411522638
32,32,0.9382716049382716,0.9387119178570758,0.9382716049382716,0.9846060051821368,1.5817815111321827,2.1323086289551214,1.8926174147474124,0.15316959322695828,1.5665567257635034,0.3481481481481481,0.19999999999999993,0.2181069958847736
33,33,0.9629629629629629,0.963111482409728,0.9632749326145553,0.995507637017071,1.4623544608049117,2.698720741239213,1.4320852815995488,0.4452649462407872,0.8515107384020943,0.35226337448559664,0.24279835390946497,0.21481481481481474
34,34,0.9300411522633745,0.9299537438730008,0.9230571847507332,0.9758064516129032,1.887154539667944,2.4709698029014207,1.4893931072549806,0.43213524599761205,1.0838819334879606,0.34979423868312753,0.2382716049382716,0.19670781893004113
35,35,0.9382716049382716,0.9386440542529987,0.9390830988001777,0.9837801807139683,1.596654358404273,2.6880343502217263,1.8227979635213545,0.19188812052166815,1.0363008372309241,0.36995884773662546,0.24403292181069952,0.2189300411522633
36,36,0.9465020576131687,0.9464352159028828,0.9408724340175953,0.9838709677419355,2.1120297343162293,2.522962856912169,0.9930489310084949,1.0500353021673063,0.3908702009728498,0.31275720164609055,0.22345679012345682,0.15514403292181073
37,37,0.9176954732510288,0.9174790748878539,0.9079354553492485,0.9826849395814913,1.600083692580465,2.2816021092513026,2.212385935059028,0.47682848518588483,0.6969290956369522,0.31028806584362145,0.211522633744856,0.1563786008230453
38,38,0.9670781893004116,0.9672399020069272,0.9692638127684787,0.9929640053325434,1.3817218906067847,3.250839680316271,0.6364257330448849,0.9940345608059131,0.8543045347513454,0.39958847736625513,0.251440329218107,0.2851851851851852
