,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled
0,0,0.9709090909090909,0.9706945968829376,0.9460734319224886,0.9944756076831549,1.8995485200355968,1.1631528989760092,2.0950268823578493,0.7340754092499748,1.8054317478907917,0.19272727272727277,0.056000000000000036,0.022909090909090945,0.02254545454545458
1,1,0.9709090909090909,0.971107438016529,0.960910005027652,0.9893581364169599,2.6033995706758253,1.3386837899245043,1.3473954570043527,1.465317245297849,0.9775341916360404,0.21127272727272728,0.04800000000000002,0.0072727272727273196,0.038909090909090935
2,2,0.9672727272727273,0.967372270148304,0.9545276208411801,0.9959196484620214,2.5987151175873975,1.1352229435612184,2.1276227598636113,0.9707428607086594,0.675923634611402,0.23163636363636364,0.015636363636363636,0.012,0.02654545454545455
3,3,0.9563636363636364,0.955110101525196,0.9076935457910833,0.9884918718815388,1.8435949777884333,1.1288207494421483,2.2982750148966318,0.7773539976313398,1.5845044651011733,0.1792727272727273,0.02581818181818186,0.00981818181818187,0.033454545454545515
4,4,0.9781818181818182,0.9777982366951266,0.953125,0.9964454976303317,2.8180047975295475,0.7030774498414548,2.28828772061053,0.9274337484242364,0.7827351548069003,0.23854545454545453,0.053454545454545435,0.004727272727272714,0.019636363636363598
5,5,0.9490909090909091,0.9483199643493762,0.9038330783613803,0.9810470848206698,2.520136426631373,1.505574698813437,1.790066954880124,1.430072131088126,0.7486982439379327,0.17090909090909095,0.026545454545454573,0.000727272727272732,0.0036363636363636377
6,6,0.9672727272727273,0.9671868680427772,0.9525518341307815,0.996520226185298,2.877516169565321,0.17496865156433797,1.8498770984527322,1.1699568473648363,1.4963443385957693,0.2389090909090909,0.04581818181818181,-0.005454545454545434,0.0007272727272727431
7,7,0.9527272727272728,0.9521199715086918,0.9056534508076359,0.989262114537445,2.2309918314161057,1.0172361214041108,1.87955800229096,1.1575143147650206,1.5033193395289406,0.16036363636363637,0.039272727272727306,-0.005454545454545434,0.0363636363636364
8,8,0.9672727272727273,0.9673857466255894,0.9516507457683928,0.9950561421149657,3.0048942413398616,0.9815670913402441,1.7469638148091284,0.3028508794747067,1.5800508430753855,0.2101818181818182,0.04290909090909091,0.00945454545454546,0.014545454545454561
9,9,0.96,0.9605138702618762,0.9403381642512076,0.991400966183575,1.906579736980501,1.1642345040345694,2.08646352951504,1.1641307340986298,1.4301403045196799,0.16618181818181818,0.018181818181818143,0.0007272727272727098,0.022545454545454514
10,10,0.9709090909090909,0.9705764597359325,0.9483856635071091,0.9954828199052133,3.0976376228267535,1.2639940628401507,2.2989507426944407,0.6357004519533438,0.21900875362677785,0.24072727272727276,0.057818181818181845,0.0043636363636363916,0.022181818181818202
11,11,0.9709090909090909,0.9711126346420463,0.9604368519462859,0.9930307666156724,2.2870544875267473,0.6971681319989221,1.6339131878837219,2.093353906247199,1.0240341895514438,0.19054545454545457,0.05309090909090913,-0.0014545454545454195,0.029454545454545476
12,12,0.9636363636363636,0.9638975167277055,0.9480855467402554,0.9904277337012763,2.9161639927404517,0.7000587348987284,2.1146889531164152,0.6352524269962604,1.0117210708214193,0.2145454545454545,0.022545454545454535,-0.002909090909090928,0.02218181818181818
13,13,0.9890909090909091,0.9890522447742759,0.9792190380425674,0.9981565275682923,2.211831671987013,1.3621339636868905,1.4087369977067372,1.309309030004216,1.3970679936366106,0.22981818181818187,0.046909090909090935,0.006909090909090953,0.03272727272727276
