,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_top_CO2_fd3_scaled,feature_importance.C_CO2_vd_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_mid_CO2_scaled,feature_importance.C_top_CO2_scaled,feature_importance.C_CO2_vd_fd1_scaled,feature_importance.C_CO2_vd_fd3_scaled,feature_importance.C_CO2_vd_fd2_scaled
0,0,0.9267900241351569,0.9265117714134153,0.9150993270927072,0.9740922072623419,1.6778763817726319,-0.051917276070018434,-0.6890498462223046,3.7627217526246604,1.9122444315159468,0.0755430410297667,0.05116653258246175,0.048511665325824585,0.04481094127111822,0.04328238133547864,0.03282381335478681,0.031214802896218863,0.02115848753016898,0.017779565567176213,-0.00096540627514079,-0.0012067578439259874,-0.002011263073209979
1,1,0.9275945293644409,0.9272506242949088,0.915030921904214,0.9756910686034804,1.793666552178767,-0.3870180893464891,-0.7745946574565644,4.1034767119307425,1.8709206882102174,0.060981496379726455,0.041190667739340284,0.05156878519710375,0.037248592115848723,0.030651649235720068,0.026548672566371723,0.03419147224456959,0.02405470635559135,0.024537409493161744,-0.0012872083668543865,-0.0023330651649235757,-0.002413515687851975
2,2,0.9251810136765889,0.9248345496607384,0.9117703349282297,0.9701493402928809,2.461421062251913,-0.2045484475705934,-0.7932682591701292,3.664513696174385,1.6646605149151936,0.06403861625100563,0.0384553499597747,0.05374094931617053,0.038535800482703095,0.052775543041029736,0.027835880933226108,0.037892196299275906,0.015848753016894635,0.0193081255028158,-0.0008849557522123908,-0.004505229283990353,-0.0039420756234915585
3,3,0.9340305711987128,0.9338577915368258,0.9254918907926178,0.9735200908366803,2.6216304526612033,-0.22304058976514113,-1.0684682705361062,3.8823325421967163,1.3854629322739633,0.07851971037811747,0.04279967819790827,0.06025744167337086,0.04481094127111823,0.04698310539018504,0.04714400643604181,0.03250201126307325,0.021319388576025777,0.040627514078841534,0.0011263073209975883,-0.002574416733708773,0.0
4,4,0.9388576025744167,0.9385268465912094,0.9250708968450905,0.9766660758596242,2.8756549986498205,-0.5776600893177803,-1.2283000989344037,3.8665284716051986,1.6134499432733855,0.06122284794851165,0.045615446500402265,0.06677393403057119,0.053982300884955724,0.04456958970233309,0.03258246178600166,0.03403057119871285,0.03354786806114245,0.03644408688656482,0.0028962188254223697,0.003459372485921164,0.005148833467417546
5,5,0.9412711182622687,0.941329492318744,0.9334607666243875,0.9777527675057017,2.1575995137086914,-0.06442784199725933,-0.7759899216258137,4.124382378260082,1.1057207733193353,0.07063555913113435,0.04368463395012072,0.08640386162510058,0.045454545454545504,0.029364440868865693,0.04207562349155276,0.03934030571198719,0.037892196299276,0.05197103781174578,0.0037811745776347603,0.0032984714400643655,0.002574416733708773
6,6,0.9292035398230089,0.9292479071009464,0.920260571576361,0.9740633412882216,2.8228532844216807,-0.22906698197384437,-0.9272062759016525,3.5590023295009887,1.4806217903504069,0.052212389380530945,0.0478680611423974,0.04344328238133545,0.04794851166532579,0.031617055510860845,0.030651649235720058,0.033145615446500444,0.030893000804505265,0.03314561544650042,-0.0006436041834271932,0.0018503620273531806,-0.0008849557522123908
7,7,0.9340305711987128,0.9336569849963438,0.9185171363744925,0.9686111774540244,1.9964083987923347,-0.36147946945691795,-0.8605843504003314,3.8760196546253334,2.0626322599415023,0.06773934030571198,0.06170555108608204,0.06234915526950924,0.05148833467417535,0.03797264682220437,0.043604183427192265,0.04818986323411101,0.03258246178600166,0.03201930812550287,0.0005631536604987942,8.045052292839915e-05,0.0006436041834271932
8,8,0.9340305711987128,0.9341812831882914,0.923557704196444,0.9770518558816984,2.3607476211412632,0.03938595847439091,-0.8862678121790556,3.6246033489837446,1.4187339234853131,0.05993563958165726,0.04923572003218017,0.05518905872888171,0.04537409493161704,0.03201930812550287,0.04127111826226872,0.039501206757843965,0.03153660498793247,0.025502815768302534,0.0001609010458567983,0.0017699115044247816,0.002574416733708773
9,9,0.9300080450522928,0.9293852751723707,0.9152570974786579,0.9742363651833574,2.537768018896726,-0.30935774501323027,-1.0642194978227517,3.864870833990323,1.612901931805373,0.053982300884955724,0.046580852775543004,0.05124698310539015,0.04046661303298471,0.027031375703942116,0.024296057924376547,0.03435237329042641,0.04022526146419949,0.043845534995977445,-0.0022526146419951766,-0.0007240547063555924,-0.0011263073209975883
10,10,0.9275945293644409,0.9274215300595434,0.9167577966788173,0.9770468090030666,2.1376508261779317,-0.2789962800711926,-1.0978316459956923,4.136941711103812,1.653618033521465,0.06090104585679805,0.03507642799678198,0.05937248592115847,0.042558326629123046,0.03958165728077229,0.028399034593724892,0.03362831858407082,0.025583266291230932,0.030651649235720058,-0.0031375703942075673,-0.0015285599356395841,0.0004022526146419958
11,11,0.9324215607401448,0.9318732021364062,0.9157183499288762,0.9727966330837146,1.928978257582418,-0.17509847089748806,-0.6511704846831758,4.129639618825141,1.5381498445440713,0.050281576830249364,0.05205148833467414,0.0563153660498793,0.04440868865647625,0.03395012067578442,0.023732904263877752,0.034995977473853614,0.03515687851971042,0.04312148028962186,8.045052292839915e-05,0.000482703137570395,0.0015285599356395841
12,12,0.9259855189058729,0.9261133761223492,0.9189543411265844,0.9687709989109531,2.3863722357894064,-0.29420971429226983,-1.1509806276428707,3.868869474306865,1.801366901465331,0.06918744971842317,0.04505229283990342,0.062429605792437635,0.0469026548672566,0.024456958970233346,0.02308930008045056,0.02493966210780374,0.03282381335478681,0.0277554304102977,-0.0001609010458567983,-0.0029766693483507687,0.002011263073209979
13,13,0.9364440868865648,0.9367211070471595,0.9329458268910995,0.9786195629977538,2.356575389353972,0.0676442497684651,-0.6969193755112316,3.5955863671526958,1.2881809059608522,0.0563153660498793,0.05068382944489138,0.06476267095736121,0.04127111826226874,0.03161705551086087,0.02308930008045056,0.03829444891391798,0.034111021721641245,0.02968624296057929,-0.0026548672566371724,-0.0032180209171359664,0.0016894609814963823
14,14,0.9388576025744167,0.9388961476652546,0.9311360064975193,0.9785593634314436,2.0717854739229473,-0.2602881820836075,-1.0040453267416143,4.319660559734748,1.4861031936194828,0.06331456154465002,0.04456958970233309,0.057200321802091704,0.04754625905068384,0.025181013676588936,0.027433628318584112,0.03612228479485121,0.027433628318584112,0.02679002413515692,-0.0012067578439259874,-0.0012872083668543865,0.0028962188254223697
15,15,0.9477071600965407,0.9476127653239741,0.9371602952823743,0.9781954159890206,2.771606452950818,-0.28692400796954776,-0.8005729924329937,3.7539720363432982,1.2077857964656886,0.07135961383748994,0.051086082059533446,0.06122284794851165,0.05213193885760263,0.04762670957361229,0.030490748189863283,0.04440868865647633,0.03258246178600166,0.02695092518101372,0.0018503620273531806,0.002172164119066777,0.005229283990345945
16,16,0.9259855189058729,0.9258552856955458,0.9157555518354106,0.9704671796618388,2.3113648977601775,-0.22091206880949488,-0.7921477278471435,3.5306254693524393,1.867860912653209,0.06773934030571198,0.057683024939662084,0.06170555108608204,0.038053097345132715,0.03467417538213996,0.03226065969428803,0.05012067578439257,0.02510056315366054,0.02099758648431218,0.0015285599356395841,0.0006436041834271932,0.00193081255028158
17,17,0.9348350764279968,0.9345351171115441,0.9226964918784901,0.9776658479505063,2.1238766500455837,-0.25583347701323533,-0.8073826370461692,3.862534174574249,1.6554088307245902,0.06524537409493161,0.047465808527755414,0.05156878519710376,0.047787610619469,0.03057119871279168,0.024537409493161744,0.03346741753821405,0.031053901850362074,0.028157683024939706,-8.045052292839915e-05,-0.0011263073209975883,0.002493966210780374
18,18,0.9380530973451328,0.9381044811488094,0.932164669146347,0.9756509161041467,2.711159662993648,-0.7413291424904871,-0.6366035798395775,3.528584005283503,2.038057791287668,0.06468222043443281,0.05100563153660498,0.06790024135156877,0.04505229283990349,0.031858407079646066,0.035076427996782025,0.047144006436041844,0.02308930008045056,0.020032180209171392,-0.0003218020917135966,-0.0003218020917135966,-0.0006436041834271932
19,19,0.9211584875301689,0.9204249527184829,0.902484724218102,0.9763940976481721,2.7859190063526187,-0.6530474515519836,-1.2364223202381155,3.5929411448801587,2.2330438083189255,0.06009654062751406,0.038857602574416686,0.05261464199517294,0.029283990345937216,0.02630732099758649,0.028962188254223652,0.03266291230892997,0.02091713596138377,0.02196299275945297,-0.0007240547063555924,0.00193081255028158,-0.0017699115044247816
20,20,0.9364440868865648,0.9363562228066845,0.9284928508566399,0.9773610460265393,2.0755220252455246,-0.4786591011430564,-0.7291806061989737,4.35385871978212,1.5214746075076853,0.06379726468222043,0.054143201930812526,0.05341914722445693,0.053982300884955724,0.03403057119871285,0.02292839903459376,0.04151246983105392,0.03250201126307326,0.03708769106999201,-0.002011263073209979,0.003459372485921164,0.0023330651649235757
