,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_CO2_vd_fd3_scaled,feature_importance.C_CO2_vd_scaled,feature_importance.C_CO2_vd_fd2_scaled,feature_importance.C_CO2_vd_fd1_scaled
0,0,0.8205953338696702,0.8115464878364136,0.7657868877894047,0.8687687118221364,0.4406268490291475,-0.24706492379628764,-0.022826692154542406,2.4964227349143053,2.857169239992051,0.0946098149637973,0.07683024939662111,0.07425583266291233,0.06411906677393413
1,1,0.8028962188254224,0.7945553453845826,0.7501999137063138,0.8373479073781102,1.3794190739744703,-0.392852790673638,-0.06572161117899296,2.3913813840816234,2.293778843927875,0.10241351568785202,0.06693483507642799,0.08382944489139181,0.06524537409493161
2,2,0.7924376508447305,0.7811462632717633,0.7297448165869218,0.8307322024068436,1.4754438675767676,-0.368311502181298,-0.02338006945798337,2.6586611625508016,2.0400942392809114,0.0940466613032985,0.055028157683024916,0.06194690265486724,0.04818986323411101
3,3,0.7956556717618665,0.7828281084948456,0.7375127809694895,0.8609741217143729,1.597099082094907,-0.3136839207183898,0.02930070260240998,1.932560610254246,2.376461678923992,0.07747385358004828,0.06194690265486724,0.06339501206757843,0.047707160096540635
4,4,0.8045052292839904,0.7974903493082637,0.7488567883729174,0.8336819094883611,1.59959532138549,-0.34000510206406953,-0.19770070324217365,2.0710847389904403,2.4916594160359393,0.09895414320193086,0.07377312952534192,0.07707160096540629,0.06669348350764281
5,5,0.8037007240547064,0.7975307279696968,0.7488432749164835,0.8452013029160786,1.425391185459708,-0.24629550216452425,0.21474434423665684,2.7365808137989722,1.61058545580033,0.09098954143201934,0.07425583266291232,0.08262268704746582,0.06468222043443281
6,6,0.8181818181818182,0.8087619598022218,0.7564011379800853,0.8400068184757179,1.887949508507025,-0.2993962314129293,0.19782630520814992,2.041231818335467,1.8122449086904764,0.10563153660498799,0.0761061946902655,0.08254223652453743,0.06741753821399846
7,7,0.8173773129525342,0.8112956059410004,0.7626970384523526,0.8337234296632435,1.2040674863353158,-0.2777504217072635,0.18100123236886856,2.5357416439188074,1.9796850388113556,0.10209171359613842,0.07409493161705553,0.09219629927594533,0.069750603378922
8,8,0.8366854384553499,0.8280768624345001,0.7651308143129157,0.8586327555082963,1.1804742486429058,-0.2596789552372781,-0.06666036354491532,2.352168324188499,2.292767555833974,0.09782783588093316,0.08101367658889783,0.0874497184231697,0.08238133547868061
9,9,0.7900241351568785,0.7785669640671562,0.7338012989591309,0.8299412915851272,1.3737908820037932,-0.4276515571025005,0.3056403557868475,2.5711104618124137,1.9310657962882478,0.0850362027353178,0.06427996781979081,0.06773934030571198,0.05856798069187448
