,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_humidity_scaled
0,0,0.9080882352941176,0.8538011695906432,0.8800724637681159,0.8876207729468599,0.40588235294117647,0.026102941176470495,0.05147058823529427
1,1,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.8850845410628019,0.27794117647058825,-0.003308823529411753,-0.014338235294117707
2,2,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.8745169082125605,0.236764705882353,0.0011029411764704733,-0.0055147058823528106
3,3,0.8897058823529411,0.8295454545454546,0.866183574879227,0.8873792270531401,0.3558823529411764,-0.0051470588235293935,0.022426470588235325
4,4,0.9080882352941176,0.8538011695906432,0.8800724637681159,0.8859299516908213,0.4312500000000001,0.0025735294117646967,0.014705882352941235
5,5,0.9117647058823529,0.8666666666666667,0.8961352657004831,0.8887681159420289,0.39522058823529405,0.00588235294117645,0.032352941176470695
6,6,0.9080882352941176,0.8538011695906432,0.8800724637681159,0.8888888888888891,0.3981617647058824,0.012867647058823595,0.044117647058823484
7,7,0.9044117647058824,0.8452380952380952,0.8719806763285024,0.8799516908212561,0.4022058823529412,0.004411764705882559,0.05073529411764699
8,8,0.9007352941176471,0.8421052631578947,0.8718599033816425,0.8766304347826086,0.4077205882352943,0.006617647058823506,0.014338235294117707
9,9,0.8823529411764706,0.8260869565217391,0.8685990338164251,0.8787439613526572,0.2279411764705881,0.0007352941176470562,-0.00992647058823537
10,10,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.8769927536231884,0.231985294117647,0.005514705882352922,-0.00808823529411773
11,11,0.8786764705882353,0.8253968253968254,0.8711352657004832,0.8860507246376812,0.28198529411764717,-0.014338235294117596,-0.022794117647058743
12,12,0.8860294117647058,0.8268156424581006,0.8660628019323672,0.8919685990338165,0.34705882352941175,-0.01176470588235301,0.024264705882352966
13,13,0.8933823529411765,0.8342857142857143,0.8689613526570048,0.8881642512077295,0.4014705882352942,0.005882352941176561,0.0338235294117647
14,14,0.9007352941176471,0.8421052631578947,0.8718599033816425,0.87512077294686,0.3794117647058822,1.1102230246251565e-16,0.02904411764705883
15,15,0.9007352941176471,0.8402366863905325,0.8692028985507246,0.882729468599034,0.38455882352941184,-0.007352941176470451,0.010661764705882426
16,16,0.8823529411764706,0.8160919540229885,0.8553140096618357,0.8832125603864733,0.36397058823529416,-0.004779411764705865,0.015441176470588291
17,17,0.8970588235294118,0.8372093023255814,0.8690821256038648,0.8854468599033817,0.40404411764705883,0.0,0.013970588235294179
18,18,0.8933823529411765,0.8379888268156425,0.8742753623188406,0.8766908212560386,0.38088235294117656,-0.010661764705882315,-0.0007352941176470562
