,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_temperature_fd1_scaled,feature_importance.leftlow_temperature_fd2_scaled,feature_importance.leftlow_temperature_fd3_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_humidity_fd1_scaled,feature_importance.leftlow_humidity_fd2_scaled,feature_importance.leftlow_humidity_fd3_scaled
0,0,0.8242677824267782,0.7857142857142857,0.8266415261756876,0.9207335107956225,-0.02092050209205032,0.003765690376569042,-0.019246861924686054,-0.03933054393305446,-0.022175732217573296,0.025104602510460206,-0.015481171548117123,0.0016736401673639323
1,1,0.8410041841004184,0.8020833333333334,0.8402469683525584,0.893670511682934,-0.008368200836820106,0.0033472803347280866,0.005439330543933085,-0.020502092050209253,-0.005020920502092019,0.007531380753138084,0.014225941422594146,0.00502092050209213
2,2,0.8451882845188284,0.8082901554404145,0.8456817509612541,0.9148181011535048,-0.007531380753138084,0.027196652719665315,0.04351464435146446,0.00878661087866106,0.023849372384937118,-0.001255230125523088,0.04016736401673626,0.021338912133891053
3,3,0.8284518828451883,0.8038277511961722,0.8442768411712511,0.9274622892635315,-0.029707112970711158,-0.01589958158995819,-0.010041841004184038,0.0016736401673640433,-0.03054393305439318,-0.01673640167364021,-0.0016736401673640433,-0.01171548117154797
4,4,0.7866108786610879,0.7329842931937173,0.7817953268263828,0.9149659863945578,-0.04937238493723839,-0.033891213389121266,-0.012552301255230103,-0.0313807531380752,-0.021338912133891275,0.012133891213389258,-0.009205020920502127,0.02970711297071138
5,5,0.8577405857740585,0.8247422680412371,0.859952676722863,0.9313812481514344,-0.014644351464435101,0.0020920502092049986,-0.001255230125522977,0.017154811715481166,0.01882845188284521,0.05732217573221754,0.07531380753138073,0.007531380753138084
6,6,0.8368200836820083,0.7979274611398963,0.8368456078083408,0.937888198757764,-0.01589958158995819,-0.0016736401673640433,0.01673640167364021,-0.01882845188284521,0.0004184100418409553,0.022175732217573185,0.04058577405857744,0.02761506276150616
7,7,0.8368200836820083,0.8059701492537313,0.8449792960662525,0.9380360839988169,-0.010460251046025215,0.02468619246861914,0.02259414225941414,0.02761506276150616,-0.01673640167364021,0.009623430962342971,0.02259414225941414,0.017991631799163188
8,8,0.8410041841004184,0.8118811881188119,0.8504140786749482,0.9279798876072167,-0.02845188284518818,0.0071129707112971285,-0.004184100418410108,-0.01380753138075308,-0.034309623430962444,0.008368200836820106,-0.015062761506276057,0.030962343096234246
9,9,0.7782426778242678,0.7253886010362695,0.7749926057379474,0.8935965690624075,-0.03556485355648531,-0.028033472803347337,-0.0033472803347279756,-0.01882845188284521,-0.013389121338912235,0.0033472803347281976,0.003765690376569042,0.0020920502092051096
