,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_temperature_fd1_scaled,feature_importance.leftlow_temperature_fd2_scaled,feature_importance.leftlow_temperature_fd3_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_humidity_fd1_scaled,feature_importance.leftlow_humidity_fd2_scaled,feature_importance.leftlow_humidity_fd3_scaled
0,0,0.8285714285714286,0.7341772151898734,0.7890736004546746,0.9354930377948281,0.03142857142857147,0.0053061224489796555,-0.00612244897959191,0.002448979591836875,0.0008163265306123657,0.0008163265306123657,-0.0053061224489795444,-0.004489795918367179,0.0040816326530613845,0.0065306122448980375,0.0040816326530613845,0.004897959183673528
1,1,0.8979591836734694,0.861878453038674,0.8879653310599602,0.9759874964478545,0.015918367346938855,0.0077551020408163085,0.0028571428571428914,0.00897959183673458,0.024489795918367308,0.020816326530612383,-0.0032653061224489077,0.009795918367346945,-0.002448979591836764,0.041632653061224434,-0.0077551020408163085,0.018367346938775286
2,2,0.8489795918367347,0.7955801104972375,0.8357487922705313,0.9056550156294402,0.04816326530612247,-0.0065306122448979265,0.027346938775510088,-0.001224489795918271,-0.03020408163265309,0.010204081632652962,-0.023265306122449037,-0.019183673469387874,-0.0028571428571428914,0.006938775510204165,0.0212244897959184,0.03224489795918373
3,3,0.8530612244897959,0.8043478260869565,0.8433503836317136,0.947641375390736,0.00612244897959191,0.015918367346938966,-0.0020408163265306367,0.004897959183673306,0.012653061224489726,0.005714285714285672,-0.010204081632653073,0.0008163265306121437,0.022040816326530654,0.024897959183673657,0.01632653061224487,0.00040816326530612734
4,4,0.8612244897959184,0.8365384615384616,0.8780548451264564,0.9407502131287298,0.008163265306122436,0.0032653061224489077,0.0008163265306122547,0.009387755102040929,-0.015510204081632728,-0.012653061224489837,-0.00040816326530612734,-0.0020408163265306367,-0.02408163265306118,0.0032653061224489077,0.004081632653061051,0.0077551020408164195
5,5,0.8693877551020408,0.8315789473684211,0.8672563228189827,0.9365586814435919,0.00040816326530612734,-0.011428571428571455,0.006122448979592021,0.025306122448979562,0.0016326530612245094,-0.010612244897959311,-0.028163265306122343,-0.009795918367346945,0.004897959183673528,0.0053061224489796555,0.01959183673469389,0.04204081632653067
6,6,0.8857142857142857,0.851063829787234,0.8824950269963058,0.9611395282750781,0.0273469387755102,-0.0065306122448979265,-0.022448979591836893,-0.008571428571428452,-0.017142857142857126,-0.0273469387755102,-0.0008163265306122547,-0.009387755102040818,-0.017551020408163143,-0.00448979591836729,-0.030612244897959218,0.01346938775510198
7,7,0.8857142857142857,0.8333333333333334,0.8608269394714407,0.9570900824097754,0.01959183673469389,0.014693877551020362,0.010204081632652962,0.0077551020408163085,0.010612244897959089,0.013061224489795853,0.0032653061224489077,0.009387755102040818,0.004897959183673417,0.01346938775510198,0.03510204081632662,-0.008571428571428674
8,8,0.8775510204081632,0.845360824742268,0.8802926967888605,0.9511935208866156,-0.0016326530612245094,-0.006938775510204165,0.004081632653061162,0.02122448979591829,-0.009387755102040818,-0.014285714285714346,0.002448979591836653,-0.029795918367346963,-0.0151020408163266,0.01183673469387736,0.02408163265306129,0.012244897959183598
9,9,0.8326530612244898,0.7320261437908496,0.7880079568059108,0.9566638249502699,0.08448979591836736,0.004897959183673528,-0.0077551020408164195,0.002448979591836764,-0.004897959183673528,-0.03020408163265298,0.015510204081632506,0.04040816326530616,-0.013061224489795964,-0.007346938775510292,0.002448979591836764,0.011428571428571566
10,10,0.8448979591836735,0.8155339805825242,0.8584825234441602,0.9350667803353225,0.008163265306122325,-0.01510204081632649,0.005714285714285672,0.0028571428571430024,-0.010612244897959089,0.004897959183673417,-0.0032653061224489077,-0.0028571428571428914,-0.014285714285714346,0.008163265306122436,0.004897959183673417,0.014693877551020473
11,11,0.8857142857142857,0.8571428571428571,0.8911622620062518,0.9666808752486502,-0.0028571428571428914,0.011836734693877471,0.01510204081632649,0.02857142857142858,-0.00040816326530623837,-0.002448979591836764,-0.008163265306122436,-0.016326530612244983,-0.004081632653061273,0.014693877551020362,0.023673469387755053,0.03673469387755113
12,12,0.8367346938775511,0.7938144329896907,0.8367789144643365,0.9387610116510372,-0.007346938775510292,-0.002448979591836653,0.00040816326530623837,0.011020408163265438,-0.010204081632652962,-0.04816326530612236,-0.021632653061224416,-0.02693877551020407,-0.0016326530612245094,0.011428571428571455,-0.015918367346938744,-0.020000000000000018
13,13,0.8204081632653061,0.7634408602150538,0.8107061665245808,0.9326513213981245,0.0028571428571427804,0.00040816326530612734,0.003673469387755146,0.00448979591836729,-0.00040816326530623837,-0.04285714285714293,-0.04693877551020409,-0.013469387755102091,0.0020408163265306367,-0.027755102040816326,-0.004489795918367401,0.018775510204081525
14,14,0.8367346938775511,0.803921568627451,0.847612958226769,0.9455100880932084,-0.012653061224489726,0.002448979591836764,-0.014285714285714346,-0.012653061224489837,-0.03265306122448974,-0.015918367346938744,-0.022448979591836782,-0.021632653061224416,-0.00897959183673469,0.0016326530612245094,0.020000000000000018,0.0053061224489797665
15,15,0.8693877551020408,0.8383838383838383,0.8759235578289286,0.9489201477692526,0.0032653061224490187,0.0020408163265306367,0.005306122448979433,-0.008979591836734802,0.002448979591836764,-0.011836734693877471,0.00897959183673469,-0.008979591836734802,0.007346938775510181,-0.006938775510204054,0.005714285714285783,0.020816326530612272
16,16,0.6979591836734694,0.421875,0.6173273657289002,0.9208581983518045,-0.03142857142857136,-0.007346938775510181,-0.0065306122448979265,-0.013061224489795742,-0.033877551020408236,-0.012653061224489726,0.006122448979591799,-0.024897959183673546,0.0020408163265306367,0.0077551020408164195,-1.1102230246251565e-16,0.015510204081632728
17,17,0.9020408163265307,0.8823529411764706,0.9172350099460074,0.9543194089229895,0.009795918367347056,0.013877551020408219,0.015918367346938744,0.011428571428571566,0.04204081632653067,-0.0053061224489795444,-0.004489795918367401,0.009387755102040707,0.0016326530612245094,0.0008163265306123657,0.024897959183673435,0.008163265306122547
18,18,0.9020408163265307,0.8762886597938144,0.9064009661835748,0.968101733447002,0.010204081632653073,0.014285714285714346,0.009387755102040818,0.006122448979591688,0.005714285714285894,-0.012653061224489726,-0.0008163265306121437,-0.0020408163265305257,-0.004489795918367401,0.019183673469387763,0.008163265306122547,0.022040816326530543
19,19,0.8857142857142857,0.8227848101265823,0.8499928957090083,0.9738562091503268,0.03346938775510211,0.00734693877551007,-0.0032653061224491298,0.001224489795918382,0.009387755102040818,0.006938775510203943,0.003673469387755146,0.020408163265306145,0.009387755102040818,0.023673469387755053,0.04081632653061229,0.04040816326530616
20,20,0.8653061224489796,0.8272251308900523,0.8639883489627735,0.9604290991759022,0.00897959183673469,-0.009795918367346945,-0.0028571428571426694,0.02693877551020407,-0.0032653061224490187,0.008163265306122547,0.0040816326530613845,-0.01183673469387736,-0.010204081632653073,0.0028571428571430024,0.02285714285714291,0.0028571428571430024
21,21,0.8408163265306122,0.7692307692307693,0.8140451832907076,0.9384768400113669,0.006938775510204054,0.007346938775510181,0.014693877551020473,0.004081632653061162,0.008163265306122436,0.007346938775510181,0.019183673469387763,-0.01836734693877562,-0.011428571428571344,0.003673469387755035,0.004489795918367401,-0.027755102040816326
22,22,0.8571428571428571,0.8325358851674641,0.8747868712702472,0.9463626030122194,-0.0028571428571428914,-0.004489795918367401,-0.004081632653061162,0.002448979591836653,-0.02285714285714302,-0.009387755102040929,-0.008163265306122547,-0.013469387755102091,-0.024897959183673657,-0.00040816326530623837,0.002448979591836653,0.010204081632653073
23,23,0.8693877551020408,0.8072289156626506,0.8412546177891447,0.946433645922137,0.019183673469387763,0.007346938775510292,0.02734693877551031,0.012653061224489726,0.011428571428571344,0.028979591836734597,0.02448979591836742,0.042857142857142816,0.002448979591836764,0.015510204081632506,0.024897959183673435,0.033877551020408125
24,24,0.8081632653061225,0.6713286713286714,0.7510656436487638,0.9515487354362034,0.069795918367347,0.037142857142857144,0.03918367346938767,-0.0004081632653060163,0.013061224489795964,0.022448979591836893,-0.001224489795918382,0.04857142857142871,-0.0032653061224489077,0.026530612244898055,0.04081632653061218,0.028163265306122565
25,25,0.8571428571428571,0.7852760736196319,0.8249502699630578,0.9532537652742257,0.009795918367346834,-0.005714285714285672,-0.005714285714285672,0.006938775510204054,-0.023673469387755164,-0.0053061224489795444,0.005714285714285672,0.011428571428571344,0.006122448979591799,-0.0053061224489795444,0.00040816326530612734,0.012244897959183487
26,26,0.8857142857142857,0.851063829787234,0.8824950269963058,0.9479255470304063,0.04040816326530616,0.015510204081632617,0.004081632653061273,0.0016326530612246204,0.0016326530612243983,0.0077551020408163085,0.02408163265306118,0.009795918367346834,-0.001224489795918271,0.011428571428571455,0.006122448979591799,-0.011428571428571455
27,27,0.8448979591836735,0.81,0.8519820971867007,0.9480676328502415,-1.1102230246251565e-16,0.0077551020408163085,0.00448979591836729,0.0028571428571427804,-0.028163265306122343,-0.048979591836734615,-0.03755102040816327,-0.019183673469387874,-0.02857142857142858,0.015102040816326712,0.02857142857142858,0.01346938775510198
28,28,0.8489795918367347,0.8121827411167513,0.8530832622904234,0.9529695936345552,0.011428571428571455,0.0273469387755102,0.012244897959183598,0.002448979591836764,-0.01836734693877551,-0.022448979591836893,0.0028571428571427804,-0.02408163265306118,-0.006122448979591799,0.010612244897959089,-0.0212244897959184,0.0008163265306120326
29,29,0.8816326530612245,0.8465608465608465,0.8792270531400965,0.9340011366865587,-0.014693877551020251,0.006938775510204165,0.01224489795918371,0.006122448979591799,-0.012244897959183598,0.014693877551020473,0.0077551020408163085,-0.018775510204081636,-0.022857142857142687,0.020408163265306256,-0.0008163265306122547,0.029795918367346963
30,30,0.8734693877551021,0.848780487804878,0.8878587666950839,0.9555271383915885,0.016326530612244983,0.0020408163265307477,0.013061224489795964,0.004081632653061273,0.011020408163265438,-0.03469387755102049,-0.013061224489796075,-0.018775510204081747,0.0008163265306122547,0.005714285714285783,0.004489795918367401,0.002448979591836764
31,31,0.8489795918367347,0.7909604519774012,0.8314151747655585,0.9416027280477408,0.011428571428571455,0.01346938775510198,0.0053061224489796555,0.00897959183673458,0.01632653061224487,-0.0028571428571427804,-0.001224489795918382,-0.008571428571428674,-0.0008163265306122547,0.005714285714285561,0.027755102040816215,0.0016326530612243983
32,32,0.8530612244897959,0.8085106382978723,0.8476840011366866,0.9372691105427678,-0.014693877551020362,-0.03183673469387749,0.0008163265306121437,-0.004081632653061162,-0.03428571428571414,-0.009387755102040929,-0.022040816326530654,-0.004081632653061162,-0.03591836734693887,0.0008163265306121437,-0.0032653061224490187,-0.0020408163265306367
33,33,0.8285714285714286,0.75,0.7999076442171071,0.9384057971014492,0.013877551020408219,0.0040816326530613845,-0.008163265306122436,-0.0028571428571426694,0.00897959183673469,-0.011020408163265438,-0.010204081632653073,-0.038367346938775415,-0.00122448979591816,0.008163265306122547,-0.0077551020408161975,0.008163265306122547
34,34,0.9061224489795918,0.8783068783068783,0.9053353225348111,0.9629156010230179,0.04204081632653045,0.009387755102040818,0.005306122448979433,0.0106122448979592,0.023265306122449037,-0.003673469387755257,0.0106122448979592,0.019183673469387763,-0.008979591836734802,0.005714285714285783,0.01632653061224465,0.0028571428571430024
35,35,0.8489795918367347,0.806282722513089,0.8465828360329639,0.932011935208866,0.003673469387755146,-0.0028571428571428914,-0.001224489795918382,0.008163265306122325,-0.015918367346938855,-0.008163265306122658,-0.004081632653061273,0.00040816326530612734,-0.011836734693877693,-0.0077551020408164195,-0.0053061224489796555,-0.02857142857142858
36,36,0.8530612244897959,0.8064516129032258,0.8455171923842,0.9454390451832907,0.009387755102040929,-0.001224489795918382,0.0,-0.008571428571428563,-0.03755102040816338,-0.004897959183673528,-0.04122448979591842,0.004489795918367401,-0.031020408163265345,0.033877551020408125,0.0212244897959184,0.007346938775510181
37,37,0.8326530612244898,0.7759562841530054,0.8205100880932084,0.9317988064791134,-0.0032653061224490187,-0.007346938775510292,-0.0020408163265307477,0.0053061224489796555,0.004897959183673528,0.008571428571428452,-0.003673469387755035,-0.010204081632653073,-0.0032653061224490187,-0.017142857142857126,-0.002448979591836764,-0.00040816326530623837
38,38,0.8571428571428571,0.8128342245989305,0.8509519749928958,0.9420289855072463,-0.007346938775510181,0.005714285714285672,0.0065306122448978154,0.04571428571428571,-0.00040816326530623837,-0.017142857142857126,-0.0008163265306123657,0.0077551020408163085,-0.006938775510204276,-0.0151020408163266,0.0028571428571427804,-0.019591836734694
39,39,0.8938775510204081,0.8602150537634409,0.889030974708724,0.9670360897982382,0.007346938775510181,0.031020408163265345,-0.001224489795918382,0.042857142857142816,0.019999999999999907,0.02408163265306107,0.01224489795918371,0.002448979591836653,0.011836734693877582,0.009795918367347056,-0.011020408163265438,0.01632653061224476
40,40,0.8448979591836735,0.7840909090909091,0.8259803921568627,0.934285308326229,-0.010204081632653073,0.002448979591836653,-0.013877551020408108,-0.020408163265306145,0.0016326530612246204,-0.01959183673469378,-0.03510204081632662,0.009795918367346945,0.010204081632653184,-0.008163265306122436,-0.024897959183673324,0.03428571428571425
41,41,0.9020408163265307,0.8636363636363636,0.8868996874111963,0.9685279909065075,0.08775510204081638,0.001224489795918271,-0.012244897959183598,0.019183673469387763,0.0077551020408163085,0.020408163265306034,0.0016326530612246204,0.015510204081632728,-0.008163265306122436,0.013877551020408219,0.0032653061224490187,0.0053061224489795444
42,42,0.8653061224489796,0.8290155440414507,0.86615515771526,0.9355640807047456,0.008979591836734913,0.018775510204081747,0.00448979591836729,-0.004081632653061162,-0.0016326530612245094,-0.002448979591836653,-0.0008163265306121437,0.009387755102040818,1.1102230246251565e-16,0.006122448979591799,-0.004081632653061162,-0.0053061224489795444
43,43,0.8775510204081632,0.8571428571428571,0.8976271668087525,0.9484228473998295,0.008163265306122436,0.016326530612244983,0.02081632653061216,0.015918367346938744,-0.0106122448979592,-0.018775510204081747,0.00897959183673469,-0.012653061224489837,-0.011836734693877582,0.00897959183673469,0.01673469387755111,0.012653061224489726
44,44,0.8448979591836735,0.8155339805825242,0.8584825234441602,0.9187979539641944,0.011428571428571455,0.00040816326530612734,0.01224489795918382,0.0016326530612243983,0.009795918367346945,-0.005714285714285561,-0.017551020408163365,0.004897959183673417,-0.0016326530612243983,0.026122448979591928,0.009387755102040818,0.015102040816326712
