,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_humidity_scaled
0,0,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9350029377203289,0.2300000000000001,0.06541666666666657,0.013333333333333197
1,1,0.9,0.8695652173913043,0.8942420681551116,0.9465334900117509,0.20166666666666666,0.06874999999999998,0.046666666666666745
2,2,0.9,0.8681318681318682,0.8921856639247944,0.9446239717978848,0.20291666666666675,0.06958333333333333,-0.007499999999999951
3,3,0.8875,0.8491620111731844,0.8758813160987073,0.9477085781433607,0.13874999999999993,0.0758333333333332,0.01041666666666674
4,4,0.9,0.8695652173913043,0.8942420681551116,0.940951821386604,0.20625000000000004,0.0658333333333333,0.03541666666666665
5,5,0.8958333333333334,0.8633879781420765,0.888807285546416,0.9495446533490012,0.16708333333333336,0.060416666666666785,0.004583333333333384
6,6,0.7875,0.6330935251798561,0.7289952996474736,0.9467538190364276,0.11041666666666661,0.03249999999999997,0.02833333333333332
7,7,0.8875,0.847457627118644,0.8738249118683901,0.9424206815511162,0.16749999999999998,0.07208333333333328,-0.0004166666666667318
8,8,0.8208333333333333,0.7074829931972789,0.7724735605170387,0.9473413631022326,0.10666666666666669,0.08500000000000008,-0.025416666666666754
9,9,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.934635722679201,0.21499999999999997,0.06374999999999997,0.02749999999999997
10,10,0.8791666666666667,0.8304093567251462,0.8588425381903643,0.9466803760282021,0.13708333333333322,0.09000000000000008,-0.0012500000000000844
11,11,0.8875,0.8491620111731844,0.8758813160987073,0.9444770857814336,0.14833333333333332,0.07791666666666663,0.0008333333333332416
12,12,0.7625,0.5714285714285714,0.6963866039952996,0.9405846063454759,0.08875,0.11375000000000002,-0.02083333333333326
13,13,0.8166666666666667,0.7215189873417721,0.7793772032902467,0.9441098707403055,0.14208333333333334,0.016249999999999987,0.0016666666666665941
14,14,0.7416666666666667,0.515625,0.6692126909518213,0.9481492361927144,0.0904166666666667,0.014999999999999902,-0.01041666666666674
15,15,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9456521739130435,0.1679166666666666,0.08333333333333326,0.0029166666666665675
16,16,0.9,0.8695652173913043,0.8942420681551116,0.9417596944770857,0.2008333333333333,0.06333333333333335,0.03416666666666668
17,17,0.9083333333333333,0.8817204301075269,0.9051116333725029,0.9319917743830786,0.24041666666666672,0.0658333333333333,0.011666666666666603
18,18,0.8958333333333334,0.8633879781420765,0.888807285546416,0.9427144535840188,0.1591666666666668,0.06208333333333338,0.02124999999999999
19,19,0.9083333333333333,0.8817204301075269,0.9051116333725029,0.9398501762632198,0.21083333333333332,0.06541666666666657,-0.0008333333333333526
20,20,0.6791666666666667,0.2803738317757009,0.5815217391304348,0.9415393654524089,0.054166666666666696,0.02041666666666675,0.04791666666666672
