,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_temperature_fd1_scaled,feature_importance.frontlow_temperature_fd2_scaled,feature_importance.frontlow_temperature_fd3_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_humidity_fd1_scaled,feature_importance.frontlow_humidity_fd2_scaled,feature_importance.frontlow_humidity_fd3_scaled
0,0,0.8036529680365296,0.7225806451612903,0.7767887709688464,0.8861691201643274,0.020091324200913196,0.029223744292237397,-0.022831050228310668,-0.03013698630136985,-0.010958904109589107,0.0036529680365295913,0.021917808219177992,0.0036529680365297024
1,1,0.7534246575342466,0.6301369863013698,0.7185039370078741,0.9097911674084217,0.02511415525114158,0.033333333333333326,0.016894977168949832,0.012328767123287787,-0.008675799086757974,0.010045662100456654,0.045662100456621,0.01324200913242013
2,2,0.776255707762557,0.6797385620915033,0.7471756247860322,0.8186408764121876,-0.0004566210045663377,-0.004566210045662045,-0.009589041095890538,0.00045662100456611565,-0.015525114155251263,0.017351598173515947,0.01689497716894972,-0.0031963470319634757
3,3,0.8082191780821918,0.7375,0.7852191030469018,0.8717048955837042,0.017351598173515947,-0.005022831050228382,-0.004109589041095929,-0.03105022831050208,0.00776255707762552,0.015068493150685036,0.005022831050228493,0.012785388127854014
4,4,0.7853881278538812,0.6928104575163399,0.7565474152687436,0.8410647038685382,-0.01050228310502277,-0.022831050228310446,0.005479452054794498,-0.026940639269406486,0.014611872146118698,0.01598173515981749,0.0273972602739726,0.03926940639269416
5,5,0.8036529680365296,0.7225806451612903,0.7767887709688464,0.810938034919548,0.10867579908675806,-0.010958904109589107,-0.014611872146118698,-0.01963470319634708,-0.027853881278538828,0.004109589041095818,0.013698630136986356,0.008675799086757974
6,6,0.8127853881278538,0.7421383647798742,0.7891561109209175,0.8825744608010954,-0.004566210045662267,0.0036529680365297024,-0.01963470319634708,-0.03926940639269405,-0.009589041095890427,0.007305936073059294,0.0474885844748858,0.01050228310502277
7,7,0.8127853881278538,0.7421383647798742,0.7891561109209175,0.8907052379322149,0.0031963470319634757,-0.017808219178082174,-0.033789954337899664,-0.038812785388127935,0.009589041095890316,0.013242009132420018,0.028310502283104944,0.021917808219177992
8,8,0.8036529680365296,0.7295597484276729,0.7797843204382061,0.8251454981170833,0.026940639269406264,0.017808219178082174,0.01050228310502288,-0.00045662100456611565,0.007305936073059405,0.005936073059360725,0.01050228310502288,0.013242009132419907
9,9,0.8264840182648402,0.7654320987654321,0.8054604587470044,0.8845429647381033,-0.010958904109588996,1.1102230246251565e-16,-0.006849315068493067,-0.017351598173515947,0.0004566210045662267,0.026940639269406375,0.05890410958904113,0.03698630136986292
10,10,0.821917808219178,0.7636363636363637,0.8030212256076686,0.9163813762410133,0.04474885844748855,-0.0009132420091325644,0.01461187214611881,0.03242009132420087,-0.02876712328767128,0.05890410958904102,0.050684931506849384,0.015068493150684925
11,11,0.8127853881278538,0.7421383647798742,0.7891561109209175,0.8614344402601849,0.0022831050228310223,0.00639269406392684,0.0273972602739726,0.01050228310502277,-0.01826484018264829,0.0273972602739726,0.029680365296803624,0.028310502283105055
12,12,0.7945205479452054,0.7096774193548387,0.7674169804861348,0.8968675111263267,0.02465753424657524,-0.033789954337899775,-0.009589041095890316,0.0009132420091323423,-0.024657534246575352,0.021917808219177992,0.020091324200913308,0.025114155251141468
13,13,0.7442922374429224,0.6056338028169014,0.7061365970558028,0.8320780554604588,0.016894977168949832,0.026484018264840148,0.016438356164383494,-0.01050228310502277,-0.005479452054794498,-0.011415525114155223,0.026027397260274032,0.00136986301369868
14,14,0.7945205479452054,0.7058823529411765,0.765919205751455,0.8579253680246491,-0.013698630136986245,-0.001369863013698569,-0.020547945205479423,-0.010958904109589107,0.0,0.010958904109588885,0.01598173515981738,0.015525114155251152
15,15,0.776255707762557,0.6797385620915033,0.7471756247860322,0.8485963711057856,0.016894977168949832,0.012785388127853792,0.008219178082191747,-0.021461187214611877,-0.012785388127854014,0.00136986301369868,0.008675799086757974,0.004566210045662045
16,16,0.7488584474885844,0.6153846153846154,0.7115713796644985,0.8923313933584389,0.007762557077625631,0.024200913242009126,0.005479452054794609,-0.0036529680365297024,-0.01735159817351606,0.013242009132420018,0.01735159817351606,0.0031963470319634757
17,17,0.7123287671232876,0.5190839694656488,0.6650975693255734,0.8993495378295104,0.008675799086757974,0.014155251141552472,0.03242009132420087,0.04703196347031957,-0.0036529680365298134,0.006849315068493178,0.01187214611872145,0.019178082191780743
18,18,0.7945205479452054,0.7096774193548387,0.7674169804861348,0.8764977747346798,0.017808219178082174,-0.01598173515981738,-0.024200913242009237,-0.007305936073059516,-0.008675799086758085,0.007305936073059294,0.012328767123287565,-0.0009132420091324533
19,19,0.7579908675799086,0.6900584795321637,0.7419120164327284,0.7938206093803493,0.25799086757990863,0.07214611872146126,0.07534246575342451,0.04977168949771693,-0.07123287671232881,0.06986301369863013,0.021461187214611877,0.02602739726027392
20,20,0.7945205479452054,0.7133757961783439,0.7689147552208149,0.8479972612119137,0.01050228310502277,0.008219178082191747,-0.0036529680365297024,-0.007305936073059516,0.0009132420091324533,0.021461187214611877,0.0182648401826484,0.0237442922374429
21,21,0.730593607305936,0.6775956284153005,0.7227832933926737,0.7861177678877097,0.22009132420091326,0.04931506849315059,0.001369863013698569,-0.008219178082191858,-0.11872146118721472,0.09589041095890416,0.024657534246575352,0.0511415525114155
22,22,0.8036529680365296,0.7261146496815286,0.7782865457035262,0.8093118794933242,0.15570776255707763,0.057077625570776336,0.016438356164383605,0.05479452054794509,-0.005936073059360836,0.09908675799086752,0.04611872146118723,0.029680365296803624
23,23,0.6757990867579908,0.6120218579234973,0.6665525504964054,0.8077713111947963,0.12283105022831053,-0.005936073059360725,-0.0018264840182649067,-0.0091324200913242,-0.17579908675799094,0.0730593607305936,0.0420091324200913,0.04337899543378987
24,24,0.817351598173516,0.75,0.7945908935296131,0.8982369051694625,0.011415525114155334,-0.005936073059360725,-0.01050228310502288,0.00136986301369868,-0.012328767123287565,0.02602739726027392,0.026940639269406375,0.026940639269406486
25,25,0.7351598173515982,0.5972222222222222,0.6982625813077713,0.8152173913043479,0.22146118721461194,0.03150684931506853,-0.00639269406392684,0.04474885844748855,-0.05662100456621011,0.011415525114155334,0.046575342465753566,0.02648401826484026
26,26,0.776255707762557,0.6878980891719745,0.750171174255392,0.8456864087641218,0.12146118721461174,0.014155251141552472,0.00136986301369868,0.015981735159817267,-0.06073059360730604,0.03561643835616435,0.02237442922374433,0.010502283105022658
27,27,0.7853881278538812,0.6967741935483871,0.7580451900034235,0.8758986648408079,0.020091324200913196,-0.006849315068493178,-0.0036529680365297024,-0.01598173515981738,-0.019634703196347192,-0.010958904109588996,-0.00776255707762552,0.011415525114155223
28,28,0.817351598173516,0.7468354430379747,0.7930931187949333,0.9016603902773023,-0.006392694063926951,-0.012785388127853903,-0.0009132420091323423,-0.043835616438356095,-0.00913242009132409,0.006392694063926951,0.022831050228310557,0.020091324200913308
29,29,0.7853881278538812,0.6967741935483871,0.7580451900034235,0.8113659705580281,0.0031963470319634757,0.01324200913242013,-0.005936073059360836,-0.021917808219177992,-0.028310502283105055,0.01689497716894961,0.01689497716894972,0.014155251141552583
30,30,0.7945205479452054,0.7096774193548387,0.7674169804861348,0.8895070181444712,0.0004566210045662267,0.008675799086757974,-0.005936073059360725,-0.014155251141552583,-0.010502283105022991,0.024200913242009015,0.036073059360730686,0.015068493150685036
31,31,0.680365296803653,0.4444444444444444,0.6285518657993838,0.906966792194454,-0.0182648401826484,0.016894977168949832,0.005479452054794498,-0.005479452054794387,-0.0018264840182647957,-0.01552511415525104,-0.006392694063926951,-0.002739726027397249
32,32,0.8401826484018264,0.8,0.8292536802464909,0.9241698048613488,0.07260273972602727,-0.0036529680365297024,0.014155251141552472,-0.007305936073059405,-0.037442922374429255,0.015068493150684925,0.037442922374429255,0.04840182648401825
