,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled
0,0,0.8666666666666667,0.8275862068965517,0.853710362863681,0.902745995423341,0.3857777777777778,0.04977777777777781,0.03644444444444439,0.039555555555555566
1,1,0.8622222222222222,0.8165680473372781,0.8449248120300752,0.89375612945407,0.29333333333333333,0.07644444444444443,0.04800000000000004,0.12888888888888894
2,2,0.8933333333333333,0.8666666666666667,0.8863190585158549,0.8965348152991174,0.3533333333333333,0.05022222222222217,0.035111111111111204,0.0257777777777779
3,3,0.8577777777777778,0.8315789473684211,0.8579192546583851,0.9122262177182086,0.388,0.040888888888888864,0.05022222222222206,0.052888888888888985
4,4,0.8577777777777778,0.813953488372093,0.8428407976462897,0.910918600849951,0.24,0.004444444444444473,0.013777777777777778,0.0013333333333334085
5,5,0.8133333333333334,0.7980769230769231,0.8270268061457993,0.897025171624714,0.3826666666666667,0.1413333333333333,0.16800000000000015,0.13555555555555554
6,6,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.9136972866949984,0.19288888888888878,0.013333333333333308,0.04399999999999993,0.05688888888888877
7,7,0.8222222222222222,0.8095238095238095,0.8378963713631906,0.9157404380516507,0.3844444444444445,0.14577777777777767,0.18266666666666664,0.10622222222222222
8,8,0.8577777777777778,0.813953488372093,0.8428407976462897,0.9065053939195816,0.06799999999999995,-0.0013333333333334085,0.0048888888888887205,0.01822222222222225
9,9,0.8577777777777778,0.813953488372093,0.8428407976462897,0.9002124877410919,0.20933333333333337,0.01822222222222203,0.016444444444444484,0.0
10,10,0.9111111111111111,0.8936170212765957,0.9114089571755475,0.9128800261523374,0.40755555555555556,0.14844444444444438,0.1537777777777778,0.1266666666666666
11,11,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.9135338345864661,0.16622222222222227,0.009777777777777774,0.01288888888888895,0.02933333333333321
12,12,0.7733333333333333,0.7692307692307693,0.796542987904544,0.9106734226871526,0.3417777777777778,0.14533333333333331,0.14755555555555555,0.16666666666666663
13,13,0.8133333333333334,0.8,0.8287021902582543,0.9004576659038901,0.37555555555555553,0.11022222222222222,0.03066666666666662,0.11199999999999999
14,14,0.8311111111111111,0.8155339805825242,0.8437397842432167,0.9086302713305001,0.3777777777777778,0.10266666666666668,0.14222222222222225,0.06222222222222218
15,15,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.9035632559660018,0.18844444444444453,0.004444444444444473,0.0484444444444444,0.03688888888888908
16,16,0.9111111111111111,0.8936170212765957,0.9114089571755475,0.9113272311212816,0.39377777777777767,0.12755555555555553,0.17022222222222216,0.06533333333333347
17,17,0.9022222222222223,0.8791208791208791,0.8971886237332461,0.9176201372997712,0.3502222222222223,0.09911111111111115,0.07111111111111124,0.08266666666666667
18,18,0.8933333333333333,0.8666666666666667,0.8863190585158549,0.9128800261523373,0.3382222222222221,0.07822222222222219,0.07422222222222219,0.11644444444444435
19,19,0.9111111111111111,0.8913043478260869,0.9080581889506374,0.9179470415168355,0.3911111111111112,0.17555555555555546,0.1346666666666667,0.11333333333333317
20,20,0.8933333333333333,0.8762886597938144,0.8980467473030402,0.919172932330827,0.40977777777777774,0.15822222222222226,0.1439999999999999,0.13511111111111118
21,21,0.8222222222222222,0.8076923076923077,0.8362209872507356,0.9092840797646289,0.38044444444444436,0.01777777777777778,0.11333333333333329,0.08711111111111114
22,22,0.8977777777777778,0.8756756756756757,0.8951046093494606,0.9153318077803204,0.3155555555555555,0.12488888888888883,0.0795555555555556,0.10888888888888892
23,23,0.8222222222222222,0.8095238095238095,0.8378963713631906,0.9163942464857797,0.37199999999999994,0.14177777777777756,0.16000000000000003,0.1346666666666667
24,24,0.8488888888888889,0.8,0.8319712324288984,0.8908957175547565,0.29066666666666663,0.040888888888888864,0.04533333333333334,0.040888888888888864
25,25,0.7955555555555556,0.7850467289719626,0.8136645962732919,0.8940830336711344,0.3706666666666667,0.14933333333333332,0.10755555555555552,0.12311111111111117
26,26,0.8666666666666667,0.8421052631578947,0.8671134357633213,0.9071592023537103,0.40355555555555556,0.13244444444444448,0.14177777777777778,0.09644444444444455
27,27,0.8577777777777778,0.84,0.8662961752206604,0.9173749591369729,0.392,0.16399999999999992,0.17599999999999993,0.04800000000000004
28,28,0.8533333333333334,0.8374384236453202,0.8642121608368748,0.9128800261523374,0.3906666666666667,0.10088888888888903,0.07511111111111113,0.08577777777777784
29,29,0.8311111111111111,0.8137254901960784,0.8420644001307617,0.911817587446878,0.36844444444444446,0.08000000000000007,0.13600000000000012,0.08044444444444454
30,30,0.8533333333333334,0.8290155440414507,0.8558352402745995,0.9012749264465512,0.39377777777777784,0.07333333333333336,0.0955555555555555,0.04266666666666663
31,31,0.8977777777777778,0.8729281767955801,0.8917538411245505,0.8956358287021903,0.39555555555555555,0.10266666666666668,0.1306666666666667,0.12622222222222212
32,32,0.8444444444444444,0.8275862068965517,0.8550179797319385,0.9147597254004577,0.3773333333333333,0.1146666666666667,0.16488888888888875,0.019555555555555548
33,33,0.8888888888888888,0.8603351955307262,0.8808842759071592,0.909284079764629,0.4071111111111111,0.09244444444444444,0.07111111111111112,0.1253333333333333
34,34,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.8989865969271004,0.2386666666666667,0.0022222222222222365,-0.0031111111111109535,0.010666666666666824
35,35,0.9066666666666666,0.8864864864864865,0.9042987904543969,0.9141059169663288,0.40888888888888886,0.15288888888888874,0.07777777777777761,0.06799999999999995
36,36,0.8888888888888888,0.8603351955307262,0.8808842759071592,0.9187643020594966,0.36444444444444435,0.06799999999999984,0.06133333333333346,0.08622222222222209
37,37,0.8577777777777778,0.813953488372093,0.8428407976462897,0.9124713958810068,0.13777777777777778,0.0022222222222222365,0.007111111111110957,0.01155555555555543
38,38,0.9111111111111111,0.8913043478260869,0.9080581889506374,0.9229323308270676,0.42133333333333334,0.23111111111111116,0.22044444444444433,0.2751111111111112
