,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled
0,0,0.9182879377431906,0.8934010152284264,0.9267457180500659,0.9880764163372859,0.03385214007782089,0.11478599221789876,0.08171206225680938,0.016731517509727567
1,1,0.8560311284046692,0.8262910798122066,0.8782608695652174,0.935638998682477,0.27782101167315176,-0.0015564202334630295,-0.010894941634241428,-0.0038910505836577958
2,2,0.9260700389105059,0.9045226130653267,0.9376152832674571,0.9880764163372859,0.03307392996108949,0.12373540856031129,0.0898832684824904,0.08171206225680938
3,3,0.9377431906614786,0.9191919191919192,0.9491106719367588,0.985836627140975,0.18521400778210118,0.17470817120622573,0.13346303501945522,0.12023346303501947
4,4,0.9260700389105059,0.9045226130653267,0.9376152832674571,0.9905138339920949,0.05447470817120614,0.16653696498054482,0.1136186770428016,0.09688715953307403
5,5,0.8988326848249028,0.875,0.9188076416337285,0.9744400527009223,0.2793774319066149,0.15136186770428017,0.13501945525291836,0.07120622568093393
6,6,0.9066147859922179,0.8811881188118812,0.9200592885375494,0.986034255599473,0.07354085603112848,0.13618677042801564,0.09260700389105059,0.07431906614785999
7,7,0.9066147859922179,0.8846153846153846,0.9272727272727272,0.9855072463768116,0.0852140077821012,0.15136186770428017,0.13385214007782098,0.08132295719844362
8,8,0.9416342412451362,0.9230769230769231,0.9497364953886693,0.9887351778656126,0.037743190661478576,0.11789883268482493,0.10700389105058372,0.08599221789883249
9,9,0.9182879377431906,0.8911917098445595,0.9219367588932806,0.9846508563899867,0.10661478599221785,0.16887159533073925,0.1089494163424124,0.03424124513618665
10,10,0.8910505836575876,0.8666666666666667,0.9127470355731224,0.9806324110671938,0.045525291828793835,0.11011673151750978,0.07665369649805454,0.057587548638132424
11,11,0.914396887159533,0.8921568627450981,0.9309288537549407,0.9831357048748353,0.03891050583657574,0.14241245136186775,0.1225680933852139,0.1272373540856031
12,12,0.9221789883268483,0.9019607843137255,0.9393939393939394,0.9870223978919631,0.01789883268482495,0.11128404669260705,0.1326848249027237,0.08482490272373555
13,13,0.9299610894941635,0.9108910891089109,0.9454545454545454,0.9874835309617919,0.17003891050583664,0.14085603112840472,0.14124513618677037,0.0824902723735409
14,14,0.9260700389105059,0.9064039408866995,0.9424242424242424,0.9766139657444005,0.04630350194552524,0.11556420233463038,0.0844357976653698,0.07626459143968878
15,15,0.9105058365758755,0.8808290155440415,0.913471673254282,0.969235836627141,0.12373540856031118,0.16420233463035017,0.1575875486381323,0.10544747081712058
16,16,0.8871595330739299,0.863849765258216,0.9121212121212121,0.9799077733860342,0.25136186770428004,0.11011673151750967,0.07159533073929958,0.0704280155642023
17,17,0.914396887159533,0.89,0.9261198945981555,0.9795125164690381,0.06536964980544746,0.13229571984435784,0.114396887159533,0.0852140077821012
18,18,0.9105058365758755,0.8866995073891626,0.925494071146245,0.9812252964426877,0.1840466926070038,0.13501945525291836,0.06809338521400776,0.07821011673151756
19,19,0.914396887159533,0.8921568627450981,0.9309288537549407,0.9875494071146246,0.0750972762645914,0.14513618677042806,0.06575875486381322,0.10778210116731513
20,20,0.9455252918287937,0.925531914893617,0.9455533596837944,0.9924242424242424,0.07704280155642007,0.14241245136186764,0.1190661478599222,0.07276264591439674
21,21,0.9221789883268483,0.8979591836734694,0.9297760210803689,0.9833333333333333,0.04785992217898827,0.15719844357976664,0.1062256809338522,0.09182879377431918
22,22,0.9182879377431906,0.8955223880597015,0.9315546772068511,0.9837285902503294,0.11400778210116724,0.14357976653696503,0.1280155642023345,0.03540856031128392
23,23,0.9027237354085603,0.8780487804878049,0.9194334650856391,0.9784584980237154,0.024902723735408472,0.0879377431906615,0.08910505836575877,0.06342412451361867
24,24,0.8988326848249028,0.875,0.9188076416337285,0.980566534914361,0.09105058365758756,0.11556420233463027,0.0961089494163424,0.03929961089494172
25,25,0.933852140077821,0.9109947643979057,0.9364624505928854,0.9874835309617919,0.05330739299610887,0.10583657587548645,0.08093385214007787,0.03424124513618676
26,26,0.9260700389105059,0.9045226130653267,0.9376152832674571,0.9881422924901185,0.07198443579766545,0.11867704280155644,0.09338521400778221,0.05019455252918281
27,27,0.8638132295719845,0.8341232227488151,0.8843214756258235,0.9432147562582346,0.3093385214007782,-0.004280155642023442,-0.006614785992217986,0.002334630350194433
28,28,0.9221789883268483,0.8969072164948454,0.9273715415019763,0.9859683794466403,0.033463035019455245,0.15836575875486392,0.09649805447470827,0.10428015564202342
29,29,0.933852140077821,0.9154228855721394,0.9484848484848485,0.9876152832674572,0.14357976653696491,0.22645914396887168,0.13618677042801552,0.10894941634241251
30,30,0.8988326848249028,0.8761904761904762,0.9212121212121211,0.9804347826086957,0.051361867704280195,0.08638132295719847,0.0933852140077821,0.03579766536964968
31,31,0.8871595330739299,0.8557213930348259,0.8976943346508564,0.982608695652174,0.2042801556420233,0.12879377431906613,0.08832684824902715,0.058754863813229585
32,32,0.9260700389105059,0.9045226130653267,0.9376152832674571,0.9615283267457181,0.1299610894941634,0.15642023346303513,0.15175097276264604,0.09416342412451373
33,33,0.9299610894941635,0.91,0.9430500658761528,0.9877470355731225,0.14124513618677037,0.150194552529183,0.19105058365758754,0.15719844357976653
34,34,0.914396887159533,0.89,0.9261198945981555,0.9803030303030303,0.0961089494163424,0.1630350194552529,0.1392996108949417,0.05914396887159512
35,35,0.9182879377431906,0.8955223880597015,0.9315546772068511,0.983794466403162,0.008560311284046662,0.13891050583657583,0.12879377431906613,0.07587548638132291
