,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled
0,0,0.8995433789954338,0.8804347826086957,0.8969103046901746,0.9150975693255734,0.30319634703196363,0.012328767123287787,0.04885844748858448,0.01735159817351606
1,1,0.8447488584474886,0.8,0.8301951386511468,0.9392331393358437,0.18858447488584473,0.029680365296803735,-0.00045662100456611565,0.0031963470319634757
2,2,0.8812785388127854,0.8673469387755102,0.8871533721328313,0.9244265662444368,0.4707762557077626,0.03378995433789955,0.09223744292237435,0.026484018264840148
3,3,0.867579908675799,0.8379888268156425,0.8603646011639849,0.9294762067785004,0.2990867579908675,0.013242009132419907,0.004566210045662045,-0.02876712328767117
4,4,0.8127853881278538,0.8056872037914692,0.828098254022595,0.9205751454981171,0.40319634703196344,0.045205479452054775,0.1552511415525113,0.04794520547945191
5,5,0.776255707762557,0.6474820143884892,0.7366912016432728,0.937264635398836,0.03515981735159812,0.015068493150684925,-0.012328767123287787,-0.0009132420091324533
6,6,0.867579908675799,0.8342857142857143,0.8573690516946251,0.9467648065730915,0.4118721461187214,0.042465753424657526,-0.016894977168949832,-0.005022831050228382
7,7,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.9167237247517972,0.12009132420091317,0.01963470319634708,0.020091324200913196,0.012328767123287565
8,8,0.8995433789954338,0.8791208791208791,0.8954125299554947,0.935980828483396,0.263013698630137,0.026027397260274032,0.028310502283105055,0.058447488584475016
9,9,0.8584474885844748,0.8208092485549133,0.8464994864772338,0.9126155426223895,0.3926940639269406,0.010958904109588996,0.021917808219177992,0.09086757990867578
10,10,0.821917808219178,0.7636363636363637,0.8030212256076686,0.9294762067785006,0.1315068493150684,0.008675799086757863,0.012328767123287676,0.007762557077625409
11,11,0.863013698630137,0.8275862068965517,0.8519342690859295,0.9250256761383089,0.2922374429223745,-0.004566210045662045,0.029223744292237508,0.005479452054794609
12,12,0.8447488584474886,0.8,0.8301951386511468,0.9083361862375898,0.252054794520548,0.010045662100456654,-0.002739726027397249,0.037442922374429366
13,13,0.771689497716895,0.6428571428571429,0.7327541937692571,0.9184354673057171,0.045662100456621,0.030593607305935966,0.031963470319634646,0.020547945205479534
14,14,0.8858447488584474,0.8603351955307262,0.8791081821294078,0.9394899007189318,0.36255707762557066,0.024657534246575352,0.020091324200913085,-0.005936073059360614
15,15,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.9314447107155084,0.32785388127853876,0.0022831050228310223,0.028310502283104944,-0.007762557077625631
16,16,0.8036529680365296,0.7152317880794702,0.7737932214994865,0.9233995207120849,0.03698630136986303,0.016438356164383494,0.0474885844748858,0.052968036529680296
17,17,0.8538812785388128,0.813953488372093,0.8410647038685382,0.9141561109209175,0.2863013698630137,0.022831050228310668,-0.00045662100456611565,0.005022831050228382
18,18,0.9223744292237442,0.9090909090909091,0.922586442998973,0.9368366997603559,0.4018264840182648,0.11141552511415531,0.04155251141552507,0.01735159817351606
19,19,0.8584474885844748,0.8187134502923976,0.8450017117425539,0.9335843889079083,0.1168949771689497,0.007305936073059405,0.06484018264840175,0.004566210045662045
20,20,0.8812785388127854,0.8571428571428571,0.8766689489900719,0.9249400890106128,0.34383561643835625,0.009589041095890538,0.045205479452054775,0.04063926940639273
21,21,0.8447488584474886,0.8,0.8301951386511468,0.9249400890106128,0.17579908675799094,0.0237442922374429,0.0036529680365295913,0.0091324200913242
22,22,0.7945205479452054,0.697986577181208,0.7629236562820951,0.9152687435809654,0.06438356164383552,0.04063926940639262,0.05936073059360725,0.047945205479452135
23,23,0.8584474885844748,0.8208092485549133,0.8464994864772338,0.9317870592262923,0.11050228310502286,0.004566210045662045,0.00273972602739736,0.0031963470319634757
24,24,0.8447488584474886,0.8,0.8301951386511468,0.9347826086956522,0.1515981735159816,0.026027397260274143,0.0036529680365298134,-0.0091324200913242
25,25,0.8082191780821918,0.7407407407407407,0.7867168777815816,0.8957548784662787,0.31643835616438354,-0.017808219178082174,-0.029680365296803735,0.029223744292237397
26,26,0.8493150684931506,0.7975460122699386,0.8296388223211228,0.9330708661417323,0.10319634703196345,0.047945205479452024,0.07168949771689492,0.0511415525114155
27,27,0.821917808219178,0.7636363636363637,0.8030212256076686,0.9311879493324204,0.09543378995433782,0.016894977168949832,0.016438356164383494,0.04566210045662089
28,28,0.8538812785388128,0.8024691358024691,0.8335758301951386,0.9432557343375555,0.22237442922374429,0.0237442922374429,0.0031963470319634757,0.004109589041095929
29,29,0.867579908675799,0.8342857142857143,0.8573690516946251,0.9263094830537487,0.16484018264840183,0.010958904109589107,0.015068493150684814,0.013698630136986245
30,30,0.8812785388127854,0.8539325842696629,0.8736733995207121,0.9291338582677166,0.3703196347031963,0.012328767123287787,0.002739726027397249,0.013242009132420018
31,31,0.8584474885844748,0.8208092485549133,0.8464994864772338,0.919205751454981,0.19680365296803648,0.010045662100456543,0.005936073059360614,0.01050228310502288
32,32,0.8584474885844748,0.8208092485549133,0.8464994864772338,0.9289626840123245,0.1077625570776255,0.010958904109588996,-0.0022831050228311334,0.008675799086757974
33,33,0.8447488584474886,0.8,0.8301951386511468,0.9028586100650462,0.27442922374429224,0.0022831050228310223,0.010045662100456654,-0.011415525114155223
34,34,0.8584474885844748,0.845771144278607,0.8674683327627525,0.9327285176309483,0.4785388127853881,0.13561643835616444,0.042465753424657526,0.06712328767123288
35,35,0.8538812785388128,0.813953488372093,0.8410647038685382,0.9321294077370763,0.14520547945205475,0.032420091324200984,0.03196347031963476,0.0022831050228310223
36,36,0.817351598173516,0.7402597402597403,0.7900975693255734,0.9300753166723725,0.06255707762557083,0.026940639269406375,0.0420091324200913,0.013698630136986356
37,37,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.9352961314618281,0.2904109589041096,0.02465753424657524,-0.0091324200913242,0.0018264840182647957
