,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_CO2_scaled,feature_importance.righttop_temperature_scaled,feature_importance.righttop_humidity_scaled
0,0,0.8786764705882353,0.8135593220338984,0.8551932367149759,0.953864734299517,0.17022058823529407,0.004779411764705976,-0.00404411764705892
1,1,0.8786764705882353,0.8135593220338984,0.8551932367149759,0.9556159420289855,0.1849264705882352,0.006617647058823506,-0.0014705882352941124
2,2,0.875,0.7901234567901234,0.8311594202898551,0.9486111111111111,0.18125000000000002,-0.004044117647058698,0.0117647058823529
3,3,0.8933823529411765,0.8361581920903954,0.8716183574879227,0.956340579710145,0.19044117647058834,0.01764705882352946,0.014338235294117596
4,4,0.875,0.8152173913043478,0.8603864734299517,0.9572463768115943,0.17205882352941182,0.005514705882352922,0.0014705882352940014
5,5,0.875,0.8131868131868132,0.8577294685990338,0.9603260869565218,0.19448529411764715,-0.0003676470588235281,-0.019852941176470518
6,6,0.8566176470588235,0.7745664739884393,0.8252415458937199,0.908876811594203,0.12095588235294119,-0.0014705882352941124,-0.010294117647058787
7,7,0.8860294117647058,0.8165680473372781,0.8527777777777779,0.9496376811594203,0.1992647058823529,0.0117647058823529,0.016176470588235348
8,8,0.8713235294117647,0.782608695652174,0.8257246376811594,0.9539855072463768,0.1772058823529411,-0.005882352941176561,0.010661764705882315
9,9,0.8823529411764706,0.8181818181818182,0.8579710144927537,0.9581521739130434,0.175735294117647,0.00772058823529409,0.0025735294117648078
10,10,0.8676470588235294,0.8,0.8468599033816425,0.9411835748792271,0.136764705882353,0.003308823529411642,-0.008088235294117618
11,11,0.8823529411764706,0.8048780487804879,0.8420289855072464,0.9518719806763285,0.20624999999999993,0.003308823529411864,0.012132352941176539
12,12,0.8823529411764706,0.8072289156626506,0.8446859903381643,0.9454106280193236,0.16985294117647054,0.01176470588235301,0.014338235294117707
13,13,0.8970588235294118,0.8372093023255814,0.8690821256038648,0.9466183574879227,0.21323529411764708,0.01580882352941182,0.015441176470588291
14,14,0.8786764705882353,0.7975460122699386,0.8365942028985507,0.9547705314009661,0.19007352941176459,0.0003676470588235281,0.00808823529411773
15,15,0.8823529411764706,0.8072289156626506,0.8446859903381643,0.96268115942029,0.23639705882352946,-0.004411764705882337,0.005882352941176339
16,16,0.8713235294117647,0.8066298342541437,0.8522946859903382,0.9501811594202898,0.1772058823529412,-0.002941176470588225,-0.016911764705882404
17,17,0.8823529411764706,0.8160919540229885,0.8553140096618357,0.9464371980676328,0.1783088235294118,0.007352941176470562,0.006617647058823506
18,18,0.8713235294117647,0.7953216374269005,0.8390096618357488,0.9503623188405798,0.1834558823529413,0.00367647058823517,-0.0014705882352941124
19,19,0.8676470588235294,0.8,0.8468599033816425,0.9510265700483091,0.1720588235294117,-0.004779411764705865,-0.012499999999999956
20,20,0.8713235294117647,0.8066298342541437,0.8522946859903382,0.9230676328502416,0.13713235294117654,0.006250000000000089,-0.004411764705882337
21,21,0.8823529411764706,0.8048780487804879,0.8420289855072464,0.9584541062801932,0.21029411764705885,0.0055147058823528106,0.012132352941176316
22,22,0.8860294117647058,0.8187134502923976,0.8554347826086957,0.9536231884057971,0.19889705882352937,0.0051470588235293935,0.004044117647058698
23,23,0.8676470588235294,0.8,0.8468599033816425,0.9397946859903381,0.1746323529411764,-0.003676470588235392,-0.021691176470588158
24,24,0.8860294117647058,0.8187134502923976,0.8554347826086957,0.9580314009661836,0.19963235294117654,0.006617647058823617,0.00588235294117645
25,25,0.8786764705882353,0.8235294117647058,0.8684782608695653,0.9344202898550724,0.18566176470588236,0.014705882352941235,0.0025735294117645857
26,26,0.8639705882352942,0.7955801104972375,0.8440821256038648,0.952536231884058,0.1654411764705883,0.0,-0.021691176470588047
27,27,0.8639705882352942,0.7909604519774012,0.838768115942029,0.8833333333333333,0.1327205882352942,0.0007352941176470562,-0.0007352941176471672
28,28,0.8676470588235294,0.8021978021978022,0.8495169082125604,0.8937801932367149,0.15330882352941178,0.0025735294117648078,-0.020220588235294157
29,29,0.8602941176470589,0.7564102564102564,0.8067632850241546,0.9606280193236715,0.1952205882352942,-0.006617647058823506,0.025000000000000022
30,30,0.8823529411764706,0.8072289156626506,0.8446859903381643,0.9642512077294686,0.22205882352941164,0.004411764705882337,0.014338235294117485
31,31,0.8786764705882353,0.8,0.8392512077294686,0.9559782608695653,0.17794117647058816,0.004044117647058809,0.011029411764705732
32,32,0.8823529411764706,0.8024691358024691,0.8393719806763285,0.9565821256038647,0.21801470588235294,0.00772058823529409,0.012132352941176316
33,33,0.8198529411764706,0.6474820143884892,0.7390096618357488,0.9596618357487923,0.1613970588235294,0.0022058823529411686,-0.010661764705882315
34,34,0.8639705882352942,0.7861271676300579,0.8334541062801932,0.93737922705314,0.1393382352941176,-0.006617647058823395,0.0011029411764705843
35,35,0.8786764705882353,0.7950310559006211,0.8339371980676329,0.9605676328502415,0.20882352941176474,-0.0007352941176471672,0.02499999999999991
36,36,0.8897058823529411,0.8255813953488372,0.8608695652173912,0.9576690821256039,0.19558823529411762,0.008088235294117618,0.011029411764705843
37,37,0.875,0.8045977011494253,0.8471014492753624,0.9489130434782609,0.17279411764705865,0.003676470588235281,0.0011029411764706953
38,38,0.8860294117647058,0.8187134502923976,0.8554347826086957,0.9532004830917875,0.18823529411764695,0.008088235294117618,0.010661764705882426
39,39,0.8492647058823529,0.7602339181286549,0.8143719806763285,0.9396739130434782,0.11176470588235288,-0.01544117647058818,-0.014705882352941124
40,40,0.8786764705882353,0.8023952095808383,0.8419082125603865,0.9583937198067632,0.2018382352941177,-0.0025735294117646967,0.009191176470588203
41,41,0.875,0.8131868131868132,0.8577294685990338,0.8979468599033816,0.21397058823529413,0.011029411764705843,-0.002941176470588225
42,42,0.8676470588235294,0.7906976744186046,0.836231884057971,0.9464371980676328,0.15404411764705883,-0.005514705882353033,0.004044117647058809
43,43,0.8713235294117647,0.8087431693989071,0.854951690821256,0.9571256038647342,0.15735294117647047,0.005514705882352922,-0.012867647058823484
44,44,0.8860294117647058,0.8121212121212121,0.847463768115942,0.9595410628019323,0.20477941176470582,0.005514705882352922,0.013235294117647012
45,45,0.8860294117647058,0.8121212121212121,0.847463768115942,0.9536231884057971,0.21433823529411766,0.004044117647058698,0.00772058823529409
46,46,0.8897058823529411,0.8235294117647058,0.8582125603864734,0.9565821256038647,0.2136029411764706,0.006249999999999867,0.008823529411764675
47,47,0.8492647058823529,0.7210884353741497,0.7824879227053141,0.9585144927536232,0.16470588235294115,0.008455882352941146,0.051470588235294046
48,48,0.8860294117647058,0.8228571428571428,0.8607487922705315,0.9489130434782609,0.17316176470588218,0.012500000000000067,0.014705882352941124
49,49,0.8676470588235294,0.8,0.8468599033816425,0.9509057971014493,0.15625,-0.003308823529411642,-0.01948529411764699
50,50,0.8897058823529411,0.8275862068965517,0.8635265700483092,0.960024154589372,0.17683823529411768,0.00955882352941173,0.006617647058823395
51,51,0.8713235294117647,0.8087431693989071,0.854951690821256,0.9595410628019324,0.20367647058823535,-0.002941176470588225,-0.02132352941176463
52,52,0.8823529411764706,0.8160919540229885,0.8553140096618357,0.9147342995169082,0.200735294117647,0.003676470588235281,-0.008823529411764564
53,53,0.8786764705882353,0.8176795580110497,0.8605072463768115,0.9591787439613526,0.20514705882352946,0.00955882352941173,-0.015441176470588291
54,54,0.8713235294117647,0.8044692737430168,0.8496376811594203,0.9490942028985507,0.1680147058823529,0.00036764705882363913,-0.013235294117647012
55,55,0.8676470588235294,0.8021978021978022,0.8495169082125604,0.9577898550724637,0.15183823529411777,-0.004044117647058809,-0.01948529411764699
56,56,0.8897058823529411,0.8214285714285714,0.8555555555555556,0.9529589371980677,0.20624999999999982,0.008455882352941146,0.012499999999999956
57,57,0.8051470588235294,0.6015037593984962,0.7146135265700483,0.9595410628019324,0.1404411764705883,-0.009191176470588092,0.028308823529411775
58,58,0.8823529411764706,0.8160919540229885,0.8553140096618357,0.9485507246376812,0.1977941176470589,0.005514705882353033,0.004411764705882337
59,59,0.8676470588235294,0.8043478260869565,0.8521739130434782,0.9466183574879227,0.1613970588235294,0.0014705882352941124,-0.020588235294117685
60,60,0.8713235294117647,0.779874213836478,0.8230676328502415,0.9622584541062802,0.20000000000000007,0.00588235294117645,0.0194852941176471
61,61,0.8897058823529411,0.8314606741573034,0.868840579710145,0.9510265700483091,0.19338235294117634,0.007720588235293979,0.004044117647058698
62,62,0.8860294117647058,0.8228571428571428,0.8607487922705315,0.9422705314009662,0.18860294117647047,0.00588235294117645,0.0014705882352941124
63,63,0.8933823529411765,0.8379888268156425,0.8742753623188406,0.9685386473429951,0.31544117647058834,0.007720588235294312,-0.0025735294117645857
64,64,0.8933823529411765,0.8284023668639053,0.8609903381642512,0.953683574879227,0.21433823529411766,0.015073529411764763,0.004779411764706087
65,65,0.8713235294117647,0.8066298342541437,0.8522946859903382,0.9383454106280193,0.14007352941176476,0.008088235294117618,-0.0025735294117645857
66,66,0.8566176470588235,0.7515923566878981,0.8039855072463769,0.946195652173913,0.17536764705882346,-0.009558823529411842,0.011764705882352788
67,67,0.8713235294117647,0.8066298342541437,0.8522946859903382,0.9603260869565218,0.1485294117647059,0.004411764705882337,-0.018382352941176627
68,68,0.8786764705882353,0.8135593220338984,0.8551932367149759,0.9582125603864734,0.19999999999999996,0.0025735294117645857,-0.011397058823529593
69,69,0.8676470588235294,0.8021978021978022,0.8495169082125604,0.9495772946859904,0.17610294117647052,0.005514705882353033,-0.01544117647058818
70,70,0.7683823529411765,0.5190839694656488,0.6708937198067633,0.9533212560386474,0.10882352941176487,-0.020955882352941102,-0.04999999999999993
71,71,0.8860294117647058,0.8143712574850299,0.8501207729468598,0.9048309178743962,0.1849264705882353,0.011397058823529371,0.020220588235294046
72,72,0.8602941176470589,0.7564102564102564,0.8067632850241546,0.957487922705314,0.1808823529411765,-0.0018382352941175295,0.028676470588235303
73,73,0.8713235294117647,0.8066298342541437,0.8522946859903382,0.9354468599033815,0.1819852941176472,-0.0018382352941177516,-0.0194852941176471
