,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_temperature_fd1_scaled,feature_importance.fronttop_temperature_fd2_scaled,feature_importance.fronttop_temperature_fd3_scaled,feature_importance.fronttop_humidity_scaled,feature_importance.fronttop_humidity_fd1_scaled,feature_importance.fronttop_humidity_fd2_scaled,feature_importance.fronttop_humidity_fd3_scaled
0,0,0.8484848484848485,0.7904191616766467,0.8263215514544886,0.8616671879887394,0.11212121212121218,0.03809523809523807,-0.0008658008658007921,-0.009956709956709942,-0.005627705627705537,-0.013852813852813894,-0.0043290043290044045,-0.0012987012987014657
1,1,0.8311688311688312,0.7607361963190185,0.8045824210197059,0.868861432593056,0.05324675324675321,-0.0025974025974024872,0.0043290043290044045,-0.003896103896103953,-0.003896103896103953,-0.0034632034632035014,0.005627705627705648,0.0
2,2,0.8398268398268398,0.7757575757575758,0.8154519862370972,0.7672036284016265,0.058008658008657954,0.007792207792207684,-0.01601731601731604,-0.0008658008658007921,0.003896103896103842,-0.0012987012987012436,-0.0034632034632033903,-0.0051948051948051965
3,3,0.8614718614718615,0.8117647058823529,0.8426258992805755,0.8461057241163591,0.02164502164502169,0.010822510822510734,0.010389610389610393,-0.008225108225108246,0.005627705627705648,0.006060606060605989,0.004761904761904856,0.0
4,4,0.8225108225108225,0.7484662576687117,0.7955505161088521,0.8855176728182671,0.038961038961039085,-0.04025974025974033,-0.0021645021645021467,-0.035497835497835584,0.029870129870129936,-0.006493506493506662,0.009523809523809601,0.04025974025974022
5,5,0.8354978354978355,0.7564102564102564,0.8026665624022521,0.9421332499218017,0.06666666666666665,0.027705627705627678,0.004761904761904745,0.03809523809523818,0.0017316017316018062,0.0043290043290044045,0.0060606060606061,0.0034632034632033903
6,6,0.8225108225108225,0.7453416149068323,0.7937128558023147,0.9432280262746324,0.041991341991342024,0.006926406926407003,0.0008658008658009031,-0.003896103896103842,0.0034632034632033903,0.004761904761904856,0.031168831168831068,-0.0004329004329003405
7,7,0.8441558441558441,0.7857142857142857,0.8227244291523303,0.9230528620581795,0.026406926406926212,-0.010822510822510734,-0.009090909090909038,-0.0121212121212122,-0.0008658008658009031,-0.00043290043290045155,-0.0012987012987013546,-0.0051948051948051965
8,8,0.8484848484848485,0.7928994082840237,0.8281592117610259,0.8053644041288708,0.14502164502164494,0.048917748917748916,0.05238095238095242,0.019480519480519543,-0.006493506493506329,0.00649350649350644,0.0121212121212122,0.004761904761904856
9,9,0.8528138528138528,0.7976190476190477,0.8317563340631842,0.9000625586487332,0.054978354978355015,0.015151515151515138,-0.00649350649350644,-0.019913419913419883,0.016883116883116944,0.014718614718614687,0.014718614718614798,0.020346320346320446
10,10,0.8354978354978355,0.7738095238095238,0.8136925242414764,0.9016265248670629,0.08441558441558439,-0.006493506493506329,0.0025974025974025983,0.01212121212121231,-0.026406926406926323,-0.0017316017316015841,0.013852813852813894,0.003030303030302939
11,11,0.8268398268398268,0.75,0.797309978104473,0.8646387238035658,0.041991341991342024,0.005627705627705537,0.011255411255411296,0.004761904761904745,-0.004761904761904745,-0.00043290043290056257,-0.006926406926406892,0.0012987012987012436
12,12,0.8181818181818182,0.7375,0.788278073193619,0.8294494838911479,0.035930735930735924,-0.04761904761904756,0.0021645021645021467,-0.0012987012987012436,0.0012987012987013546,-0.007359307359307343,-0.005627705627705648,-0.00043290043290045155
13,13,0.8441558441558441,0.788235294117647,0.8245620894588677,0.7634501094776353,0.36839826839826834,0.09653679653679648,0.11948051948051952,0.021212121212121016,-0.0021645021645022577,0.017748917748917736,0.007359307359307232,0.01904761904761909
14,14,0.8354978354978355,0.7682926829268293,0.8100172036284017,0.8869252424147638,0.03722943722943728,0.0004329004329003405,-0.008225108225108135,-0.03419913419913423,0.013419913419913443,0.007359307359307343,0.0017316017316018062,-0.0025974025974025983
15,15,0.8138528138528138,0.7329192546583851,0.7846809508914607,0.8317954332186425,0.03160173160173163,-0.006493506493506662,-0.010389610389610393,-0.014285714285714346,-0.003896103896103842,-0.007792207792207795,-0.0012987012987013546,-0.013419913419913554
16,16,0.8311688311688312,0.7607361963190185,0.8045824210197059,0.8506412261495151,0.05324675324675332,0.0121212121212122,0.00909090909090915,0.004761904761904745,0.00909090909090915,0.009956709956710164,0.016017316017316152,0.007359307359307454
17,17,0.7532467532467533,0.583941605839416,0.6994056928370347,0.9219580857053489,-0.00303030303030305,-0.0043290043290042934,0.021212121212121238,0.041991341991342024,-0.008225108225108246,0.005627705627705537,-0.0017316017316016952,0.012987012987013102
18,18,0.8484848484848485,0.7904191616766467,0.8263215514544886,0.8592430403503284,0.08181818181818179,0.0034632034632035014,0.009523809523809601,0.04025974025974033,0.0012987012987013546,-0.004329004329004182,-0.003896103896103842,-0.00043290043290045155
19,19,0.8268398268398268,0.7590361445783133,0.8028229590240852,0.7464028776978416,0.36147186147186144,0.07316017316017309,0.05714285714285705,0.03160173160173152,-0.01601731601731593,0.03982683982683988,0.018614718614718417,-0.00043290043290056257
20,20,0.670995670995671,0.6346153846153846,0.6788395370659994,0.8106036909602754,0.30259740259740264,-0.04805194805194801,-0.04502164502164496,-0.0653679653679653,-0.16839826839826844,0.009523809523809712,0.022943722943722933,-0.0017316017316015841
21,21,0.6233766233766234,0.6063348416289592,0.6411088520487958,0.7586018142008133,0.25930735930735926,0.05324675324675321,-0.0034632034632035014,-0.01601731601731604,-0.2116883116883117,0.0852813852813854,-0.0008658008658009031,0.033766233766233666
22,22,0.7489177489177489,0.6847826086956522,0.7380747575852362,0.7384266499843603,0.2536796536796536,0.07099567099567083,-0.0025974025974025983,0.07835497835497829,-0.08398268398268405,0.05108225108225106,0.010822510822510845,-0.004761904761904856
23,23,0.8138528138528138,0.7329192546583851,0.7846809508914607,0.9273537691585862,0.03203463203463197,0.008658008658008809,0.0043290043290042934,0.008658008658008587,-0.007792207792207906,0.010822510822510845,0.005627705627705648,0.01558441558441559
24,24,0.8398268398268398,0.7757575757575758,0.8154519862370972,0.8714419768532999,0.04978354978354971,0.010389610389610393,-0.0043290043290044045,0.003030303030302939,0.012554112554112429,0.0004329004329003405,-0.0017316017316018062,0.0060606060606061
25,25,0.8268398268398268,0.7560975609756098,0.8009852987175476,0.8266343446981546,0.08354978354978349,0.014718614718614687,0.005627705627705759,0.00043290043290045155,-0.015151515151515249,0.007359307359307343,-0.008658008658008698,-0.0017316017316018062
26,26,0.8268398268398268,0.7560975609756098,0.8009852987175476,0.8694088207694712,0.03549783549783536,0.00952380952380949,0.016883116883116833,0.011255411255411074,-0.00952380952380949,0.00952380952380949,0.006493506493506329,0.0025974025974025983
27,27,0.8398268398268398,0.7757575757575758,0.8154519862370972,0.8350015639662183,0.061038961038961004,0.018181818181818077,0.003030303030302939,0.0060606060606061,-0.005627705627705648,-0.01255411255411254,-0.0017316017316018062,0.0034632034632035014
28,28,0.8441558441558441,0.7777777777777778,0.8172114482327182,0.8830153268689395,0.03290043290043276,0.017748917748917736,0.026406926406926212,0.0025974025974024872,0.013852813852813672,0.012121212121211977,0.010822510822510734,0.00043290043290045155
29,29,0.8398268398268398,0.7757575757575758,0.8154519862370972,0.7703315608382859,0.04632034632034632,0.03463203463203457,0.02554112554112553,-0.007792207792207795,-0.017748917748917847,0.006926406926406892,0.0021645021645021467,0.0034632034632035014
30,30,0.8441558441558441,0.7831325301204819,0.8208867688457929,0.8499374413512669,0.054112554112554,0.007359307359307232,0.00043290043290045155,-0.009090909090909038,0.004761904761904634,0.0021645021645020357,0.01298701298701288,0.013852813852813783
31,31,0.8311688311688312,0.7577639751552795,0.8027447607131686,0.8221770409759148,0.0861471861471862,0.025974025974025983,-0.01601731601731604,0.0025974025974025983,-0.0017316017316016952,0.009956709956709942,0.00303030303030305,0.00043290043290045155
32,32,0.8441558441558441,0.7804878048780488,0.8190491085392555,0.9501094776352831,0.04805194805194801,-0.009956709956709942,-1.1102230246251565e-16,0.00303030303030305,-0.019913419913419883,-0.011255411255411407,-0.0017316017316016952,-1.1102230246251565e-16
33,33,0.8398268398268398,0.7784431137724551,0.8172896465436347,0.9028776978417267,0.051948051948051965,0.0012987012987013546,0.013852813852813783,0.003896103896103953,0.006060606060605878,-0.004761904761904745,0.012121212121211977,0.0034632034632032793
34,34,0.8398268398268398,0.7757575757575758,0.8154519862370972,0.8059899906162027,0.080952380952381,0.0025974025974024872,-0.003896103896103842,0.013419913419913443,0.01558441558441559,-0.005627705627705648,0.0012987012987013546,0.005627705627705648
35,35,0.8398268398268398,0.7784431137724551,0.8172896465436347,0.7722865186111981,0.10779220779220777,0.04329004329004327,0.009090909090909038,0.035497835497835584,-0.017748917748917847,0.00952380952380949,0.003896103896103842,0.0021645021645021467
36,36,0.8311688311688312,0.7607361963190185,0.8045824210197059,0.8070847669690334,0.10086580086580099,0.0034632034632033903,0.005627705627705648,0.0043290043290044045,-0.0034632034632035014,0.0025974025974025983,0.0017316017316018062,0.005627705627705648
37,37,0.8311688311688312,0.7607361963190185,0.8045824210197059,0.7594619956208946,0.3303030303030303,0.022510822510822592,0.011688311688311748,0.03463203463203468,-0.030735930735930617,0.0012987012987012436,0.003896103896104064,0.004761904761904856
38,38,0.7705627705627706,0.6394557823129252,0.7266578041914296,0.9547231779793557,-0.00303030303030305,-0.011688311688311637,-0.024242424242424176,-0.02251082251082248,0.0017316017316016952,-0.0043290043290042934,-0.016883116883116944,-0.006926406926406892
39,39,0.8441558441558441,0.7857142857142857,0.8227244291523303,0.7615733500156395,0.23593073593073588,0.010822510822510845,0.02857142857142858,0.026406926406926434,-0.004761904761904856,0.031168831168830957,0.021645021645021467,0.004329004329004182
40,40,0.8484848484848485,0.7904191616766467,0.8263215514544886,0.7970753831717236,0.10562770562770563,0.008225108225108246,1.1102230246251565e-16,-0.0008658008658007921,-0.005627705627705648,-0.003896103896103842,-0.0021645021645020357,0.0034632034632035014
41,41,0.8268398268398268,0.7560975609756098,0.8009852987175476,0.7711917422583672,0.16753246753246753,0.04761904761904756,-0.009956709956710053,0.007359307359307343,-0.042424242424242364,0.003896103896103953,-0.00952380952380949,-0.003896103896103953
42,42,0.8484848484848485,0.7904191616766467,0.8263215514544886,0.9262589928057554,0.03506493506493513,0.017316017316017396,0.010822510822510845,0.0008658008658009031,0.0034632034632035014,0.0051948051948053076,1.1102230246251565e-16,0.014285714285714346
43,43,0.8398268398268398,0.7730061349693251,0.8136143259305599,0.8349233656553018,0.06666666666666654,0.008658008658008698,-0.0012987012987012436,0.004761904761904634,0.0,0.003030303030302939,0.009090909090909038,0.015151515151515138
44,44,0.8484848484848485,0.7904191616766467,0.8263215514544886,0.81427901157335,0.09047619047619049,-0.01601731601731593,0.004761904761904856,0.0121212121212122,-0.008658008658008587,0.0051948051948050855,-0.0017316017316016952,-0.00303030303030305
45,45,0.8268398268398268,0.7590361445783133,0.8028229590240852,0.8752736940882077,0.02857142857142847,0.02554112554112553,0.0034632034632033903,0.004761904761904745,-0.008225108225108357,-0.003030303030302939,-0.0021645021645021467,-0.006493506493506551
46,46,0.8354978354978355,0.7682926829268293,0.8100172036284017,0.7671254300907099,0.1740259740259742,0.011688311688311748,0.014718614718614575,0.0008658008658007921,-0.011688311688311637,0.0021645021645022577,0.0021645021645021467,0.0051948051948051965
47,47,0.8398268398268398,0.7757575757575758,0.8154519862370972,0.8142008132624334,0.09740259740259738,0.0021645021645021467,-0.0043290043290044045,0.003030303030302939,-0.026839826839826775,0.004761904761904745,0.00952380952380949,-0.0021645021645020357
48,48,0.8095238095238095,0.725,0.7792461682827652,0.8718329684078824,0.03160173160173163,-0.0021645021645020357,-0.0008658008658009031,-0.004329004329004182,0.009090909090909038,0.005627705627705648,0.007792207792207684,0.01601731601731593
49,49,0.8181818181818182,0.7375,0.788278073193619,0.8393024710666249,0.048051948051948234,0.005627705627705648,0.0034632034632035014,-0.013852813852813894,0.0008658008658009031,-0.0021645021645020357,0.008658008658008698,0.0012987012987013546
50,50,0.8008658008658008,0.7012987012987013,0.7647012824522991,0.9144510478573663,0.045021645021645074,0.039826839826839766,0.00303030303030305,0.010389610389610504,-0.007359307359307343,0.008658008658008587,-0.006926406926407003,-0.00303030303030305
51,51,0.8268398268398268,0.7560975609756098,0.8009852987175476,0.8337503909915546,0.046320346320346095,0.0051948051948051965,0.006493506493506329,-0.007792207792207906,-0.005627705627705759,-0.0043290043290042934,-0.012121212121212088,-0.0021645021645021467
52,52,0.8398268398268398,0.7757575757575758,0.8154519862370972,0.786675007819831,0.08181818181818179,-0.011688311688311748,-0.004761904761904745,-0.03549783549783547,-0.011688311688311748,-0.00043290043290045155,-0.0008658008658009031,-0.008658008658008587
53,53,0.8354978354978355,0.7682926829268293,0.8100172036284017,0.7586800125117297,0.2640692640692641,0.008658008658008698,-0.0043290043290042934,0.04372294372294372,-0.010822510822510845,0.0,-0.004761904761904745,0.0017316017316018062
