,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled
0,0,0.9027237354085603,0.8743718592964824,0.9122200263504612,0.9619894598155468,0.005058365758754846,0.2996108949416343,0.20350194552529188,0.05097276264591444
1,1,0.8988326848249028,0.8712871287128713,0.9115942028985508,0.9679183135704875,0.007003891050583633,0.2455252918287938,0.18171206225680936,0.20000000000000007
2,2,0.8015564202334631,0.7243243243243244,0.7853425559947299,0.9170619235836628,-0.00894941634241242,0.006225680933852118,0.009338521400778177,0.01478599221789878
3,3,0.8910505836575876,0.8613861386138614,0.903129117259552,0.9599472990777338,0.0007782101167315147,0.22918287937743187,0.20389105058365764,0.08287937743190665
4,4,0.9027237354085603,0.8756218905472637,0.9146245059288538,0.9481554677206852,0.0038910505836575737,0.3112840466926071,0.27782101167315165,0.04591439688715937
5,5,0.8988326848249028,0.87,0.909189723320158,0.964361001317523,0.004280155642023331,0.23501945525291823,0.19805447470817128,0.13151750972762655
6,6,0.8988326848249028,0.8712871287128713,0.9115942028985508,0.9687747035573123,-0.0023346303501945442,0.23424124513618672,0.1988326848249028,0.13813229571984442
7,7,0.914396887159533,0.8865979381443299,0.9189064558629776,0.972068511198946,0.008171206225680905,0.14863813229571987,0.1447470817120623,0.07431906614785999
8,8,0.8910505836575876,0.8627450980392157,0.9055335968379447,0.9574440052700922,0.0019455252918287869,0.28443579766536975,0.21361867704280157,0.17626459143968887
9,9,0.8988326848249028,0.8686868686868687,0.9067852437417655,0.9696969696969697,0.0015564202334630295,0.22957198443579763,0.16498054474708168,0.059143968871595454
10,10,0.8910505836575876,0.8613861386138614,0.903129117259552,0.9660737812911726,-0.0019455252918287869,0.23657587548638126,0.16498054474708168,0.07276264591439696
11,11,0.8326848249027238,0.7794871794871795,0.8312252964426877,0.9185111989459817,0.0019455252918288979,0.020233463035019494,0.017509727626459193,0.01206225680933859
12,12,0.8949416342412452,0.8669950738916257,0.9085638998682477,0.9687747035573122,0.013618677042801508,0.20038910505836582,0.10428015564202331,0.07704280155642029
13,13,0.9066147859922179,0.88,0.9176548089591567,0.9660079051383399,0.0077821011673151474,0.21400778210116733,0.15525291828793775,0.07859922178988332
14,14,0.8871595330739299,0.8571428571428571,0.900098814229249,0.9646245059288538,0.003112840466925948,0.28443579766536964,0.3042801556420234,0.261089494163424
15,15,0.7976653696498055,0.7142857142857143,0.7775032938076416,0.9120553359683794,0.0046692607003890885,0.012840466926069993,0.012451361867704236,0.011673151750972721
16,16,0.8093385214007782,0.7407407407407407,0.7986166007905138,0.9177865612648222,-0.00038910505836575737,0.011284046692606964,0.011673151750972721,0.008560311284046662
17,17,0.8949416342412452,0.8669950738916257,0.9085638998682477,0.9723320158102766,0.004280155642023331,0.26303501945525287,0.2070038910505837,0.17003891050583653
18,18,0.9105058365758755,0.8844221105527639,0.9206851119894599,0.9750329380764163,0.010894941634241206,0.20350194552529188,0.14085603112840472,0.14435797665369654
19,19,0.8988326848249028,0.87,0.909189723320158,0.9494729907773387,-0.0015564202334630295,0.2653696498054474,0.2334630350194552,0.1171206225680933
20,20,0.8093385214007782,0.7351351351351352,0.7938076416337285,0.916798418972332,-0.0035019455252918164,0.016731517509727567,0.014396887159533023,0.010116731517509692
21,21,0.8949416342412452,0.8669950738916257,0.9085638998682477,0.9584980237154149,0.0038910505836575737,0.23579766536964974,0.23968871595330732,0.17665369649805462
22,22,0.8326848249027238,0.7772020725388601,0.8288208168642951,0.9228590250329382,0.004280155642023442,0.02373540856031131,0.024902723735408583,0.009338521400778288
23,23,0.8132295719844358,0.7446808510638298,0.8016469038208169,0.9083662714097497,0.01478599221789878,0.03268482490272373,0.024513618677042714,0.02529182879377423
24,24,0.8949416342412452,0.8669950738916257,0.9085638998682477,0.958498023715415,0.0,0.24863813229571996,0.2050583657587549,0.142023346303502
25,25,0.9105058365758755,0.8855721393034826,0.9230895915678524,0.9750329380764163,0.015175097276264538,0.17003891050583653,0.11245136186770421,0.09105058365758756
26,26,0.8054474708171206,0.7282608695652174,0.788372859025033,0.9118577075098814,0.00739299610894939,0.022957198443579796,0.024124513618677068,0.02217898832684828
27,27,0.8910505836575876,0.8613861386138614,0.903129117259552,0.9567193675889327,0.003112840466926059,0.2750972762645916,0.24163424124513622,0.21556420233463036
28,28,0.914396887159533,0.8865979381443299,0.9189064558629776,0.9760869565217392,0.003112840466926059,0.16692607003891047,0.13618677042801564,0.09143968871595332
29,29,0.9105058365758755,0.883248730964467,0.9182806324110672,0.9712121212121212,0.006225680933852118,0.2902723735408561,0.196887159533074,0.08832684824902726
30,30,0.8910505836575876,0.8627450980392157,0.9055335968379447,0.9606719367588934,0.004280155642023331,0.17198443579766542,0.09377431906614786,0.047081712062256864
31,31,0.8015564202334631,0.7243243243243244,0.7853425559947299,0.9079710144927536,-0.0015564202334630295,0.021011673151750898,0.012840466926070104,0.016731517509727678
32,32,0.8015564202334631,0.7243243243243244,0.7853425559947299,0.9131093544137022,0.003112840466926059,0.017509727626459082,0.01050583657587556,0.008560311284046662
33,33,0.8988326848249028,0.8712871287128713,0.9115942028985508,0.9668642951251647,0.0077821011673151474,0.20466926070038916,0.13968871595330745,0.13229571984435806
34,34,0.7976653696498055,0.7142857142857143,0.7775032938076416,0.9086956521739131,0.0011673151750972721,0.02101167315175101,0.020233463035019494,0.015175097276264649
35,35,0.8054474708171206,0.7340425531914894,0.7931818181818182,0.9124505928853756,-0.0019455252918287869,0.02373540856031131,0.02101167315175101,0.012451361867704236
36,36,0.8093385214007782,0.7407407407407407,0.7986166007905138,0.9113965744400526,0.0077821011673151474,0.011673151750972721,0.014396887159533023,0.005836575875486361
37,37,0.9105058365758755,0.8808290155440415,0.913471673254282,0.9637022397891963,0.004280155642023331,0.26420233463035014,0.22101167315175096,0.169260700389105
38,38,0.9066147859922179,0.8787878787878788,0.9152503293807641,0.9601449275362318,0.00894941634241242,0.29260700389105065,0.28521400778210126,0.13229571984435806
39,39,0.8404669260700389,0.7960199004975125,0.8469038208168642,0.9337285902503294,-0.0046692607003890885,0.016731517509727678,0.016731517509727678,0.014007782101167376
40,40,0.8638132295719845,0.8341232227488151,0.8843214756258235,0.9396574440052702,0.016731517509727678,0.014007782101167376,0.02256809338521404,0.019066147859922
41,41,0.914396887159533,0.8854166666666666,0.916501976284585,0.9730566534914361,0.013618677042801508,0.16186770428015562,0.12140077821011663,0.0906614785992218
42,42,0.8988326848249028,0.8712871287128713,0.9115942028985508,0.9754281949934124,0.022568093385213928,0.11361867704280149,0.13035019455252927,0.10389105058365755
43,43,0.914396887159533,0.89,0.9261198945981555,0.9683794466403162,0.012062256809338479,0.19377431906614773,0.14591439688715957,0.13696498054474704
44,44,0.8949416342412452,0.8656716417910447,0.9061594202898551,0.9587615283267457,0.007003891050583633,0.32723735408560317,0.29727626459143974,0.2280155642023346
45,45,0.8054474708171206,0.7311827956989247,0.7907773386034256,0.9111330698287221,-0.0015564202334630295,0.012840466926069993,0.014007782101167265,0.011673151750972721
