,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backlow_temperature_scaled,feature_importance.backlow_temperature_fd1_scaled,feature_importance.backlow_temperature_fd2_scaled,feature_importance.backlow_temperature_fd3_scaled,feature_importance.backlow_humidity_scaled,feature_importance.backlow_humidity_fd1_scaled,feature_importance.backlow_humidity_fd2_scaled,feature_importance.backlow_humidity_fd3_scaled
0,0,0.8355555555555556,0.7730061349693251,0.8123161163779014,0.9314318404707421,0.034222222222222265,0.027111111111111308,-0.019555555555555437,-0.005333333333333301,0.010222222222222244,-0.019555555555555548,-0.05644444444444441,-0.033777777777777684,0.01288888888888895,-0.0013333333333334085,0.028000000000000136,0.03333333333333344
1,1,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.920807453416149,0.0955555555555554,-0.008888888888889057,-0.007111111111111179,0.015555555555555323,0.04977777777777781,-0.02400000000000002,-0.02444444444444449,-0.008444444444444477,-0.008444444444444477,0.009777777777777774,0.016888888888888842,0.028444444444444494
2,2,0.88,0.8556149732620321,0.8783916312520431,0.9083850931677019,0.17555555555555558,0.0040000000000000036,0.045777777777777806,0.0004444444444444695,0.05333333333333323,0.0022222222222221255,-0.009333333333333305,-0.01911111111111119,0.0022222222222221255,-0.0057777777777776596,-0.0057777777777776596,-0.016000000000000125
3,3,0.8,0.7133757961783439,0.7705132396207911,0.8573063092513893,0.022222222222222254,-0.0013333333333332975,-0.007555555555555649,-0.09466666666666668,0.014666666666666828,-0.04844444444444429,-0.04888888888888887,-0.0644444444444443,0.004888888888888943,0.011111111111111072,0.005777777777777771,0.001777777777777878
4,4,0.8488888888888889,0.7976190476190477,0.8302958483164433,0.9432821183393265,0.013777777777777778,0.010222222222222244,0.00666666666666671,0.012000000000000122,0.04533333333333334,-0.004000000000000115,-0.019555555555555548,-0.01333333333333342,0.020888888888888957,0.016444444444444595,0.027111111111111308,0.001777777777777878
5,5,0.7777777777777778,0.6666666666666666,0.7416639424648578,0.8411245505067015,0.000888888888888828,-0.02533333333333332,-0.03288888888888897,-0.014666666666666606,-0.0013333333333332975,-0.0031111111111110645,-0.052888888888888874,-0.05688888888888899,-0.000888888888888939,0.004888888888888943,0.003555555555555645,0.009777777777777774
6,6,0.8311111111111111,0.7682926829268293,0.8085567178816606,0.8390813991500491,0.06933333333333325,0.01288888888888895,-0.01777777777777778,-0.021333333333333315,0.08400000000000007,-0.016444444444444373,-0.01866666666666661,-0.01822222222222225,-0.010666666666666602,0.015555555555555434,-0.012888888888888839,0.009777777777777663
7,7,0.8044444444444444,0.717948717948718,0.7742726381170317,0.8918764302059496,0.0,0.018666666666666498,-0.000888888888888828,0.028888888888888742,0.01244444444444437,-0.006222222222222129,0.0048888888888888316,-0.03155555555555556,-0.00666666666666671,0.011555555555555541,0.00622222222222224,-0.004888888888888943
8,8,0.7955555555555556,0.7088607594936709,0.7667538411245505,0.8803530565544295,0.016444444444444484,0.014222222222222247,-0.001777777777777656,-0.027999999999999914,-0.0031111111111110645,-0.010666666666666713,-0.0119999999999999,-0.017333333333333423,-0.0004444444444444695,0.0022222222222222365,0.01333333333333342,0.004000000000000115
9,9,0.8266666666666667,0.7607361963190185,0.803121935272965,0.891386073880353,0.020888888888888846,0.005333333333333412,0.02622222222222237,0.010666666666666602,0.058666666666666645,-0.006666666666666599,-0.0013333333333332975,-0.01777777777777778,-0.021333333333333426,0.002666666666666595,0.016444444444444484,-0.003555555555555534
10,10,0.84,0.7804878048780488,0.8177508989865969,0.8788819875776396,0.1968888888888889,-0.028444444444444494,-0.015111111111111075,-0.008000000000000118,0.13911111111111107,-0.016888888888888953,-0.020888888888888846,-0.021777777777777896,0.000888888888888828,-0.010222222222222244,0.010222222222222133,0.03199999999999992
11,11,0.8266666666666667,0.7607361963190185,0.803121935272965,0.8391631252043152,-0.009777777777777774,0.010666666666666602,0.00666666666666671,-0.007111111111111068,0.05555555555555558,0.0013333333333332975,0.008444444444444477,0.000888888888888717,-0.001777777777777767,-0.002666666666666595,0.013777777777777889,0.02488888888888896
12,12,0.8311111111111111,0.7682926829268293,0.8085567178816606,0.9449166394246485,0.033333333333333326,-0.03066666666666673,-0.029777777777777903,-0.03822222222222216,0.008000000000000118,-0.006222222222222129,-0.014222222222222136,-0.05777777777777782,0.011111111111111072,-0.007555555555555538,0.008888888888888835,-0.02444444444444438
13,13,0.7155555555555555,0.6981132075471698,0.7292415822164107,0.8506047728015691,0.25288888888888883,-0.01911111111111119,-0.008888888888889057,-0.009777777777777774,0.051555555555555466,-0.040444444444444505,-0.014222222222222247,-0.020888888888888957,-0.15644444444444439,-0.011111111111111072,0.007999999999999896,-0.001777777777777767
