,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_CO2_scaled
0,0,0.8693877551020408,0.8350515463917526,0.8715899403239558,0.9696646774651889,0.3918367346938776
1,1,0.8979591836734694,0.8780487804878049,0.9139670360897982,0.9768400113668656,0.5106122448979593
2,2,0.8693877551020408,0.8383838383838383,0.8759235578289286,0.9683148621767548,0.4432653061224489
3,3,0.8816326530612245,0.861244019138756,0.9008951406649617,0.9651179312304633,0.44204081632653064
4,4,0.8448979591836735,0.8207547169811321,0.8649829497016197,0.9261864165956237,0.4408163265306122
5,5,0.8489795918367347,0.8159203980099502,0.8574168797953964,0.9563796533105997,0.4244897959183673
6,6,0.8979591836734694,0.8663101604278075,0.8944657573174197,0.9735720375106565,0.4942857142857143
7,7,0.8938775510204081,0.8673469387755102,0.8998650184711565,0.9733589087809036,0.47632653061224484
8,8,0.9142857142857143,0.8944723618090452,0.9248721227621484,0.9758454106280193,0.503673469387755
9,9,0.8489795918367347,0.8195121951219512,0.8617504973003693,0.9545325376527423,0.3987755102040816
10,10,0.8775510204081632,0.8514851485148515,0.8889599317988065,0.9698067632850242,0.4844897959183673
11,11,0.8693877551020408,0.8461538461538461,0.8867576015913612,0.9683148621767548,0.4583673469387755
12,12,0.8857142857142857,0.8613861386138614,0.8976626882637113,0.9644075021312872,0.48693877551020404
13,13,0.8775510204081632,0.8571428571428571,0.8976271668087525,0.9562375674907645,0.48612244897959184
14,14,0.8653061224489796,0.847926267281106,0.892156862745098,0.9678886047172492,0.4848979591836735
15,15,0.8448979591836735,0.8207547169811321,0.8649829497016197,0.9141091219096334,0.4171428571428572
16,16,0.8448979591836735,0.7978723404255319,0.8389812446717817,0.9538221085535663,0.25591836734693885
17,17,0.889795918367347,0.8586387434554974,0.8900966183574879,0.9698778061949418,0.4791836734693877
18,18,0.9061224489795918,0.883248730964467,0.914002557544757,0.9745666382495027,0.4991836734693877
19,19,0.9387755102040817,0.9222797927461139,0.9444799658994032,0.9813867576015913,0.536326530612245
20,20,0.8857142857142857,0.8666666666666667,0.9063299232736572,0.9779766979255471,0.4930612244897959
21,21,0.8775510204081632,0.85,0.88679312304632,0.9706592782040352,0.4673469387755102
22,22,0.9020408163265307,0.875,0.9042341574310884,0.9770531400966183,0.4922448979591838
23,23,0.9142857142857143,0.8888888888888888,0.9140380789997158,0.977976697925547,0.5151020408163265
24,24,0.8775510204081632,0.8469387755102041,0.882459505541347,0.9641943734015346,0.45673469387755095
25,25,0.8693877551020408,0.8241758241758241,0.8585890878090366,0.9683148621767548,0.37224489795918364
26,26,0.9061224489795918,0.883248730964467,0.914002557544757,0.9757743677181017,0.5114285714285715
27,27,0.9387755102040817,0.9197860962566845,0.9379795396419437,0.9836601307189543,0.5412244897959184
28,28,0.9061224489795918,0.883248730964467,0.914002557544757,0.9778346121057119,0.5057142857142857
29,29,0.9102040816326531,0.8921568627450981,0.9259377664109122,0.98025007104291,0.5155102040816327
30,30,0.9020408163265307,0.8775510204081632,0.9085677749360614,0.947286160841148,0.4555102040816327
31,31,0.8938775510204081,0.8602150537634409,0.889030974708724,0.9725774367718102,0.5044897959183673
32,32,0.8448979591836735,0.8207547169811321,0.8649829497016197,0.9158141517476556,0.40653061224489795
33,33,0.8857142857142857,0.8571428571428571,0.8911622620062518,0.9580846831486218,0.47551020408163264
34,34,0.8489795918367347,0.8121827411167513,0.8530832622904234,0.9658994032395567,0.44489795918367336
35,35,0.8734693877551021,0.8502415458937198,0.8900255754475703,0.9732168229610685,0.45510204081632655
36,36,0.8571428571428571,0.8372093023255814,0.8812872975277067,0.9639812446717818,0.44693877551020406
37,37,0.8775510204081632,0.845360824742268,0.8802926967888605,0.9614947428246661,0.45469387755102036
38,38,0.8367346938775511,0.8,0.843279340721796,0.9589371980676329,0.3746938775510204
39,39,0.9224489795918367,0.9015544041450777,0.9270744529695936,0.9776925262858767,0.4857142857142856
40,40,0.889795918367347,0.8682926829268293,0.9052642796248934,0.9771241830065359,0.49469387755102046
41,41,0.889795918367347,0.864321608040201,0.898763853367434,0.9719380505825519,0.4783673469387756
42,42,0.8693877551020408,0.8446601941747572,0.8845907928388747,0.9712276214833759,0.4820408163265306
43,43,0.8571428571428571,0.8325358851674641,0.8747868712702472,0.9180164819551009,0.4224489795918367
44,44,0.8408163265306122,0.8151658767772512,0.8595481670929241,0.9232736572890026,0.3816326530612244
45,45,0.8816326530612245,0.8527918781725888,0.8878942881500427,0.9752770673486786,0.48040816326530617
46,46,0.8857142857142857,0.8444444444444444,0.8738277919863597,0.9706592782040353,0.4661224489795918
47,47,0.9020408163265307,0.8681318681318682,0.8934001136686559,0.9695936345552714,0.4759183673469389
48,48,0.8653061224489796,0.8324873096446701,0.870488775220233,0.9676754759874965,0.47428571428571437
49,49,0.9102040816326531,0.89,0.9216041489059392,0.9801790281329923,0.5171428571428572
50,50,0.8693877551020408,0.8383838383838383,0.8759235578289286,0.9679596476271668,0.46163265306122453
51,51,0.8816326530612245,0.8571428571428571,0.8943947144075022,0.9715828360329639,0.4595918367346939
52,52,0.9142857142857143,0.8934010152284264,0.9227053140096618,0.9694515487354363,0.4995918367346939
53,53,0.9183673469387755,0.8901098901098901,0.9108056265984654,0.9735720375106565,0.506530612244898
54,54,0.8489795918367347,0.8262910798122066,0.8704177323103155,0.9250497300369424,0.43999999999999995
55,55,0.8775510204081632,0.85,0.88679312304632,0.9692384200056835,0.47959183673469385
56,56,0.8938775510204081,0.8645833333333334,0.8955314009661836,0.9697357203751066,0.48040816326530605
57,57,0.8816326530612245,0.8557213930348259,0.8922279056550156,0.9765558397271953,0.4926530612244898
58,58,0.8938775510204081,0.8645833333333334,0.8955314009661836,0.9731457800511509,0.4608163265306122
59,59,0.9102040816326531,0.8865979381443299,0.9151037226484797,0.9784739982949702,0.513061224489796
60,60,0.8653061224489796,0.835820895522388,0.874822392725206,0.9671781756180734,0.4718367346938776
61,61,0.8816326530612245,0.8599033816425121,0.8987283319124751,0.9694515487354363,0.4885714285714286
62,62,0.8653061224489796,0.835820895522388,0.874822392725206,0.9717959647627167,0.45795918367346944
63,63,0.8448979591836735,0.8207547169811321,0.8649829497016197,0.9221369707303211,0.3983673469387755
64,64,0.8448979591836735,0.8207547169811321,0.8649829497016197,0.9700198920147769,0.45551020408163273
65,65,0.8367346938775511,0.801980198019802,0.8454461494742824,0.9513356067064507,0.29999999999999993
66,66,0.9142857142857143,0.8900523560209425,0.9162048877522023,0.976768968456948,0.513469387755102
