,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled,feature_importance.backlow_temperature_scaled,feature_importance.backlow_humidity_scaled
0,0,0.9,0.8709677419354839,0.8962984723854289,0.9241333725029376,0.2025,0.05125000000000013,-0.0029166666666667895
1,1,0.8875,0.850828729281768,0.8779377203290247,0.9460928319623971,0.16041666666666654,0.05916666666666659,0.08041666666666669
2,2,0.8625,0.7975460122699386,0.8329905992949471,0.9398501762632196,0.1429166666666668,0.06791666666666663,0.021666666666666723
3,3,0.8333333333333334,0.7402597402597403,0.7928907168037602,0.9376468860164513,0.10416666666666674,0.04541666666666666,0.02124999999999999
4,4,0.8958333333333334,0.8648648648648649,0.8908636897767332,0.9369858989424206,0.16500000000000004,0.06125000000000003,0.04208333333333336
5,5,0.8791666666666667,0.8323699421965318,0.8608989424206815,0.9396298472385429,0.14083333333333325,0.06999999999999995,0.03416666666666657
6,6,0.725,0.46774193548387094,0.6474735605170387,0.9363249118683901,0.07791666666666663,0.03083333333333338,0.01666666666666672
7,7,0.8541666666666666,0.7852760736196319,0.824177438307873,0.9334606345475911,0.12875000000000003,0.05833333333333335,0.012083333333333335
8,8,0.825,0.7162162162162162,0.7779083431257344,0.9330199764982373,0.07999999999999996,0.06708333333333327,0.0
9,9,0.9,0.8709677419354839,0.8962984723854289,0.9238396004700351,0.20291666666666663,0.050416666666666665,-0.0008333333333334636
10,10,0.8166666666666667,0.7027027027027027,0.7690951821386605,0.9328730904817861,0.08250000000000002,0.061249999999999916,0.0008333333333333526
11,11,0.8,0.6666666666666666,0.7473560517038778,0.9333137485311398,0.07958333333333334,0.07666666666666677,-0.0024999999999999467
12,12,0.7333333333333333,0.49206349206349204,0.6583431257344301,0.9305963572267919,0.04208333333333336,0.10791666666666666,0.006666666666666599
13,13,0.7958333333333333,0.6524822695035462,0.7398648648648649,0.9409518213866039,0.12,0.043333333333333224,0.044166666666666576
14,14,0.7166666666666667,0.4426229508196721,0.6366039952996475,0.9362514688601644,0.060833333333333406,0.01791666666666658,-0.005833333333333246
15,15,0.875,0.8255813953488372,0.8554641598119859,0.9329465334900118,0.1449999999999999,0.08750000000000002,-0.004583333333333273
16,16,0.8833333333333333,0.8444444444444444,0.872502937720329,0.9383813160987075,0.16083333333333338,0.06458333333333333,0.047499999999999876
