,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled
0,0,0.8264840182648402,0.75,0.7979715850736049,0.9418863402944198,-0.023287671232876672,0.17990867579908687,0.045205479452054886,0.05433789954337909
1,1,0.8858447488584474,0.8587570621468926,0.8776104073947278,0.9336699760356042,0.2894977168949773,0.07716894977168942,0.05753424657534245,0.09041095890410955
2,2,0.8356164383561644,0.775,0.8133344744950359,0.9274221157137966,0.04109589041095896,0.1474885844748859,0.06712328767123288,0.04429223744292243
3,3,0.8858447488584474,0.8571428571428571,0.8761126326600479,0.907651489216022,0.22374429223744297,0.07808219178082187,0.059817351598173474,0.07716894977168942
4,4,0.867579908675799,0.8284023668639053,0.8528757274905854,0.9278500513522767,0.019178082191780743,0.10319634703196345,0.19406392694063934,0.05022831050228316
5,5,0.8538812785388128,0.8072289156626506,0.8365713796644985,0.9085929476206779,0.012785388127854014,0.10684931506849327,0.10776255707762561,0.09863013698630141
6,6,0.867579908675799,0.8263473053892215,0.8513779527559056,0.9388907908250599,0.0474885844748858,0.169406392694064,0.2063926940639268,0.0036529680365295913
7,7,0.8767123287671232,0.8457142857142858,0.8667408421773366,0.9287059226292367,0.012785388127853792,0.11232876712328754,0.20913242009132416,0.14383561643835607
8,8,0.863013698630137,0.8275862068965517,0.8519342690859295,0.9254536117767886,0.002739726027397249,0.006849315068493289,0.0237442922374429,0.03013698630136996
9,9,0.8584474885844748,0.8165680473372781,0.8435039370078741,0.9216877781581649,0.06255707762557083,0.058447488584474794,0.02237442922374422,0.1351598173515982
10,10,0.863013698630137,0.8275862068965517,0.8519342690859295,0.8961828141047588,0.3210045662100458,0.0022831050228310223,0.007762557077625631,0.004566210045662156
11,11,0.8767123287671232,0.8421052631578947,0.8637452927079767,0.9519000342348511,0.06849315068493156,0.24520547945205473,0.14109589041095894,0.20045662100456618
12,12,0.8356164383561644,0.7777777777777778,0.8148322492297159,0.9407737076343718,0.16849315068493143,0.26164383561643834,0.22465753424657542,0.317351598173516
13,13,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.8781239301609037,0.06118721461187204,0.1351598173515981,0.08630136986301362,0.042465753424657526
14,14,0.8538812785388128,0.813953488372093,0.8410647038685382,0.9102191030469018,0.03378995433789955,0.10958904109589052,0.08082191780821923,0.049315068493150704
15,15,0.8310502283105022,0.7581699346405228,0.8034063676823007,0.9519000342348511,-0.04885844748858448,0.1351598173515982,0.18721461187214605,0.21461187214611877
16,16,0.908675799086758,0.8913043478260869,0.906282095172886,0.920917494008901,0.12283105022831053,0.1004566210045661,0.13972602739726026,0.11004566210045663
17,17,0.8584474885844748,0.8050314465408805,0.8360150633344745,0.9192913385826773,0.00913242009132409,0.17899543378995442,0.13835616438356169,0.2319634703196346
18,18,0.8812785388127854,0.8602150537634409,0.8796644984594317,0.9189489900718931,0.40547945205479463,0.042465753424657415,0.029680365296803624,0.03561643835616446
19,19,0.8082191780821918,0.7407407407407407,0.7867168777815816,0.9107326258130777,0.005022831050228271,-0.0018264840182647957,0.02876712328767117,0.016438356164383605
20,20,0.5799086757990868,0.0,0.5,0.9026874358096544,0.0,0.0,0.0,0.00273972602739736
21,21,0.8584474885844748,0.8143712574850299,0.842006162273194,0.9232283464566928,0.06438356164383574,0.10319634703196345,0.11187214611872143,0.0931506849315068
22,22,0.867579908675799,0.8304093567251462,0.8543735022252653,0.9184354673057173,0.29132420091324196,0.11643835616438347,0.04018264840182628,0.08447488584474894
23,23,0.8538812785388128,0.813953488372093,0.8410647038685382,0.9103046901745977,0.22511415525114142,0.010502283105022991,0.006392694063926951,0.0018264840182649067
24,24,0.8538812785388128,0.813953488372093,0.8410647038685382,0.9038000684697021,0.08173515981735169,0.182648401826484,0.024200913242009237,0.13013698630136994
25,25,0.8721461187214612,0.8333333333333334,0.8568127353646011,0.9341834988017802,-0.004566210045662267,0.06392694063926951,0.09589041095890405,0.06484018264840197
26,26,0.8538812785388128,0.8048780487804879,0.8350736049298185,0.9302464909277646,0.034703196347032006,0.057077625570776225,0.2136986301369863,0.024200913242009015
27,27,0.8264840182648402,0.75,0.7979715850736049,0.9266518315645327,-0.054337899543378976,0.06712328767123288,0.01963470319634708,0.04703196347031957
28,28,0.8584474885844748,0.8143712574850299,0.842006162273194,0.9347826086956521,-0.017808219178082285,0.09360730593607314,0.21826484018264836,0.11461187214611868
29,29,0.867579908675799,0.8284023668639053,0.8528757274905854,0.9134714138993495,0.12100456621004563,0.11780821917808215,0.16575342465753418,0.14566210045662098
30,30,0.8264840182648402,0.7888888888888889,0.8189404313591235,0.8790653885655597,0.38949771689497714,0.034703196347032006,0.021461187214611765,0.0876712328767123
31,31,0.8767123287671232,0.8556149732620321,0.875727490585416,0.9008045190003423,0.43744292237442917,0.08721461187214619,0.01187214611872156,0.1881278538812785
32,32,0.8264840182648402,0.7532467532467533,0.7994693598082848,0.9299041424169805,-0.038356164383561486,0.1570776255707762,0.15981735159817356,0.1675799086757992
33,33,0.8858447488584474,0.8554913294797688,0.8746148579253681,0.9170660732625813,0.35479452054794514,0.18356164383561635,0.13242009132420096,0.1931506849315069
34,34,0.8538812785388128,0.8048780487804879,0.8350736049298185,0.8976377952755906,0.054337899543378976,0.1547945205479453,0.05799086757990868,0.004566210045662045
35,35,0.8584474885844748,0.8050314465408805,0.8360150633344745,0.9305032523108524,0.021917808219178103,0.09634703196347028,0.13287671232876708,0.08173515981735147
