,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.righttop_temperature_scaled,feature_importance.righttop_temperature_fd1_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_temperature_fd3_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_humidity_fd3_scaled
0,0,0.7937743190661478,0.6015037593984962,0.714361001317523,0.9585638998682477,0.06342412451361856,0.013618677042801508,0.06225680933852129,0.04435797665369645,0.012840466926069993,0.09727626459143968,0.06926070038910492,0.02529182879377434,0.031906614785992216,0.008171206225680905,0.022957198443579685,0.008949416342412309
1,1,0.8832684824902723,0.845360824742268,0.8850461133069829,0.9687747035573123,-0.0011673151750973831,0.019844357976653515,-0.005836575875486472,0.01595330739299594,-0.020233463035019494,-1.1102230246251565e-16,-0.0003891050583658684,0.0007782101167314037,-0.014007782101167376,0.01789883268482495,-0.005836575875486472,0.005058365758754735
2,2,0.8404669260700389,0.7657142857142857,0.8156455862977603,0.9251646903820817,0.0548638132295719,0.007003891050583633,0.028015564202334642,0.0,-0.00038910505836575737,0.0015564202334630295,-0.00739299610894939,-0.012451361867704236,-0.0035019455252918164,0.0015564202334631405,0.00894941634241253,0.030739299610894943
3,3,0.8599221789883269,0.8021978021978022,0.8452239789196311,0.9509222661396575,0.014396887159533134,-0.004280155642023442,-0.005058365758754957,-0.004280155642023442,-0.018677042801556465,0.0023346303501946553,-0.00311284046692617,-0.01206225680933859,-0.005836575875486472,0.0003891050583658684,0.009338521400778288,-0.00311284046692617
4,4,0.8715953307392996,0.8450704225352113,0.8951910408432148,0.9602108036890646,0.006614785992217764,0.0019455252918286758,0.00038910505836564635,0.005447470817120492,0.005058365758754735,0.0038910505836574627,0.0019455252918286758,-0.021400778210116767,-0.01050583657587556,-0.011673151750972832,0.00038910505836564635,0.012840466926070104
5,5,0.8754863813229572,0.8095238095238095,0.84532279314888,0.969631093544137,-0.010894941634241317,-0.02256809338521404,0.012840466926069882,0.009338521400778066,-0.024902723735408583,-0.0077821011673152585,-0.0003891050583658684,-0.015953307392996163,-0.017509727626459193,-0.007003891050583744,-0.017509727626459193,0.013618677042801397
6,6,0.9066147859922179,0.8681318681318682,0.8960144927536232,0.9758893280632411,0.017120622568093324,0.00894941634241242,0.0011673151750972721,0.024902723735408472,-0.0038910505836575737,0.024902723735408472,0.006614785992217875,-0.011284046692607075,0.005836575875486361,0.021011673151750898,0.004280155642023331,0.022957198443579685
7,7,0.8793774319066148,0.8121212121212121,0.8459486166007906,0.9585638998682476,0.015175097276264427,0.008949416342412309,0.0058365758754862496,-0.005447470817120714,0.003112840466925948,0.0035019455252917053,0.00038910505836564635,0.027237354085603127,0.00038910505836564635,0.017898832684824728,0.02490272373540836,0.006225680933852007
8,8,0.8715953307392996,0.8216216216216217,0.8615283267457181,0.9666666666666667,-0.007003891050583744,-0.007392996108949501,0.008171206225680794,0.0035019455252917053,-0.02957198443579767,-0.00894941634241253,-0.006225680933852229,-0.007392996108949501,-0.006225680933852229,-0.007003891050583744,-0.02373540856031131,-0.00894941634241253
9,9,0.8599221789883269,0.7692307692307693,0.813965744400527,0.9640316205533597,0.048249027237354136,0.007003891050583744,0.014785992217898891,0.02101167315175101,-0.004280155642023442,-0.005836575875486472,0.005058365758754957,0.02529182879377445,0.0035019455252917053,0.019844357976653737,0.01945525291828798,0.03190661478599233
