,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_humidity_scaled
0,0,0.8823529411764706,0.8279569892473119,0.871256038647343,0.961111111111111,0.17757352941176463,0.003308823529411864,0.0018382352941176405
1,1,0.8897058823529411,0.8387096774193549,0.8794685990338165,0.9652777777777778,0.22242647058823528,0.004779411764705754,0.006985294117646923
2,2,0.8639705882352942,0.7885714285714286,0.8361111111111111,0.9448067632850241,0.12132352941176472,-0.009926470588235148,-0.006617647058823617
3,3,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.9609299516908212,0.19448529411764703,0.010661764705882315,0.01360294117647054
4,4,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.9637077294685991,0.20404411764705876,0.006617647058823506,-0.0018382352941176405
5,5,0.8786764705882353,0.8216216216216217,0.8658212560386473,0.9568840579710145,0.1404411764705883,0.007352941176470562,0.00808823529411773
6,6,0.8713235294117647,0.8066298342541437,0.8522946859903382,0.9122584541062801,0.10330882352941195,0.006617647058823395,0.014705882352941124
7,7,0.8786764705882353,0.8216216216216217,0.8658212560386473,0.9389492753623188,0.14227941176470582,0.011029411764705954,0.014705882352941235
8,8,0.8860294117647058,0.8342245989304813,0.8766908212560387,0.9630434782608696,0.2124999999999999,0.0018382352941176405,0.0014705882352941124
9,9,0.8713235294117647,0.7953216374269005,0.8390096618357488,0.9531400966183574,0.12941176470588234,-0.0018382352941177516,0.018014705882352988
10,10,0.8786764705882353,0.8216216216216217,0.8658212560386473,0.9486111111111111,0.12316176470588236,0.011029411764705954,0.008823529411764675
11,11,0.8676470588235294,0.8,0.8468599033816425,0.9521135265700483,0.1341911764705882,-0.00955882352941173,-0.004779411764705865
12,12,0.875,0.8089887640449438,0.8524154589371982,0.9403985507246376,0.12279411764705883,0.00955882352941173,0.008088235294117618
13,13,0.8602941176470589,0.7738095238095238,0.8227053140096618,0.9494565217391304,0.1419117647058823,-0.011397058823529371,0.009926470588235481
14,14,0.8529411764705882,0.7468354430379747,0.8012077294685991,0.9530193236714976,0.15588235294117647,-0.010661764705882315,0.01727941176470582
15,15,0.7977941176470589,0.5864661654135338,0.7064009661835748,0.9583937198067631,0.12830882352941186,-0.0025735294117646967,0.05882352941176472
16,16,0.8786764705882353,0.8235294117647058,0.8684782608695653,0.9631038647342995,0.2084558823529411,0.008455882352941035,0.006617647058823506
17,17,0.8713235294117647,0.7976878612716763,0.8416666666666667,0.9429951690821256,0.13345588235294115,0.0018382352941176405,0.025000000000000022
