,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_temperature_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backtop_humidity_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.backtop_humidity_fd2_scaled,feature_importance.backtop_humidity_fd3_scaled
0,0,0.8625,0.8023952095808383,0.8371034077555817,0.8778642773207991,0.10416666666666663,0.011666666666666714,-0.011249999999999982,-0.006666666666666599,-0.005416666666666625,0.017916666666666803,0.009583333333333388,0.00708333333333333
1,1,0.8291666666666667,0.7421383647798742,0.7936251468860165,0.8735311398354877,0.054166666666666696,0.005833333333333468,0.0033333333333334103,-0.0012499999999999734,0.01000000000000012,0.0008333333333333526,0.014583333333333282,0.004166666666666763
2,2,0.8416666666666667,0.759493670886076,0.8058166862514688,0.8653789659224442,0.07458333333333345,-0.0012500000000000844,0.007083333333333219,-0.002083333333333326,0.021250000000000102,0.0029166666666665675,0.008333333333333304,-0.003750000000000031
3,3,0.8791666666666667,0.8342857142857143,0.8629553466509988,0.8797003525264393,0.08624999999999994,0.013749999999999929,0.005833333333333246,0.022499999999999853,0.025416666666666643,0.023333333333333317,0.012500000000000067,0.02083333333333326
4,4,0.8708333333333333,0.8187134502923976,0.8500293772032903,0.8705934195064631,0.06874999999999998,0.027083333333333348,0.004166666666666763,0.019583333333333397,0.021666666666666834,0.025416666666666754,0.01416666666666666,0.005833333333333468
5,5,0.8083333333333333,0.6891891891891891,0.7602820211515864,0.9034224441833137,0.06875000000000009,0.015833333333333366,0.0012500000000000844,0.015000000000000013,0.010833333333333361,0.007500000000000062,0.0029166666666667895,0.005833333333333357
6,6,0.8833333333333333,0.8426966292134831,0.8704465334900118,0.86963866039953,0.10750000000000004,0.012083333333333446,0.05666666666666653,0.009583333333333277,-0.002083333333333326,0.027916666666666812,0.06499999999999995,0.02416666666666667
7,7,0.8875,0.847457627118644,0.8738249118683901,0.8811692126909516,0.11083333333333334,0.033333333333333215,0.03125,0.008750000000000036,0.013749999999999929,0.01750000000000007,0.02416666666666667,0.019166666666666554
8,8,0.8666666666666667,0.813953488372093,0.8466509988249119,0.8762485311398354,0.08750000000000013,0.010833333333333361,0.022916666666666696,-0.0012499999999999734,0.0016666666666667052,0.012916666666666687,0.012500000000000067,0.007916666666666683
9,9,0.8625,0.8023952095808383,0.8371034077555817,0.901439482961222,0.06291666666666673,-0.006249999999999978,-0.00374999999999992,-0.009999999999999898,-0.01000000000000012,0.009166666666666767,0.025416666666666865,0.018333333333333424
10,10,0.825,0.7439024390243902,0.7943595769682725,0.8703730904817862,0.021666666666666612,-0.005833333333333357,-0.021666666666666723,-0.014583333333333393,-0.015416666666666745,0.016666666666666607,0.007916666666666683,-0.002083333333333437
11,11,0.8708333333333333,0.8187134502923976,0.8500293772032903,0.8844007050528789,0.08916666666666662,0.0008333333333332416,0.01750000000000007,0.029166666666666563,-0.01041666666666663,0.040416666666666656,0.01750000000000007,0.026666666666666727
12,12,0.8541666666666666,0.7928994082840237,0.8303466509988249,0.8637632197414807,0.0558333333333334,0.003750000000000031,0.0004166666666666208,-0.0008333333333332416,-0.01000000000000012,0.036250000000000115,0.00708333333333333,0.014999999999999902
13,13,0.8791666666666667,0.8342857142857143,0.8629553466509988,0.8669947121034076,0.11083333333333323,0.01791666666666658,0.019583333333333286,0.002083333333333215,-0.0008333333333332416,0.020000000000000018,0.025833333333333375,0.016249999999999987
14,14,0.8833333333333333,0.8409090909090909,0.8683901292596945,0.8838131609870741,0.12249999999999994,0.012916666666666687,0.032916666666666705,0.039166666666666794,0.0012499999999999734,0.029583333333333295,0.029583333333333295,0.029166666666666674
15,15,0.875,0.8255813953488372,0.8554641598119859,0.8698589894242068,0.08500000000000008,0.005416666666666736,0.016249999999999987,0.012499999999999956,0.0004166666666666208,0.04208333333333325,0.032916666666666594,0.02208333333333312
16,16,0.85,0.7831325301204819,0.822855464159812,0.8752937720329026,0.04833333333333345,-0.008333333333333415,-0.0004166666666666208,-0.012500000000000067,0.011249999999999871,0.013749999999999929,0.009583333333333499,0.012499999999999956
17,17,0.75,0.5652173913043478,0.6883078730904818,0.8664806110458284,0.004166666666666652,0.010833333333333472,0.018750000000000044,0.030000000000000027,0.008750000000000036,-0.0012499999999999734,-0.0008333333333333526,0.0024999999999999467
18,18,0.8583333333333333,0.7951807228915663,0.831668625146886,0.8705199764982373,0.10416666666666663,0.009583333333333166,0.023749999999999938,0.03541666666666654,-0.0008333333333333526,0.020000000000000018,0.008749999999999925,0.007916666666666683
19,19,0.8708333333333333,0.8248587570621468,0.8561985898942421,0.867508813160987,0.21416666666666673,0.05666666666666664,0.05833333333333335,0.014583333333333393,-0.01708333333333334,0.07833333333333325,0.03500000000000014,0.039583333333333304
20,20,0.8583333333333333,0.8,0.8357814336075206,0.8745593419506462,0.03458333333333319,-0.00666666666666671,-0.009583333333333388,-0.003750000000000031,-0.0033333333333332993,0.01708333333333334,0.005833333333333246,0.005833333333333468
21,21,0.8833333333333333,0.8390804597701149,0.8663337250293772,0.875,0.13124999999999998,0.019999999999999796,0.011666666666666603,0.01666666666666672,-0.007500000000000173,0.06541666666666657,0.04041666666666677,0.015416666666666634
22,22,0.8625,0.8023952095808383,0.8371034077555817,0.8726498237367801,0.1100000000000001,0.028750000000000053,-0.0004166666666667318,0.025000000000000022,0.0004166666666667318,0.05291666666666672,0.02375000000000016,0.005833333333333357
23,23,0.8291666666666667,0.7484662576687117,0.797737955346651,0.8634694477085781,0.032500000000000084,-0.008333333333333304,-0.009583333333333388,-0.00708333333333333,-0.010000000000000009,0.025416666666666754,0.011249999999999982,0.014583333333333282
24,24,0.8625,0.8023952095808383,0.8371034077555817,0.8871915393654525,0.0491666666666668,0.00708333333333333,-0.0029166666666666785,-0.007083333333333219,0.015000000000000124,0.012083333333333446,0.019166666666666665,0.018333333333333424
25,25,0.8583333333333333,0.7951807228915663,0.831668625146886,0.8724294947121033,0.0920833333333333,0.007916666666666683,0.0008333333333333526,-0.005416666666666625,0.002083333333333326,0.011666666666666825,0.015833333333333366,0.011249999999999982
26,26,0.8458333333333333,0.7784431137724551,0.8194770857814336,0.8609723854289072,0.050416666666666554,-0.00708333333333333,0.0050000000000000044,0.006249999999999978,-0.005416666666666625,0.047083333333333366,0.047083333333333255,0.007500000000000062
27,27,0.8458333333333333,0.7757575757575758,0.8174206815511162,0.869051116333725,0.07333333333333336,-0.002083333333333437,-0.005416666666666625,-0.011249999999999982,-0.0024999999999999467,-0.0050000000000000044,-0.0050000000000001155,0.0016666666666667052
28,28,0.8625,0.8070175438596491,0.8412162162162162,0.8688307873090481,0.04875000000000007,0.0033333333333334103,0.007083333333333552,0.0004166666666667318,0.030416666666666536,-0.0008333333333332416,0.016666666666666607,0.02041666666666675
29,29,0.8625,0.8070175438596491,0.8412162162162162,0.8650851938895416,0.04541666666666666,0.010000000000000009,0.003750000000000031,-0.007083333333333219,0.0050000000000001155,0.029166666666666674,0.029583333333333517,0.008333333333333415
30,30,0.8666666666666667,0.8117647058823529,0.8445945945945945,0.8830787309048177,0.050000000000000044,-0.009166666666666545,-0.0033333333333331883,-0.012499999999999956,-0.0033333333333334103,0.017916666666666803,0.015833333333333366,0.009583333333333388
31,31,0.7791666666666667,0.6344827586206897,0.7263513513513513,0.8748531139835488,0.012500000000000067,-0.004583333333333273,-0.00708333333333333,-0.004166666666666541,-0.0016666666666667052,0.01750000000000007,0.0008333333333333526,-0.0004166666666666208
32,32,0.875,0.8235294117647058,0.8534077555816686,0.8868243243243245,0.10333333333333339,0.01666666666666683,0.027083333333333348,-0.004999999999999893,-0.004583333333333273,0.009583333333333277,0.026250000000000107,0.02124999999999999
33,33,0.8791666666666667,0.8342857142857143,0.8629553466509988,0.8765423031727378,0.1004166666666666,0.004166666666666652,0.01416666666666666,0.03541666666666665,-0.0012499999999998623,0.03708333333333336,0.023333333333333317,0.02750000000000008
34,34,0.875,0.8255813953488372,0.8554641598119859,0.8788924794359576,0.11624999999999996,0.007499999999999951,0.019583333333333286,0.03249999999999997,-0.0033333333333332993,0.030000000000000027,0.023333333333333206,0.0245833333333334
35,35,0.8791666666666667,0.8323699421965318,0.8608989424206815,0.8767626321974148,0.1316666666666666,0.029166666666666674,0.015000000000000124,0.01041666666666663,-0.006250000000000089,0.03041666666666676,0.026666666666666616,0.03374999999999995
36,36,0.8666666666666667,0.813953488372093,0.8466509988249119,0.8698589894242069,0.0954166666666667,0.015000000000000124,0.0029166666666667895,0.02749999999999997,0.0008333333333332416,0.047083333333333366,0.016250000000000098,0.01333333333333342
