,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_temperature_fd1_scaled,feature_importance.frontlow_temperature_fd2_scaled,feature_importance.frontlow_temperature_fd3_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_humidity_fd1_scaled,feature_importance.frontlow_humidity_fd2_scaled,feature_importance.frontlow_humidity_fd3_scaled
0,0,0.8583333333333333,0.7951807228915663,0.831668625146886,0.9380141010575793,0.02749999999999997,-0.0033333333333334103,-0.0016666666666667052,-0.003750000000000031,0.01749999999999996,-0.0029166666666667895,-0.018333333333333313,-0.01749999999999996,-0.0004166666666666208,-0.0029166666666665675,0.0025000000000000577,0.009583333333333166
1,1,0.825,0.7375,0.790246768507638,0.9107667450058754,0.016249999999999876,-0.005833333333333357,-0.0050000000000001155,-0.002083333333333437,0.01041666666666674,-0.013750000000000151,-0.016666666666666607,-0.00666666666666671,-0.0012500000000001954,-0.009583333333333388,-0.015416666666666745,-0.0050000000000001155
2,2,0.8458333333333333,0.7784431137724551,0.8194770857814336,0.8921122209165687,0.05166666666666664,-0.004583333333333273,0.01041666666666674,-1.1102230246251565e-16,0.004166666666666541,-0.006250000000000089,-0.0004166666666667318,-0.0033333333333334103,-0.0029166666666665675,0.0029166666666667895,0.007916666666666683,0.010833333333333361
3,3,0.8458333333333333,0.7701863354037267,0.8133078730904818,0.8969594594594595,0.029166666666666674,0.008333333333333304,0.0016666666666667052,-0.006249999999999867,0.00749999999999984,-0.012916666666666687,-0.01375000000000004,-0.01666666666666672,0.006249999999999978,-0.003749999999999809,0.00374999999999992,-0.0016666666666665941
4,4,0.85,0.7777777777777778,0.8187426556991775,0.9150998824911869,0.0025000000000000577,-0.0004166666666666208,-0.0004166666666666208,-0.0004166666666666208,0.022083333333333344,-0.00708333333333333,-0.01708333333333345,-0.008333333333333415,0.0033333333333332993,0.0029166666666666785,0.015833333333333144,-0.002083333333333215
5,5,0.8458333333333333,0.7730061349693251,0.8153642773207991,0.8766891891891891,0.027916666666666812,-0.0029166666666665675,-0.00708333333333333,0.004583333333333162,0.028749999999999942,-0.009583333333333388,-0.0008333333333333526,-0.006249999999999867,-0.0004166666666667318,-0.002083333333333326,0.00374999999999992,0.0016666666666667052
6,6,0.8541666666666666,0.7904191616766467,0.8282902467685076,0.8630287896592245,0.08458333333333323,-0.002083333333333326,0.0012500000000000844,0.0012499999999999734,0.08999999999999997,0.0016666666666665941,0.0016666666666668162,-0.0025000000000000577,-0.01375000000000004,0.039583333333333415,0.0024999999999998357,-0.0012499999999998623
7,7,0.875,0.8255813953488372,0.8554641598119859,0.9072414806110458,0.09333333333333338,0.005416666666666736,0.008333333333333415,0.027083333333333348,0.04250000000000009,-0.0012499999999999734,-0.00708333333333333,0.00374999999999992,0.0033333333333332993,0.0025000000000000577,-0.016250000000000098,-0.0012499999999999734
8,8,0.8583333333333333,0.7976190476190477,0.8337250293772033,0.9031286721504113,0.08541666666666659,0.003750000000000031,-0.0050000000000000044,-0.004583333333333384,0.01083333333333314,-0.008333333333333304,-0.0025000000000001688,-0.011249999999999982,-1.1102230246251565e-16,0.012083333333333224,0.015416666666666523,0.009166666666666545
9,9,0.8833333333333333,0.8372093023255814,0.86427732079906,0.8890276145710928,0.13416666666666655,0.023749999999999938,0.02499999999999991,0.032916666666666705,0.12375000000000003,0.04500000000000004,0.03791666666666671,0.022916666666666474,-0.0008333333333332416,0.03458333333333319,0.025416666666666754,0.01708333333333334
