,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled
0,0,0.7866666666666666,0.7757009345794392,0.8044704151683557,0.9154135338345863,0.24222222222222212,0.07511111111111113,0.11822222222222212,0.06933333333333336
1,1,0.7555555555555555,0.7317073170731707,0.764751552795031,0.8756946714612619,0.2728888888888889,0.0364444444444445,0.02444444444444438,0.000888888888888828
2,2,0.7688888888888888,0.7523809523809524,0.782731284733573,0.8664596273291926,0.2697777777777778,0.06577777777777771,0.07288888888888889,0.058666666666666645
3,3,0.7688888888888888,0.7291666666666666,0.7676528277214776,0.883949002942138,0.13555555555555554,0.08266666666666667,0.027111111111111086,0.052444444444444405
4,4,0.7866666666666666,0.7391304347826086,0.7793396534815299,0.8687479568486434,0.2679999999999999,0.016444444444444484,0.08577777777777773,0.021777777777777785
5,5,0.7733333333333333,0.6330935251798561,0.7278522392938869,0.8957992808107225,0.020888888888888957,0.0013333333333332975,0.0004444444444444695,0.008444444444444366
6,6,0.7733333333333333,0.7272727272727273,0.768061457992808,0.8759398496240601,0.15822222222222215,0.04755555555555546,0.03244444444444439,0.012888888888888839
7,7,0.84,0.7804878048780488,0.8177508989865969,0.8777378228179143,0.0755555555555556,0.0324444444444445,0.03111111111111098,0.008888888888888835
8,8,0.8577777777777778,0.8315789473684211,0.8579192546583851,0.9217881660673423,0.2466666666666666,0.10355555555555551,0.1617777777777778,0.2022222222222222
9,9,0.8355555555555556,0.7932960893854749,0.8257191892775417,0.8640895717554756,0.2737777777777779,0.01288888888888895,0.05155555555555558,0.08977777777777773
10,10,0.7644444444444445,0.7389162561576355,0.7722703497875123,0.8709545603138281,0.19733333333333325,0.009777777777777885,0.02488888888888885,0.07244444444444453
11,11,0.8488888888888889,0.8068181818181818,0.8369973847662635,0.8740601503759399,0.19066666666666676,0.0377777777777778,0.06222222222222218,0.08044444444444454
12,12,0.8444444444444444,0.7953216374269005,0.8282118339326576,0.8558352402745996,0.2853333333333333,0.021777777777777785,0.000888888888888828,0.07466666666666666
13,13,0.7822222222222223,0.6524822695035462,0.7387218045112782,0.8856652500817261,0.046222222222222276,0.0444444444444444,0.0431111111111111,0.03777777777777769
14,14,0.84,0.7954545454545454,0.8278032036613272,0.8901601830663616,0.2168888888888889,0.07377777777777783,0.07999999999999996,0.022666666666666613
15,15,0.7911111111111111,0.7431693989071039,0.7830990519777705,0.8630271330500163,0.21244444444444444,-0.026666666666666616,0.06800000000000006,0.039555555555555566
16,16,0.8533333333333334,0.8135593220338984,0.8424321673749591,0.9104282445243543,-0.010222222222222133,0.03333333333333344,0.08800000000000008,0.0417777777777778
17,17,0.7688888888888888,0.7523809523809524,0.782731284733573,0.8873814972213142,0.2453333333333333,0.05377777777777781,0.01866666666666661,0.09199999999999997
18,18,0.8,0.7668393782383419,0.8006701536449821,0.9039718862373324,0.21199999999999997,0.10177777777777797,-0.000888888888888828,0.04355555555555568
19,19,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.9096109839816935,0.21866666666666656,0.05555555555555558,0.2546666666666667,0.1186666666666667
20,20,0.7866666666666666,0.7692307692307693,0.7994442628309906,0.9044622425629291,0.2777777777777778,0.006666666666666599,0.1484444444444445,0.08577777777777773
21,21,0.7777777777777778,0.7474747474747475,0.781873161163779,0.8960444589735207,0.22577777777777774,0.020000000000000018,0.07733333333333337,0.020888888888888846
22,22,0.8044444444444444,0.7105263157894737,0.7709218698921216,0.8809251389342923,0.019555555555555437,0.040444444444444394,0.05955555555555547,0.051999999999999935
23,23,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.8973520758417783,0.14444444444444438,0.06666666666666665,0.0942222222222221,0.08133333333333326
24,24,0.84,0.7931034482758621,0.8261278195488722,0.8759398496240601,0.1982222222222222,0.0697777777777776,0.045777777777777806,0.03644444444444439
25,25,0.7111111111111111,0.5255474452554745,0.661817587446878,0.8555900621118012,0.06355555555555559,0.011111111111111183,0.008000000000000118,0.0004444444444443585
26,26,0.8666666666666667,0.8275862068965517,0.853710362863681,0.8929388689114088,0.027111111111110975,0.03777777777777769,0.05155555555555558,0.04400000000000004
27,27,0.84,0.7721518987341772,0.8127247466492318,0.9029911735861392,0.06133333333333335,0.028888888888888853,0.05466666666666675,0.05777777777777782
28,28,0.8,0.6896551724137931,0.7604609349460607,0.8906505393919583,0.09466666666666679,0.03288888888888897,0.004444444444444473,-0.0048888888888887205
29,29,0.8044444444444444,0.7755102040816326,0.8077803203661327,0.8761033017325924,0.26177777777777766,0.005777777777777771,0.03600000000000003,0.04888888888888887
30,30,0.7777777777777778,0.7641509433962265,0.7936008499509644,0.8968617195161817,0.3097777777777778,0.13955555555555565,0.09866666666666679,0.09777777777777774
31,31,0.8488888888888889,0.8068181818181818,0.8369973847662635,0.8913043478260871,0.13555555555555565,0.032888888888888856,0.008888888888888835,0.04533333333333334
32,32,0.7822222222222223,0.7537688442211056,0.7873079437724746,0.8963713631905852,0.24444444444444458,0.15200000000000002,0.0782222222222223,0.0755555555555556
33,33,0.7777777777777778,0.7340425531914894,0.7734962406015038,0.8668682576005231,0.20444444444444443,0.04311111111111121,-0.0031111111111111756,0.02533333333333332
34,34,0.8444444444444444,0.7928994082840237,0.8265364498202027,0.90192873488068,0.11911111111111106,0.04399999999999993,0.00088888888888905,0.0119999999999999
35,35,0.8355555555555556,0.8,0.8307453416149069,0.9152500817260543,0.1968888888888889,0.18266666666666675,0.13866666666666672,0.17288888888888898
36,36,0.7733333333333333,0.6330935251798561,0.7278522392938869,0.9017652827721477,0.034222222222222265,0.022666666666666613,0.040888888888888864,0.026222222222222258
37,37,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.8777378228179143,0.21777777777777785,0.06711111111111123,0.03688888888888886,0.002666666666666595
38,38,0.7688888888888888,0.7373737373737373,0.7726789800588427,0.8688296829029094,0.1764444444444443,-0.03644444444444439,-0.009333333333333305,0.04266666666666663
