,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_temperature_fd1_scaled,feature_importance.rightlow_temperature_fd2_scaled,feature_importance.rightlow_temperature_fd3_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_humidity_fd1_scaled,feature_importance.rightlow_humidity_fd2_scaled,feature_importance.rightlow_humidity_fd3_scaled
0,0,0.8775510204081632,0.845360824742268,0.8802926967888605,0.9620630861040068,-0.016734693877550888,0.017959183673469492,0.0065306122448979265,0.006938775510204054,-0.0212244897959184,-0.008571428571428563,-0.003673469387755146,-0.006122448979591799,-0.007346938775510181,0.0008163265306121437,0.0032653061224489077,-0.001224489795918493
1,1,0.9142857142857143,0.8934010152284264,0.9227053140096618,0.9700909349246946,-0.01673469387755111,0.029387755102040836,0.03020408163265298,0.021632653061224416,0.013877551020408108,0.007346938775510181,0.0065306122448979265,0.01673469387755111,0.0004081632653060163,0.03142857142857147,0.04040816326530605,0.016326530612244983
2,2,0.8979591836734694,0.8704663212435233,0.9009661835748792,0.964975845410628,-0.005714285714285672,0.020000000000000018,0.01510204081632649,0.010204081632653073,-0.006122448979591799,0.004897959183673417,0.013061224489795964,0.016326530612244983,-0.0008163265306122547,-0.00040816326530612734,0.01959183673469378,0.02081632653061216
3,3,0.8734693877551021,0.8306010928961749,0.8640238704177323,0.9631287297527706,-0.005306122448979433,0.0016326530612245094,-0.0008163265306122547,-0.0032653061224490187,-0.024489795918367196,0.005714285714285783,0.0077551020408161975,0.00612244897959191,-0.005714285714285672,0.0016326530612245094,0.006938775510204054,0.0077551020408164195
4,4,0.8938775510204081,0.8631578947368421,0.893364592213697,0.9671071327081557,-0.004081632653061162,0.022857142857142798,0.01959183673469378,0.001224489795918271,-0.008571428571428563,0.00897959183673469,0.015102040816326379,0.017142857142857015,-0.002448979591836875,0.01795918367346938,0.018775510204081525,0.02122448979591829
5,5,0.8938775510204081,0.8645833333333334,0.8955314009661836,0.9639812446717817,-0.0065306122448979265,0.018367346938775397,0.018367346938775397,0.010204081632653073,0.0016326530612245094,-0.0020408163265305257,0.0016326530612245094,0.0065306122448980375,-0.0028571428571428914,0.0032653061224490187,-0.0016326530612245094,0.011836734693877582
6,6,0.8775510204081632,0.84375,0.878125888036374,0.9620630861040068,-0.0151020408163266,0.0151020408163266,0.014285714285714235,0.011428571428571455,-0.015918367346938744,-0.009795918367347056,-0.0032653061224490187,0.0008163265306121437,-0.0065306122448980375,-0.004897959183673528,-0.0008163265306123657,0.0032653061224489077
7,7,0.8938775510204081,0.8617021276595744,0.8911977834612106,0.9659704461494742,0.0004081632653060163,0.02734693877551031,0.020816326530612272,0.009387755102040818,-0.019183673469387985,0.010612244897958978,0.008979591836734468,0.013469387755102091,-0.003673469387755035,0.008571428571428563,-0.0008163265306121437,0.015918367346938744
8,8,0.8938775510204081,0.8617021276595744,0.8911977834612106,0.9715828360329639,-0.02000000000000013,0.005714285714285672,-0.00612244897959191,-0.011836734693877582,-0.01224489795918371,-0.009387755102040929,0.004081632653061162,0.012653061224489726,-0.0106122448979592,0.0077551020408163085,0.005714285714285672,0.0004081632653060163
9,9,0.9142857142857143,0.8911917098445595,0.9183716965046889,0.9725063938618925,-0.007346938775510403,0.01959183673469378,0.020408163265306145,0.021632653061224416,0.016326530612244983,0.004081632653061162,0.009387755102040707,0.010612244897959089,0.006122448979591688,0.018367346938775397,0.01959183673469378,0.024897959183673324
