,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_top_CO2_fd3_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_scaled
0,0,0,0,0.8715277777777778,0.869213276465335,0.8451416493684396,0.911701305140725,-0.5658293909458106,-0.3689081580179298,1.0987202681736261,1.2899854021002666,4.228122826210644,0.15979166666666664,0.11736111111111111,0.10090277777777779,0.0004166666666666652
1,0,1,1,0.8383141762452108,0.832470322473457,0.7880353795125703,0.8432731390237519,-0.9123284861164946,-1.269872674794855,0.05531177138288957,2.251882689505613,4.2533853644920585,0.1402298850574713,0.10421455938697322,0.08360153256704984,-0.008965517241379273
2,0,2,2,0.911402157164869,0.9084296022310376,0.8679605253935545,0.926217811234002,0.18725156325850265,0.6448400954168425,-2.17329541962666,-1.0078013045721232,5.413762136599629,0.15254237288135597,0.13459167950693374,0.09938366718027737,0.0010785824345146521
3,0,3,3,0.8932291666666666,0.8926924239226371,0.8755585955312357,0.9273209369880596,-1.0670907633551427,-1.163824672627357,2.9243578058898456,1.0482108339143539,4.464368519422442,0.16753472222222218,0.12968749999999996,0.11493055555555554,0.011024305555555535
4,0,4,4,0.844488188976378,0.8354293728027259,0.7833336260031257,0.8880450243208599,0.03394474394452741,-1.2386786994885537,3.136892538723152,-1.3098822867878361,4.999271852939085,0.12303149606299216,0.08228346456692921,0.07303149606299221,0.005314960629921328
5,1,0,5,0.8138888888888889,0.8242249820221386,0.8600224547002446,0.9564760495589608,1.9356688490495526,-0.35408228401558983,-1.322042752945548,1.1455618317440646,4.053041632473725,0.1577777777777778,0.13319444444444442,0.11909722222222223,0.060555555555555564
6,1,1,6,0.9323361823361823,0.9328222754506056,0.888781809647089,0.943105361232415,0.3420904092851223,-0.8990433224537371,1.0832669306780929,0.5409927703838469,4.502948878961355,0.1417378917378917,0.10747863247863246,0.08525641025641022,0.0029914529914529695
7,1,2,7,0.7730061349693251,0.7613790277070364,0.7622019681659071,0.8630964174851632,2.356480207863239,0.6169492921440051,2.616087038580194,-1.7934028602601417,0.28953721429173507,0.10383435582822083,0.056441717791411015,0.04593558282208586,0.004064417177914092
8,1,3,8,0.9085545722713865,0.9065395772600567,0.8719055074599373,0.9187972002210352,0.5606712778847889,0.13754262182206017,1.955641141644867,-0.09998419374851977,2.722632697350611,0.16912487708947893,0.12114060963618492,0.08633235004916424,0.00462143559488698
9,1,4,9,0.7963671128107075,0.7921075101854141,0.7929836113549897,0.8588857184664911,1.1914847954350207,0.5234986007882093,1.6211729379876767,-1.8858704549071845,3.617665876168012,0.12237093690248572,0.09149139579349906,0.08355640535372852,0.0030592734225621697
10,2,0,10,0.8320552147239264,0.8290353459856354,0.8249508859420454,0.8716210472628357,-0.7584443388696663,-0.6003663646025891,1.6943591047163755,1.9634915098805714,3.522567469825446,0.15383435582822086,0.11349693251533743,0.10161042944785278,-0.00874233128834354
