,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_top_CO2_fd3_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_top_CO2_scaled
0,0,0,0,0.8916666666666667,0.890733779843266,0.8742173777848745,0.9066715129715693,-0.95758443423488,-0.28553545935136354,-0.17206447862634022,1.6392068066965513,5.445439699354941,0.18041666666666673,0.14743055555555562,0.12104166666666667,0.0015972222222222832
1,0,1,1,0.8467432950191571,0.8403690794912255,0.7942924898652437,0.8174622249995994,-0.7955944147431103,-1.2561432292724515,1.5519177913976892,0.009849459401955356,5.6273148886998,0.16743295019157092,0.13210727969348665,0.08681992337164755,-0.008735632183908016
2,0,2,2,0.9029275808936826,0.8989911450917674,0.8533243618318684,0.923198340272229,-0.6375910331710019,-0.10434061556089029,1.310092117574074,-1.09684779282796,5.683393122906286,0.15200308166409865,0.12249614791987677,0.08050847457627122,0.0029275808936826465
3,0,3,3,0.9105902777777778,0.9107306419537449,0.9013983888128896,0.9587103747614463,-0.3442466189905521,-0.03359097993591126,1.3716428669419416,0.3306398797698268,4.1719547947433195,0.19097222222222227,0.16163194444444445,0.11822916666666669,0.02439236111111114
4,0,4,4,0.8887795275590551,0.8889880795494032,0.8759065446818972,0.9197104325074191,-0.627557713327156,-0.799793181061273,-0.59061648719642,0.38827913543811143,7.358628935736695,0.19714566929133856,0.1683070866141732,0.12086614173228345,0.009547244094488172
5,1,0,5,0.9215277777777777,0.9234171249738033,0.9273233551188538,0.9702809811663061,0.904804058151739,0.2773002057995882,-0.07165307556599072,0.5086004738945293,4.094792634759156,0.19534722222222217,0.17013888888888887,0.13006944444444438,0.042916666666666624
6,1,1,6,0.9415954415954416,0.9404787060371034,0.8796532055020554,0.9506977141150197,-0.6262034471112793,0.1465674642050631,0.4740826046340869,-0.455593975071682,5.786081400784768,0.13354700854700857,0.10448717948717952,0.07044159544159545,-0.0005698005698005603
7,1,2,7,0.7760736196319018,0.7687037848373492,0.7674431769934048,0.8259645050808118,-0.6867961887698056,2.0446067183684633,1.7148200461568157,2.802118796981271,-1.6002738368269787,0.10184049079754598,0.058512269938650274,0.03857361963190179,0.01526073619631898
8,1,3,8,0.9223205506391348,0.9218261629112231,0.9014160066310555,0.9305120648369865,1.1008087226560002,-0.5807337864238447,0.4085991320553853,0.1396657880776289,4.548681749972722,0.18711897738446415,0.16558505408062935,0.11789577187807279,0.002753195673549702
9,1,4,9,0.8107074569789675,0.8060069254066861,0.8070237050043898,0.8888059701492538,0.5956936881009869,-0.19628314525797658,0.31260988694186903,-0.04445655118830102,4.535670426866984,0.139961759082218,0.09072657743785853,0.07801147227533466,0.0037284894837476324
